META; english/non-league/national-league/dagenham-redbridge-v-bromley; 2017-08-20 02:21:51 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Dagenham & Redbridge; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bromley; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-bromley; 2017-08-20 10:21:55 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Dagenham & Redbridge; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bromley; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-bromley; 2017-08-20 14:22:03 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 4/5; 8/11; ; ; 4/5; 8/11; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; ; ; 
Draw; 5/2; 5/2; ; ; 12/5; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; 
Bromley; 7/2; 10/3; ; ; 7/2; 16/5; 18/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-bromley; 2017-08-20 18:22:43 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 4/5; 8/11; ; ; 4/5; 8/11; 4/5; ; 4/5; ; ; 3/4; 4/5; ; ; ; ; ; 10/13; ; ; 4/5; ; 4/5; 4/5; ; ; ; 
Draw; 5/2; 5/2; ; ; 12/5; 23/10; 5/2; ; 23/10; ; ; 5/2; 5/2; ; ; ; ; ; 40/17; ; ; 23/10; ; 5/2; 12/5; ; ; ; 
Bromley; 7/2; 10/3; ; ; 7/2; 16/5; 18/5; ; 57/17; ; ; 3; 7/2; ; ; ; ; ; 57/17; ; ; 57/17; ; 7/2; 7/2; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-bromley; 2017-08-20 22:22:03 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 4/5; 8/11; ; ; 4/5; 8/11; 4/5; ; 4/5; ; ; 3/4; 4/5; ; ; ; ; ; 10/13; ; ; 4/5; ; 4/5; 4/5; ; ; ; 
Draw; 5/2; 5/2; ; ; 5/2; 23/10; 5/2; ; 23/10; ; ; 5/2; 5/2; ; ; ; ; ; 40/17; ; ; 23/10; ; 5/2; 5/2; ; ; ; 
Bromley; 7/2; 10/3; ; ; 10/3; 16/5; 18/5; ; 57/17; ; ; 3; 7/2; ; ; ; ; ; 57/17; ; ; 57/17; ; 7/2; 7/2; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-bromley; 2017-08-21 02:21:40 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 4/5; 8/11; ; ; 4/5; 8/11; 4/5; ; 4/5; ; ; 3/4; 4/5; ; ; 4/5; ; ; 10/13; ; ; 4/5; ; 4/5; 4/5; ; 1/50; ; 
Draw; 5/2; 5/2; ; ; 5/2; 23/10; 5/2; ; 23/10; ; ; 5/2; 5/2; ; ; 12/5; ; ; 40/17; ; ; 23/10; ; 5/2; 5/2; ; 21/10; ; 
Bromley; 7/2; 10/3; ; ; 10/3; 16/5; 18/5; ; 57/17; ; ; 3; 7/2; ; ; 10/3; ; ; 57/17; ; ; 57/17; ; 7/2; 7/2; ; 1/50; ; 
META; english/non-league/national-league/dagenham-redbridge-v-bromley; 2017-08-21 10:21:37 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 4/5; 8/11; ; ; 4/5; 8/11; 4/5; ; 4/5; ; ; 3/4; 4/5; ; ; 4/5; ; ; 10/13; ; ; 4/5; ; 4/5; 4/5; ; 1/100; ; 
