META; champions-league/fc-copenhagen-v-astra-giurgiu; 2016-07-28 04:15:15 GMT+3; 2016-08-03 18:45; e70300-dr003
FC Copenhagen; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/13; ; ; ; ; 
Draw; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; 
Astra Giurgiu; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; ; ; 
META; champions-league/fc-copenhagen-v-astra-giurgiu; 2016-07-28 08:15:19 GMT+3; 2016-08-03 18:45; e70300-dr003
FC Copenhagen; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/10; ; ; ; ; 
Draw; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 56/19; ; ; ; ; 
Astra Giurgiu; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 22/5; ; ; ; ; 
META; champions-league/fc-copenhagen-v-astra-giurgiu; 2016-07-28 12:15:17 GMT+3; 2016-08-03 18:45; e70300-dr003
FC Copenhagen; ; 4/7; 3/5; ; 3/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; ; ; ; 
Draw; ; 11/4; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; 
Astra Giurgiu; ; 9/2; 9/2; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/10; ; ; ; ; 
META; champions-league/fc-copenhagen-v-astra-giurgiu; 2016-07-28 16:15:20 GMT+3; 2016-08-03 18:45; e70300-dr003
FC Copenhagen; ; 4/7; 3/5; ; 3/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/5; ; ; 4/6; ; ; ; ; 
Draw; ; 11/4; 11/4; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; 3; ; ; ; ; 
Astra Giurgiu; ; 9/2; 9/2; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/2; ; ; 47/10; ; ; ; ; 
META; champions-league/fc-copenhagen-v-astra-giurgiu; 2016-07-28 20:15:14 GMT+3; 2016-08-03 18:45; e70300-dr003
FC Copenhagen; ; 8/13; 8/13; 8/13; 8/13; ; ; ; ; 8/13; ; ; 8/13; ; ; ; ; 8/13; 3/5; 4/7; 10/17; 4/6; ; ; ; ; 
Draw; ; 13/5; 11/4; 11/4; 11/4; ; ; ; ; 11/4; ; ; 11/4; ; ; ; ; 11/4; 11/4; 11/4; 27/10; 3; ; ; ; ; 
Astra Giurgiu; ; 9/2; 9/2; 9/2; 9/2; ; ; ; ; 23/5; ; ; 4; ; ; ; ; 23/5; 9/2; 23/5; 43/10; 47/10; ; ; ; ; 
META; champions-league/fc-copenhagen-v-astra-giurgiu; 2016-07-29 00:15:14 GMT+3; 2016-08-03 18:45; e70300-dr003
