META; champions-league/shakhtar-donetsk-v-young-boys; 2016-07-15 16:15:24 GMT+3; 2016-07-26 19:45; e70300-dr003
Shakhtar Donetsk; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/29; ; ; ; ; 
Draw; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 58/19; ; ; ; ; 
Young Boys; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/10; ; ; ; ; 
META; champions-league/shakhtar-donetsk-v-young-boys; 2016-07-15 20:15:29 GMT+3; 2016-07-26 19:45; e70300-dr003
Shakhtar Donetsk; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/29; ; ; ; ; 
Draw; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 58/19; ; ; ; ; 
Young Boys; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/10; ; ; ; ; 
META; champions-league/shakhtar-donetsk-v-young-boys; 2016-07-16 00:15:35 GMT+3; 2016-07-26 19:45; e70300-dr003
Shakhtar Donetsk; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/29; ; ; ; ; 
Draw; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 58/19; ; ; ; ; 
Young Boys; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/10; ; ; ; ; 
META; champions-league/shakhtar-donetsk-v-young-boys; 2016-07-16 04:15:35 GMT+3; 2016-07-26 19:45; e70300-dr003
Shakhtar Donetsk; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/17; ; ; ; ; 
Draw; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 58/19; ; ; ; ; 
Young Boys; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 24/5; ; ; ; ; 
META; champions-league/shakhtar-donetsk-v-young-boys; 2016-07-16 08:15:39 GMT+3; 2016-07-26 19:45; e70300-dr003
Shakhtar Donetsk; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/17; ; ; ; ; 
Draw; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 58/19; ; ; ; ; 
Young Boys; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 24/5; ; ; ; ; 
META; champions-league/shakhtar-donetsk-v-young-boys; 2016-07-16 12:15:54 GMT+3; 2016-07-26 19:45; e70300-dr003
Shakhtar Donetsk; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/17; ; ; ; ; 
Draw; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 58/19; ; ; ; ; 
Young Boys; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 24/5; ; ; ; ; 
META; champions-league/shakhtar-donetsk-v-young-boys; 2016-07-16 16:15:43 GMT+3; 2016-07-26 19:45; e70300-dr003
Shakhtar Donetsk; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/17; ; ; ; ; 
Draw; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 58/19; ; ; ; ; 
Young Boys; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 24/5; ; ; ; ; 
META; champions-league/shakhtar-donetsk-v-young-boys; 2016-07-16 20:15:42 GMT+3; 2016-07-26 19:45; e70300-dr003
Shakhtar Donetsk; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/17; ; ; ; ; 
Draw; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 58/19; ; ; ; ; 
