Bayern Munich; 4/9; ; 4/9; 4/9; 4/9; 4/9; 2/5; 4/9; 4/9; 4/9; 4/9; 2/5; 21/50; ; 9/20; 4/9; 7/17; 4/9; 4/9; 4/9; 7/17; 5/11; 3/7; 4/9; 4/9; ; 4/9; ; 
Draw; 7/2; ; 7/2; 7/2; 19/5; 19/5; 15/4; 10/3; 19/5; 7/2; 10/3; 16/5; 15/4; ; 15/4; 4; 62/17; 18/5; 17/5; 7/2; 62/17; 37/10; 37/10; 18/5; 10/3; ; 7/2; ; 
PSV; 11/2; ; 6; 11/2; 11/2; 11/2; 11/2; 11/2; 11/2; 11/2; 11/2; 5; 6; ; 11/2; 6; 25/4; 25/4; 23/4; 31/5; 25/4; 15/2; 63/13; 25/4; 6; ; 6; ; 
META; champions-league/psv-v-bayern-munich; 2016-10-24 16:15:40 GMT+3; 2016-11-01 19:45; e70300-dr003
Bayern Munich; 4/9; ; 4/9; 4/9; 4/9; 4/9; 2/5; 4/9; 4/9; 4/9; 4/9; 2/5; 21/50; ; 9/20; ; 7/17; 4/9; 4/9; 4/9; 7/17; 5/11; 3/7; 4/9; 4/9; ; 4/9; ; 
Draw; 7/2; ; 7/2; 7/2; 19/5; 19/5; 15/4; 10/3; 19/5; 7/2; 10/3; 16/5; 15/4; ; 15/4; ; 62/17; 18/5; 17/5; 7/2; 62/17; 37/10; 37/10; 18/5; 10/3; ; 7/2; ; 
PSV; 11/2; ; 6; 11/2; 11/2; 11/2; 11/2; 11/2; 11/2; 11/2; 11/2; 5; 6; ; 11/2; ; 25/4; 25/4; 23/4; 31/5; 25/4; 15/2; 63/13; 25/4; 6; ; 6; ; 
META; champions-league/psv-v-bayern-munich; 2016-10-24 20:15:36 GMT+3; 2016-11-01 19:45; e70300-dr003
Bayern Munich; 4/9; ; 4/9; 4/9; 4/9; 4/9; 2/5; 4/9; 4/9; 4/9; 4/9; 4/9; 21/50; ; 9/20; 4/9; 7/17; 4/9; 4/9; 4/9; 7/17; 5/11; 3/7; 4/9; 4/9; ; 4/9; ; 4/9
Draw; 7/2; ; 7/2; 7/2; 19/5; 19/5; 15/4; 10/3; 19/5; 7/2; 10/3; 18/5; 15/4; ; 15/4; 4; 62/17; 18/5; 17/5; 7/2; 62/17; 37/10; 37/10; 18/5; 10/3; ; 7/2; ; 7/2
PSV; 11/2; ; 6; 11/2; 11/2; 11/2; 11/2; 11/2; 11/2; 11/2; 11/2; 11/2; 6; ; 11/2; 6; 25/4; 25/4; 23/4; 31/5; 25/4; 15/2; 63/13; 25/4; 6; ; 6; ; 13/2
META; champions-league/psv-v-bayern-munich; 2016-10-25 00:15:37 GMT+3; 2016-11-01 19:45; e70300-dr003
Bayern Munich; 4/9; 4/9; 40/85; 4/9; 4/9; 4/9; 2/5; 4/9; 4/9; 4/9; 4/9; 4/9; 21/50; ; 9/20; 4/9; 7/17; 4/9; 4/9; 4/9; 7/17; 5/11; 3/7; 4/9; 4/9; ; 4/9; ; 4/9
Draw; 7/2; 18/5; 7/2; 7/2; 19/5; 19/5; 15/4; 10/3; 19/5; 7/2; 10/3; 18/5; 15/4; ; 15/4; 4; 62/17; 18/5; 17/5; 7/2; 62/17; 37/10; 37/10; 18/5; 10/3; ; 7/2; ; 7/2
PSV; 11/2; 11/2; 6; 11/2; 11/2; 11/2; 11/2; 11/2; 11/2; 11/2; 11/2; 11/2; 6; ; 11/2; 6; 25/4; 25/4; 23/4; 31/5; 25/4; 15/2; 63/13; 25/4; 6; ; 6; ; 13/2
META; champions-league/psv-v-bayern-munich; 2016-10-25 04:15:37 GMT+3; 2016-11-01 19:45; e70300-dr003
