META; champions-league/mladost-podgorica-v-ludogorets-razgrad; 2016-07-16 08:15:19 GMT+3; 2016-07-19 19:45; e70300-dr003
Ludogorets Razgrad; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/17; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 35/12; ; ; ; ; 
Mladost Podgorica; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/5; ; ; ; ; 
META; champions-league/mladost-podgorica-v-ludogorets-razgrad; 2016-07-16 12:15:29 GMT+3; 2016-07-19 19:45; e70300-dr003
Ludogorets Razgrad; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/17; ; ; ; ; 
Draw; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 35/12; ; ; ; ; 
Mladost Podgorica; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/5; ; ; ; ; 
META; champions-league/mladost-podgorica-v-ludogorets-razgrad; 2016-07-16 16:15:22 GMT+3; 2016-07-19 19:45; e70300-dr003
Ludogorets Razgrad; ; 8/13; 8/13; ; 8/13; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; ; 11/17; ; ; ; ; 
Draw; ; 13/5; 11/4; ; 11/4; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; 35/12; ; ; ; ; 
Mladost Podgorica; ; 9/2; 9/2; ; 9/2; ; ; ; 17/4; ; ; ; ; ; ; ; ; ; ; ; ; 23/5; ; ; ; ; 
META; champions-league/mladost-podgorica-v-ludogorets-razgrad; 2016-07-16 20:15:20 GMT+3; 2016-07-19 19:45; e70300-dr003
Ludogorets Razgrad; ; 8/13; 8/13; ; 8/13; ; ; ; 8/13; ; ; 8/13; ; ; ; ; 8/13; ; ; ; ; 11/17; ; ; 2/5; ; 
Draw; ; 13/5; 11/4; ; 11/4; ; ; ; 11/4; ; ; 5/2; ; ; ; ; 11/4; ; ; ; ; 35/12; ; ; 9/4; ; 
Mladost Podgorica; ; 9/2; 9/2; ; 9/2; ; ; ; 17/4; ; ; 7/2; ; ; ; ; 9/2; ; ; ; ; 23/5; ; ; 9/5; ; 
META; champions-league/mladost-podgorica-v-ludogorets-razgrad; 2016-07-17 00:15:19 GMT+3; 2016-07-19 19:45; e70300-dr003
Ludogorets Razgrad; ; 8/13; 8/13; ; 8/13; ; ; ; 8/13; ; ; 8/13; ; ; ; ; 8/13; ; ; ; ; 11/17; ; ; ; ; 
Draw; ; 13/5; 11/4; ; 11/4; ; ; ; 11/4; ; ; 5/2; ; ; ; ; 11/4; ; ; ; ; 35/12; ; ; ; ; 
Mladost Podgorica; ; 9/2; 9/2; ; 9/2; ; ; ; 17/4; ; ; 7/2; ; ; ; ; 9/2; ; ; ; ; 23/5; ; ; ; ; 
META; champions-league/mladost-podgorica-v-ludogorets-razgrad; 2016-07-17 04:15:19 GMT+3; 2016-07-19 19:45; e70300-dr003
Ludogorets Razgrad; ; 8/13; 8/13; ; 8/13; ; ; ; 8/13; ; ; 8/13; ; ; ; ; 8/13; ; ; ; ; 11/17; ; ; 2/5; ; 
Draw; ; 13/5; 11/4; ; 11/4; ; ; ; 11/4; ; ; 5/2; ; ; ; ; 11/4; ; ; ; ; 35/12; ; ; ; ; 
Mladost Podgorica; ; 9/2; 9/2; ; 9/2; ; ; ; 17/4; ; ; 7/2; ; ; ; ; 9/2; ; ; ; ; 23/5; ; ; ; ; 
META; champions-league/mladost-podgorica-v-ludogorets-razgrad; 2016-07-17 08:15:18 GMT+3; 2016-07-19 19:45; e70300-dr003
Ludogorets Razgrad; ; 8/13; 8/13; ; 8/13; ; ; ; 8/13; ; ; 8/13; ; ; ; ; 8/13; ; ; ; ; 11/17; ; ; 2/5; ; 
