Celtic; 1/12; 1/10; 1/10; 1/9; 1/10; 1/12; 1/11; 1/12; 1/10; 2/17; 1/9; ; 1/9; 1/12; 1/10; 1/10; 1/9; 2/17; 1/10; 1/8; 1/12; 1/8; ; ; ; ; 
Draw; 8; 7; 15/2; 15/2; 15/2; 13/2; 8; 8; 8; 7; 13/2; ; 7; 13/2; 8; 15/2; 8; 7; 8; 7; 29/4; 43/5; ; ; ; ; 
Lincoln Red Imps FC; 16; 22; 18; 22; 18; 14; 22; 19; 20; 17; 18; ; 16; 22; 20; 22; 20; 17; 37/2; 17; 73/4; 18; ; ; ; ; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-11 13:45:13 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; 1/12; 1/10; 1/10; 1/8; 1/10; 1/12; 1/11; 1/12; 1/10; 2/17; 1/9; ; 1/9; 1/12; 1/10; 1/10; 1/9; 2/17; 1/10; 1/8; 1/12; 1/8; ; ; 1/8; ; 
Draw; 8; 7; 15/2; 7; 15/2; 13/2; 8; 8; 8; 7; 13/2; ; 7; 13/2; 8; 15/2; 8; 7; 8; 7; 29/4; 43/5; ; ; 41/5; ; 
Lincoln Red Imps FC; 16; 22; 18; 22; 18; 14; 22; 19; 20; 17; 18; ; 16; 22; 20; 22; 20; 17; 37/2; 17; 73/4; 18; ; ; 29; ; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-11 15:45:12 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; 1/10; 1/10; 1/10; 1/8; 1/10; 1/12; 1/10; 1/12; 1/9; 2/17; 2/15; 1/9; 1/9; 1/9; 1/10; 1/10; 1/9; 2/17; 1/10; 1/8; 1/11; 1/8; 1/11; ; 2/15; ; 
Draw; 8; 7; 7; 7; 7; 11/2; 15/2; 8; 7; 7; 15/2; ; 7; 6; 8; 15/2; 8; 7; 8; 7; 29/4; 43/5; 63/10; ; 38/5; ; 
Lincoln Red Imps FC; 14; 20; 18; 22; 18; 18; 22; 19; 18; 17; 22; ; 16; 18; 20; 22; 20; 17; 37/2; 17; 18; 18; 14; ; 47; ; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-11 16:15:14 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; 1/10; 1/8; 1/10; 1/8; 1/10; 1/9; 2/15; 1/12; 1/9; 2/17; 2/13; 1/9; 1/8; 1/11; 1/10; 1/7; 1/9; 2/17; 1/10; 1/8; 1/11; 1/8; 1/8; ; 2/15; ; 
Draw; 8; 13/2; 7; 7; 7; 11/2; 13/2; 15/2; 7; 7; 13/2; 7; 6; 6; 8; 13/2; 15/2; 7; 8; 7; 7; 43/5; 57/10; ; 38/5; ; 
Lincoln Red Imps FC; 14; 18; 18; 22; 18; 14; 18; 22; 20; 17; 18; ; 16; 22; 20; 16; 20; 17; 37/2; 17; 71/4; 18; 11; ; 47; ; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-11 17:45:11 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; 1/10; 1/7; 1/8; 1/7; 1/8; 1/9; 2/13; 1/10; 1/10; 2/17; 2/11; 1/8; 1/6; 1/12; 1/10; 2/13; 2/17; 2/17; 3/19; 1/8; 1/9; 1/7; 1/8; ; 1/6; 1/7; 
Draw; 8; 6; 13/2; 13/2; 13/2; 5; 6; 7; 8; 7; 6; 13/2; 5; 6; 8; 6; 15/2; 7; 6; 7; 13/2; 39/5; 57/10; ; 6; 27/5; 
Lincoln Red Imps FC; 12; 16; 16; 18; 16; 12; 16; 19; 22; 17; 16; 18; 14; 25; 20; 16; 18; 17; 29/2; 17; 16; 18; 11; ; 21; 16; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-11 18:20:45 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; 1/10; 1/8; 1/8; 1/7; 1/8; 1/9; 2/15; 1/10; 1/10; 2/17; 1/6; 1/8; 1/6; 1/12; 1/10; 2/13; 2/17; 2/17; 3/19; 1/8; 1/9; 1/7; 1/8; ; ; 1/7; 
Draw; 8; 6; 13/2; 13/2; 13/2; 5; 13/2; 7; 8; 7; 6; 13/2; 5; 6; 8; 6; 7; 7; 6; 7; 13/2; 39/5; 57/10; ; 31/5; 27/5; 
Lincoln Red Imps FC; 12; 18; 16; 20; 16; 12; 17; 19; 22; 17; 18; 18; 14; 25; 20; 16; 18; 17; 29/2; 17; 16; 18; 11; ; ; 16; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-11 19:45:14 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; 1/10; 1/8; 1/8; 1/7; 1/8; 1/9; 2/15; 1/10; 1/10; 2/17; 1/6; 1/8; 1/6; 1/12; 1/10; 2/13; 2/17; 2/17; ; 1/8; 1/9; 1/7; 1/8; ; 1/6; 2/13; 
Draw; 8; 6; 13/2; 13/2; 13/2; 5; 13/2; 7; 8; 7; 6; 13/2; 5; 6; 8; 6; 7; 7; ; 7; 25/4; 39/5; 57/10; ; 37/5; 34/5; 
Lincoln Red Imps FC; 12; 18; 16; 20; 16; 12; 17; 19; 22; 17; 18; 18; 14; 25; 20; 16; 18; 17; ; 17; 17; 18; 11; ; 21; 16; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-11 20:15:14 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; 1/10; 1/8; 1/8; 1/8; 1/8; 1/9; 2/15; 1/10; 1/10; 2/17; 1/6; 1/8; 1/6; 1/12; 1/10; 2/13; 2/17; 2/17; 1/7; 1/8; 1/9; 1/7; 1/8; ; 1/6; 1/6; 
Draw; 8; 6; 13/2; 7; 13/2; 5; 13/2; 7; 8; 7; 6; 13/2; 5; 6; 8; 6; 7; 7; 13/2; 7; 25/4; 39/5; 57/10; ; 38/5; 7; 
Lincoln Red Imps FC; 12; 18; 14; 18; 14; 12; 17; 19; 22; 17; 18; 18; 14; 25; 20; 16; 18; 17; 15; 17; 17; 18; 11; ; 76/5; 12; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-11 21:45:13 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; 1/8; 1/7; 1/8; 2/13; 1/8; 13/100; 2/15; 1/10; 1/10; 2/17; 1/6; 1/7; 1/6; 1/11; 1/10; 2/13; 1/7; 2/17; 1/7; 1/8; 1/8; 1/7; 2/13; ; 1/6; 1/6; 
Draw; 7; 6; 13/2; 13/2; 13/2; 5; 13/2; 7; 8; 7; 6; 13/2; 5; 13/2; 8; 6; 7; 7; 13/2; 7; 6; 39/5; 53/10; ; 39/5; 7; 
Lincoln Red Imps FC; 12; 16; 14; 16; 14; 12; 17; 19; 22; 18; 18; 18; 14; 18; 20; 16; 16; 18; 15; 18; 63/4; 18; 10; ; 76/5; 58/5; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-11 23:45:17 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; 1/8; 1/7; 1/8; 2/13; 1/8; 1/7; 2/13; 1/9; 1/10; 1/7; 1/5; 1/6; 3/20; 2/13; 1/10; 2/13; 1/7; 1/7; 3/19; 1/7; 1/8; 3/19; 2/13; ; 2/11; 2/11; 
Draw; 7; 6; 6; 13/2; 6; 5; 6; 13/2; 8; 7; 11/2; 6; 11/2; 11/2; 8; 6; 7; 7; 25/4; 7; 6; 39/5; 53/10; ; 7; 6; 
Lincoln Red Imps FC; 12; 16; 14; 16; 14; 12; 16; 16; 22; 13; 14; 16; 14; 12; 20; 16; 16; 13; 13; 13; 57/4; 14; 10; ; 17; 14; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-12 00:15:12 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; 1/8; 1/7; 1/8; 2/13; 1/8; 1/7; 2/13; 1/9; 1/10; 1/7; 1/5; 1/6; 3/20; 2/13; 1/10; 2/13; 1/7; 1/7; 3/19; 1/7; 1/8; 3/19; 2/13; ; ; 2/11; 
Draw; 7; 6; 6; 13/2; 6; 5; 6; 13/2; 8; 7; 11/2; 6; 11/2; 11/2; 8; 6; 7; 7; 25/4; 7; 6; 39/5; 53/10; ; ; 32/5; 
Lincoln Red Imps FC; 12; 16; 14; 16; 14; 12; 16; 16; 22; 13; 14; 16; 14; 12; 20; 16; 16; 13; 13; 13; 57/4; 14; 10; ; ; 14; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-12 00:26:15 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; 1/8; 1/7; 1/8; 2/13; 1/8; 1/7; 2/13; 1/9; 1/10; 1/7; 1/5; 1/6; 3/20; 2/13; 1/10; 2/13; 1/7; 1/7; 3/19; 1/7; 1/8; 3/19; 2/13; ; ; 2/11; 
Draw; 7; 6; 6; 13/2; 6; 5; 6; 13/2; 8; 7; 11/2; 6; 11/2; 11/2; 8; 6; 7; 7; 25/4; 7; 6; 39/5; 53/10; ; ; 33/5; 
Lincoln Red Imps FC; 12; 16; 14; 16; 14; 12; 16; 16; 22; 13; 14; 16; 14; 12; 20; 16; 16; 13; 13; 13; 57/4; 14; 10; ; ; 14; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-12 01:45:19 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; 1/8; 1/7; 1/7; 2/13; 1/7; 1/7; 2/13; 1/7; 1/10; 1/7; 1/5; 1/6; 3/20; 2/13; 1/10; 2/13; 1/7; 1/7; 3/19; 1/7; 1/8; 3/19; 2/13; ; 2/11; 2/11; 
Draw; 7; 6; 6; 13/2; 6; 5; 6; 6; 8; 7; 11/2; 6; 11/2; 11/2; 15/2; 6; 13/2; 7; 25/4; 7; 25/4; 39/5; 53/10; ; 34/5; 33/5; 
Lincoln Red Imps FC; 12; 16; 14; 16; 14; 12; 16; 14; 22; 13; 14; 16; 14; 12; 20; 16; 16; 13; 13; 13; 29/2; 14; 10; ; 17; 14; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-12 03:45:14 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; 1/8; 1/7; 1/8; 2/13; 1/8; 13/100; 2/13; 1/7; 1/10; 1/7; 2/11; 1/7; 3/20; 2/13; 1/10; 2/13; 1/7; 1/7; 3/19; 1/7; 1/8; 3/19; 2/13; ; 2/11; 2/11; 
Draw; 7; 6; 6; 13/2; 6; 5; 6; 6; 8; 7; 6; 6; 11/2; 11/2; 15/2; 6; 7; 7; 25/4; 7; 25/4; 39/5; 53/10; ; ; 33/5; 
Lincoln Red Imps FC; 12; 16; 14; 16; 14; 12; 16; 14; 22; 13; 16; 16; 14; 12; 20; 16; 16; 13; 13; 13; 29/2; 14; 10; ; ; 14; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-12 04:15:11 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; 1/8; 2/13; 1/7; 2/13; 1/7; 13/100; 2/13; 1/9; 1/10; 1/7; 2/11; 1/7; 3/20; 2/13; 1/10; 2/13; 1/7; 1/7; 3/19; 1/7; 2/17; 3/19; 2/13; ; 1/6; 1/6; 
Draw; 7; 6; 6; 13/2; 6; 5; 6; 13/2; 8; 7; 6; 6; 11/2; 11/2; 15/2; 6; 13/2; 7; 25/4; 7; 25/4; 39/5; 53/10; ; 36/5; 33/5; 
Lincoln Red Imps FC; 12; 14; 14; 16; 14; 12; 16; 16; 22; 13; 16; 16; 14; 12; 20; 16; 16; 13; 13; 13; 61/4; 14; 10; ; 19; 31/2; 
