Atletico Madrid; 2/7; 1/3; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 2/7; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 3/10; 3/10; 2/7; 3/10; ; 3/10; 1/4; 
Draw; 4; 19/5; 4; 4; 9/2; 4; 22/5; 7/2; 17/4; 4; 9/2; 4; 4; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 23/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 
Leicester; 10; 9; 11; 10; 10; 10; 12; 8; 10; 11; 11; 10; 12; 9; 10; 11; 45/4; 9; 11; 45/4; 23/2; 10; 11; 10; 11; ; 5; 41/5; 
META; champions-league/atletico-madrid-v-leicester; 2017-03-19 00:15:07 GMT+2; 2017-04-12 18:45; e70300-dr003
Atletico Madrid; 2/7; 1/3; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 2/7; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 3/10; 3/10; 2/7; 3/10; ; 3/10; 1/4; 
Draw; 4; 19/5; 4; 4; 9/2; 4; 22/5; 7/2; 17/4; 4; 9/2; 4; 4; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 23/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 
Leicester; 10; 9; 11; 10; 10; 10; 12; 8; 10; 11; 11; 10; 12; 9; 10; 11; 45/4; 9; 11; 45/4; 23/2; 10; 11; 10; 11; ; 5; 41/5; 
META; champions-league/atletico-madrid-v-leicester; 2017-03-19 04:15:06 GMT+2; 2017-04-12 18:45; e70300-dr003
Atletico Madrid; 2/7; 1/3; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 2/7; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 3/10; 3/10; 2/7; 3/10; ; 3/10; 1/4; 
Draw; 4; 19/5; 4; 4; 9/2; 4; 22/5; 7/2; 17/4; 4; 9/2; 15/4; 4; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 23/5; 43/10; 21/5; 4; 21/5; ; 4; 4; 
Leicester; 10; 9; 11; 10; 10; 10; 12; 8; 10; 11; 11; 11; 12; 9; 10; 11; 45/4; 9; 11; 45/4; 23/2; 10; 11; 10; 11; ; 8; 41/5; 
META; champions-league/atletico-madrid-v-leicester; 2017-03-19 08:15:09 GMT+2; 2017-04-12 18:45; e70300-dr003
