META; champions-league/salzburg-v-partizani; 2016-07-28 20:15:25 GMT+3; 2016-08-03 19:30; e70300-dr003
Salzburg; ; 1/6; 1/6; 1/6; 1/6; ; 2/15; ; ; 2/11; ; ; 1/6; ; ; ; 1/6; 2/11; 2/13; 2/11; 1/8; ; ; ; 1/9; ; 
Draw; ; 11/2; 11/2; 6; 11/2; ; 6; ; ; 57/10; ; ; 11/2; ; ; ; 11/2; 57/10; 25/4; 28/5; 28/5; ; ; ; 9/4; ; 
Partizani; ; 14; 16; 16; 16; ; 21; ; ; 17; ; ; 16; ; ; ; 18; 17; 15; 17; 37/2; ; ; ; 19/10; ; 
META; champions-league/salzburg-v-partizani; 2016-07-29 00:15:24 GMT+3; 2016-08-03 19:30; e70300-dr003
Salzburg; ; 1/6; 1/6; 1/6; 1/6; ; 2/15; ; ; 2/11; ; ; 1/6; 2/13; ; ; 1/6; 2/11; 2/13; 2/11; 1/7; ; ; ; ; ; 
Draw; ; 11/2; 11/2; 6; 11/2; ; 6; ; ; 57/10; ; ; 11/2; 21/4; ; ; 11/2; 57/10; 25/4; 28/5; 57/10; ; ; ; ; ; 
Partizani; ; 14; 16; 16; 16; ; 21; ; ; 17; ; ; 16; 18; ; ; 18; 17; 15; 17; 79/4; ; ; ; ; ; 
META; champions-league/salzburg-v-partizani; 2016-07-29 04:15:32 GMT+3; 2016-08-03 19:30; e70300-dr003
Salzburg; ; 1/6; 1/6; 1/6; 1/6; ; 2/15; ; ; 2/11; ; ; 1/6; 2/13; ; ; 1/6; 2/11; 2/13; 2/11; 1/7; ; ; ; 1/9; ; 
Draw; ; 11/2; 11/2; 6; 11/2; ; 6; ; ; 57/10; ; ; 11/2; 21/4; ; ; 11/2; 57/10; 25/4; 28/5; 57/10; ; ; ; 9/4; ; 
Partizani; ; 14; 16; 16; 16; ; 21; ; ; 17; ; ; 16; 18; ; ; 18; 17; 15; 17; 79/4; ; ; ; 38/5; ; 
META; champions-league/salzburg-v-partizani; 2016-07-29 08:15:25 GMT+3; 2016-08-03 19:30; e70300-dr003
Salzburg; ; 1/6; 1/6; 1/6; 1/6; ; 2/15; ; ; 2/11; ; ; 1/6; 2/13; ; ; 1/6; 2/11; 2/13; 2/11; 1/7; ; ; ; ; ; 
Draw; ; 5; 11/2; 6; 11/2; ; 6; ; ; 57/10; ; ; 11/2; 21/4; ; ; 11/2; 57/10; 25/4; 28/5; 57/10; ; ; ; ; ; 
Partizani; ; 16; 16; 16; 16; ; 21; ; ; 17; ; ; 16; 18; ; ; 18; 17; 15; 17; 79/4; ; ; ; ; ; 
META; champions-league/salzburg-v-partizani; 2016-07-29 12:15:27 GMT+3; 2016-08-03 19:30; e70300-dr003
Salzburg; ; 1/6; 1/6; 1/6; 1/6; ; 2/15; ; ; 2/11; ; ; 1/6; 1/6; ; ; 1/6; 2/11; 2/13; 2/11; 1/7; ; ; ; ; ; 
Draw; ; 11/2; 11/2; 6; 11/2; ; 6; ; ; 57/10; ; ; 11/2; 21/4; ; ; 11/2; 57/10; 25/4; 28/5; 57/10; ; ; ; ; ; 
Partizani; ; 14; 16; 16; 16; ; 20; ; ; 17; ; ; 16; 16; ; ; 18; 17; 15; 17; 19; ; ; ; ; ; 
META; champions-league/salzburg-v-partizani; 2016-07-29 16:15:28 GMT+3; 2016-08-03 19:30; e70300-dr003
Salzburg; ; 2/13; 1/6; 1/6; 1/6; ; 2/15; 1/6; 2/13; 2/11; 1/6; 1/7; 1/6; 2/13; ; ; 1/6; 2/11; 2/13; 2/11; 1/7; ; 2/13; ; ; ; 
Draw; ; 6; 11/2; 6; 11/2; ; 13/2; 6; 6; 57/10; 13/2; 6; 11/2; 11/2; ; ; 6; 57/10; 25/4; 28/5; 23/4; ; 32/5; ; ; ; 
Partizani; ; 14; 16; 16; 16; ; 18; 13; 14; 17; 16; 18; 16; 18; ; ; 16; 17; 15; 17; 77/4; ; 14; ; ; ; 
META; champions-league/salzburg-v-partizani; 2016-07-29 20:15:30 GMT+3; 2016-08-03 19:30; e70300-dr003
Salzburg; ; 2/13; 1/7; 1/6; 1/7; 1/7; 2/15; 1/6; 2/13; 2/11; 1/6; 1/7; 1/6; 2/13; ; 2/15; 1/7; 2/11; 2/13; 2/11; 1/9; ; 2/13; ; ; ; 
