META; champions-league/borussia-monchengladbach-v-celtic; 2016-10-20 20:15:13 GMT+3; 2016-11-01 19:45; e70300-dr003
Borussia Monchengladbach; 1/2; ; 8/15; ; ; ; 1/2; 1/2; ; ; ; ; 1/2; ; 11/20; 8/15; ; 6/11; 10/21; ; ; 6/11; 17/35; ; ; ; ; ; 
Draw; 16/5; ; 10/3; ; ; ; 33/10; 3; ; ; ; ; 10/3; ; 10/3; 7/2; ; 3; 10/3; ; ; 39/11; 33/10; ; ; ; ; ; 
Celtic; 5; ; 5; ; ; ; 19/4; 9/2; ; ; ; ; 21/4; ; 19/4; 11/2; ; 11/2; 5; ; ; 53/10; 23/5; ; ; ; ; ; 
META; champions-league/borussia-monchengladbach-v-celtic; 2016-10-21 00:15:23 GMT+3; 2016-11-01 19:45; e70300-dr003
Borussia Monchengladbach; 1/2; ; 8/15; 1/2; 4/9; 8/15; 1/2; 1/2; 8/15; 1/2; 1/2; ; 1/2; ; 11/20; 8/15; ; 6/11; 10/21; 8/15; ; 6/11; 17/35; 6/11; ; ; ; ; 
Draw; 16/5; ; 10/3; 16/5; 10/3; 7/2; 33/10; 3; 10/3; 10/3; 16/5; ; 10/3; ; 10/3; 7/2; ; 3; 10/3; 3; ; 39/11; 33/10; 3; ; ; ; ; 
Celtic; 5; ; 5; 5; 6; 5; 19/4; 9/2; 5; 5; 24/5; ; 21/4; ; 19/4; 11/2; ; 11/2; 5; 11/2; ; 53/10; 23/5; 11/2; ; ; ; ; 
META; champions-league/borussia-monchengladbach-v-celtic; 2016-10-21 04:15:23 GMT+3; 2016-11-01 19:45; e70300-dr003
Borussia Monchengladbach; 1/2; ; 8/15; 1/2; 4/9; 8/15; 1/2; 1/2; 8/15; 1/2; 1/2; ; 1/2; ; 11/20; 8/15; ; 6/11; 10/21; 8/15; ; 11/21; 17/35; 6/11; ; ; ; ; 
Draw; 16/5; ; 10/3; 16/5; 10/3; 7/2; 33/10; 3; 10/3; 10/3; 16/5; ; 10/3; ; 10/3; 7/2; ; 3; 10/3; 3; ; 18/5; 33/10; 3; ; ; ; ; 
Celtic; 5; ; 5; 5; 6; 5; 19/4; 9/2; 5; 5; 24/5; ; 21/4; ; 19/4; 11/2; ; 11/2; 5; 11/2; ; 59/10; 23/5; 11/2; ; ; ; ; 
