META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-03 00:15:02 GMT+3; 2016-07-05 16:00; e70300-dr003
FC Santa Coloma; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/7; ; 
Alashkert; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-03 04:15:02 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; ; 4/11; ; ; ; ; ; ; ; 3/8; ; ; ; ; ; ; ; ; 3/8; ; 4/11; ; ; ; ; ; ; 
Draw; ; 7/2; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; 4; ; 4; ; ; ; ; ; ; 
FC Santa Coloma; ; 7; ; ; ; ; ; ; ; 6; ; ; ; ; ; ; ; ; 6; ; 6; ; ; ; ; ; ; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-03 08:15:02 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; ; 4/11; ; ; ; ; ; ; ; 3/8; ; ; ; ; ; ; ; ; 3/8; ; 4/11; ; ; ; ; 1/4; ; 
Draw; ; 7/2; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; 4; ; 4; ; ; ; ; 21/10; ; 
FC Santa Coloma; ; 7; ; ; ; ; ; ; ; 6; ; ; ; ; ; ; ; ; 6; ; 6; ; ; ; ; 1/7; ; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-03 12:15:08 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; ; 4/11; 4/11; 4/11; 4/11; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 4/11; 6/19; 3/8; 2/5; 4/11; 6/19; ; ; ; 1/4; ; 
Draw; ; 7/2; 18/5; 15/4; 18/5; ; 4; ; ; 4; ; ; ; ; ; ; 4; 15/4; 4; 15/4; 4; 15/4; ; ; ; 14/5; ; 
FC Santa Coloma; ; 13/2; 6; 15/2; 6; ; 15/2; ; ; 6; ; ; ; ; ; ; 13/2; 60/11; 6; 6; 6; 60/11; ; ; ; 7/2; ; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-03 20:15:02 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 1/3; 4/11; 4/11; 1/3; 4/11; ; 2/5; 3/10; ; 3/8; ; ; ; ; 1/3; 4/11; 4/11; 6/19; 3/8; 4/11; 4/11; 6/19; ; ; ; ; ; 
Draw; 18/5; 7/2; 18/5; 16/5; 18/5; ; 19/5; 9/2; ; 4; ; ; ; ; 4; 15/4; 4; 37/10; 4; 4; 4; 37/10; ; ; ; 7/2; ; 
FC Santa Coloma; 6; 7; 6; 7; 6; ; 15/2; 11/2; ; 6; ; ; ; ; 9; 7; 13/2; 61/11; 6; 25/4; 6; 61/11; ; ; ; 29/5; ; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-04 00:15:08 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 2/5; 4/11; 2/5; 4/11; 2/5; ; 4/9; 3/10; ; 3/8; 4/9; ; ; ; 3/10; 2/5; 2/5; 10/29; 3/8; 4/11; 4/11; 10/29; ; ; ; 4/9; ; 
Draw; 10/3; 10/3; 10/3; 16/5; 10/3; ; 7/2; 9/2; ; 4; 16/5; ; ; ; 11/2; 10/3; 7/2; 7/2; 4; 4; 4; 7/2; ; ; ; 7/2; ; 
FC Santa Coloma; 11/2; 7; 11/2; 6; 11/2; ; 7; 11/2; ; 6; 13/2; ; ; ; 13/2; 7; 13/2; 91/17; 6; 25/4; 6; 91/17; ; ; ; 24/5; ; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-04 00:23:36 GMT+3; 2016-07-05 16:00; e70300-dr003
