META; champions-league/ludogorets-razgrad-v-crvena-zvezda; 2016-07-20 20:15:35 GMT+3; 2016-07-26 19:45; e70300-dr003
Ludogorets Razgrad; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; 
Crvena Zvezda; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/5; ; ; ; ; 
META; champions-league/ludogorets-razgrad-v-crvena-zvezda; 2016-07-21 00:15:09 GMT+3; 2016-07-26 19:45; e70300-dr003
Ludogorets Razgrad; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; 
Crvena Zvezda; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/5; ; ; ; ; 
META; champions-league/ludogorets-razgrad-v-crvena-zvezda; 2016-07-21 04:15:10 GMT+3; 2016-07-26 19:45; e70300-dr003
Ludogorets Razgrad; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; 
Crvena Zvezda; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/5; ; ; ; ; 
META; champions-league/ludogorets-razgrad-v-crvena-zvezda; 2016-07-21 08:15:08 GMT+3; 2016-07-26 19:45; e70300-dr003
Ludogorets Razgrad; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; 
Crvena Zvezda; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/5; ; ; ; ; 
META; champions-league/ludogorets-razgrad-v-crvena-zvezda; 2016-07-21 12:15:13 GMT+3; 2016-07-26 19:45; e70300-dr003
Ludogorets Razgrad; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; 
Crvena Zvezda; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/5; ; ; ; ; 
META; champions-league/ludogorets-razgrad-v-crvena-zvezda; 2016-07-21 16:15:04 GMT+3; 2016-07-26 19:00; e70300-dr003
Ludogorets Razgrad; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; 3/4; ; ; ; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 49/20; ; ; ; ; ; ; ; 45/17; ; ; ; ; 
Crvena Zvezda; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; 17/4; ; ; ; ; ; ; ; 23/5; ; ; ; ; 
META; champions-league/ludogorets-razgrad-v-crvena-zvezda; 2016-07-21 20:15:04 GMT+3; 2016-07-26 19:00; e70300-dr003
Ludogorets Razgrad; ; 7/10; 7/10; 8/11; 7/10; ; ; ; 4/6; 7/10; ; ; ; 4/6; ; ; 8/11; 7/10; ; 4/6; 8/13; 3/4; ; ; ; ; 
Draw; ; 23/10; 12/5; 5/2; 12/5; ; ; ; 5/2; 27/11; ; ; ; 49/20; ; ; 12/5; 27/11; ; 12/5; 9/4; 45/17; ; ; ; ; 
Crvena Zvezda; ; 9/2; 9/2; 4; 9/2; ; ; ; 17/4; 9/2; ; ; ; 17/4; ; ; 9/2; 9/2; ; 9/2; 21/5; 23/5; ; ; ; ; 
META; champions-league/ludogorets-razgrad-v-crvena-zvezda; 2016-07-22 00:15:05 GMT+3; 2016-07-26 19:00; e70300-dr003
Ludogorets Razgrad; ; 7/10; 7/10; 8/11; 7/10; ; ; ; 4/6; 7/10; ; ; ; 4/6; ; ; 8/11; 7/10; ; 4/6; 8/13; 3/4; ; ; ; ; 
Draw; ; 23/10; 12/5; 5/2; 12/5; ; ; ; 5/2; 27/11; ; ; ; 49/20; ; ; 12/5; 27/11; ; 12/5; 9/4; 45/17; ; ; ; ; 
Crvena Zvezda; ; 9/2; 9/2; 4; 9/2; ; ; ; 17/4; 9/2; ; ; ; 17/4; ; ; 9/2; 9/2; ; 9/2; 21/5; 23/5; ; ; ; ; 
META; champions-league/ludogorets-razgrad-v-crvena-zvezda; 2016-07-22 04:15:10 GMT+3; 2016-07-26 19:00; e70300-dr003
Ludogorets Razgrad; ; 4/6; 4/6; 8/11; 4/6; ; ; ; 4/6; 7/10; ; ; ; 4/6; ; ; 4/6; 7/10; ; 4/6; 8/13; 13/18; ; ; ; ; 
Draw; ; 12/5; 5/2; 5/2; 5/2; ; ; ; 5/2; 27/11; ; ; ; 12/5; ; ; 5/2; 27/11; ; 12/5; 9/4; 27/10; ; ; ; ; 
Crvena Zvezda; ; 9/2; 9/2; 4; 9/2; ; ; ; 9/2; 9/2; ; ; ; 9/2; ; ; 9/2; 9/2; ; 9/2; 21/5; 24/5; ; ; ; ; 
META; champions-league/ludogorets-razgrad-v-crvena-zvezda; 2016-07-22 08:15:10 GMT+3; 2016-07-26 19:00; e70300-dr003
Ludogorets Razgrad; ; 4/6; 7/10; 8/11; 7/10; ; ; ; 4/6; 7/10; ; ; ; 4/6; ; ; 8/11; 7/10; ; 4/6; 8/13; 13/18; ; ; ; ; 
Draw; ; 23/10; 12/5; 5/2; 12/5; ; ; ; 5/2; 27/11; ; ; ; 12/5; ; ; 12/5; 27/11; ; 12/5; 9/4; 27/10; ; ; ; ; 
Crvena Zvezda; ; 9/2; 9/2; 4; 9/2; ; ; ; 9/2; 9/2; ; ; ; 9/2; ; ; 9/2; 9/2; ; 9/2; 21/5; 24/5; ; ; ; ; 
META; champions-league/ludogorets-razgrad-v-crvena-zvezda; 2016-07-22 12:15:10 GMT+3; 2016-07-26 19:00; e70300-dr003
Ludogorets Razgrad; ; 4/6; 4/6; 8/11; 4/6; ; ; ; 4/6; 7/10; ; ; ; 4/6; ; ; 4/6; 7/10; ; 4/6; 8/13; 7/10; ; ; ; ; 
Draw; ; 12/5; 5/2; 5/2; 5/2; ; ; ; 5/2; 27/11; ; ; ; 12/5; ; ; 5/2; 27/11; ; 12/5; 9/4; 11/4; ; ; ; ; 
Crvena Zvezda; ; 9/2; 9/2; 4; 9/2; ; ; ; 9/2; 9/2; ; ; ; 9/2; ; ; 9/2; 9/2; ; 9/2; 21/5; 49/10; ; ; ; ; 
META; champions-league/ludogorets-razgrad-v-crvena-zvezda; 2016-07-22 16:15:06 GMT+3; 2016-07-26 19:00; e70300-dr003
Ludogorets Razgrad; ; 4/6; 4/6; 8/11; 4/6; ; 4/6; ; 4/6; 7/10; ; ; ; 4/6; ; ; 4/6; 7/10; 7/10; 4/6; 8/13; 7/10; ; ; ; ; 
