META; champions-league/fk-rostov-v-anderlecht; 2016-07-19 20:15:57 GMT+3; 2016-07-26 19:45; e70300-dr003
FK Rostov; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 32/19; ; ; ; ; 
Anderlecht; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; ; ; ; 
Draw; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; 
META; champions-league/fk-rostov-v-anderlecht; 2016-07-20 00:15:24 GMT+3; 2016-07-26 19:45; e70300-dr003
FK Rostov; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 32/19; ; ; ; ; 
Anderlecht; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; ; ; ; 
Draw; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; 
META; champions-league/fk-rostov-v-anderlecht; 2016-07-20 04:15:26 GMT+3; 2016-07-26 19:45; e70300-dr003
FK Rostov; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 32/19; ; ; ; ; 
Anderlecht; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; ; ; ; 
Draw; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; 
META; champions-league/fk-rostov-v-anderlecht; 2016-07-20 08:15:29 GMT+3; 2016-07-26 19:45; e70300-dr003
FK Rostov; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 32/19; ; ; ; ; 
Anderlecht; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; ; ; ; 
Draw; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; 
META; champions-league/fk-rostov-v-anderlecht; 2016-07-20 16:15:23 GMT+3; 2016-07-26 19:30; e70300-dr003
FK Rostov; ; 7/5; 6/4; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; 16/11; ; ; ; ; 32/19; ; ; ; ; 
Anderlecht; ; 2; 15/8; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; ; ; 19/10; ; ; ; ; 
Draw; ; 2; 21/10; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; 9/4; ; ; ; ; 
META; champions-league/fk-rostov-v-anderlecht; 2016-07-20 20:15:27 GMT+3; 2016-07-26 19:30; e70300-dr003
FK Rostov; ; 7/5; 7/5; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; ; ; 13/10; 13/8; ; ; ; ; 
Anderlecht; ; 19/10; 2; ; 2; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; ; 37/19; 57/29; ; ; ; ; 
Draw; ; 21/10; 21/10; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; 2; 9/4; ; ; ; ; 
META; champions-league/fk-rostov-v-anderlecht; 2016-07-21 00:15:04 GMT+3; 2016-07-26 19:30; e70300-dr003
FK Rostov; ; 7/5; 7/5; ; 7/5; ; ; ; ; 7/5; ; ; ; ; ; ; 7/5; 7/5; ; 7/5; 13/10; 13/8; ; ; ; ; 
Anderlecht; ; 19/10; 2; ; 2; ; ; ; ; 21/10; ; ; ; ; ; ; 2; 21/10; ; 21/10; 37/19; 57/29; ; ; ; ; 
Draw; ; 21/10; 21/10; ; 21/10; ; ; ; ; 28/13; ; ; ; ; ; ; 11/5; 28/13; ; 21/10; 2; 9/4; ; ; ; ; 
META; champions-league/fk-rostov-v-anderlecht; 2016-07-21 04:15:05 GMT+3; 2016-07-26 19:30; e70300-dr003
FK Rostov; ; 7/5; 7/5; ; 7/5; ; ; ; ; 7/5; ; ; ; ; ; ; 7/5; 7/5; ; 7/5; 13/10; 27/17; ; ; ; ; 
Anderlecht; ; 19/10; 2; ; 2; ; ; ; ; 21/10; ; ; ; ; ; ; 2; 21/10; ; 21/10; 37/19; 83/41; ; ; ; ; 
