META; champions-league/flora-tallinn-v-lincoln-red-imps-fc; 2016-06-24 12:15:01 GMT+3; 2016-06-28 17:00; e70300-dr003
Flora Tallinn; ; ; 2/9; ; ; ; 1/5; ; ; ; ; ; ; ; ; ; 1/5; 2/13; 1/5; ; ; ; ; ; ; ; ; 
Draw; ; ; 11/2; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; 11/2; 5; 11/2; ; ; ; ; ; ; ; ; 
Lincoln Red Imps FC; ; ; 11; ; ; ; 16; ; ; ; ; ; ; ; ; ; 12; 41/4; 11; ; ; ; ; ; ; ; ; 
META; champions-league/flora-tallinn-v-lincoln-red-imps-fc; 2016-06-24 16:15:00 GMT+3; 2016-06-28 17:00; e70300-dr003
Flora Tallinn; ; 1/5; 2/9; ; 2/9; ; 1/5; ; 1/5; 1/5; ; ; 1/6; ; ; ; 1/5; 2/13; 1/5; 1/5; 1/5; 2/13; ; ; ; ; ; 
Draw; ; 5; 11/2; ; 11/2; ; 11/2; ; 11/2; 11/2; ; ; 5; ; ; ; 11/2; 5; 11/2; 11/2; 11/2; 5; ; ; ; ; ; 
Lincoln Red Imps FC; ; 12; 11; ; 11; ; 16; ; 11; 11; ; ; 11; ; ; ; 12; 41/4; 11; 11; 11; 41/4; ; ; ; ; ; 
META; champions-league/flora-tallinn-v-lincoln-red-imps-fc; 2016-06-24 20:15:02 GMT+3; 2016-06-28 17:00; e70300-dr003
Flora Tallinn; ; 1/5; 2/9; ; 2/9; ; 1/5; ; 1/5; 1/5; ; ; 1/6; ; ; ; 1/5; 2/13; 1/5; 1/5; 1/5; 2/13; ; ; ; ; ; 
Draw; ; 5; 11/2; ; 11/2; ; 11/2; ; 11/2; 11/2; ; ; 5; ; ; ; 11/2; 5; 11/2; 11/2; 11/2; 5; ; ; ; ; ; 
Lincoln Red Imps FC; ; 12; 11; ; 11; ; 16; ; 11; 11; ; ; 11; ; ; ; 12; 41/4; 11; 11; 11; 41/4; ; ; ; ; ; 
META; champions-league/flora-tallinn-v-lincoln-red-imps-fc; 2016-06-25 00:15:06 GMT+3; 2016-06-28 17:00; e70300-dr003
Flora Tallinn; ; 1/5; 2/9; ; 2/9; ; 1/5; ; 1/5; 1/5; ; ; 1/6; ; ; ; 1/5; 3/19; 1/5; 1/5; 1/5; 3/19; ; ; ; ; ; 
Draw; ; 5; 11/2; ; 11/2; ; 11/2; ; 11/2; 11/2; ; ; 5; ; ; ; 11/2; 49/10; 11/2; 11/2; 11/2; 49/10; ; ; ; ; ; 
Lincoln Red Imps FC; ; 12; 11; ; 11; ; 16; ; 11; 11; ; ; 11; ; ; ; 12; 10; 11; 11; 11; 10; ; ; ; ; ; 
