META; champions-league/napoli-v-real-madrid; 2017-02-16 00:15:20 GMT+2; 2017-03-07 19:45; e70300-dr003
Real Madrid; ; ; ; ; ; ; 13/10; ; ; 5/4; ; ; ; ; ; 11/8; 5/4; 15/13; ; 5/4; ; ; ; ; ; 10/9; ; 
Napoli; ; ; ; ; ; ; 2; ; ; 9/5; ; ; 15/8; ; ; 15/8; 2; 21/10; ; 2; ; ; ; ; ; 20/21; ; 
Draw; ; ; ; ; ; ; 13/5; ; ; 11/4; ; ; 27/10; ; ; 14/5; 5/2; 5/2; ; 5/2; ; ; ; ; ; 23/10; ; 
META; champions-league/napoli-v-real-madrid; 2017-02-16 04:15:17 GMT+2; 2017-03-07 19:45; e70300-dr003
Real Madrid; 11/8; 13/10; ; ; ; ; 13/10; 5/4; ; 13/10; ; ; 13/10; 11/8; ; 11/8; 13/10; 15/13; ; 13/10; 6/5; ; ; ; ; 5/4; ; 
Napoli; 7/4; 9/5; ; ; ; ; 15/8; 15/8; ; 9/5; ; ; 9/5; 21/10; ; 15/8; 19/10; 21/10; ; 19/10; 23/10; ; ; ; ; 20/21; ; 
Draw; 11/4; 14/5; ; ; ; ; 14/5; 5/2; ; 11/4; ; ; 27/10; 12/5; ; 14/5; 5/2; 5/2; ; 5/2; 72/25; ; ; ; ; 23/10; ; 
META; champions-league/napoli-v-real-madrid; 2017-02-16 08:15:17 GMT+2; 2017-03-07 19:45; e70300-dr003
Real Madrid; 11/8; 13/10; ; 13/10; ; ; 13/10; 5/4; ; 5/4; ; ; 13/10; 11/8; ; 11/8; 23/17; 15/13; ; 13/10; 6/5; 17/13; ; ; ; 5/4; ; 
Napoli; 7/4; 9/5; ; 7/4; ; ; 15/8; 15/8; ; 9/5; ; ; 9/5; 21/10; ; 15/8; 19/10; 21/10; ; 19/10; 23/10; 13/7; ; ; ; 20/21; ; 
Draw; 11/4; 14/5; ; 11/4; ; ; 14/5; 5/2; ; 11/4; ; ; 27/10; 12/5; ; 14/5; 27/11; 5/2; ; 5/2; 72/25; 27/10; ; ; ; 23/10; ; 
META; champions-league/napoli-v-real-madrid; 2017-02-16 12:15:20 GMT+2; 2017-03-07 19:45; e70300-dr003
Real Madrid; 11/8; 13/10; ; 13/10; ; ; 13/10; 5/4; ; 7/5; ; 7/5; 11/8; 29/20; 7/5; 11/8; 23/17; 13/10; ; 23/17; 13/10; 24/17; ; ; ; 11/8; ; 
Napoli; 7/4; 9/5; ; 7/4; ; ; 9/5; 15/8; ; 13/8; ; 9/5; 17/10; 19/10; 15/8; 15/8; 24/13; 19/10; ; 24/13; 21/10; 19/11; ; ; ; 7/4; ; 
Draw; 11/4; 14/5; ; 11/4; ; ; 14/5; 5/2; ; 11/4; ; 5/2; 27/10; 12/5; 5/2; 14/5; 27/11; 5/2; ; 27/11; 72/25; 27/10; ; ; ; 23/10; ; 
META; champions-league/napoli-v-real-madrid; 2017-02-16 16:15:20 GMT+2; 2017-03-07 19:45; e70300-dr003
Real Madrid; 11/8; 13/10; 27/20; 13/10; ; ; 13/10; 5/4; 13/10; 7/5; 13/10; 7/5; 11/8; 29/20; 7/5; 11/8; 23/17; 13/10; ; 23/17; 13/10; 24/17; ; 11/8; ; 11/8; ; 
Napoli; 7/4; 9/5; 9/5; 7/4; ; ; 9/5; 15/8; 15/8; 13/8; 17/10; 9/5; 17/10; 19/10; 15/8; 15/8; 24/13; 19/10; ; 9/5; 21/10; 19/11; ; 9/5; ; 7/4; ; 
Draw; 11/4; 14/5; 27/10; 11/4; ; ; 14/5; 5/2; 13/5; 11/4; 5/2; 5/2; 27/10; 12/5; 5/2; 14/5; 5/2; 5/2; ; 5/2; 72/25; 27/10; ; 12/5; ; 23/10; ; 
META; champions-league/napoli-v-real-madrid; 2017-02-16 20:15:18 GMT+2; 2017-03-07 19:45; e70300-dr003
Real Madrid; 11/8; 13/10; 27/20; 13/10; ; 27/20; 13/10; 5/4; 13/10; 7/5; 13/10; 7/5; 11/8; 29/20; 7/5; 11/8; 23/17; 13/10; ; ; 13/10; 24/17; ; 11/8; ; 11/8; ; 
Napoli; 7/4; 7/4; 9/5; 7/4; ; 17/10; 9/5; 15/8; 15/8; 13/8; 17/10; 9/5; 17/10; 19/10; 15/8; 9/5; 9/5; 19/10; ; ; 21/10; 19/11; ; 9/5; ; 7/4; ; 
Draw; 11/4; 14/5; 27/10; 11/4; ; 11/4; 14/5; 5/2; 13/5; 11/4; 5/2; 5/2; 27/10; 12/5; 5/2; 27/10; 27/11; 5/2; ; ; 72/25; 27/10; ; 12/5; ; 23/10; ; 
META; champions-league/napoli-v-real-madrid; 2017-02-17 00:15:20 GMT+2; 2017-03-07 19:45; e70300-dr003
Real Madrid; 11/8; 13/10; 27/20; 13/10; ; 27/20; 13/10; 5/4; 13/10; 7/5; 13/10; 7/5; 11/8; 29/20; 7/5; 11/8; 23/17; 13/10; ; 23/17; 34/25; 24/17; ; 11/8; ; 11/8; ; 
Napoli; 7/4; 7/4; 9/5; 7/4; ; 17/10; 9/5; 15/8; 15/8; 13/8; 17/10; 9/5; 17/10; 19/10; 15/8; 9/5; 9/5; 19/10; ; 9/5; 199/100; 19/11; ; 9/5; ; 7/4; ; 
Draw; 11/4; 14/5; 27/10; 11/4; ; 11/4; 14/5; 5/2; 13/5; 11/4; 5/2; 5/2; 27/10; 12/5; 5/2; 27/10; 27/11; 5/2; ; 27/11; 72/25; 27/10; ; 12/5; ; 23/10; ; 
META; champions-league/napoli-v-real-madrid; 2017-02-17 04:15:19 GMT+2; 2017-03-07 19:45; e70300-dr003
Real Madrid; 11/8; 13/10; 27/20; 13/10; ; 27/20; 13/10; 5/4; 13/10; 7/5; 13/10; 7/5; 11/8; 29/20; 7/5; 11/8; 23/17; 13/10; ; 23/17; 11/8; 24/17; ; 11/8; ; 11/8; ; 
Napoli; 7/4; 7/4; 9/5; 7/4; ; 17/10; 9/5; 15/8; 15/8; 13/8; 17/10; 9/5; 17/10; 19/10; 15/8; 9/5; 9/5; 19/10; ; 9/5; 199/100; 19/11; ; 9/5; ; 7/4; ; 
Draw; 11/4; 14/5; 27/10; 11/4; ; 11/4; 14/5; 5/2; 13/5; 11/4; 5/2; 5/2; 27/10; 12/5; 5/2; 27/10; 27/11; 5/2; ; 27/11; 57/20; 27/10; ; 12/5; ; 23/10; ; 
META; champions-league/napoli-v-real-madrid; 2017-02-17 08:15:18 GMT+2; 2017-03-07 19:45; e70300-dr003
Real Madrid; 11/8; 13/10; 27/20; 13/10; ; 27/20; 13/10; 5/4; 13/10; 7/5; 13/10; 7/5; 11/8; 6/4; 7/5; 11/8; 7/5; 13/10; ; 7/5; 11/8; 24/17; ; 11/8; ; 7/5; ; 
Napoli; 7/4; 7/4; 9/5; 7/4; ; 17/10; 9/5; 15/8; 15/8; 13/8; 17/10; 9/5; 17/10; 19/10; 15/8; 9/5; 19/10; 19/10; ; 19/10; 199/100; 19/11; ; 9/5; ; 7/4; ; 
Draw; 11/4; 14/5; 27/10; 11/4; ; 11/4; 14/5; 5/2; 13/5; 11/4; 5/2; 5/2; 27/10; 12/5; 5/2; 27/10; 40/17; 5/2; ; 23/10; 57/20; 27/10; ; 12/5; ; 23/10; ; 
META; champions-league/napoli-v-real-madrid; 2017-02-17 12:15:24 GMT+2; 2017-03-07 19:45; e70300-dr003
Real Madrid; 11/8; 13/10; 27/20; 13/10; ; 27/20; 13/10; 5/4; 13/10; 7/5; 13/10; 7/5; 11/8; 6/4; 7/5; 11/8; 23/17; 13/10; ; 23/17; 11/8; 24/17; ; 11/8; ; 7/5; ; 
Napoli; 7/4; 7/4; 9/5; 7/4; ; 17/10; 9/5; 15/8; 15/8; 13/8; 17/10; 9/5; 17/10; 19/10; 15/8; 9/5; 9/5; 19/10; ; 9/5; 199/100; 19/11; ; 9/5; ; 7/4; ; 
Draw; 11/4; 14/5; 27/10; 11/4; ; 11/4; 14/5; 5/2; 13/5; 11/4; 5/2; 5/2; 27/10; 12/5; 5/2; 27/10; 27/11; 5/2; ; 27/11; 57/20; 27/10; ; 12/5; ; 23/10; ; 
META; champions-league/napoli-v-real-madrid; 2017-02-17 16:15:24 GMT+2; 2017-03-07 19:45; e70300-dr003
Real Madrid; 11/8; 13/10; 11/8; 13/10; ; 27/20; 13/10; 5/4; 13/10; 11/8; 13/10; 7/5; 27/20; 6/4; 7/5; 11/8; 23/17; 13/10; ; 23/17; 11/8; 24/17; ; 11/8; ; 7/5; ; 
Napoli; 7/4; 7/4; 9/5; 7/4; ; 17/10; 9/5; 15/8; 15/8; 7/4; 17/10; 9/5; 7/4; 19/10; 15/8; 9/5; 9/5; 19/10; ; 9/5; 199/100; 19/11; ; 9/5; ; 7/4; ; 
Draw; 11/4; 14/5; 27/10; 11/4; ; 11/4; 14/5; 5/2; 13/5; 13/5; 5/2; 5/2; 27/10; 12/5; 5/2; 11/4; 27/11; 5/2; ; 28/11; 57/20; 27/10; ; 5/2; ; 23/10; ; 
META; champions-league/napoli-v-real-madrid; 2017-02-17 20:15:19 GMT+2; 2017-03-07 19:45; e70300-dr003
Real Madrid; 11/8; 13/10; 11/8; 13/10; ; 27/20; 13/10; 5/4; 13/10; 11/8; 13/10; 7/5; 27/20; 6/4; 7/5; 11/8; 23/17; 13/10; ; 23/17; 11/8; 24/17; ; 11/8; ; 7/5; ; 
Napoli; 7/4; 7/4; 9/5; 7/4; ; 17/10; 9/5; 15/8; 15/8; 7/4; 17/10; 9/5; 7/4; 19/10; 15/8; 9/5; 9/5; 19/10; ; 9/5; 199/100; 19/11; ; 9/5; ; 7/4; ; 
Draw; 11/4; 14/5; 27/10; 11/4; ; 11/4; 14/5; 5/2; 13/5; 13/5; 5/2; 5/2; 27/10; 12/5; 5/2; 11/4; 28/11; 5/2; ; 28/11; 57/20; 27/10; ; 5/2; ; 23/10; ; 
META; champions-league/napoli-v-real-madrid; 2017-02-18 00:15:21 GMT+2; 2017-03-07 19:45; e70300-dr003
Real Madrid; 11/8; 13/10; 11/8; 13/10; ; 27/20; 13/10; 5/4; 13/10; 11/8; 13/10; 7/5; 27/20; 6/4; 7/5; 11/8; 23/17; 13/10; ; 23/17; 11/8; 24/17; ; 11/8; ; 7/5; ; 
Napoli; 7/4; 7/4; 9/5; 7/4; ; 17/10; 9/5; 15/8; 15/8; 7/4; 17/10; 9/5; 7/4; 19/10; 15/8; 9/5; 9/5; 19/10; ; 9/5; 199/100; 19/11; ; 9/5; ; 7/4; ; 
Draw; 11/4; 14/5; 27/10; 11/4; ; 11/4; 14/5; 5/2; 13/5; 13/5; 5/2; 5/2; 27/10; 12/5; 5/2; 11/4; 28/11; 5/2; ; 28/11; 57/20; 27/10; ; 5/2; ; 23/10; ; 
META; champions-league/napoli-v-real-madrid; 2017-02-18 04:15:20 GMT+2; 2017-03-07 19:45; e70300-dr003
Real Madrid; 11/8; 13/10; 11/8; 13/10; ; 27/20; 13/10; 5/4; 13/10; 11/8; 13/10; 7/5; 27/20; 6/4; 7/5; 11/8; 23/17; 13/10; ; 23/17; 11/8; 24/17; ; 11/8; ; 7/5; ; 
Napoli; 7/4; 7/4; 9/5; 7/4; ; 17/10; 9/5; 15/8; 15/8; 7/4; 17/10; 9/5; 7/4; 19/10; 15/8; 9/5; 9/5; 19/10; ; 9/5; 199/100; 19/11; ; 9/5; ; 7/4; ; 
Draw; 11/4; 14/5; 27/10; 11/4; ; 11/4; 14/5; 5/2; 13/5; 13/5; 5/2; 5/2; 27/10; 12/5; 5/2; 11/4; 28/11; 5/2; ; 28/11; 57/20; 27/10; ; 5/2; ; 23/10; ; 
META; champions-league/napoli-v-real-madrid; 2017-02-18 08:15:22 GMT+2; 2017-03-07 19:45; e70300-dr003
Real Madrid; 11/8; 13/10; 11/8; 13/10; ; 27/20; 13/10; 5/4; 13/10; 11/8; 13/10; 7/5; 27/20; 6/4; 7/5; 11/8; 23/17; 13/10; ; 23/17; 11/8; 24/17; ; 11/8; ; 7/5; ; 
Napoli; 7/4; 7/4; 9/5; 7/4; ; 17/10; 9/5; 15/8; 15/8; 7/4; 17/10; 9/5; 7/4; 19/10; 15/8; 9/5; 9/5; 19/10; ; 9/5; 199/100; 19/11; ; 9/5; ; 7/4; ; 
Draw; 11/4; 14/5; 27/10; 11/4; ; 11/4; 14/5; 5/2; 13/5; 13/5; 5/2; 5/2; 27/10; 12/5; 5/2; 11/4; 28/11; 5/2; ; 28/11; 57/20; 27/10; ; 5/2; ; 23/10; ; 
META; champions-league/napoli-v-real-madrid; 2017-02-18 12:15:31 GMT+2; 2017-03-07 19:45; e70300-dr003
