META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-03 00:15:13 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; ; 13/8; ; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; 8/5; ; 8/5; ; 18/11; ; ; ; ; 
Lincoln Red Imps FC; ; 13/8; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; 17/10; ; 17/10; ; 16/9; ; ; ; ; 
Draw; ; 85/40; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 11/5; ; 11/5; ; 23/10; ; ; ; ; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-03 04:15:09 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; ; 13/8; ; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; 8/5; ; 8/5; ; 18/11; ; ; ; ; 
Lincoln Red Imps FC; ; 13/8; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; 17/10; ; 17/10; ; 16/9; ; ; ; ; 
Draw; ; 85/40; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 11/5; ; 11/5; ; 23/10; ; ; ; ; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-03 08:15:10 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; ; 13/8; ; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; 8/5; ; 8/5; ; 18/11; ; ; ; ; 
Lincoln Red Imps FC; ; 13/8; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; 17/10; ; 17/10; ; 16/9; ; ; ; ; 
Draw; ; 85/40; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 11/5; ; 11/5; ; 23/10; ; ; ; ; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-03 12:15:16 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; ; 6/4; 6/4; 31/20; 6/4; ; 13/8; ; ; 8/5; ; ; 7/5; ; ; ; 17/11; 16/11; 8/5; 17/11; 8/5; 16/11; 18/11; ; ; ; ; 
Lincoln Red Imps FC; ; 13/8; 8/5; 13/8; 8/5; ; 9/5; ; ; 17/10; ; ; 6/4; ; ; ; 8/5; 17/11; 17/10; 28/17; 17/10; 17/11; 16/9; ; ; ; ; 
Draw; ; 23/10; 9/4; 5/2; 9/4; ; 23/10; ; ; 11/5; ; ; 9/4; ; ; ; 12/5; 21/10; 11/5; 23/10; 11/5; 21/10; 23/10; ; ; ; ; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-03 16:15:25 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; ; 6/4; 6/4; 31/20; 6/4; ; 17/10; ; ; 8/5; ; ; 7/5; ; ; 8/5; 8/5; 16/11; 8/5; 17/11; 8/5; ; 5/3; ; ; ; ; 
Lincoln Red Imps FC; ; 13/8; 6/4; 13/8; 6/4; ; 7/4; ; ; 17/10; ; ; 6/4; ; ; 13/8; 8/5; 17/11; 17/10; 28/17; 17/10; ; 7/4; ; ; ; ; 
Draw; ; 23/10; 9/4; 5/2; 9/4; ; 23/10; ; ; 11/5; ; ; 9/4; ; ; 11/5; 12/5; 21/10; 11/5; 23/10; 11/5; ; 23/10; ; ; ; ; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-03 20:15:10 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 11/10; 6/4; 13/10; 29/20; 13/10; ; 29/20; ; ; 6/4; ; 23/20; 7/5; ; ; 23/20; 7/5; 23/17; 6/4; 17/11; 6/4; 23/17; 5/3; ; ; ; ; 
Lincoln Red Imps FC; 15/8; 17/10; 7/4; 19/10; 7/4; ; 9/5; ; ; 9/5; ; 2; 6/4; ; ; 21/10; 9/5; 8/5; 9/5; 28/17; 9/5; 8/5; 7/4; ; ; ; ; 
Draw; 5/2; 9/4; 23/10; 9/4; 23/10; ; 13/5; ; ; 11/5; ; 23/10; 9/4; ; ; 13/5; 5/2; 28/13; 11/5; 23/10; 11/5; 28/13; 23/10; ; ; ; ; 
