META; champions-league/juventus-v-din-zagreb; 2016-11-25 04:15:27 GMT+2; 2016-12-07 19:45; e70300-dr003
Juventus; 1/8; 1/8; 1/9; ; 1/8; 1/9; 1/12; 1/7; 1/9; 1/9; 1/10; ; 1/10; ; 1/9; 1/7; 1/9; 2/13; 1/9; 2/13; 1/9; 2/15; ; 2/13; ; ; ; ; 
Draw; 7; 7; 15/2; ; 13/2; 8; 17/2; 11/2; 8; 17/2; 8; ; 15/2; ; 7; 8; 29/4; 15/2; 29/4; 15/2; 29/4; 9; ; 15/2; ; ; ; ; 
Din Zagreb; 18; 18; 28; ; 20; 33; 25; 12; 25; 28; 33; ; 28; ; 40; 25; 21; 27/2; 22; 27/2; 21; 25; ; 27/2; ; ; ; ; 
META; champions-league/juventus-v-din-zagreb; 2016-11-25 08:15:30 GMT+2; 2016-12-07 19:45; e70300-dr003
Juventus; 1/8; 1/8; 1/9; ; 1/8; 1/9; 1/12; 1/7; 1/9; 1/9; 1/10; ; 1/10; ; 1/9; 2/17; 1/11; 2/13; 1/9; 2/13; 1/11; 2/15; ; 2/13; ; ; ; ; 
Draw; 7; 7; 15/2; ; 13/2; 8; 17/2; 11/2; 8; 17/2; 8; ; 15/2; ; 7; 17/2; 8; 15/2; 29/4; 15/2; 8; 9; ; 15/2; ; ; ; ; 
Din Zagreb; 18; 18; 28; ; 20; 33; 25; 12; 25; 28; 33; ; 28; ; 40; 25; 97/4; 27/2; 22; 27/2; 97/4; 25; ; 27/2; ; ; ; ; 
META; champions-league/juventus-v-din-zagreb; 2016-11-25 12:15:37 GMT+2; 2016-12-07 19:45; e70300-dr003
Juventus; 1/8; 1/8; 1/9; ; 1/8; 1/9; 1/12; 1/7; 1/9; 1/9; 1/10; ; 1/10; ; 1/9; 2/17; 1/11; 2/13; 1/9; 2/13; 1/11; 2/15; ; 2/13; ; ; ; ; 
Draw; 7; 7; 15/2; ; 13/2; 8; 17/2; 11/2; 8; 17/2; 8; ; 15/2; ; 7; 17/2; 8; 15/2; 29/4; 15/2; 8; 9; ; 15/2; ; ; ; ; 
Din Zagreb; 18; 18; 28; ; 20; 33; 25; 12; 25; 28; 33; ; 28; ; 40; 25; 97/4; 27/2; 22; 27/2; 97/4; 25; ; 27/2; ; ; ; ; 
META; champions-league/juventus-v-din-zagreb; 2016-11-25 16:15:38 GMT+2; 2016-12-07 19:45; e70300-dr003
Juventus; 1/8; 1/8; 1/9; ; 1/8; 1/9; 1/12; 1/7; 1/9; 1/9; 1/10; ; 1/10; ; 1/9; 1/7; 1/11; 2/13; 1/9; 2/13; 1/11; 2/15; 1/12; 2/13; 1/8; ; ; ; 
