Draw; 8; 9; 17/2; 17/2; ; 13/2; 19/2; 15/2; 9; ; ; ; 17/2; ; 8; 11; 33/4; 9; 8; 9; 33/4; 10; 17/2; 9; ; ; 2/13; ; 
Legia Warsaw; 20; 20; 25; 25; ; 18; 22; 18; 25; ; ; ; 25; ; 25; 28; 20; 20; 19; 20; 20; 22; 17; 20; ; ; 2/13; ; 
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-05 00:15:04 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/10; 1/11; ; 1/8; 1/14; 1/10; 1/10; ; ; ; 1/11; ; 1/9; 1/9; 1/10; 1/9; 1/10; 1/9; 1/10; 1/8; 1/10; 1/9; ; ; 1/25; ; 
Draw; 8; 9; 17/2; 17/2; ; 13/2; 19/2; 15/2; 9; ; ; ; 17/2; ; 8; 11; 33/4; 9; 8; 9; 33/4; 10; 17/2; 9; ; ; 2/13; ; 
Legia Warsaw; 20; 20; 25; 25; ; 18; 22; 18; 25; ; ; ; 25; ; 25; 28; 79/4; 20; 19; 20; 79/4; 22; 17; 20; ; ; 2/13; ; 
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-05 04:15:04 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/10; 1/11; ; 1/8; 1/14; 1/10; 1/10; ; ; ; 1/11; ; 1/9; 1/9; 1/10; 1/9; 1/10; 1/9; 1/10; 1/8; 1/10; 1/9; ; ; 1/25; ; 
Draw; 8; 9; 17/2; 17/2; ; 13/2; 19/2; 15/2; 9; ; ; ; 17/2; ; 8; 11; 33/4; 9; 8; 9; 33/4; 10; 17/2; 9; ; ; 2/13; ; 
Legia Warsaw; 20; 20; 25; 25; ; 18; 22; 18; 25; ; ; ; 25; ; 25; 28; 79/4; 20; 19; 20; 79/4; 22; 17; 20; ; ; 2/13; ; 
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-05 08:15:04 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/10; 1/11; ; 1/8; 1/14; 1/10; 1/10; ; ; ; 1/11; ; 1/9; 1/9; 1/10; 1/9; 1/10; 1/9; 1/10; 1/8; 1/10; 1/9; ; ; 1/25; ; 
Draw; 8; 9; 17/2; 17/2; ; 13/2; 19/2; 15/2; 9; ; ; ; 17/2; ; 8; 11; 33/4; 9; 8; 9; 33/4; 10; 17/2; 9; ; ; 2/13; ; 
Legia Warsaw; 20; 20; 25; 25; ; 18; 22; 18; 25; ; ; ; 25; ; 25; 28; 79/4; 20; 19; 20; 79/4; 22; 17; 20; ; ; 2/13; ; 
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-05 12:15:05 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/10; 1/9; ; 1/8; 1/14; 1/10; 1/10; ; ; ; 1/11; ; 1/9; 1/9; 1/10; 1/9; 1/10; ; 1/10; 1/8; 1/10; 1/9; ; ; 1/25; ; 
Draw; 8; 9; 17/2; 8; ; 13/2; 19/2; 15/2; 9; ; ; ; 17/2; ; 8; 11; 33/4; 9; 8; ; 33/4; 10; 17/2; 9; ; ; 2/13; ; 
Legia Warsaw; 20; 20; 25; 20; ; 18; 22; 18; 25; ; ; ; 25; ; 25; 28; 20; 20; 19; ; 20; 22; 17; 20; ; ; 2/13; ; 
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-05 16:15:06 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/10; 1/9; ; 1/8; 1/14; 1/10; 1/10; ; ; ; 1/11; 1/12; 1/9; 1/9; 1/10; 1/8; 1/10; 2/15; 1/10; 1/8; 1/10; 1/8; ; ; 1/14; ; 
Draw; 8; 9; 17/2; 8; ; 13/2; 19/2; 15/2; 9; ; ; ; 17/2; 9; 8; 11; 33/4; 31/4; 8; 38/5; 33/4; 10; 17/2; 31/4; ; ; 41/5; ; 
Legia Warsaw; 20; 20; 25; 20; ; 18; 22; 18; 25; ; ; ; 25; 33; 25; 28; 79/4; 18; 19; 18; 79/4; 22; 17; 18; ; ; 2/13; ; 
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-05 20:15:05 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/10; 1/9; ; 1/8; 1/14; 1/10; 1/10; ; ; ; 1/11; 1/12; 1/9; 1/9; 1/10; 1/8; 1/10; 2/15; 1/10; 2/17; 1/10; 1/8; ; ; 1/10; ; 
Draw; 8; 9; 17/2; 17/2; ; 13/2; 19/2; 15/2; 9; ; ; ; 17/2; 9; 8; 11; 33/4; 31/4; 8; 38/5; 33/4; 21/2; 17/2; 31/4; ; ; 41/5; ; 
Legia Warsaw; 20; 20; 25; 18; ; 18; 22; 18; 25; ; ; ; 25; 33; 25; 28; 79/4; 18; 19; 18; 79/4; 25; 17; 18; ; ; 2/13; ; 
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-06 00:15:04 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/10; 1/9; ; 1/8; 1/14; 1/10; 1/10; ; ; ; 1/11; 1/12; 1/9; 1/9; 1/10; 1/8; 1/10; 2/15; 1/10; 2/17; 1/10; 1/8; ; ; 1/10; ; 
Draw; 8; 9; 17/2; 17/2; ; 13/2; 19/2; 15/2; 9; ; ; ; 17/2; 9; 8; 11; 33/4; 31/4; 8; 38/5; 33/4; 21/2; 17/2; 31/4; ; ; 41/5; ; 
Legia Warsaw; 20; 20; 25; 18; ; 18; 22; 18; 25; ; ; ; 25; 33; 25; 28; 79/4; 18; 19; 18; 79/4; 25; 17; 18; ; ; 2/13; ; 
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-06 04:15:04 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/10; 1/9; ; 1/8; 1/14; 1/10; 1/10; ; ; ; 1/11; 1/12; 1/9; 1/9; 1/10; 1/8; 1/10; 2/15; 1/10; 2/17; 1/10; 1/8; ; ; 1/10; ; 
