META; champions-league/hapoel-beer-sheva-v-olympiakos; 2016-07-28 20:15:19 GMT+3; 2016-08-03 19:00; e70300-dr003
Olympiakos; ; 10/11; 19/20; 10/11; 19/20; ; ; ; ; 9/10; ; ; 10/11; ; ; ; 19/20; 9/10; 10/11; 9/10; 13/15; ; ; ; 1/4; ; 
Draw; ; 9/4; 23/10; 23/10; 23/10; ; ; ; ; 23/10; ; ; 9/4; ; ; ; 12/5; 23/10; 9/4; 23/10; 11/5; ; ; ; 2; ; 
Hapoel Beer Sheva; ; 3; 3; 16/5; 3; ; ; ; ; 33/10; ; ; 3; ; ; ; 3; 33/10; 16/5; 3; 31/10; ; ; ; 11/8; ; 
META; champions-league/hapoel-beer-sheva-v-olympiakos; 2016-07-29 00:15:18 GMT+3; 2016-08-03 19:00; e70300-dr003
Olympiakos; ; 10/11; 10/11; 10/11; 10/11; ; ; ; ; 9/10; ; ; 10/11; 9/10; ; ; 10/11; 9/10; 10/11; 9/10; ; ; ; ; ; ; 
Draw; ; 9/4; 23/10; 23/10; 23/10; ; ; ; ; 23/10; ; ; 9/4; 9/4; ; ; 12/5; 23/10; 9/4; 23/10; ; ; ; ; ; ; 
Hapoel Beer Sheva; ; 3; 16/5; 16/5; 16/5; ; ; ; ; 33/10; ; ; 3; 16/5; ; ; 3; 33/10; 16/5; 3; ; ; ; ; ; ; 
META; champions-league/hapoel-beer-sheva-v-olympiakos; 2016-07-29 04:15:26 GMT+3; 2016-08-03 19:00; e70300-dr003
Olympiakos; ; 10/11; 10/11; 10/11; 10/11; ; ; ; ; 9/10; ; ; 10/11; 9/10; ; ; 10/11; 9/10; 10/11; 9/10; 10/11; ; ; ; 4/7; ; 
Draw; ; 9/4; 23/10; 23/10; 23/10; ; ; ; ; 23/10; ; ; 9/4; 9/4; ; ; 12/5; 23/10; 9/4; 23/10; 9/4; ; ; ; 2; ; 
Hapoel Beer Sheva; ; 3; 16/5; 16/5; 16/5; ; ; ; ; 33/10; ; ; 3; 16/5; ; ; 3; 33/10; 16/5; 3; 16/5; ; ; ; 11/8; ; 
META; champions-league/hapoel-beer-sheva-v-olympiakos; 2016-07-29 08:15:18 GMT+3; 2016-08-03 19:00; e70300-dr003
Olympiakos; ; 10/11; 10/11; 10/11; 10/11; ; ; ; ; 9/10; ; ; 10/11; 9/10; ; ; 10/11; 9/10; 10/11; 9/10; 10/11; ; ; ; ; ; 
Draw; ; 9/4; 23/10; 23/10; 23/10; ; ; ; ; 23/10; ; ; 9/4; 9/4; ; ; 12/5; 23/10; 9/4; 23/10; 9/4; ; ; ; ; ; 
Hapoel Beer Sheva; ; 3; 16/5; 16/5; 16/5; ; ; ; ; 33/10; ; ; 3; 16/5; ; ; 3; 33/10; 16/5; 3; 16/5; ; ; ; ; ; 
META; champions-league/hapoel-beer-sheva-v-olympiakos; 2016-07-29 12:15:21 GMT+3; 2016-08-03 19:00; e70300-dr003
Olympiakos; ; 10/11; 10/11; 10/11; 10/11; ; ; ; ; 9/10; ; ; 10/11; 9/10; ; ; 10/11; 9/10; 10/11; 9/10; 10/11; ; ; ; ; ; 
Draw; ; 9/4; 23/10; 23/10; 23/10; ; ; ; ; 23/10; ; ; 9/4; 11/5; ; ; 12/5; 23/10; 9/4; 23/10; 9/4; ; ; ; ; ; 
Hapoel Beer Sheva; ; 3; 16/5; 16/5; 16/5; ; ; ; ; 33/10; ; ; 3; 16/5; ; ; 3; 33/10; 16/5; 3; 16/5; ; ; ; ; ; 
META; champions-league/hapoel-beer-sheva-v-olympiakos; 2016-07-29 16:15:20 GMT+3; 2016-08-03 19:00; e70300-dr003
Olympiakos; ; 21/20; 1; 23/20; 1; ; 23/20; 11/10; 11/10; 9/10; 23/20; 11/10; 10/11; 11/10; ; ; 21/20; 9/10; 10/11; 9/10; 10/11; ; 10/9; ; ; ; 
Draw; ; 21/10; 9/4; 21/10; 9/4; ; 11/5; 23/10; 9/4; 23/10; 11/5; 2; 9/4; 11/5; ; ; 9/4; 23/10; 9/4; 23/10; 9/4; ; 40/17; ; ; ; 
Hapoel Beer Sheva; ; 11/4; 11/4; 13/5; 11/4; ; 5/2; 23/10; 13/5; 33/10; 5/2; 12/5; 3; 51/20; ; ; 11/4; 33/10; 16/5; 3; 31/10; ; 40/17; ; ; ; 
META; champions-league/hapoel-beer-sheva-v-olympiakos; 2016-07-29 20:15:23 GMT+3; 2016-08-03 19:00; e70300-dr003
Olympiakos; ; 21/20; 21/20; 1; 21/20; 1; 1; 11/10; 11/10; 11/10; 21/20; 21/20; 10/11; 21/20; ; 23/20; 21/20; 11/10; 21/20; 11/10; 19/20; ; 10/9; ; ; ; 
Draw; ; 21/10; 11/5; 11/5; 11/5; 9/4; 11/5; 23/10; 85/40; 11/5; 11/5; 11/5; 9/4; 21/10; ; 23/10; 9/4; 11/5; 21/10; 11/5; 9/4; ; 40/17; ; ; ; 
Hapoel Beer Sheva; ; 11/4; 11/4; 3; 11/4; 27/10; 14/5; 23/10; 13/5; 45/17; 14/5; 11/4; 3; 14/5; ; 23/10; 14/5; 45/17; 14/5; 13/5; 29/10; ; 40/17; ; ; ; 
META; champions-league/hapoel-beer-sheva-v-olympiakos; 2016-07-30 00:15:23 GMT+3; 2016-08-03 19:00; e70300-dr003
Olympiakos; ; 1; 21/20; 1; 21/20; 1; 1; 1; 21/20; 11/10; 1; 21/20; 1; 1; ; 23/20; 21/20; 11/10; 21/20; 11/10; 1; ; 10/9; ; ; ; 
Draw; ; 85/40; 11/5; 11/5; 11/5; 9/4; 11/5; 23/10; 85/40; 11/5; 11/5; 11/5; 21/10; 21/10; ; 23/10; 9/4; 11/5; 21/10; 11/5; 11/5; ; 40/17; ; ; ; 
Hapoel Beer Sheva; ; 14/5; 11/4; 3; 11/4; 27/10; 14/5; 5/2; 14/5; 45/17; 14/5; 3; 11/4; 29/10; ; 23/10; 14/5; 45/17; 14/5; 13/5; 29/10; ; 40/17; ; ; ; 
META; champions-league/hapoel-beer-sheva-v-olympiakos; 2016-07-30 04:15:21 GMT+3; 2016-08-03 19:00; e70300-dr003
Olympiakos; ; 1; 21/20; 1; 21/20; 1; 1; 1; 21/20; 11/10; 1; 21/20; 1; 1; ; 23/20; 21/20; 11/10; 21/20; 11/10; 1; ; 10/9; ; 10/11; ; 
Draw; ; 85/40; 11/5; 11/5; 11/5; 9/4; 11/5; 23/10; 85/40; 11/5; 11/5; 11/5; 21/10; 21/10; ; 23/10; 9/4; 11/5; 21/10; 11/5; 11/5; ; 40/17; ; 21/10; ; 
Hapoel Beer Sheva; ; 14/5; 11/4; 3; 11/4; 27/10; 14/5; 5/2; 14/5; 45/17; 14/5; 3; 11/4; 29/10; ; 23/10; 14/5; 45/17; 14/5; 13/5; 29/10; ; 40/17; ; 12/5; ; 
META; champions-league/hapoel-beer-sheva-v-olympiakos; 2016-07-30 08:15:24 GMT+3; 2016-08-03 19:00; e70300-dr003
Olympiakos; 11/10; 1; 21/20; 1; 21/20; 1; 1; 1; 21/20; 11/10; 1; 21/20; 1; 1; ; 23/20; 21/20; 11/10; 21/20; 11/10; 1; ; 10/9; ; ; ; 
Draw; 21/10; 85/40; 11/5; 11/5; 11/5; 9/4; 11/5; 23/10; 85/40; 11/5; 11/5; 21/10; 21/10; 21/10; ; 23/10; 11/5; 11/5; 21/10; 11/5; 11/5; ; 40/17; ; ; ; 
Hapoel Beer Sheva; 11/4; 14/5; 11/4; 3; 11/4; 27/10; 14/5; 5/2; 14/5; 45/17; 14/5; 3; 11/4; 29/10; ; 23/10; 14/5; 45/17; 14/5; 13/5; 37/13; ; 40/17; ; ; ; 
META; champions-league/hapoel-beer-sheva-v-olympiakos; 2016-07-30 12:15:23 GMT+3; 2016-08-03 19:00; e70300-dr003
Olympiakos; 11/10; 1; 21/20; 1; 21/20; 1; 1; 1; 21/20; 11/10; 1; 21/20; 1; 1; ; 23/20; 21/20; 11/10; 21/20; 11/10; 1; ; 10/9; ; 20/21; ; 
Draw; 21/10; 85/40; 11/5; 11/5; 11/5; 9/4; 11/5; 23/10; 85/40; 11/5; 11/5; 21/10; 21/10; 21/10; ; 23/10; 11/5; 11/5; 21/10; 11/5; 11/5; ; 40/17; ; 21/10; ; 
