Juventus; 2/11; ; 1/4; 1/4; 2/9; 1/4; 2/9; 1/5; 1/4; 1/4; 2/9; ; 2/9; ; 1/4; ; 3/14; 3/13; 1/4; 2/9; 3/14; 1/4; 2/9; 3/13; 2/9; ; 2/11; ; 
Draw; 11/2; ; 19/4; 9/2; 11/2; 5; 19/4; 9/2; 5; 9/2; 9/2; ; 19/4; ; 19/4; ; 26/5; 60/11; 19/4; 27/5; 26/5; 28/5; 24/5; 60/11; 5; ; 3; ; 
Lyon; 14; ; 13; 12; 12; 12; 12; 11; 11; 12; 12; ; 14; ; 12; ; 51/4; 12; 19/2; 12; 51/4; 27/2; 11; 12; 12; ; 23/5; ; 
META; champions-league/juventus-v-lyon; 2016-10-22 08:15:41 GMT+3; 2016-11-02 19:45; e70300-dr003
Juventus; 2/11; ; 1/4; 1/4; 2/9; 1/4; 2/9; 1/5; 1/4; 1/4; 2/9; ; 2/9; ; 1/4; ; 3/14; 3/13; 1/4; 2/9; 3/14; 1/4; 2/9; 3/13; 2/9; ; 2/11; ; 
Draw; 11/2; ; 19/4; 9/2; 11/2; 5; 19/4; 9/2; 5; 9/2; 9/2; ; 19/4; ; 19/4; ; 26/5; 60/11; 19/4; 27/5; 26/5; 28/5; 24/5; 60/11; 5; ; 3; ; 
Lyon; 14; ; 13; 12; 12; 12; 12; 11; 11; 12; 12; ; 14; ; 12; ; 51/4; 12; 19/2; 12; 51/4; 27/2; 11; 12; 12; ; 23/5; ; 
META; champions-league/juventus-v-lyon; 2016-10-22 12:15:51 GMT+3; 2016-11-02 19:45; e70300-dr003
Juventus; 2/11; ; 1/4; 1/4; 2/9; 1/4; 2/9; 1/5; 1/4; 1/4; 1/4; ; 2/9; ; 1/4; ; 3/14; 3/13; 1/4; 2/9; 3/14; 1/4; 2/9; 3/13; 2/9; ; 2/11; ; 
Draw; 11/2; ; 19/4; 9/2; 11/2; 5; 19/4; 9/2; 5; 9/2; 17/4; ; 19/4; ; 19/4; ; 26/5; 60/11; 19/4; 27/5; 26/5; 28/5; 24/5; 60/11; 5; ; 3; ; 
Lyon; 14; ; 13; 12; 12; 12; 12; 11; 11; 12; 12; ; 14; ; 12; ; 51/4; 12; 19/2; 12; 51/4; 27/2; 11; 12; 12; ; 33/5; ; 
META; champions-league/juventus-v-lyon; 2016-10-22 16:15:44 GMT+3; 2016-11-02 19:45; e70300-dr003
Juventus; 2/11; ; 1/4; 1/4; 1/4; 1/4; 2/9; 1/5; 1/4; 1/4; 1/4; ; 2/9; ; 1/4; 2/9; 3/14; 3/13; 1/4; 2/9; 3/14; 1/4; 2/9; 3/13; 2/9; ; 2/11; ; 
Draw; 11/2; ; 19/4; 9/2; 5; 5; 19/4; 9/2; 5; 9/2; 17/4; ; 19/4; ; 19/4; 11/2; 26/5; 60/11; 19/4; 27/5; 26/5; 28/5; 24/5; 60/11; 5; ; 2/15; ; 
Lyon; 14; ; 13; 12; 14; 12; 12; 11; 11; 12; 12; ; 14; ; 12; 14; 51/4; 12; 19/2; 12; 51/4; 27/2; 11; 12; 12; ; 34/5; ; 
META; champions-league/juventus-v-lyon; 2016-10-22 20:15:41 GMT+3; 2016-11-02 19:45; e70300-dr003
Juventus; 2/11; ; 1/4; 1/4; 1/4; 1/4; 2/9; 1/5; 1/4; 1/4; 1/4; ; 2/9; ; 1/4; 2/9; 3/14; 3/13; 1/4; 2/9; 3/14; 1/4; ; 3/13; 2/9; ; 1/7; ; 
Draw; 11/2; ; 19/4; 9/2; 5; 5; 19/4; 9/2; 5; 9/2; 17/4; ; 19/4; ; 19/4; 11/2; 26/5; 60/11; 19/4; 27/5; 26/5; 28/5; ; 60/11; 5; ; 2/15; ; 
Lyon; 14; ; 13; 12; 14; 12; 12; 11; 11; 12; 12; ; 14; ; 12; 14; 51/4; 12; 19/2; 12; 51/4; 27/2; ; 12; 12; ; 34/5; ; 
META; champions-league/juventus-v-lyon; 2016-10-23 00:15:40 GMT+3; 2016-11-02 19:45; e70300-dr003
Juventus; 2/11; ; 1/4; 1/4; 1/4; 5/19; 2/9; 1/5; 1/4; 1/4; 1/4; ; 2/9; ; 1/4; 2/9; 3/14; 3/13; 1/4; 2/9; 3/14; 1/4; ; 3/13; 2/9; ; 1/7; ; 
Draw; 11/2; ; 9/2; 9/2; 5; 5; 19/4; 9/2; 5; 9/2; 17/4; ; 19/4; ; 19/4; 11/2; 67/13; 60/11; 19/4; 27/5; 67/13; 28/5; ; 60/11; 5; ; 2/15; ; 
Lyon; 14; ; 13; 12; 14; 12; 12; 11; 11; 12; 12; ; 14; ; 12; 14; 51/4; 12; 19/2; 12; 51/4; 27/2; ; 12; 12; ; 34/5; ; 
META; champions-league/juventus-v-lyon; 2016-10-23 04:15:41 GMT+3; 2016-11-02 19:45; e70300-dr003
Juventus; 2/11; ; 1/4; 1/4; 1/4; 5/19; 2/9; 1/5; 1/4; 1/4; 1/4; ; 2/9; ; 1/4; 2/9; 3/14; 3/13; 1/4; 2/9; 3/14; 1/4; 2/9; 3/13; 2/9; ; 1/7; ; 
Draw; 11/2; ; 9/2; 9/2; 5; 5; 19/4; 9/2; 5; 9/2; 17/4; ; 19/4; ; 19/4; 11/2; 67/13; 60/11; 19/4; 27/5; 67/13; 28/5; 24/5; 60/11; 5; ; 2/15; ; 
Lyon; 14; ; 13; 12; 14; 12; 12; 11; 11; 12; 12; ; 14; ; 12; 14; 51/4; 12; 19/2; 12; 51/4; 27/2; 11; 12; 12; ; 2/13; ; 
META; champions-league/juventus-v-lyon; 2016-10-23 08:15:41 GMT+3; 2016-11-02 19:45; e70300-dr003
Juventus; 2/11; ; 1/4; 1/4; 1/4; 5/19; 2/9; 1/5; 1/4; 1/4; 1/4; ; 2/9; ; 1/4; 2/9; 3/14; 3/13; 1/4; 2/9; 3/14; 1/4; 2/9; 3/13; 2/9; ; 1/7; ; 
Draw; 11/2; ; 9/2; 9/2; 5; 5; 19/4; 9/2; 5; 9/2; 17/4; ; 19/4; ; 19/4; 11/2; 67/13; 60/11; 19/4; 27/5; 67/13; 28/5; 24/5; 60/11; 5; ; 2/15; ; 
Lyon; 14; ; 13; 12; 14; 12; 12; 11; 11; 12; 12; ; 14; ; 12; 14; 51/4; 12; 19/2; 12; 51/4; 27/2; 11; 12; 12; ; 2/13; ; 
META; champions-league/juventus-v-lyon; 2016-10-23 12:15:44 GMT+3; 2016-11-02 19:45; e70300-dr003
Juventus; 2/11; ; 1/4; 1/4; 1/4; 5/19; 2/9; 1/5; 1/4; 1/4; 1/4; ; 2/9; ; 1/4; 2/9; 3/14; 3/13; 1/4; 2/9; 3/14; 1/4; 2/9; 3/13; 2/9; ; 1/7; ; 
Draw; 11/2; ; 9/2; 9/2; 5; 5; 19/4; 9/2; 5; 9/2; 17/4; ; 19/4; ; 19/4; 11/2; 67/13; 60/11; 19/4; 27/5; 67/13; 28/5; 24/5; 60/11; 5; ; 2/15; ; 
Lyon; 14; ; 13; 12; 14; 12; 12; 11; 11; 12; 12; ; 14; ; 12; 14; 51/4; 12; 19/2; 12; 51/4; 27/2; 11; 12; 12; ; 2/13; ; 
META; champions-league/juventus-v-lyon; 2016-10-23 16:15:41 GMT+3; 2016-11-02 19:45; e70300-dr003
Juventus; 2/11; ; 1/4; 1/4; 1/4; 5/19; 2/9; 1/5; 1/4; 1/4; 1/4; ; 2/9; ; 1/4; 2/9; 3/14; 3/13; 1/4; 2/9; 3/14; 1/4; 2/9; 3/13; 2/9; ; 1/7; ; 
Draw; 11/2; ; 9/2; 9/2; 5; 5; 19/4; 9/2; 5; 9/2; 17/4; ; 19/4; ; 19/4; 11/2; 67/13; 60/11; 19/4; 27/5; 67/13; 28/5; 24/5; 60/11; 5; ; 2/15; ; 
Lyon; 14; ; 13; 12; 14; 12; 12; 11; 11; 12; 12; ; 14; ; 12; 14; 51/4; 12; 19/2; 12; 51/4; 27/2; 11; 12; 12; ; 2/13; ; 
META; champions-league/juventus-v-lyon; 2016-10-23 20:15:44 GMT+3; 2016-11-02 19:45; e70300-dr003
Juventus; 2/9; ; 1/4; 1/4; 1/4; 4/15; 2/9; 1/5; 1/4; 1/4; 1/4; ; 2/9; ; 1/4; 1/4; 3/14; 3/13; 1/4; 2/9; 3/14; 1/4; 2/9; 3/13; 2/9; ; 1/7; ; 
Draw; 19/4; ; 9/2; 9/2; 5; 5; 19/4; 9/2; 19/4; 9/2; 17/4; ; 19/4; ; 19/4; 5; 51/10; 60/11; 19/4; 27/5; 51/10; 28/5; 24/5; 60/11; 9/2; ; 2/15; ; 
Lyon; 12; ; 12; 12; 14; 12; 12; 11; 11; 11; 12; ; 14; ; 12; 14; 25/2; 12; 19/2; 12; 25/2; 27/2; 11; 12; 11; ; 2/13; ; 
META; champions-league/juventus-v-lyon; 2016-10-24 00:15:43 GMT+3; 2016-11-02 19:45; e70300-dr003
Juventus; 2/9; ; 1/4; 1/4; 1/4; 4/15; 2/9; 1/5; 1/4; 1/4; 1/4; 2/9; 2/9; ; 1/4; 1/4; 3/14; 3/13; 1/4; 2/9; 3/14; 1/4; 2/9; 3/13; 2/9; ; 1/4; ; 
Draw; 19/4; ; 9/2; 9/2; 5; 5; 19/4; 9/2; 19/4; 19/4; 17/4; 19/5; 19/4; ; 19/4; 5; 51/10; 60/11; 19/4; 27/5; 51/10; 28/5; 24/5; 60/11; 9/2; ; 23/5; ; 
Lyon; 12; ; 12; 12; 14; 12; 12; 11; 11; 12; 12; 10; 14; ; 12; 14; 51/4; 12; 19/2; 12; 51/4; 27/2; 11; 12; 11; ; 64/5; ; 
META; champions-league/juventus-v-lyon; 2016-10-24 04:15:44 GMT+3; 2016-11-02 19:45; e70300-dr003
Juventus; 2/9; ; 1/4; 1/4; 1/4; 4/15; 2/9; 1/5; 1/4; 1/4; 1/4; 2/9; 2/9; ; 1/4; 1/4; 1/5; 3/13; 1/4; 2/9; 1/5; 1/4; 2/9; 3/13; 2/9; ; 1/4; ; 
Draw; 19/4; ; 9/2; 9/2; 5; 5; 19/4; 9/2; 19/4; 19/4; 17/4; 19/5; 19/4; ; 19/4; 5; 67/13; 60/11; 19/4; 27/5; 67/13; 28/5; 24/5; 60/11; 9/2; ; 23/5; ; 
Lyon; 12; ; 12; 12; 14; 12; 12; 11; 11; 12; 12; 10; 14; ; 12; 14; 51/4; 12; 19/2; 12; 51/4; 27/2; 11; 12; 11; ; 64/5; ; 
META; champions-league/juventus-v-lyon; 2016-10-24 08:15:43 GMT+3; 2016-11-02 19:45; e70300-dr003
