META; champions-league/salzburg-v-fk-liepaja; 2016-07-09 16:15:24 GMT+3; 2016-07-12 19:30; e70300-dr003
Salzburg; ; 1/12; 1/12; ; 1/12; ; ; ; ; 1/12; ; ; ; ; ; ; 1/10; ; 1/12; 1/10; 1/12; ; ; ; ; ; ; 
Draw; ; 8; 17/2; ; 17/2; ; ; ; ; 9; ; ; ; ; ; ; 17/2; ; 9; 8; 9; ; ; ; ; ; ; 
FK Liepaja; ; 22; 20; ; 20; ; ; ; ; 20; ; ; ; ; ; ; 22; ; 20; 20; 20; ; ; ; ; ; ; 
META; champions-league/salzburg-v-fk-liepaja; 2016-07-09 20:15:37 GMT+3; 2016-07-12 19:30; e70300-dr003
Salzburg; ; 1/12; 1/12; ; 1/12; ; ; ; ; 1/12; ; ; ; ; ; ; 1/10; ; 1/12; 1/10; 1/12; ; ; ; ; ; ; 
Draw; ; 8; 17/2; ; 17/2; ; ; ; ; 9; ; ; ; ; ; ; 17/2; ; 9; 8; 9; ; ; ; ; ; ; 
FK Liepaja; ; 22; 20; ; 20; ; ; ; ; 20; ; ; ; ; ; ; 22; ; 20; 20; 20; ; ; ; ; ; ; 
META; champions-league/salzburg-v-fk-liepaja; 2016-07-10 00:15:26 GMT+3; 2016-07-12 19:30; e70300-dr003
Salzburg; ; 1/12; 1/12; ; 1/12; ; ; ; ; 1/12; ; ; ; ; ; ; 1/10; ; 1/12; 1/10; 1/12; ; ; ; ; ; ; 
Draw; ; 8; 17/2; ; 17/2; ; ; ; ; 9; ; ; ; ; ; ; 17/2; ; 9; 8; 9; ; ; ; ; ; ; 
FK Liepaja; ; 22; 20; ; 20; ; ; ; ; 20; ; ; ; ; ; ; 22; ; 20; 20; 20; ; ; ; ; ; ; 
META; champions-league/salzburg-v-fk-liepaja; 2016-07-10 04:15:20 GMT+3; 2016-07-12 19:30; e70300-dr003
Salzburg; ; 1/12; 1/12; ; 1/12; ; ; ; ; 1/12; ; ; ; ; ; ; 1/10; ; 1/12; 1/10; 1/12; ; ; ; ; ; ; 
Draw; ; 8; 17/2; ; 17/2; ; ; ; ; 9; ; ; ; ; ; ; 17/2; ; 9; 8; 9; ; ; ; ; ; ; 
FK Liepaja; ; 22; 20; ; 20; ; ; ; ; 20; ; ; ; ; ; ; 22; ; 20; 20; 20; ; ; ; ; ; ; 
META; champions-league/salzburg-v-fk-liepaja; 2016-07-10 08:15:19 GMT+3; 2016-07-12 19:30; e70300-dr003
Salzburg; ; 1/12; 1/12; ; 1/12; ; ; ; ; 1/12; ; ; ; ; ; ; 1/10; ; 1/12; 1/10; 1/12; ; ; ; ; 1/14; ; 
Draw; ; 8; 17/2; ; 17/2; ; ; ; ; 9; ; ; ; ; ; ; 17/2; ; 9; 8; 9; ; ; ; ; 7/2; ; 
FK Liepaja; ; 22; 20; ; 20; ; ; ; ; 20; ; ; ; ; ; ; 22; ; 20; 20; 20; ; ; ; ; 7/2; ; 
META; champions-league/salzburg-v-fk-liepaja; 2016-07-10 12:15:21 GMT+3; 2016-07-12 19:30; e70300-dr003
Salzburg; ; 1/12; 1/12; ; 1/12; ; ; ; ; 1/12; ; ; ; ; ; ; 1/10; ; 1/12; 1/12; 1/12; ; ; ; ; 1/12; ; 
Draw; ; 8; 17/2; ; 17/2; ; ; ; ; 9; ; ; ; ; ; ; 17/2; ; 9; 9; 9; ; ; ; ; 22/5; ; 
FK Liepaja; ; 22; 20; ; 20; ; ; ; ; 20; ; ; ; ; ; ; 22; ; 20; 22; 20; ; ; ; ; 21/5; ; 
META; champions-league/salzburg-v-fk-liepaja; 2016-07-10 16:15:32 GMT+3; 2016-07-12 19:30; e70300-dr003
Salzburg; 1/14; 1/14; 1/16; ; 1/16; 1/16; ; ; ; 1/12; ; 1/16; ; 1/16; 1/20; ; 1/14; 1/12; 1/12; 1/12; ; ; ; ; 1/12; ; 
Draw; 8; 17/2; 10; ; 9; 15/2; ; ; ; 9; ; 10; ; 15/2; 14; ; 10; 9; 9; 9; ; ; ; ; 23/20; ; 
FK Liepaja; 20; 25; 25; ; 25; 16; ; ; ; 20; ; 40; ; 22; 55; ; 28; 20; 22; 20; ; ; ; ; 23; ; 
META; champions-league/salzburg-v-fk-liepaja; 2016-07-10 20:15:22 GMT+3; 2016-07-12 19:30; e70300-dr003
Salzburg; 1/14; 1/16; 1/14; 1/14; 1/14; 1/16; ; ; ; 1/12; ; 1/12; ; 1/16; 1/25; ; 1/12; 1/12; 1/12; 1/12; ; ; ; ; 1/12; ; 
Draw; 8; 17/2; 17/2; 9; 17/2; 15/2; ; ; ; 9; ; 8; ; 15/2; 14; ; 9; 9; 9; 9; ; ; ; ; 26/5; ; 
FK Liepaja; 20; 28; 25; 33; 25; 16; ; ; ; 20; ; 28; ; 22; 65; ; 28; 20; 22; 20; ; ; ; ; 22; ; 
META; champions-league/salzburg-v-fk-liepaja; 2016-07-11 00:15:27 GMT+3; 2016-07-12 19:30; e70300-dr003
Salzburg; 1/14; 1/14; 1/14; 1/14; 1/14; 1/16; ; ; ; ; ; 1/12; ; 1/16; 1/20; 1/10; 1/12; 1/12; 1/12; 1/12; ; ; ; ; ; ; 
Draw; 8; 8; 9; 9; 9; 15/2; ; ; ; ; ; 8; ; 15/2; 14; 15/2; 9; 9; 9; 9; ; ; ; ; ; ; 
FK Liepaja; 20; 28; 28; 33; 28; 16; ; ; ; ; ; 28; ; 22; 55; 22; 28; 20; 22; 20; ; ; ; ; ; ; 
META; champions-league/salzburg-v-fk-liepaja; 2016-07-11 03:45:23 GMT+3; 2016-07-12 19:30; e70300-dr003
Salzburg; 1/14; 1/14; 1/12; 1/12; 1/12; 1/16; ; ; ; 1/12; ; 1/12; ; 1/16; 1/20; 1/10; 1/12; 1/12; 1/12; 1/12; ; ; ; ; 1/10; ; 
Draw; 8; 8; 8; 9; 8; 15/2; ; ; ; 9; ; 8; ; 15/2; 14; 15/2; 9; 9; 9; 9; ; ; ; ; 11/2; ; 
FK Liepaja; 20; 28; 25; 28; 25; 16; ; ; ; 20; ; 28; ; 22; 55; 22; 25; 20; 22; 20; ; ; ; ; 29; ; 
META; champions-league/salzburg-v-fk-liepaja; 2016-07-11 04:15:21 GMT+3; 2016-07-12 19:30; e70300-dr003
Salzburg; 1/14; 1/14; 1/14; 1/14; 1/14; 1/16; ; ; ; 1/12; ; 1/12; ; 1/16; 1/20; 1/10; 1/12; 1/12; 1/12; 1/12; ; ; ; ; 1/10; ; 
Draw; 8; 8; 17/2; 9; 17/2; 15/2; ; ; ; 9; ; 8; ; 15/2; 14; 15/2; 9; 9; 9; 9; ; ; ; ; 11/2; ; 
FK Liepaja; 20; 28; 25; 33; 25; 16; ; ; ; 20; ; 28; ; 22; 55; 22; 28; 20; 22; 20; ; ; ; ; 29; ; 
META; champions-league/salzburg-v-fk-liepaja; 2016-07-11 05:45:20 GMT+3; 2016-07-12 19:30; e70300-dr003
Salzburg; 1/14; 1/14; 1/14; 1/14; 1/14; 1/16; ; ; ; 1/12; ; 1/12; ; 1/16; 1/20; 1/10; 1/12; 1/12; 1/12; 1/12; ; ; ; ; 1/10; ; 
Draw; 8; 8; 9; 10; 9; 15/2; ; ; ; 9; ; 8; ; 15/2; 14; 15/2; 9; 9; 9; 9; ; ; ; ; 11/2; ; 
FK Liepaja; 20; 28; 25; 28; 25; 16; ; ; ; 20; ; 28; ; 22; 55; 22; 28; 20; 22; 20; ; ; ; ; 29; ; 
META; champions-league/salzburg-v-fk-liepaja; 2016-07-11 06:17:05 GMT+3; 2016-07-12 19:30; e70300-dr003
