Dundalk; 7; 7; ; 6; 7; 6; 7; 11/2; 13/2; ; 13/2; 13/2; ; 7; 7; 13/2; 7; 7; 11/2; ; 8; 67/10; 61/10; ; 37/5; ; 41/5
META; champions-league/legia-warsaw-v-dundalk; 2016-08-20 00:15:03 GMT+3; 2016-08-23 19:45; e70300-dr003
Legia Warsaw; 2/5; 2/5; ; 4/9; 2/5; 2/5; 2/5; 4/9; 4/9; 2/5; 4/9; 2/5; ; 21/50; 4/9; 9/20; 2/5; 2/5; 4/9; ; 6/17; 5/11; 3/7; ; 2/5; ; 2/5
Draw; 7/2; 16/5; ; 10/3; 10/3; 10/3; 17/5; 10/3; 10/3; 15/4; 10/3; 3; ; 10/3; 16/5; 10/3; 7/2; 15/4; 7/2; ; 37/10; 50/13; 39/11; ; 7/2; ; 7/2
Dundalk; 7; 7; ; 6; 7; 6; 7; 11/2; 13/2; 7; 13/2; 13/2; ; 7; 7; 13/2; 7; 7; 11/2; ; 8; 67/10; 61/10; ; 37/5; ; 41/5
META; champions-league/legia-warsaw-v-dundalk; 2016-08-20 04:15:03 GMT+3; 2016-08-23 19:45; e70300-dr003
Legia Warsaw; 2/5; 2/5; ; 2/5; 2/5; 2/5; 2/5; 4/9; 2/5; 2/5; 2/5; 2/5; ; 2/5; 2/5; 9/20; 2/5; 2/5; 4/9; 2/5; 10/29; 5/11; 3/7; ; 2/5; ; 2/5
Draw; 7/2; 16/5; ; 7/2; 10/3; 10/3; 10/3; 10/3; 10/3; 15/4; 7/2; 16/5; ; 7/2; 10/3; 10/3; 7/2; 15/4; 7/2; 7/2; 15/4; 50/13; 39/11; ; 7/2; ; 7/2
Dundalk; 7; 7; ; 13/2; 7; 6; 7; 11/2; 13/2; 7; 7; 13/2; ; 7; 7; 13/2; 7; 7; 11/2; 7; 8; 67/10; 61/10; ; 37/5; ; 41/5
META; champions-league/legia-warsaw-v-dundalk; 2016-08-20 08:15:03 GMT+3; 2016-08-23 19:45; e70300-dr003
Legia Warsaw; 2/5; 4/11; ; 2/5; 2/5; 2/5; 2/5; 4/9; 2/5; ; 2/5; 2/5; ; 2/5; 2/5; 9/20; 2/5; 2/5; 4/9; ; 10/29; 5/11; 3/7; ; 2/5; ; 2/5
Draw; 7/2; 10/3; ; 7/2; 10/3; 10/3; 10/3; 10/3; 10/3; ; 7/2; 16/5; ; 7/2; 10/3; 10/3; 7/2; 15/4; 7/2; ; 15/4; 50/13; 39/11; ; 7/2; ; 7/2
Dundalk; 7; 7; ; 13/2; 7; 6; 7; 11/2; 13/2; ; 7; 13/2; ; 7; 7; 13/2; 7; 7; 11/2; ; 8; 67/10; 61/10; ; 37/5; ; 41/5
META; champions-league/legia-warsaw-v-dundalk; 2016-08-20 12:15:03 GMT+3; 2016-08-23 19:45; e70300-dr003
Legia Warsaw; 4/11; 4/11; ; 2/5; 2/5; 4/11; 4/11; 4/9; 2/5; 2/5; 2/5; 4/11; ; 2/5; 2/5; 9/20; 2/5; 2/5; 4/11; 2/5; 1/3; 5/11; 3/7; ; 4/11; ; 2/5
Draw; 15/4; 10/3; ; 7/2; 10/3; 7/2; 18/5; 10/3; 7/2; 15/4; 7/2; 16/5; ; 7/2; 17/5; 10/3; 7/2; 15/4; 15/4; 7/2; 15/4; 50/13; 39/11; ; 7/2; ; 7/2
Dundalk; 15/2; 7; ; 13/2; 7; 13/2; 15/2; 11/2; 7; 7; 15/2; 7; ; 15/2; 7; 13/2; 7; 7; 7; 7; 17/2; 67/10; 61/10; ; 38/5; ; 44/5
META; champions-league/legia-warsaw-v-dundalk; 2016-08-20 16:15:05 GMT+3; 2016-08-23 19:45; e70300-dr003
