META; champions-league/astra-giurgiu-v-fc-copenhagen; 2016-07-23 00:15:27 GMT+3; 2016-07-27 18:30; e70300-dr003
Astra Giurgiu; ; 6/4; 6/4; 8/5; 6/4; ; 6/4; ; 6/4; 17/11; ; ; 11/8; 31/20; ; ; ; 17/11; 17/11; 6/4; 7/5; ; ; ; ; ; 
FC Copenhagen; ; 7/4; 7/4; 9/5; 7/4; ; 9/5; ; 9/5; 9/5; ; ; 13/8; 7/4; ; ; ; 9/5; 7/4; 9/5; 28/17; ; ; ; ; ; 
Draw; ; 85/40; 11/5; 21/10; 11/5; ; 11/5; ; 11/5; 11/5; ; ; 21/10; 21/10; ; ; ; 11/5; 11/5; 11/5; 39/19; ; ; ; ; ; 
META; champions-league/astra-giurgiu-v-fc-copenhagen; 2016-07-23 04:15:31 GMT+3; 2016-07-27 18:30; e70300-dr003
Astra Giurgiu; ; 6/4; 6/4; 8/5; 6/4; ; ; ; 6/4; 17/11; ; ; 11/8; 31/20; ; ; ; 17/11; 17/11; 6/4; 7/5; ; ; ; ; ; 
FC Copenhagen; ; 7/4; 7/4; 9/5; 7/4; ; ; ; 9/5; 9/5; ; ; 13/8; 7/4; ; ; ; 9/5; 7/4; 9/5; 28/17; ; ; ; ; ; 
Draw; ; 85/40; 11/5; 21/10; 11/5; ; ; ; 11/5; 11/5; ; ; 21/10; 21/10; ; ; ; 11/5; 11/5; 11/5; 39/19; ; ; ; ; ; 
META; champions-league/astra-giurgiu-v-fc-copenhagen; 2016-07-23 08:15:27 GMT+3; 2016-07-27 18:30; e70300-dr003
Astra Giurgiu; ; 6/4; 6/4; 8/5; 6/4; ; ; ; 6/4; 17/11; ; ; 11/8; 31/20; ; ; ; 17/11; 17/11; 6/4; 7/5; ; ; ; ; ; 
FC Copenhagen; ; 7/4; 7/4; 9/5; 7/4; ; ; ; 9/5; 9/5; ; ; 13/8; 7/4; ; ; ; 9/5; 7/4; 9/5; 28/17; ; ; ; ; ; 
Draw; ; 85/40; 11/5; 21/10; 11/5; ; ; ; 11/5; 11/5; ; ; 21/10; 21/10; ; ; ; 11/5; 11/5; 11/5; 21/10; ; ; ; ; ; 
META; champions-league/astra-giurgiu-v-fc-copenhagen; 2016-07-23 12:15:30 GMT+3; 2016-07-27 18:30; e70300-dr003
Astra Giurgiu; ; 6/4; 6/4; 8/5; 6/4; ; 6/4; ; 6/4; 17/11; ; ; 11/8; 31/20; ; ; ; 17/11; 17/11; 6/4; 7/5; ; ; ; ; ; 
FC Copenhagen; ; 7/4; 7/4; 9/5; 7/4; ; 9/5; ; 9/5; 9/5; ; ; 13/8; 7/4; ; ; ; 9/5; 7/4; 9/5; 28/17; ; ; ; ; ; 
Draw; ; 85/40; 11/5; 21/10; 11/5; ; 11/5; ; 11/5; 11/5; ; ; 21/10; 21/10; ; ; ; 11/5; 11/5; 11/5; 21/10; ; ; ; ; ; 
META; champions-league/astra-giurgiu-v-fc-copenhagen; 2016-07-23 16:15:29 GMT+3; 2016-07-27 18:30; e70300-dr003
Astra Giurgiu; 6/4; 6/4; 6/4; 8/5; 6/4; ; 6/4; ; 6/4; 17/11; ; 29/20; 11/8; 31/20; ; ; ; 17/11; 17/11; 6/4; 7/5; ; ; ; ; ; 
FC Copenhagen; 9/5; 7/4; 9/5; 9/5; 9/5; ; 9/5; ; 9/5; 9/5; ; 7/4; 13/8; 7/4; ; ; ; 9/5; 7/4; 9/5; 28/17; ; ; ; ; ; 
Draw; 9/4; 85/40; 11/5; 21/10; 11/5; ; 11/5; ; 11/5; 11/5; ; 2; 21/10; 21/10; ; ; ; 11/5; 11/5; 11/5; 21/10; ; ; ; ; ; 
META; champions-league/astra-giurgiu-v-fc-copenhagen; 2016-07-23 20:15:37 GMT+3; 2016-07-27 18:30; e70300-dr003
Astra Giurgiu; 6/4; 6/4; 6/4; 8/5; 6/4; ; 31/20; 7/5; 6/4; 17/11; ; 6/4; 11/8; 31/20; ; 6/4; ; 17/11; 17/11; 6/4; ; ; ; ; ; ; 
FC Copenhagen; 9/5; 7/4; 9/5; 9/5; 9/5; ; 9/5; 7/4; 9/5; 9/5; ; 9/5; 13/8; 7/4; ; 7/4; ; 9/5; 7/4; 9/5; ; ; ; ; ; ; 
Draw; 9/4; 85/40; 11/5; 21/10; 11/5; ; 85/40; 21/10; 11/5; 11/5; ; 11/5; 21/10; 21/10; ; 9/4; ; 11/5; 11/5; 11/5; ; ; ; ; ; ; 
META; champions-league/astra-giurgiu-v-fc-copenhagen; 2016-07-24 00:15:30 GMT+3; 2016-07-27 18:30; e70300-dr003
Astra Giurgiu; 6/4; 6/4; 6/4; 8/5; 6/4; ; 31/20; 7/5; 6/4; 17/11; ; 6/4; 11/8; 31/20; ; 6/4; ; 17/11; 17/11; 6/4; 7/5; ; ; ; ; ; 
FC Copenhagen; 9/5; 7/4; 9/5; 9/5; 9/5; ; 9/5; 7/4; 9/5; 9/5; ; 9/5; 13/8; 7/4; ; 7/4; ; 9/5; 7/4; 9/5; 28/17; ; ; ; ; ; 
Draw; 9/4; 21/10; 11/5; 21/10; 11/5; ; 85/40; 21/10; 11/5; 11/5; ; 11/5; 21/10; 21/10; ; 9/4; ; 11/5; 11/5; 11/5; 21/10; ; ; ; ; ; 
META; champions-league/astra-giurgiu-v-fc-copenhagen; 2016-07-24 04:15:31 GMT+3; 2016-07-27 18:30; e70300-dr003
Astra Giurgiu; 6/4; 6/4; 6/4; 8/5; 6/4; ; 31/20; 7/5; 6/4; 17/11; ; 6/4; 11/8; 31/20; ; 6/4; ; 17/11; 17/11; 6/4; 7/5; ; ; ; ; ; 
FC Copenhagen; 9/5; 9/5; 9/5; 9/5; 9/5; ; 9/5; 7/4; 9/5; 9/5; ; 9/5; 13/8; 7/4; ; 7/4; ; 9/5; 7/4; 9/5; 28/17; ; ; ; ; ; 
Draw; 9/4; 21/10; 11/5; 21/10; 11/5; ; 85/40; 21/10; 11/5; 11/5; ; 11/5; 21/10; 21/10; ; 9/4; ; 11/5; 11/5; 11/5; 21/10; ; ; ; ; ; 
META; champions-league/astra-giurgiu-v-fc-copenhagen; 2016-07-24 08:15:32 GMT+3; 2016-07-27 18:30; e70300-dr003
Astra Giurgiu; 6/4; 6/4; 6/4; 8/5; 6/4; ; 31/20; 7/5; 6/4; 17/11; ; 6/4; 11/8; 31/20; ; 6/4; ; 17/11; 17/11; 6/4; 7/5; ; ; ; ; ; 
FC Copenhagen; 9/5; 9/5; 9/5; 9/5; 9/5; ; 9/5; 7/4; 9/5; 9/5; ; 9/5; 13/8; 7/4; ; 7/4; ; 9/5; 7/4; 9/5; 28/17; ; ; ; ; ; 
Draw; 9/4; 21/10; 11/5; 21/10; 11/5; ; 85/40; 21/10; 11/5; 11/5; ; 11/5; 21/10; 21/10; ; 9/4; ; 11/5; 11/5; 11/5; 21/10; ; ; ; ; ; 
META; champions-league/astra-giurgiu-v-fc-copenhagen; 2016-07-24 12:15:28 GMT+3; 2016-07-27 18:30; e70300-dr003
Astra Giurgiu; 6/4; 6/4; 6/4; 8/5; 6/4; ; 31/20; 7/5; 6/4; 17/11; ; 6/4; 11/8; 31/20; ; 6/4; ; 17/11; 17/11; 6/4; 16/11; ; ; ; ; ; 
FC Copenhagen; 9/5; 7/4; 7/4; 9/5; 7/4; ; 9/5; 7/4; 9/5; 9/5; ; 7/4; 13/8; 7/4; ; 7/4; ; 9/5; 7/4; 9/5; 28/17; ; ; ; ; ; 
Draw; 9/4; 85/40; 11/5; 21/10; 11/5; ; 85/40; 21/10; 11/5; 11/5; ; 11/5; 21/10; 21/10; ; 9/4; ; 11/5; 11/5; 11/5; 21/10; ; ; ; ; ; 
META; champions-league/astra-giurgiu-v-fc-copenhagen; 2016-07-24 16:15:34 GMT+3; 2016-07-27 18:30; e70300-dr003
FC Copenhagen; 7/5; 13/8; 8/5; 8/5; 8/5; 7/5; 31/20; 8/5; 8/5; 9/5; 6/4; 8/5; 13/8; 31/20; ; 6/4; ; 9/5; 7/4; 9/5; 17/11; 7/4; 6/4; ; ; ; 
Astra Giurgiu; 19/10; 17/10; 13/8; 7/4; 13/8; 13/8; 9/5; 8/5; 7/4; 17/11; 9/5; 7/4; 11/8; 7/4; ; 7/4; ; 17/11; 17/11; 6/4; 6/4; 7/4; 17/10; ; ; ; 
Draw; 23/10; 21/10; 11/5; 11/5; 11/5; 41/20; 85/40; 21/10; 11/5; 11/5; 21/10; 21/10; 21/10; 21/10; ; 9/4; ; 11/5; 11/5; 11/5; 21/10; 40/17; 23/10; ; ; ; 
META; champions-league/astra-giurgiu-v-fc-copenhagen; 2016-07-24 20:15:27 GMT+3; 2016-07-27 18:30; e70300-dr003
FC Copenhagen; 7/5; 6/4; 6/4; 6/4; 6/4; 13/10; 7/5; 7/5; 7/5; 8/5; 7/5; 29/20; 13/8; 7/5; ; 7/5; ; 8/5; 17/11; 8/5; 7/5; 29/18; 7/5; ; 10/9; 5/4; 
Astra Giurgiu; 19/10; 15/8; 15/8; 2; 15/8; 7/4; 2; 7/4; 2; 9/5; 2; 2; 11/8; 39/20; ; 15/8; ; 9/5; 7/4; 9/5; 17/10; 19/10; 24/13; ; 7/5; 15/8; 
Draw; 23/10; 2; 21/10; 21/10; 21/10; 41/20; 21/10; 21/10; 85/40; 11/5; 21/10; 21/10; 21/10; 21/10; ; 9/4; ; 11/5; 11/5; 11/5; 39/19; 40/17; 23/10; ; 13/8; 9/5; 
META; champions-league/astra-giurgiu-v-fc-copenhagen; 2016-07-25 00:15:27 GMT+3; 2016-07-27 18:30; e70300-dr003
FC Copenhagen; 7/5; 6/4; 6/4; 6/4; 6/4; 13/10; 6/4; 7/5; 7/5; 8/5; 7/5; 6/4; 13/8; 7/5; ; 7/5; ; 8/5; 17/11; 8/5; 6/4; 29/18; 7/5; ; 10/9; 6/5; 
Astra Giurgiu; 19/10; 19/10; 15/8; 2; 15/8; 7/4; 19/10; 7/4; 2; 9/5; 2; 19/10; 11/8; 39/20; ; 15/8; ; 9/5; 7/4; 9/5; 9/5; 19/10; 24/13; ; 6/4; 9/5; 
Draw; 23/10; 2; 21/10; 21/10; 21/10; 41/20; 21/10; 21/10; 85/40; 11/5; 21/10; 21/10; 21/10; 21/10; ; 9/4; ; 11/5; 11/5; 11/5; 11/5; 40/17; 23/10; ; 2; 15/8; 
META; champions-league/astra-giurgiu-v-fc-copenhagen; 2016-07-25 04:15:26 GMT+3; 2016-07-27 18:30; e70300-dr003
FC Copenhagen; 7/5; 6/4; 6/4; 29/20; 6/4; 13/10; 6/4; 7/5; 7/5; 8/5; 7/5; 6/4; 13/8; 7/5; ; 7/5; ; 8/5; 17/11; 8/5; 6/4; 17/11; 7/5; ; ; 6/5; 
Astra Giurgiu; 19/10; 15/8; 15/8; 19/10; 15/8; 7/4; 19/10; 7/4; 2; 9/5; 2; 19/10; 11/8; 39/20; ; 15/8; ; 9/5; 7/4; 9/5; 24/13; 2; 24/13; ; ; 9/5; 
Draw; 23/10; 2; 21/10; 11/5; 21/10; 41/20; 21/10; 21/10; 85/40; 11/5; 21/10; 21/10; 21/10; 21/10; ; 9/4; ; 11/5; 11/5; 11/5; 11/5; 68/29; 23/10; ; ; 15/8; 
META; champions-league/astra-giurgiu-v-fc-copenhagen; 2016-07-25 08:15:25 GMT+3; 2016-07-27 18:30; e70300-dr003
FC Copenhagen; 7/5; 6/4; 6/4; 29/20; 6/4; 13/10; 6/4; 7/5; 7/5; 7/5; 7/5; 6/4; 13/8; 7/5; ; 7/5; ; 7/5; 17/11; 7/5; 16/11; 17/11; 7/5; ; ; 6/5; 
Astra Giurgiu; 19/10; 9/5; 15/8; 19/10; 15/8; 9/5; 19/10; 7/4; 2; 9/5; 2; 19/10; 11/8; 39/20; ; 15/8; ; 9/5; 7/4; 9/5; 19/10; 2; 24/13; ; ; 9/5; 
Draw; 23/10; 21/10; 21/10; 11/5; 21/10; 2; 21/10; 21/10; 85/40; 11/5; 21/10; 21/10; 21/10; 21/10; ; 9/4; ; 11/5; 11/5; 11/5; 11/5; 68/29; 23/10; ; ; 15/8; 
META; champions-league/astra-giurgiu-v-fc-copenhagen; 2016-07-25 12:15:27 GMT+3; 2016-07-27 18:30; e70300-dr003
FC Copenhagen; 5/4; 13/10; 13/10; 13/10; 13/10; 6/5; 5/4; 11/8; 13/10; 7/5; 5/4; 13/10; 13/10; 11/8; ; 27/20; ; 7/5; 13/10; 7/5; 23/17; 6/4; 13/10; ; 10/11; 23/20; 
Astra Giurgiu; 21/10; 85/40; 21/10; 21/10; 21/10; 39/20; 12/5; 15/8; 85/40; 9/5; 23/10; 11/5; 21/10; 11/5; ; 21/10; ; 9/5; 11/5; 9/5; 39/19; 33/16; 2; ; ; 2; 
Draw; 12/5; 21/10; 11/5; 9/4; 11/5; 2; 2; 21/10; 85/40; 11/5; 21/10; 21/10; 2; 21/10; ; 21/10; ; 11/5; 21/10; 11/5; 11/5; 68/29; 23/10; ; ; 9/5; 
META; champions-league/astra-giurgiu-v-fc-copenhagen; 2016-07-25 16:15:30 GMT+3; 2016-07-27 18:30; e70300-dr003
FC Copenhagen; 5/4; 13/10; 13/10; 11/8; 13/10; 6/5; 13/10; 5/4; 13/10; 13/10; 13/10; 27/20; 13/10; 27/20; 13/10; 27/20; ; 13/10; 13/10; 13/10; 5/4; 7/5; 13/10; ; 6/5; 23/20; 
Astra Giurgiu; 21/10; 11/5; 11/5; 12/5; 11/5; 39/20; 23/10; 21/10; 11/5; 2; 23/10; 9/4; 21/10; 11/5; 23/10; 21/10; ; 2; 11/5; 2; 23/10; 38/17; 21/10; ; 2; 23/10; 
Draw; 12/5; 2; 21/10; 19/10; 21/10; 2; 2; 21/10; 2; 11/5; 2; 2; 2; 21/10; 21/10; 21/10; ; 11/5; 21/10; 11/5; 21/10; 68/29; 23/10; ; 2; 19/10; 
META; champions-league/astra-giurgiu-v-fc-copenhagen; 2016-07-25 20:15:27 GMT+3; 2016-07-27 18:30; e70300-dr003
FC Copenhagen; 5/4; 13/10; 13/10; 11/8; 13/10; 6/5; 13/10; 5/4; 13/10; 13/10; 13/10; 27/20; 13/10; 27/20; 13/10; 27/20; ; 13/10; 13/10; 13/10; 13/10; 7/5; 23/17; ; ; 6/5; 
Draw; 12/5; 2; 21/10; 19/10; 21/10; 2; 2; 21/10; 2; 11/5; 2; 2; 2; 21/10; 21/10; 21/10; ; 11/5; 21/10; 11/5; 21/10; 68/29; 9/4; ; ; 19/10; 
Astra Giurgiu; 21/10; 11/5; 11/5; 12/5; 11/5; 39/20; 23/10; 21/10; 11/5; 2; 23/10; 9/4; 21/10; 11/5; 23/10; 21/10; ; 2; 11/5; 2; 9/4; 38/17; 21/10; ; ; 21/10; 
META; champions-league/astra-giurgiu-v-fc-copenhagen; 2016-07-25 23:45:53 GMT+3; 2016-07-27 18:30; e70300-dr003
FC Copenhagen; 5/4; 5/4; 13/10; 11/8; 13/10; 6/5; 13/10; 5/4; 13/10; 13/10; 13/10; 27/20; 13/10; 27/20; 13/10; 27/20; ; 13/10; 13/10; 13/10; 13/10; 7/5; 23/17; ; 13/10; 6/5; 7/5
Draw; 12/5; 21/10; 21/10; 19/10; 21/10; 2; 2; 21/10; 2; 11/5; 2; 2; 2; 21/10; 21/10; 21/10; ; 11/5; 21/10; 11/5; 21/10; 68/29; 9/4; ; 21/10; 19/10; 11/5
