META; champions-league/fc-copenhagen-v-crusaders; 2016-07-15 12:15:11 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; ; 1/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/13; ; ; ; ; 
Draw; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/2; ; ; ; ; 
Crusaders; ; 18; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 35/2; ; ; ; ; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-15 16:15:05 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; ; 1/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/13; ; ; ; ; 
Draw; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/2; ; ; ; ; 
Crusaders; ; 16; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 35/2; ; ; ; ; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-15 20:15:12 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; ; 1/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/13; ; ; 1/20; ; 
Draw; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/2; ; ; 3; ; 
Crusaders; ; 16; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 35/2; ; ; 52/5; ; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-16 00:15:10 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; ; 1/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/13; ; ; ; ; 
Draw; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/2; ; ; ; ; 
Crusaders; ; 16; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 35/2; ; ; ; ; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-16 04:15:14 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; ; 1/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/13; ; ; ; ; 
Draw; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/2; ; ; ; ; 
Crusaders; ; 16; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 35/2; ; ; ; ; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-16 08:15:12 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; ; 1/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/13; ; ; ; ; 
Draw; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/2; ; ; ; ; 
Crusaders; ; 16; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 35/2; ; ; ; ; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-16 12:15:21 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; ; 1/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/13; ; ; ; ; 
Draw; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/2; ; ; ; ; 
Crusaders; ; 16; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 35/2; ; ; ; ; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-16 16:15:15 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; ; 1/8; 1/8; ; 1/8; ; ; ; 2/15; ; ; ; ; ; ; ; ; ; ; ; ; 2/13; ; ; ; ; 
Draw; ; 13/2; 7; ; 7; ; ; ; 7; ; ; ; ; ; ; ; ; ; ; ; ; 15/2; ; ; ; ; 
Crusaders; ; 16; 16; ; 16; ; ; ; 16; ; ; ; ; ; ; ; ; ; ; ; ; 35/2; ; ; ; ; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-16 20:15:13 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; ; 1/8; 1/7; ; 1/7; ; ; ; 2/15; ; ; 1/8; 1/10; ; ; ; ; ; ; ; ; 2/13; ; ; 1/12; ; 
Draw; ; 13/2; 7; ; 7; ; ; ; 7; ; ; 11/2; 6; ; ; ; ; ; ; ; ; 15/2; ; ; 3; ; 
Crusaders; ; 16; 14; ; 14; ; ; ; 14; ; ; 11; 12; ; ; ; ; ; ; ; ; 35/2; ; ; 57/5; ; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-17 00:15:12 GMT+3; 2016-07-19 18:15; e70300-dr003
