META; champions-league/fc-santa-coloma-v-alashkert; 2016-06-24 16:15:03 GMT+3; 2016-06-28 19:00; e70300-dr003
Alashkert; ; 1/2; 1/2; ; 1/2; ; 8/15; ; ; 1/2; ; ; ; ; ; ; 1/2; 4/9; 1/2; 1/2; 1/2; 4/9; ; ; ; ; ; 
Draw; ; 16/5; 10/3; ; 10/3; ; 33/10; ; ; 16/5; ; ; ; ; ; ; 10/3; 3; 16/5; 16/5; 3; 3; ; ; ; ; ; 
FC Santa Coloma; ; 5; 5; ; 5; ; 11/2; ; ; 5; ; ; ; ; ; ; 5; 9/2; 5; 5; 5; 9/2; ; ; ; ; ; 
META; champions-league/fc-santa-coloma-v-alashkert; 2016-06-24 20:15:05 GMT+3; 2016-06-28 19:00; e70300-dr003
Alashkert; ; 1/2; 1/2; ; 1/2; ; 8/15; ; ; 1/2; ; ; ; ; ; ; 1/2; 4/9; 1/2; 1/2; 1/2; 4/9; ; ; ; ; ; 
Draw; ; 16/5; 10/3; ; 10/3; ; 33/10; ; ; 16/5; ; ; ; ; ; ; 10/3; 3; 16/5; 16/5; 3; 3; ; ; ; ; ; 
FC Santa Coloma; ; 5; 5; ; 5; ; 11/2; ; ; 5; ; ; ; ; ; ; 5; 9/2; 5; 5; 5; 9/2; ; ; ; ; ; 
META; champions-league/fc-santa-coloma-v-alashkert; 2016-06-25 00:15:10 GMT+3; 2016-06-28 19:00; e70300-dr003
Alashkert; ; 1/2; 1/2; ; 1/2; ; 8/15; ; ; 1/2; ; ; ; ; ; ; 1/2; 4/9; 1/2; 1/2; 1/2; 4/9; ; ; ; 4/11; ; 
Draw; ; 16/5; 10/3; ; 10/3; ; 33/10; ; ; 16/5; ; ; ; ; ; ; 10/3; 3; 16/5; 16/5; 3; 3; ; ; ; 12/5; ; 
FC Santa Coloma; ; 5; 5; ; 5; ; 11/2; ; ; 5; ; ; ; ; ; ; 5; 9/2; 5; 5; 5; 9/2; ; ; ; 2/11; ; 
META; champions-league/fc-santa-coloma-v-alashkert; 2016-06-25 04:15:08 GMT+3; 2016-06-28 19:00; e70300-dr003
Alashkert; ; 1/2; 1/2; ; 1/2; ; 8/15; ; ; 1/2; ; ; ; ; ; ; 1/2; 4/9; 1/2; 1/2; 1/2; 4/9; ; ; ; ; ; 
Draw; ; 16/5; 10/3; ; 10/3; ; 33/10; ; ; 16/5; ; ; ; ; ; ; 10/3; 3; 16/5; 16/5; 3; 3; ; ; ; 12/5; ; 
FC Santa Coloma; ; 5; 5; ; 5; ; 11/2; ; ; 5; ; ; ; ; ; ; 5; 9/2; 5; 5; 5; 9/2; ; ; ; 2/11; ; 
META; champions-league/fc-santa-coloma-v-alashkert; 2016-06-25 08:15:09 GMT+3; 2016-06-28 19:00; e70300-dr003
Alashkert; ; 1/2; 1/2; ; 1/2; ; 8/15; ; ; 1/2; ; ; ; ; ; ; 1/2; 4/9; 1/2; 1/2; 1/2; 4/9; ; ; ; 4/11; ; 
Draw; ; 16/5; 10/3; ; 10/3; ; 33/10; ; ; 16/5; ; ; ; ; ; ; 10/3; 3; 16/5; 16/5; 3; 3; ; ; ; 12/5; ; 
FC Santa Coloma; ; 5; 5; ; 5; ; 11/2; ; ; 5; ; ; ; ; ; ; 5; 9/2; 5; 5; 5; 9/2; ; ; ; 4; ; 
META; champions-league/fc-santa-coloma-v-alashkert; 2016-06-25 12:15:12 GMT+3; 2016-06-28 19:00; e70300-dr003
Alashkert; ; 1/2; 1/2; ; 1/2; ; 8/15; ; ; 1/2; ; ; ; ; ; ; 1/2; 4/9; 1/2; 1/2; 1/2; 4/9; ; ; ; 4/11; ; 
Draw; ; 16/5; 10/3; ; 10/3; ; 33/10; ; ; 16/5; ; ; ; ; ; ; 10/3; 3; 16/5; 16/5; 3; 3; ; ; ; 5/2; ; 
FC Santa Coloma; ; 5; 5; ; 5; ; 11/2; ; ; 5; ; ; ; ; ; ; 5; 9/2; 5; 5; 5; 9/2; ; ; ; 2/11; ; 
META; champions-league/fc-santa-coloma-v-alashkert; 2016-06-25 16:15:12 GMT+3; 2016-06-28 19:00; e70300-dr003
Alashkert; ; 1/2; 1/2; ; 1/2; ; 8/15; ; ; 1/2; ; ; ; ; ; ; 1/2; 4/9; 1/2; 1/2; 1/2; 4/9; ; ; ; ; ; 
Draw; ; 3; 16/5; ; 16/5; ; 33/10; ; ; 16/5; ; ; ; ; ; ; 10/3; 3; 16/5; 16/5; 3; 3; ; ; ; ; ; 
FC Santa Coloma; ; 11/2; 11/2; ; 11/2; ; 11/2; ; ; 5; ; ; ; ; ; ; 11/2; 9/2; 5; 5; 5; 9/2; ; ; ; ; ; 
META; champions-league/fc-santa-coloma-v-alashkert; 2016-06-25 20:15:11 GMT+3; 2016-06-28 19:00; e70300-dr003
Alashkert; ; 1/2; 1/2; ; 1/2; ; 8/15; ; ; 1/2; ; ; ; ; ; ; 1/2; 4/9; 1/2; 1/2; 1/2; 4/9; ; ; ; ; ; 
Draw; ; 3; 16/5; ; 16/5; ; 33/10; ; ; 16/5; ; ; ; ; ; ; 10/3; 3; 16/5; 16/5; 3; 3; ; ; ; ; ; 
FC Santa Coloma; ; 11/2; 11/2; ; 11/2; ; 11/2; ; ; 5; ; ; ; ; ; ; 11/2; 9/2; 5; 5; 5; 9/2; ; ; ; ; ; 
META; champions-league/fc-santa-coloma-v-alashkert; 2016-06-26 00:15:06 GMT+3; 2016-06-28 19:00; e70300-dr003
Alashkert; ; 1/2; 1/2; ; 1/2; ; 8/15; ; ; 1/2; ; ; ; ; ; ; 1/2; 4/9; 1/2; 1/2; 1/2; 4/9; ; ; ; ; ; 
Draw; ; 3; 16/5; ; 16/5; ; 33/10; ; ; 16/5; ; ; ; ; ; ; 10/3; 3; 16/5; 16/5; 3; 3; ; ; ; ; ; 
FC Santa Coloma; ; 11/2; 11/2; ; 11/2; ; 11/2; ; ; 5; ; ; ; ; ; ; 11/2; 9/2; 5; 5; 5; 9/2; ; ; ; ; ; 
META; champions-league/fc-santa-coloma-v-alashkert; 2016-06-26 04:15:12 GMT+3; 2016-06-28 19:00; e70300-dr003
Alashkert; ; 1/2; 1/2; ; 1/2; ; 8/15; ; ; 1/2; ; ; ; ; ; ; 1/2; 4/9; 1/2; 1/2; 1/2; 4/9; ; ; ; 4/11; ; 
Draw; ; 3; 16/5; ; 16/5; ; 33/10; ; ; 16/5; ; ; ; ; ; ; 10/3; 3; 16/5; 16/5; 3; 3; ; ; ; 5/2; ; 
FC Santa Coloma; ; 11/2; 11/2; ; 11/2; ; 11/2; ; ; 5; ; ; ; ; ; ; 11/2; 9/2; 5; 5; 5; 9/2; ; ; ; 4; ; 
META; champions-league/fc-santa-coloma-v-alashkert; 2016-06-26 08:15:05 GMT+3; 2016-06-28 19:00; e70300-dr003
Alashkert; ; 1/2; 1/2; ; 1/2; ; 8/15; ; ; 1/2; ; ; ; ; ; ; 1/2; 4/9; 1/2; 1/2; 1/2; 4/9; ; ; ; 4/11; ; 
Draw; ; 3; 16/5; ; 16/5; ; 16/5; ; ; 16/5; ; ; ; ; ; ; 10/3; 3; 16/5; 16/5; 3; 3; ; ; ; 5/2; ; 
FC Santa Coloma; ; 11/2; 11/2; ; 11/2; ; 6; ; ; 5; ; ; ; ; ; ; 11/2; 9/2; 5; 5; 5; 9/2; ; ; ; 2/11; ; 
META; champions-league/fc-santa-coloma-v-alashkert; 2016-06-26 12:15:09 GMT+3; 2016-06-28 19:00; e70300-dr003
Alashkert; ; 1/2; 1/2; ; 1/2; ; 8/15; ; ; 1/2; ; ; ; ; ; ; 1/2; 4/9; 1/2; 1/2; 1/2; 4/9; ; ; ; ; ; 
Draw; ; 3; 16/5; ; 16/5; ; 16/5; ; ; 16/5; ; ; ; ; ; ; 10/3; 3; 16/5; 16/5; 3; 3; ; ; ; ; ; 
FC Santa Coloma; ; 5; 11/2; ; 11/2; ; 6; ; ; 5; ; ; ; ; ; ; 11/2; 9/2; 5; 5; 5; 9/2; ; ; ; ; ; 
META; champions-league/fc-santa-coloma-v-alashkert; 2016-06-26 16:15:11 GMT+3; 2016-06-28 19:00; e70300-dr003
Alashkert; ; 1/2; 1/2; ; 1/2; ; 8/15; ; ; 1/2; ; ; ; ; ; ; 1/2; 4/9; 1/2; 1/2; 1/2; 4/9; ; ; ; ; ; 
Draw; ; 3; 16/5; ; 16/5; ; 16/5; ; ; 16/5; ; ; ; ; ; ; 10/3; 3; 16/5; 16/5; 3; 3; ; ; ; ; ; 
FC Santa Coloma; ; 5; 11/2; ; 11/2; ; 6; ; ; 5; ; ; ; ; ; ; 11/2; 9/2; 5; 5; 5; 9/2; ; ; ; 4; ; 
META; champions-league/fc-santa-coloma-v-alashkert; 2016-06-26 20:15:05 GMT+3; 2016-06-28 19:00; e70300-dr003
Alashkert; ; 2/5; 2/5; ; 4/9; ; 2/5; ; ; 3/8; ; ; ; ; ; ; 2/5; 1/3; 3/8; 6/17; 4/11; 1/3; ; ; ; 2/11; ; 
Draw; ; 16/5; 7/2; ; 10/3; ; 18/5; ; ; 7/2; ; ; ; ; ; ; 7/2; 13/4; 7/2; 18/5; 7/2; 13/4; ; ; ; 13/5; ; 
FC Santa Coloma; ; 13/2; 13/2; ; 13/2; ; 8; ; ; 7; ; ; ; ; ; ; 13/2; 25/4; 7; 31/4; 7; 25/4; ; ; ; 1/100; ; 
META; champions-league/fc-santa-coloma-v-alashkert; 2016-06-27 00:15:11 GMT+3; 2016-06-28 19:00; e70300-dr003
Alashkert; ; 1/2; 8/15; ; 8/15; ; 11/20; ; ; 4/9; ; ; ; ; ; ; 8/15; 4/9; 4/9; 10/21; 4/9; 4/9; ; ; ; ; ; 
Draw; ; 3; 3; ; 3; ; 16/5; ; ; 13/4; ; ; ; ; ; ; 3; 29/10; 13/4; 17/5; 3; 29/10; ; ; ; ; ; 
FC Santa Coloma; ; 5; 11/2; ; 11/2; ; 21/4; ; ; 6; ; ; ; ; ; ; 11/2; 24/5; 6; 5; 6; 24/5; ; ; ; ; ; 
META; champions-league/fc-santa-coloma-v-alashkert; 2016-06-27 04:15:05 GMT+3; 2016-06-28 19:00; e70300-dr003
Alashkert; ; 4/7; 4/7; ; 4/7; ; 8/13; ; ; 4/9; ; ; ; ; ; ; 4/7; 17/35; 4/9; 6/11; 4/9; 17/35; ; ; ; ; ; 
Draw; ; 14/5; 3; ; 3; ; 3; ; ; 13/4; ; ; ; ; ; ; 3; 27/10; 13/4; 7/2; 3; 27/10; ; ; ; ; ; 
FC Santa Coloma; ; 9/2; 5; ; 5; ; 19/4; ; ; 6; ; ; ; ; ; ; 5; 50/11; 6; 4; 6; 50/11; ; ; ; ; ; 
META; champions-league/fc-santa-coloma-v-alashkert; 2016-06-27 05:45:12 GMT+3; 2016-06-28 19:00; e70300-dr003
Alashkert; ; 4/7; 4/7; ; 4/7; ; 8/13; ; ; 4/9; ; ; ; ; ; ; 4/7; 17/35; 4/9; 6/11; 4/9; 17/35; ; ; ; ; ; 
Draw; ; 14/5; 3; ; 3; ; 3; ; ; 13/4; ; ; ; ; ; ; 3; 27/10; 13/4; 7/2; 3; 27/10; ; ; ; ; ; 
FC Santa Coloma; ; 9/2; 5; ; 5; ; 19/4; ; ; 6; ; ; ; ; ; ; 5; 49/11; 6; 4; 6; 49/11; ; ; ; ; ; 
META; champions-league/fc-santa-coloma-v-alashkert; 2016-06-27 06:17:24 GMT+3; 2016-06-28 19:00; e70300-dr003
Alashkert; ; 4/7; 4/7; ; 4/7; ; 8/13; ; ; 4/9; ; ; ; ; ; ; 4/7; 17/35; 4/9; 6/11; 4/9; 17/35; ; ; ; ; ; 
Draw; ; 14/5; 3; ; 3; ; 3; ; ; 13/4; ; ; ; ; ; ; 3; 27/10; 13/4; 7/2; 3; 27/10; ; ; ; ; ; 
FC Santa Coloma; ; 9/2; 5; ; 5; ; 19/4; ; ; 6; ; ; ; ; ; ; 5; 49/11; 6; 4; 6; 49/11; ; ; ; ; ; 
META; champions-league/fc-santa-coloma-v-alashkert; 2016-06-27 07:45:10 GMT+3; 2016-06-28 19:00; e70300-dr003
Alashkert; ; 4/7; 4/7; ; 4/7; ; 8/13; ; ; 4/9; ; ; ; ; ; ; 4/7; 17/35; 4/9; 6/11; 4/9; 17/35; ; ; ; ; ; 
Draw; ; 11/4; 3; ; 3; ; 3; ; ; 13/4; ; ; ; ; ; ; 3; 27/10; 13/4; 17/5; 3; 27/10; ; ; ; ; ; 
FC Santa Coloma; ; 9/2; 5; ; 5; ; 19/4; ; ; 6; ; ; ; ; ; ; 5; 49/11; 6; 4; 6; 49/11; ; ; ; ; ; 
META; champions-league/fc-santa-coloma-v-alashkert; 2016-06-27 08:15:05 GMT+3; 2016-06-28 19:00; e70300-dr003
Alashkert; ; 4/7; 4/7; ; 4/7; ; 8/13; ; ; 4/9; ; ; ; ; ; ; 4/7; 1/2; 4/9; 6/11; 4/9; 1/2; ; ; ; ; ; 
Draw; ; 11/4; 3; ; 3; ; 3; ; ; 13/4; ; ; ; ; ; ; 3; 27/10; 13/4; 17/5; 3; 27/10; ; ; ; ; ; 
FC Santa Coloma; ; 9/2; 5; ; 5; ; 19/4; ; ; 6; ; ; ; ; ; ; 5; 49/11; 6; 4; 6; 49/11; ; ; ; ; ; 
META; champions-league/fc-santa-coloma-v-alashkert; 2016-06-27 09:45:10 GMT+3; 2016-06-28 19:00; e70300-dr003
Alashkert; ; 4/7; 4/7; ; 4/7; ; 3/5; ; ; 4/9; ; ; ; ; ; ; 4/7; 17/35; 4/9; 8/15; 4/9; 17/35; ; ; ; ; ; 
Draw; ; 11/4; 3; ; 3; ; 29/10; ; ; 13/4; ; ; ; ; ; ; 14/5; 28/11; 13/4; 29/10; 3; 28/11; ; ; ; ; ; 
FC Santa Coloma; ; 9/2; 5; ; 5; ; 21/4; ; ; 6; ; ; ; ; ; ; 5; 19/4; 6; 21/4; 6; 19/4; ; ; ; ; ; 
META; champions-league/fc-santa-coloma-v-alashkert; 2016-06-27 11:45:12 GMT+3; 2016-06-28 19:00; e70300-dr003
Alashkert; ; 8/13; 4/6; ; 4/6; ; 7/10; ; ; 7/11; ; ; ; ; ; ; 4/6; 4/7; 7/11; 8/13; 4/7; 4/7; ; ; ; ; ; 
Draw; ; 13/5; 13/5; ; 13/5; ; 14/5; ; ; 13/5; ; ; ; ; ; ; 13/5; 12/5; 13/5; 11/4; 13/5; 12/5; ; ; ; ; ; 
FC Santa Coloma; ; 9/2; 9/2; ; 9/2; ; 22/5; ; ; 9/2; ; ; ; ; ; ; 9/2; 21/5; 9/2; 9/2; 9/2; 21/5; ; ; ; ; ; 
META; champions-league/fc-santa-coloma-v-alashkert; 2016-06-27 12:15:10 GMT+3; 2016-06-28 19:00; e70300-dr003
Alashkert; ; 8/13; 4/6; ; 4/6; ; 7/10; ; ; 7/11; ; ; ; ; ; ; 4/6; 4/7; 7/11; 8/13; 4/7; 4/7; ; ; ; ; ; 
Draw; ; 13/5; 13/5; ; 13/5; ; 14/5; ; ; 13/5; ; ; ; ; ; ; 13/5; 12/5; 13/5; 11/4; 13/5; 12/5; ; ; ; ; ; 
FC Santa Coloma; ; 9/2; 9/2; ; 9/2; ; 22/5; ; ; 9/2; ; ; ; ; ; ; 9/2; 21/5; 9/2; 9/2; 9/2; 21/5; ; ; ; ; ; 
META; champions-league/fc-santa-coloma-v-alashkert; 2016-06-27 12:24:02 GMT+3; 2016-06-28 19:00; e70300-dr003
Alashkert; ; 8/13; 4/6; ; 4/6; ; 7/10; ; ; 7/11; ; ; ; ; ; ; 4/6; 4/7; 7/11; 8/13; 4/7; 4/7; ; ; ; ; ; 
Draw; ; 13/5; 13/5; ; 13/5; ; 14/5; ; ; 13/5; ; ; ; ; ; ; 13/5; 12/5; 13/5; 11/4; 13/5; 12/5; ; ; ; ; ; 
FC Santa Coloma; ; 9/2; 9/2; ; 9/2; ; 22/5; ; ; 9/2; ; ; ; ; ; ; 9/2; 21/5; 9/2; 9/2; 9/2; 21/5; ; ; ; ; ; 
META; champions-league/fc-santa-coloma-v-alashkert; 2016-06-27 13:45:17 GMT+3; 2016-06-28 19:00; e70300-dr003
