META; champions-league/ferencvaros-v-partizani; 2016-07-17 12:15:34 GMT+3; 2016-07-20 18:30; e70300-dr003
Ferencvaros; ; 2/5; 2/5; ; 2/5; ; 4/11; ; 2/5; ; ; 2/5; 4/11; ; ; ; 2/5; ; ; ; 3/8; ; ; ; 1/4; ; 
Draw; ; 7/2; 19/5; ; 19/5; ; 19/5; ; 19/5; ; ; 10/3; 7/2; ; ; ; 4; ; ; ; 37/10; ; ; ; 27/20; ; 
Partizani; ; 6; 6; ; 6; ; 13/2; ; 11/2; ; ; 9/2; 5; ; ; ; 6; ; ; ; 67/13; ; ; ; 13/8; ; 
META; champions-league/ferencvaros-v-partizani; 2016-07-17 16:15:29 GMT+3; 2016-07-20 18:30; e70300-dr003
Ferencvaros; ; 2/5; 2/5; ; 2/5; ; 2/5; 4/11; 4/9; ; 4/9; 2/5; 4/11; ; 4/9; 2/5; 2/5; ; 2/5; ; 7/19; ; 2/5; ; 2/5; ; 
Draw; ; 3; 16/5; ; 16/5; ; 31/10; 7/2; 3; ; 3; 10/3; 7/2; ; 16/5; 16/5; 10/3; ; 18/5; ; 62/17; ; 3; ; 14/5; ; 
Partizani; ; 8; 7; ; 7; ; 8; 6; 7; ; 15/2; 9/2; 5; ; 8; 15/2; 7; ; 25/4; ; 60/11; ; 63/10; ; 37/5; ; 
META; champions-league/ferencvaros-v-partizani; 2016-07-17 20:15:37 GMT+3; 2016-07-20 18:30; e70300-dr003
Ferencvaros; 3/10; 1/3; 4/11; 4/11; 4/11; 3/10; 1/3; 4/11; 1/3; ; 4/11; 4/11; 4/11; ; 4/11; 4/11; 4/11; ; 2/5; ; 4/11; ; 2/7; ; ; ; 
Draw; 10/3; 16/5; 10/3; 10/3; 10/3; 3; 10/3; 16/5; 10/3; ; 10/3; 10/3; 7/2; ; 18/5; 13/4; 10/3; ; 18/5; ; 17/5; ; 15/4; ; ; ; 
Partizani; 9; 9; 9; 9; 9; 17/2; 10; 15/2; 9; ; 10; 9; 5; ; 17/2; 9; 9; ; 25/4; ; 25/4; ; 11; ; ; ; 
META; champions-league/ferencvaros-v-partizani; 2016-07-18 00:15:31 GMT+3; 2016-07-20 18:30; e70300-dr003
Ferencvaros; 3/10; 1/3; 4/11; 4/11; 4/11; 3/10; 1/3; 3/10; 1/3; ; 4/11; 4/11; 4/11; ; 4/11; 4/11; 4/11; ; 2/5; ; 6/17; ; 2/7; ; 1/3; ; 
Draw; 10/3; 16/5; 10/3; 10/3; 10/3; 3; 10/3; 10/3; 10/3; ; 10/3; 10/3; 7/2; ; 18/5; 13/4; 7/2; ; 18/5; ; 17/5; ; 15/4; ; 3; ; 
Partizani; 9; 10; 9; 9; 9; 17/2; 10; 17/2; 9; ; 10; 9; 5; ; 17/2; 9; 9; ; 25/4; ; 13/2; ; 11; ; 38/5; ; 
META; champions-league/ferencvaros-v-partizani; 2016-07-18 04:15:29 GMT+3; 2016-07-20 18:30; e70300-dr003
Ferencvaros; 3/10; 1/3; 1/3; 4/11; 1/3; 3/10; 1/3; 3/10; 1/3; ; 4/11; 4/11; 4/11; ; 4/11; 4/11; 4/11; ; 2/5; ; 6/17; ; 2/7; ; 1/3; ; 
Draw; 10/3; 16/5; 7/2; 10/3; 7/2; 3; 10/3; 10/3; 10/3; ; 10/3; 10/3; 7/2; ; 18/5; 13/4; 7/2; ; 18/5; ; 17/5; ; 15/4; ; 3; ; 
Partizani; 9; 10; 9; 9; 9; 17/2; 10; 17/2; 9; ; 10; 9; 5; ; 17/2; 9; 9; ; 25/4; ; 13/2; ; 11; ; 38/5; ; 
META; champions-league/ferencvaros-v-partizani; 2016-07-18 05:46:01 GMT+3; 2016-07-20 18:30; e70300-dr003
Ferencvaros; 3/10; 1/3; 1/3; 4/11; 1/3; 3/10; 1/3; 3/10; 1/3; ; 4/11; 4/11; 4/11; ; 7/20; 4/11; 4/11; ; 2/5; ; ; ; 6/19; ; ; ; 
Draw; 10/3; 16/5; 7/2; 10/3; 7/2; 3; 10/3; 10/3; 10/3; ; 10/3; 10/3; 7/2; ; 18/5; 13/4; 7/2; ; 18/5; ; ; ; 37/10; ; ; ; 
Partizani; 9; 10; 9; 9; 9; 17/2; 10; 17/2; 9; ; 10; 9; 5; ; 9; 9; 9; ; 25/4; ; ; ; 9; ; ; ; 
META; champions-league/ferencvaros-v-partizani; 2016-07-18 06:23:40 GMT+3; 2016-07-20 18:30; e70300-dr003
Ferencvaros; 3/10; 1/3; 1/3; 4/11; 1/3; 3/10; 1/3; 3/10; 1/3; ; 4/11; 4/11; 4/11; ; 7/20; 4/11; 4/11; ; 2/5; ; 6/17; ; 6/19; ; 1/3; ; 
Draw; 10/3; 16/5; 7/2; 10/3; 7/2; 3; 10/3; 10/3; 10/3; ; 10/3; 10/3; 7/2; ; 18/5; 13/4; 7/2; ; 18/5; ; 17/5; ; 37/10; ; 3; ; 
Partizani; 9; 10; 9; 9; 9; 17/2; 10; 17/2; 9; ; 10; 9; 5; ; 9; 9; 9; ; 25/4; ; 13/2; ; 9; ; 41/5; ; 
META; champions-league/ferencvaros-v-partizani; 2016-07-18 07:46:04 GMT+3; 2016-07-20 18:30; e70300-dr003
Ferencvaros; 2/5; 1/3; 4/11; 4/11; 4/11; 3/10; 1/3; 3/10; 1/3; ; 4/11; 4/11; 4/11; ; 7/20; 4/11; 4/11; ; 2/5; ; 4/11; ; 6/19; ; ; ; 
Draw; 10/3; 16/5; 10/3; 10/3; 10/3; 3; 10/3; 10/3; 10/3; ; 10/3; 10/3; 7/2; ; 18/5; 13/4; 7/2; ; 18/5; ; 17/5; ; 37/10; ; ; ; 
Partizani; 11/2; 10; 9; 9; 9; 17/2; 10; 17/2; 9; ; 10; 9; 5; ; 9; 9; 9; ; 25/4; ; 25/4; ; 9; ; ; ; 
META; champions-league/ferencvaros-v-partizani; 2016-07-18 08:15:29 GMT+3; 2016-07-20 18:30; e70300-dr003
Ferencvaros; 2/5; 1/3; 4/11; 4/11; 4/11; 3/10; 1/3; 3/10; 1/3; ; 4/11; 4/11; 4/11; ; 7/20; 4/11; 4/11; ; 2/5; ; 4/11; ; 6/19; ; ; ; 
Draw; 10/3; 16/5; 10/3; 10/3; 10/3; 3; 10/3; 10/3; 10/3; ; 10/3; 10/3; 7/2; ; 18/5; 13/4; 7/2; ; 18/5; ; 17/5; ; 37/10; ; ; ; 
Partizani; 11/2; 10; 9; 9; 9; 17/2; 10; 17/2; 9; ; 10; 9; 5; ; 9; 9; 9; ; 25/4; ; 25/4; ; 9; ; ; ; 
META; champions-league/ferencvaros-v-partizani; 2016-07-18 09:46:01 GMT+3; 2016-07-20 18:30; e70300-dr003
Ferencvaros; 2/5; 1/3; 4/11; 4/11; 4/11; 3/10; 1/3; 3/10; 1/3; ; 4/11; 4/11; 4/11; ; 7/20; 4/11; 4/11; ; 2/5; ; 4/11; ; 6/19; ; ; ; 
Draw; 10/3; 16/5; 10/3; 10/3; 10/3; 3; 10/3; 10/3; 10/3; ; 10/3; 10/3; 7/2; ; 18/5; 13/4; 7/2; ; 18/5; ; 17/5; ; 37/10; ; ; ; 
Partizani; 11/2; 10; 9; 9; 9; 17/2; 10; 17/2; 9; ; 10; 9; 5; ; 9; 9; 9; ; 25/4; ; 25/4; ; 9; ; ; ; 
META; champions-league/ferencvaros-v-partizani; 2016-07-18 11:46:02 GMT+3; 2016-07-20 18:30; e70300-dr003
Ferencvaros; 2/5; 1/3; 4/11; 4/11; 4/11; 3/10; 1/3; 3/10; 1/3; ; 4/11; 4/11; 4/11; 7/20; 7/20; 4/11; 4/11; ; 2/5; ; 4/11; ; 6/19; ; ; 3/10; 
Draw; 10/3; 16/5; 10/3; 10/3; 10/3; 3; 10/3; 10/3; 10/3; ; 10/3; 10/3; 7/2; 3; 18/5; 13/4; 7/2; ; 18/5; ; 17/5; ; 37/10; ; ; 3; 
