META; champions-league/dinamo-tbilisi-v-alashkert; 2016-07-11 15:45:03 GMT+3; 2016-07-12 18:00; e70300-dr003
Dinamo Tbilisi; 1/2; 8/15; 1/2; 4/7; 1/2; 1/2; 8/15; 1/2; ; 6/11; 4/7; 8/15; ; 1/2; 11/20; 8/15; 8/15; 6/11; 8/15; 8/15; 18/35; ; 18/35; ; 8/15; ; 
Draw; 11/4; 11/4; 11/4; 13/5; 11/4; 27/10; 29/10; 3; ; 3; 14/5; 14/5; ; 14/5; 3; 3; 3; 3; 3; 3; 29/10; ; 27/10; ; ; ; 
Alashkert; 9/2; 5; 5; 11/2; 5; 9/2; 21/4; 5; ; 5; 5; 11/2; ; 5; 5; 5; 11/2; 5; 5; 5; 19/4; ; 21/5; ; ; ; 
META; champions-league/dinamo-tbilisi-v-alashkert; 2016-07-11 16:15:03 GMT+3; 2016-07-12 18:00; e70300-dr003
Dinamo Tbilisi; 4/9; 1/2; 1/2; 4/7; 1/2; 4/9; 1/2; 1/2; ; 6/11; 1/2; 4/7; 11/20; 12/25; 8/15; 1/2; 8/15; 6/11; 8/15; 8/15; 1/2; ; 18/35; ; 8/15; ; 
Draw; 14/5; 11/4; 11/4; 14/5; 11/4; 11/4; 29/10; 3; ; 3; 3; 11/4; 13/5; 14/5; 16/5; 14/5; 3; 3; 3; 3; 37/13; ; 27/10; ; 14/5; ; 
Alashkert; 6; 6; 5; 5; 5; 5; 6; 5; ; 5; 6; 5; 5; 21/4; 11/2; 6; 11/2; 5; 5; 5; 5; ; 21/5; ; 23/5; ; 
META; champions-league/dinamo-tbilisi-v-alashkert; 2016-07-11 17:45:03 GMT+3; 2016-07-12 18:00; e70300-dr003
Dinamo Tbilisi; 2/5; 2/5; 2/5; 4/9; 2/5; 4/11; 2/5; 4/9; ; 5/11; 4/9; 4/9; 2/5; 21/50; 2/5; 9/20; 4/9; 5/11; 1/2; 4/9; 5/12; ; 2/5; ; 1/2; 2/5; 
Draw; 3; 3; 3; 14/5; 3; 14/5; 16/5; 11/4; ; 29/10; 16/5; 3; 3; 59/20; 16/5; 16/5; 3; 29/10; 29/10; 14/5; 58/19; ; 3; ; 14/5; 3; 
Alashkert; 13/2; 7; 13/2; 13/2; 13/2; 6; 7; 6; ; 13/2; 7; 7; 7; 6; 8; 6; 7; 13/2; 23/4; 13/2; 25/4; ; 53/10; ; 29/5; 33/5; 
META; champions-league/dinamo-tbilisi-v-alashkert; 2016-07-11 18:20:32 GMT+3; 2016-07-12 18:00; e70300-dr003
Dinamo Tbilisi; 2/5; 2/5; 2/5; 4/9; 2/5; 4/11; 2/5; 2/5; ; 5/11; 4/9; 4/9; 2/5; 2/5; 2/5; 9/20; 4/9; 5/11; 5/11; 4/9; 5/12; ; 2/5; ; ; 2/5; 
Draw; 3; 3; 3; 14/5; 3; 14/5; 16/5; 16/5; ; 29/10; 16/5; 3; 3; 59/20; 16/5; 16/5; 3; 29/10; 31/10; 14/5; 58/19; ; 3; ; ; 3; 
Alashkert; 13/2; 7; 13/2; 13/2; 6; 6; 7; 6; ; 13/2; 7; 7; 7; 13/2; 8; 6; 7; 13/2; 13/2; 13/2; 25/4; ; 53/10; ; ; 33/5; 
META; champions-league/dinamo-tbilisi-v-alashkert; 2016-07-11 19:45:04 GMT+3; 2016-07-12 18:00; e70300-dr003
Dinamo Tbilisi; 2/5; 2/5; 2/5; 4/9; 2/5; 4/11; 2/5; 2/5; 4/9; 5/11; 10/21; 4/9; 2/5; 2/5; 2/5; 9/20; 4/9; 5/11; 5/11; 4/9; 7/17; ; 2/5; ; 4/9; 4/9; 
Draw; 3; 3; 3; 14/5; 3; 14/5; 16/5; 16/5; 3; 29/10; 3; 3; 3; 59/20; 16/5; 16/5; 3; 29/10; 31/10; 14/5; 58/19; ; 3; ; 3; 3; 
Alashkert; 13/2; 7; 6; 13/2; 13/2; 6; 15/2; 6; 13/2; 13/2; 13/2; 7; 7; 13/2; 8; 6; 7; 13/2; 13/2; 13/2; 25/4; ; 53/10; ; 28/5; 6; 
META; champions-league/dinamo-tbilisi-v-alashkert; 2016-07-11 20:15:04 GMT+3; 2016-07-12 18:00; e70300-dr003
Dinamo Tbilisi; 2/5; 2/5; 2/5; 4/9; 2/5; 4/11; 2/5; 2/5; 4/9; 5/11; 10/21; 4/9; 2/5; 2/5; 4/9; 9/20; 4/9; 5/11; 5/11; 4/9; 5/12; ; 2/5; ; 4/9; 4/9; 
Draw; 3; 3; 3; 14/5; 3; 14/5; 16/5; 16/5; 3; 29/10; 3; 3; 3; 59/20; 16/5; 16/5; 3; 29/10; 31/10; 14/5; 58/19; ; 3; ; 3; 3; 
Alashkert; 13/2; 7; 13/2; 13/2; 13/2; 11/2; 15/2; 6; 13/2; 13/2; 13/2; 7; 7; 13/2; 8; 6; 7; 13/2; 13/2; 13/2; 25/4; ; 53/10; ; 33/5; 6; 
META; champions-league/dinamo-tbilisi-v-alashkert; 2016-07-11 21:45:03 GMT+3; 2016-07-12 18:00; e70300-dr003
Dinamo Tbilisi; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 4/11; 4/9; 3/8; 4/9; 4/9; 2/5; 2/5; 2/5; 9/20; 2/5; 3/8; 5/11; 4/11; 7/19; ; 2/5; ; 4/9; 2/5; 
Draw; 3; 3; 3; 3; 3; 14/5; 33/10; 16/5; 3; 13/4; 16/5; 3; 3; 59/20; 3; 16/5; 10/3; 13/4; 31/10; 3; 16/5; ; 3; ; 3; 3; 
Alashkert; 13/2; 7; 13/2; 13/2; 13/2; 6; 7; 7; 13/2; 15/2; 7; 7; 7; 13/2; 8; 6; 7; 15/2; 13/2; 15/2; 7; ; 53/10; ; 38/5; 33/5; 
META; champions-league/dinamo-tbilisi-v-alashkert; 2016-07-11 23:45:09 GMT+3; 2016-07-12 18:00; e70300-dr003
Dinamo Tbilisi; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/9; 4/11; 4/9; 3/8; 10/21; 4/9; 2/5; 21/50; 4/9; 9/20; 2/5; 3/8; 5/11; 4/11; 2/5; ; 2/5; ; 4/9; 4/9; 
Draw; 3; 3; 3; 3; 3; 14/5; 31/10; 16/5; 3; 13/4; 3; 3; 3; 3; 16/5; 16/5; 10/3; 13/4; 31/10; 3; 41/13; ; 3; ; 3; 3; 
Alashkert; 13/2; 7; 13/2; 13/2; 13/2; 11/2; 13/2; 7; 13/2; 15/2; 6; 7; 7; 6; 8; 6; 7; 15/2; 13/2; 15/2; 13/2; ; 53/10; ; 7; 29/5; 
META; champions-league/dinamo-tbilisi-v-alashkert; 2016-07-12 00:15:03 GMT+3; 2016-07-12 18:00; e70300-dr003
Dinamo Tbilisi; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/9; 4/11; 4/9; 3/8; 10/21; 4/9; 2/5; 21/50; 4/9; 9/20; 2/5; 3/8; 5/11; 4/11; 2/5; ; 2/5; ; 4/9; 4/9; 
Draw; 3; 3; 3; 3; 3; 14/5; 31/10; 16/5; 3; 13/4; 3; 3; 3; 3; 16/5; 16/5; 10/3; 13/4; 31/10; 3; 41/13; ; 3; ; 3; 3; 
