META; champions-league/psg-v-barcelona; 2016-12-12 16:15:13 GMT+2; 2017-02-14 19:45; e70300-dr003
Barcelona; 21/20; 11/10; ; 1; ; 1; 1; 19/20; ; ; 11/10; 10/11; ; 10/11; 1; ; 15/13; 21/20; 9/10; 21/20; 15/13; 109/100; 1; 21/20; 21/20; ; 20/21; ; 
Draw; 5/2; 13/5; ; 12/5; ; 5/2; 13/5; 5/2; ; ; 12/5; 23/10; ; 12/5; 5/2; ; 27/11; 28/11; 12/5; 5/2; 27/11; 51/20; 5/2; 28/11; 5/2; ; 11/5; ; 
PSG; 5/2; 23/10; ; 11/4; ; 13/5; 27/10; 13/5; ; ; 9/4; 11/4; ; 3; 11/4; ; 9/4; 13/5; 3; 13/5; 9/4; 73/25; 23/10; 13/5; 12/5; ; 14/5; ; 
META; champions-league/psg-v-barcelona; 2016-12-12 20:15:11 GMT+2; 2017-02-14 19:45; e70300-dr003
Barcelona; 21/20; 11/10; 11/10; 1; 21/20; 1; 1; 19/20; 11/10; 21/20; 11/10; 10/11; 21/20; 11/10; 1; ; 21/20; 21/20; 19/20; 21/20; 21/20; 109/100; 1; 21/20; 21/20; ; 1; ; 
Draw; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 12/5; 23/10; 5/2; 5/2; 5/2; ; 40/17; 28/11; 12/5; 5/2; 40/17; 13/5; 5/2; 28/11; 5/2; ; 23/10; ; 
PSG; 5/2; 23/10; 12/5; 5/2; 11/4; 13/5; 27/10; 13/5; 5/2; 12/5; 9/4; 11/4; 51/20; 23/10; 11/4; ; 45/17; 13/5; 11/4; 13/5; 45/17; 143/50; 23/10; 13/5; 12/5; ; 21/10; ; 
META; champions-league/psg-v-barcelona; 2016-12-13 00:15:10 GMT+2; 2017-02-14 19:45; e70300-dr003
Barcelona; 21/20; 11/10; 11/10; 1; 21/20; 1; 21/20; 19/20; 11/10; 21/20; 11/10; 10/11; 21/20; 11/10; 21/20; 11/10; 6/5; 21/20; 19/20; 21/20; 6/5; 109/100; 1; 21/20; 21/20; ; 1; ; 
Draw; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 12/5; 23/10; 5/2; 5/2; 13/5; 13/5; 12/5; 28/11; 12/5; 5/2; 12/5; 13/5; 5/2; 28/11; 5/2; ; 23/10; ; 
PSG; 5/2; 23/10; 12/5; 5/2; 11/4; 13/5; 5/2; 13/5; 5/2; 12/5; 9/4; 11/4; 51/20; 23/10; 5/2; 13/5; 28/13; 13/5; 11/4; 13/5; 28/13; 143/50; 23/10; 13/5; 12/5; ; 21/10; ; 
META; champions-league/psg-v-barcelona; 2016-12-13 04:15:10 GMT+2; 2017-02-14 19:45; e70300-dr003
Barcelona; 21/20; 11/10; 11/10; 1; 21/20; 1; 21/20; 19/20; 11/10; 21/20; 11/10; 10/11; ; 11/10; 21/20; 11/10; 6/5; 21/20; 19/20; 21/20; 6/5; 11/10; 1; 21/20; 21/20; ; 1; ; 
Draw; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 12/5; 23/10; ; 5/2; 13/5; 13/5; 12/5; 28/11; 12/5; 5/2; 12/5; 66/25; 5/2; 28/11; 5/2; ; 23/10; ; 
PSG; 5/2; 23/10; 12/5; 5/2; 11/4; 13/5; 5/2; 13/5; 5/2; 12/5; 9/4; 11/4; ; 23/10; 5/2; 13/5; 28/13; 13/5; 11/4; 13/5; 28/13; 139/50; 23/10; 13/5; 12/5; ; 21/10; ; 
META; champions-league/psg-v-barcelona; 2016-12-13 08:15:10 GMT+2; 2017-02-14 19:45; e70300-dr003
Barcelona; 21/20; 11/10; 11/10; 1; 21/20; 1; 21/20; 19/20; 11/10; 21/20; 11/10; 10/11; 21/20; 11/10; 21/20; 11/10; 6/5; 21/20; 19/20; 21/20; 6/5; 11/10; 1; 21/20; 21/20; ; 1; ; 
Draw; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 12/5; 23/10; 5/2; 5/2; 13/5; 13/5; 12/5; 28/11; 12/5; 5/2; 12/5; 66/25; 5/2; 28/11; 5/2; ; 23/10; ; 
PSG; 5/2; 23/10; 12/5; 5/2; 11/4; 13/5; 5/2; 13/5; 5/2; 12/5; 9/4; 11/4; 51/20; 23/10; 5/2; 13/5; 28/13; 13/5; 11/4; 13/5; 28/13; 139/50; 23/10; 13/5; 12/5; ; 21/10; ; 
META; champions-league/psg-v-barcelona; 2016-12-13 12:15:10 GMT+2; 2017-02-14 19:45; e70300-dr003
Barcelona; 21/20; 11/10; 11/10; 1; 21/20; 1; 11/10; 19/20; 11/10; 21/20; 11/10; 10/11; 21/20; 11/10; 21/20; 21/20; 19/20; 21/20; 19/20; 21/20; 19/20; 11/10; 1; 21/20; 21/20; ; 1; ; 
Draw; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 12/5; 23/10; 5/2; 5/2; 13/5; 13/5; 12/5; 28/11; 12/5; 5/2; 12/5; 66/25; 5/2; 28/11; 5/2; ; 23/10; ; 
PSG; 5/2; 23/10; 12/5; 13/5; 11/4; 13/5; 12/5; 13/5; 5/2; 12/5; 9/4; 11/4; 51/20; 23/10; 5/2; 11/4; 14/5; 13/5; 11/4; 13/5; 14/5; 139/50; 23/10; 13/5; 12/5; ; 11/5; ; 
META; champions-league/psg-v-barcelona; 2016-12-13 16:15:13 GMT+2; 2017-02-14 19:45; e70300-dr003
Barcelona; 21/20; 11/10; 11/10; 1; 11/10; 1; 1; 19/20; 11/10; 21/20; 11/10; 10/11; 21/20; 11/10; 21/20; 21/20; 19/20; 21/20; 19/20; 21/20; 19/20; 11/10; 1; 21/20; 21/20; ; 1; ; 
Draw; 5/2; 13/5; 5/2; 5/2; 12/5; 5/2; 13/5; 5/2; 5/2; 5/2; 12/5; 23/10; 5/2; 5/2; 13/5; 13/5; 12/5; 28/11; 12/5; 5/2; 12/5; 131/50; 5/2; 28/11; 5/2; ; 23/10; ; 
PSG; 5/2; 23/10; 12/5; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 12/5; 9/4; 11/4; 51/20; 23/10; 5/2; 11/4; 14/5; 13/5; 11/4; 13/5; 14/5; 139/50; 23/10; 13/5; 12/5; ; 11/5; ; 
META; champions-league/psg-v-barcelona; 2016-12-13 20:15:10 GMT+2; 2017-02-14 19:45; e70300-dr003
