META; champions-league/bayern-munich-v-arsenal; 2016-12-12 16:15:05 GMT+2; 2017-02-14 19:45; e70300-dr003
Bayern Munich; 9/20; 8/15; ; 4/9; ; 1/2; 9/20; 1/2; ; ; 4/9; 8/15; ; 4/9; 1/2; ; 5/11; 10/21; 5/11; 4/9; 5/11; 27/50; 4/9; 10/21; 4/9; ; 4/9; ; 
Draw; 7/2; 10/3; ; 7/2; ; 10/3; 18/5; 14/5; ; ; 3; 13/5; ; 3; 10/3; ; 7/2; 18/5; 13/4; 7/2; 7/2; 71/20; 10/3; 18/5; 10/3; ; 14/5; ; 
Arsenal; 6; 19/4; ; 11/2; ; 5; 6; 11/2; ; ; 13/2; 5; ; 6; 11/2; ; 60/11; 28/5; 6; 28/5; 60/11; 29/5; 5; 28/5; 11/2; ; 11/2; ; 
META; champions-league/bayern-munich-v-arsenal; 2016-12-12 20:15:03 GMT+2; 2017-02-14 19:45; e70300-dr003
Bayern Munich; 9/20; 8/15; 4/9; 4/9; 4/9; 1/2; 4/9; 1/2; 1/2; 10/21; 4/9; 8/15; 4/9; 1/2; 1/2; ; 5/11; 10/21; 5/11; 4/9; 5/11; 27/50; 4/9; 10/21; 4/9; ; 1/2; ; 
Draw; 7/2; 10/3; 10/3; 7/2; 18/5; 10/3; 15/4; 14/5; 10/3; 10/3; 3; 13/5; 7/2; 10/3; 10/3; ; 7/2; 18/5; 13/4; 7/2; 7/2; 71/20; 10/3; 18/5; 10/3; ; 3; ; 
Arsenal; 6; 19/4; 11/2; 11/2; 6; 5; 6; 11/2; 11/2; 5; 13/2; 5; 6; 11/2; 11/2; ; 60/11; 28/5; 6; 28/5; 60/11; 29/5; 5; 28/5; 11/2; ; 23/5; ; 
META; champions-league/bayern-munich-v-arsenal; 2016-12-13 00:15:03 GMT+2; 2017-02-14 19:45; e70300-dr003
Bayern Munich; 9/20; 8/15; 4/9; 1/2; 4/9; 1/2; 4/9; 1/2; 1/2; 10/21; 4/9; 8/15; 4/9; 8/15; 9/20; 1/2; 5/11; 10/21; 5/11; 4/9; 5/11; 53/100; 4/9; 10/21; 4/9; ; 1/2; ; 
Draw; 7/2; 10/3; 10/3; 10/3; 18/5; 10/3; 15/4; 14/5; 10/3; 10/3; 3; 13/5; 7/2; 7/2; 15/4; 7/2; 7/2; 18/5; 13/4; 7/2; 7/2; 71/20; 10/3; 18/5; 10/3; ; 3; ; 
Arsenal; 6; 19/4; 11/2; 5; 6; 5; 6; 11/2; 11/2; 5; 13/2; 5; 6; 11/2; 11/2; 6; 60/11; 28/5; 6; 28/5; 60/11; 6; 5; 28/5; 11/2; ; 23/5; ; 
META; champions-league/bayern-munich-v-arsenal; 2016-12-13 04:15:03 GMT+2; 2017-02-14 19:45; e70300-dr003
Bayern Munich; 9/20; 8/15; 4/9; 1/2; 4/9; 1/2; 4/9; 1/2; 1/2; 10/21; 4/9; 8/15; ; 8/15; 9/20; 1/2; 7/15; 10/21; 5/11; 4/9; 7/15; 53/100; 4/9; 10/21; 4/9; ; 1/2; ; 
Draw; 7/2; 10/3; 10/3; 10/3; 18/5; 10/3; 15/4; 14/5; 10/3; 10/3; 3; 13/5; ; 7/2; 15/4; 7/2; 38/11; 18/5; 13/4; 7/2; 38/11; 71/20; 10/3; 18/5; 10/3; ; 3; ; 
Arsenal; 6; 19/4; 11/2; 5; 6; 5; 6; 11/2; 11/2; 5; 13/2; 5; ; 11/2; 11/2; 6; 60/11; 28/5; 6; 28/5; 60/11; 6; 5; 28/5; 11/2; ; 23/5; ; 
META; champions-league/bayern-munich-v-arsenal; 2016-12-13 08:15:03 GMT+2; 2017-02-14 19:45; e70300-dr003
Bayern Munich; 9/20; 8/15; 4/9; 1/2; 4/9; 1/2; 4/9; 1/2; 1/2; 10/21; 4/9; 8/15; 4/9; 8/15; 9/20; 1/2; 7/15; 10/21; 5/11; 4/9; 7/15; 53/100; 4/9; 10/21; 4/9; ; 1/2; ; 
Draw; 7/2; 10/3; 10/3; 10/3; 18/5; 10/3; 15/4; 14/5; 10/3; 10/3; 3; 13/5; 7/2; 7/2; 15/4; 7/2; 38/11; 18/5; 13/4; 7/2; 38/11; 71/20; 10/3; 18/5; 10/3; ; 3; ; 
Arsenal; 6; 19/4; 11/2; 5; 6; 5; 6; 11/2; 11/2; 5; 13/2; 5; 6; 11/2; 11/2; 6; 60/11; 28/5; 6; 28/5; 60/11; 6; 5; 28/5; 11/2; ; 23/5; ; 
META; champions-league/bayern-munich-v-arsenal; 2016-12-13 12:15:03 GMT+2; 2017-02-14 19:45; e70300-dr003
Bayern Munich; 9/20; 8/15; 4/9; 4/9; 4/9; 1/2; 4/9; 1/2; 1/2; 10/21; 4/9; 8/15; 4/9; 8/15; 9/20; 1/2; 5/11; 10/21; 5/11; 4/9; 5/11; 53/100; 4/9; 10/21; 4/9; ; 1/2; ; 
Draw; 7/2; 10/3; 10/3; 7/2; 18/5; 10/3; 15/4; 14/5; 10/3; 10/3; 3; 13/5; 7/2; 7/2; 15/4; 7/2; 7/2; 18/5; 13/4; 7/2; 7/2; 71/20; 10/3; 18/5; 10/3; ; 3; ; 
Arsenal; 6; 19/4; 11/2; 11/2; 6; 5; 6; 11/2; 11/2; 11/2; 13/2; 5; 6; 11/2; 11/2; 6; 60/11; 28/5; 6; 28/5; 60/11; 6; 5; 28/5; 11/2; ; 23/5; ; 
META; champions-league/bayern-munich-v-arsenal; 2016-12-13 16:15:03 GMT+2; 2017-02-14 19:45; e70300-dr003
Bayern Munich; 9/20; 8/15; 4/9; 1/2; 1/2; 1/2; 4/9; 1/2; 1/2; 10/21; 4/9; 8/15; 4/9; 8/15; 9/20; 1/2; 7/15; 10/21; 5/11; 4/9; 7/15; 53/100; 4/9; 10/21; 4/9; ; 1/2; ; 
Draw; 7/2; 10/3; 10/3; 10/3; 7/2; 10/3; 15/4; 14/5; 10/3; 10/3; 3; 13/5; 7/2; 7/2; 15/4; 7/2; 38/11; 18/5; 13/4; 7/2; 38/11; 71/20; 10/3; 18/5; 10/3; ; 3; ; 
Arsenal; 6; 19/4; 11/2; 5; 11/2; 5; 6; 11/2; 11/2; 11/2; 13/2; 5; 6; 11/2; 11/2; 6; 60/11; 28/5; 6; 28/5; 60/11; 6; 5; 28/5; 11/2; ; 23/5; ; 
