META; champions-league/l-metalurgs-v-salzburg; 2016-07-17 20:15:06 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; 1/3; ; ; ; ; ; 1/3; 4/11; ; ; ; 2/5; 4/11; ; ; ; ; ; ; ; 4/11; 3/8; ; ; ; ; 
Draw; 15/4; ; ; ; ; ; 4; 7/2; ; ; ; 10/3; 7/2; ; ; ; ; ; ; ; 15/4; 41/10; ; ; ; ; 
L Metalurgs; 7; ; ; ; ; ; 7; 6; ; ; ; 9/2; 5; ; ; ; ; ; ; ; 29/5; 37/5; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-18 00:15:06 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; 2/7; ; ; ; ; ; 2/7; 2/7; ; ; ; 2/5; 4/11; ; ; ; ; ; ; ; 4/13; 7/19; ; ; ; ; 
Draw; 17/4; ; ; ; ; ; 17/4; 4; ; ; ; 10/3; 7/2; ; ; ; ; ; ; ; 4; 41/10; ; ; ; ; 
L Metalurgs; 9; ; ; ; ; ; 9; 15/2; ; ; ; 9/2; 5; ; ; ; ; ; ; ; 13/2; 38/5; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-18 03:45:08 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; 2/7; ; ; ; ; ; 2/7; 1/4; ; ; ; 2/5; 1/5; ; ; ; ; ; ; ; 3/11; 4/13; ; ; ; ; 
Draw; 17/4; ; ; ; ; ; 19/4; 9/2; ; ; ; 10/3; 9/2; ; ; ; ; ; ; ; 74/17; 47/10; ; ; ; ; 
L Metalurgs; 9; ; ; ; ; ; 8; 17/2; ; ; ; 9/2; 17/2; ; ; ; ; ; ; ; 15/2; 9; ; ; ; ; 
META; champions-league/l-metalurgs-v-salzburg; 2016-07-18 04:15:06 GMT+3; 2016-07-19 17:00; e70300-dr003
