META; champions-league/fk-liepaja-v-salzburg; 2016-07-16 00:15:01 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
FK Liepaja; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; champions-league/fk-liepaja-v-salzburg; 2016-07-16 04:15:03 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
FK Liepaja; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; champions-league/fk-liepaja-v-salzburg; 2016-07-16 08:15:03 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
FK Liepaja; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; champions-league/fk-liepaja-v-salzburg; 2016-07-16 12:15:10 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
FK Liepaja; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; champions-league/fk-liepaja-v-salzburg; 2016-07-16 16:15:05 GMT+3; 2016-07-19 17:00; e70300-dr003
Salzburg; ; 2/5; 2/5; ; 2/5; ; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
