META; champions-league/real-madrid-v-napoli; 2016-12-12 16:15:17 GMT+2; 2017-02-14 19:45; e70300-dr003
Real Madrid; 2/5; 2/5; ; 4/11; ; 4/11; 4/11; 1/3; ; ; 3/10; 2/7; ; 2/5; 4/11; ; 3/8; 2/5; 4/11; 2/5; 3/8; 11/25; 2/5; 2/5; 2/5; ; 4/11; ; 
Draw; 15/4; 19/5; ; 15/4; ; 4; 21/5; 7/2; ; ; 4; 4; ; 16/5; 4; ; 39/10; 39/10; 15/4; 7/2; 39/10; 41/10; 7/2; 39/10; 15/4; ; 14/5; ; 
Napoli; 13/2; 6; ; 7; ; 7; 7; 8; ; ; 8; 15/2; ; 8; 7; ; 25/4; 13/2; 27/4; 13/2; 25/4; 7; 5; 13/2; 6; ; 7; ; 
META; champions-league/real-madrid-v-napoli; 2016-12-12 20:15:17 GMT+2; 2017-02-14 19:45; e70300-dr003
Real Madrid; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 4/11; 1/3; 2/5; 4/9; 3/10; 2/7; 4/11; 4/9; 4/11; ; 3/8; 2/5; 4/11; 2/5; 3/8; 11/25; 2/5; 2/5; 2/5; ; 2/5; ; 
Draw; 15/4; 19/5; 18/5; 7/2; 4; 4; 4; 7/2; 4; 7/2; 4; 4; 15/4; 19/5; 4; ; 50/13; 39/10; 15/4; 7/2; 50/13; 41/10; 7/2; 39/10; 15/4; ; 7/2; ; 
Napoli; 13/2; 6; 11/2; 7; 13/2; 7; 7; 8; 6; 6; 8; 15/2; 7; 5; 7; ; 25/4; 13/2; 27/4; 13/2; 25/4; 7; 5; 13/2; 6; ; 23/5; ; 
META; champions-league/real-madrid-v-napoli; 2016-12-13 00:15:14 GMT+2; 2017-02-14 19:45; e70300-dr003
Real Madrid; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 1/3; 2/5; 4/9; 3/10; 2/7; 4/11; 4/9; 9/20; 2/5; 3/8; 2/5; 4/11; 2/5; 3/8; 9/20; 2/5; 2/5; 2/5; ; 2/5; ; 
Draw; 15/4; 19/5; 18/5; 7/2; 4; 4; 4; 7/2; 4; 7/2; 4; 4; 15/4; 19/5; 15/4; 9/2; 50/13; 39/10; 15/4; 7/2; 50/13; 4; 7/2; 39/10; 15/4; ; 7/2; ; 
Napoli; 13/2; 6; 11/2; 13/2; 13/2; 7; 13/2; 8; 6; 6; 8; 15/2; 7; 5; 11/2; 7; 25/4; 13/2; 27/4; 13/2; 25/4; 7; 5; 13/2; 6; ; 23/5; ; 
META; champions-league/real-madrid-v-napoli; 2016-12-13 04:15:14 GMT+2; 2017-02-14 19:45; e70300-dr003
Real Madrid; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 4/11; 1/3; 2/5; 4/9; 3/10; 2/7; ; 4/9; 9/20; 2/5; 3/8; 2/5; 4/11; 2/5; 3/8; 9/20; 2/5; 2/5; 2/5; ; 2/5; ; 
Draw; 15/4; 19/5; 18/5; 7/2; 4; 4; 4; 7/2; 4; 7/2; 4; 4; ; 19/5; 15/4; 4; 50/13; 39/10; 15/4; 7/2; 50/13; 4; 7/2; 39/10; 15/4; ; 7/2; ; 
Napoli; 13/2; 6; 11/2; 13/2; 13/2; 7; 7; 8; 6; 6; 8; 15/2; ; 5; 11/2; 15/2; 25/4; 13/2; 27/4; 13/2; 25/4; 7; 5; 13/2; 11/2; ; 23/5; ; 
META; champions-league/real-madrid-v-napoli; 2016-12-13 08:15:14 GMT+2; 2017-02-14 19:45; e70300-dr003
Real Madrid; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 1/3; 2/5; 4/9; 3/10; 2/7; 4/11; 4/9; 9/20; 2/5; 3/8; 2/5; 4/11; 2/5; 3/8; 9/20; 2/5; 2/5; 2/5; ; 2/5; ; 
Draw; 15/4; 19/5; 18/5; 7/2; 4; 4; 4; 7/2; 4; 7/2; 4; 4; 15/4; 19/5; 15/4; 9/2; 50/13; 39/10; 15/4; 7/2; 50/13; 4; 7/2; 39/10; 15/4; ; 7/2; ; 
Napoli; 13/2; 6; 11/2; 7; 13/2; 7; 13/2; 8; 6; 6; 8; 15/2; 7; 5; 11/2; 7; 25/4; 13/2; 27/4; 13/2; 25/4; 7; 5; 13/2; 11/2; ; 23/5; ; 
META; champions-league/real-madrid-v-napoli; 2016-12-13 12:15:15 GMT+2; 2017-02-14 19:45; e70300-dr003
Real Madrid; 2/5; 2/5; 2/5; 2/5; 2/5; 4/11; 4/11; 1/3; 2/5; 4/9; 3/10; 2/7; 4/11; 4/9; 9/20; 2/5; 3/8; 2/5; 4/11; 2/5; 3/8; 9/20; 2/5; 2/5; 2/5; ; 2/5; ; 
