META; champions-league/fc-copenhagen-v-apoel-nicosia; 2016-08-05 16:15:26 GMT+3; 2016-08-16 19:45; e70300-dr003
FC Copenhagen; 4/7; 6/10; ; ; 3/5; ; 4/7; ; 4/7; 11/17; ; 1/2; 8/13; 4/7; 4/7; 4/6; ; 11/17; 11/17; 8/13; 10/17; 11/17; ; ; ; ; 
Draw; 14/5; 13/5; ; ; 11/4; ; 14/5; ; 11/4; 27/10; ; 13/5; 5/2; 11/4; 27/10; 13/5; ; 27/10; 13/5; 27/10; 13/5; 3; ; ; ; ; 
APOEL Nicosia; 5; 9/2; ; ; 9/2; ; 19/4; ; 5; 19/4; ; 9/2; 4; 21/4; 5; 4; ; 19/4; 17/4; 23/5; 23/5; 49/10; ; ; ; ; 
META; champions-league/fc-copenhagen-v-apoel-nicosia; 2016-08-05 20:15:21 GMT+3; 2016-08-16 19:45; e70300-dr003
FC Copenhagen; 9/20; 1/2; ; 8/15; 1/2; 12/25; 9/20; ; 1/2; 6/11; 1/2; 1/2; 8/13; 1/2; 1/2; 1/2; ; 6/11; 8/15; 8/15; 10/21; 6/11; ; ; 4/9; ; 
Draw; 3; 14/5; ; 3; 3; 3; 31/10; ; 3; 3; 3; 13/5; 5/2; 3; 16/5; 3; ; 3; 29/10; 3; 56/19; 33/10; ; ; 14/5; ; 
APOEL Nicosia; 7; 11/2; ; 11/2; 11/2; 11/2; 6; ; 11/2; 11/2; 11/2; 9/2; 4; 6; 11/2; 11/2; ; 11/2; 21/4; 11/2; 11/2; 29/5; ; ; 24/5; ; 
META; champions-league/fc-copenhagen-v-apoel-nicosia; 2016-08-06 00:15:19 GMT+3; 2016-08-16 19:45; e70300-dr003
FC Copenhagen; 9/20; 1/2; ; 4/9; 1/2; 4/9; 9/20; ; 1/2; 1/2; 10/21; 1/2; 8/13; 12/25; 4/9; 1/2; ; 1/2; 8/15; 1/2; 5/12; 11/21; ; ; 2/5; ; 
Draw; 3; 14/5; ; 3; 3; 3; 31/10; ; 3; 3; 3; 13/5; 5/2; 3; 16/5; 14/5; ; 3; 29/10; 3; 3; 17/5; ; ; 14/5; ; 
APOEL Nicosia; 7; 6; ; 13/2; 6; 11/2; 6; ; 6; 13/2; 13/2; 9/2; 4; 13/2; 11/2; 6; ; 13/2; 21/4; 13/2; 13/2; 61/10; ; ; 24/5; ; 
