META; champions-league/apoel-nicosia-v-fc-copenhagen; 2016-08-17 08:15:14 GMT+3; 2016-08-24 19:45; e70300-dr003
FC Copenhagen; ; 6/5; ; ; 6/5; ; ; ; ; 5/4; ; ; ; ; ; ; ; 5/4; ; 5/4; ; 6/5; ; ; ; ; 
Draw; ; 9/4; ; ; 23/10; ; ; ; ; 12/5; ; ; ; ; ; ; ; 12/5; ; 12/5; ; 5/2; ; ; ; ; 
APOEL Nicosia; ; 85/40; ; ; 11/5; ; ; ; ; 11/5; ; ; ; ; ; ; ; 11/5; ; 11/5; ; 5/2; ; ; ; ; 
META; champions-league/apoel-nicosia-v-fc-copenhagen; 2016-08-17 12:15:17 GMT+3; 2016-08-24 19:45; e70300-dr003
FC Copenhagen; ; 5/4; ; ; 6/5; ; ; ; ; 5/4; ; ; ; ; 6/5; ; ; 5/4; ; 5/4; ; 6/5; ; ; 10/9; ; 
APOEL Nicosia; ; 11/5; ; ; 11/5; ; ; ; ; 11/5; ; ; ; ; 9/4; ; ; 11/5; ; 11/5; ; 5/2; ; ; 19/10; ; 
Draw; ; 85/40; ; ; 23/10; ; ; ; ; 12/5; ; ; ; ; 11/5; ; ; 12/5; ; 12/5; ; 5/2; ; ; 2; ; 
META; champions-league/apoel-nicosia-v-fc-copenhagen; 2016-08-17 16:15:17 GMT+3; 2016-08-24 19:45; e70300-dr003
FC Copenhagen; ; 5/4; ; ; 6/5; ; 5/4; ; ; 5/4; ; ; ; ; 5/4; ; ; 5/4; 5/4; 5/4; 5/4; 13/10; ; ; ; ; 
APOEL Nicosia; ; 85/40; ; ; 11/5; ; 85/40; ; ; 11/5; ; ; ; ; 2; ; ; 11/5; 21/10; 11/5; 21/10; 41/18; ; ; ; ; 
Draw; ; 11/5; ; ; 23/10; ; 23/10; ; ; 12/5; ; ; ; ; 11/5; ; ; 12/5; 23/10; 12/5; 23/10; 5/2; ; ; ; ; 
META; champions-league/apoel-nicosia-v-fc-copenhagen; 2016-08-17 20:15:15 GMT+3; 2016-08-24 19:45; e70300-dr003
FC Copenhagen; ; 5/4; ; 13/10; 6/5; ; 5/4; ; 5/4; 5/4; ; ; ; 6/5; 5/4; ; ; 5/4; 13/10; 5/4; ; 13/10; ; ; 23/20; ; 
APOEL Nicosia; ; 21/10; ; 11/5; 11/5; ; 21/10; ; 85/40; 11/5; ; ; ; 2; 2; ; ; 11/5; 2; 11/5; ; 41/18; ; ; 15/8; ; 
Draw; ; 11/5; ; 9/4; 23/10; ; 23/10; ; 23/10; 12/5; ; ; ; 9/4; 11/5; ; ; 12/5; 23/10; 12/5; ; 5/2; ; ; 2; ; 
