META; champions-league/ludogorets-razgrad-v-mladost-podgorica; 2016-07-09 12:15:40 GMT+3; 2016-07-13 18:30; e70300-dr003
Ludogorets Razgrad; ; 1/4; 1/4; ; 1/4; ; ; ; 3/10; 3/10; ; ; ; ; ; ; 1/4; 1/4; 3/10; ; 3/10; 1/4; ; ; ; ; ; 
Draw; ; 9/2; 9/2; ; 9/2; ; ; ; 9/2; 21/5; ; ; ; ; ; ; 5; 4; 21/5; ; 21/5; 4; ; ; ; ; ; 
Mladost Podgorica; ; 17/2; 8; ; 8; ; ; ; 8; 15/2; ; ; ; ; ; ; 9; 29/4; 15/2; ; 15/2; 29/4; ; ; ; ; ; 
META; champions-league/ludogorets-razgrad-v-mladost-podgorica; 2016-07-09 16:15:40 GMT+3; 2016-07-13 18:30; e70300-dr003
Ludogorets Razgrad; ; 2/7; 1/4; ; 1/4; ; ; ; 3/10; 3/10; ; ; ; ; ; ; 2/7; 1/4; 3/10; ; 3/10; 1/4; ; ; ; 1/4; ; 
Draw; ; 4; 4; ; 4; ; ; ; 9/2; 21/5; ; ; ; ; ; ; 9/2; 4; 21/5; ; 21/5; 4; ; ; ; 1/4; ; 
Mladost Podgorica; ; 17/2; 8; ; 8; ; ; ; 8; 15/2; ; ; ; ; ; ; 9; 29/4; 15/2; ; 15/2; 29/4; ; ; ; 1/20; ; 
META; champions-league/ludogorets-razgrad-v-mladost-podgorica; 2016-07-09 20:15:53 GMT+3; 2016-07-13 18:30; e70300-dr003
Ludogorets Razgrad; ; 2/7; 1/4; ; 1/4; ; ; ; 3/10; 3/10; ; ; ; ; ; ; 2/7; 1/4; 3/10; ; 3/10; 1/4; ; ; ; ; ; 
Draw; ; 4; 4; ; 4; ; ; ; 9/2; 21/5; ; ; ; ; ; ; 9/2; 4; 21/5; ; 21/5; 4; ; ; ; ; ; 
Mladost Podgorica; ; 9; 8; ; 8; ; ; ; 8; 15/2; ; ; ; ; ; ; 9; 29/4; 15/2; ; 15/2; 29/4; ; ; ; ; ; 
META; champions-league/ludogorets-razgrad-v-mladost-podgorica; 2016-07-10 00:15:35 GMT+3; 2016-07-13 18:30; e70300-dr003
Ludogorets Razgrad; ; 2/7; 1/4; ; 1/4; ; 1/4; ; 3/10; 3/10; ; ; ; ; ; ; 2/7; 5/19; 3/10; ; 3/10; 5/19; ; ; ; ; ; 
Draw; ; 4; 4; ; 4; ; 22/5; ; 9/2; 21/5; ; ; ; ; ; ; 9/2; 54/13; 21/5; ; 21/5; 54/13; ; ; ; ; ; 
Mladost Podgorica; ; 17/2; 8; ; 8; ; 19/2; ; 8; 15/2; ; ; ; ; ; ; 9; 31/4; 15/2; ; 15/2; 31/4; ; ; ; ; ; 
META; champions-league/ludogorets-razgrad-v-mladost-podgorica; 2016-07-10 04:15:32 GMT+3; 2016-07-13 18:30; e70300-dr003
Ludogorets Razgrad; ; 2/7; 1/4; ; 1/4; ; 1/4; ; 3/10; 3/10; ; ; ; ; ; ; 2/7; 5/19; 3/10; ; 3/10; 5/19; ; ; ; ; ; 
Draw; ; 4; 4; ; 4; ; 22/5; ; 9/2; 21/5; ; ; ; ; ; ; 9/2; 54/13; 21/5; ; 21/5; 54/13; ; ; ; ; ; 
Mladost Podgorica; ; 17/2; 8; ; 8; ; 10; ; 8; 15/2; ; ; ; ; ; ; 9; 31/4; 15/2; ; 15/2; 31/4; ; ; ; ; ; 
META; champions-league/ludogorets-razgrad-v-mladost-podgorica; 2016-07-10 08:15:27 GMT+3; 2016-07-13 18:30; e70300-dr003
Ludogorets Razgrad; ; 2/7; 1/4; ; 1/4; ; 1/4; ; 3/10; 3/10; ; ; ; ; ; ; 2/7; 5/19; 3/10; ; 3/10; 5/19; ; ; ; 1/4; ; 
Draw; ; 4; 4; ; 4; ; 22/5; ; 9/2; 21/5; ; ; ; ; ; ; 9/2; 54/13; 21/5; ; 21/5; 54/13; ; ; ; 4/11; ; 
Mladost Podgorica; ; 17/2; 8; ; 8; ; 19/2; ; 8; 15/2; ; ; ; ; ; ; 9; 31/4; 15/2; ; 15/2; 31/4; ; ; ; 1/12; ; 
META; champions-league/ludogorets-razgrad-v-mladost-podgorica; 2016-07-10 12:15:34 GMT+3; 2016-07-13 18:30; e70300-dr003
Ludogorets Razgrad; ; 2/7; 1/4; ; 1/4; ; 1/4; ; 3/10; 3/10; ; ; ; ; ; ; 2/7; 5/19; 3/10; ; 3/10; 5/19; ; ; ; 1/4; ; 
Draw; ; 4; 4; ; 4; ; 22/5; ; 9/2; 21/5; ; ; ; ; ; ; 9/2; 54/13; 21/5; ; 21/5; 54/13; ; ; ; 4/11; ; 
Mladost Podgorica; ; 17/2; 8; ; 8; ; 19/2; ; 8; 15/2; ; ; ; ; ; ; 9; 31/4; 15/2; ; 15/2; 31/4; ; ; ; 1/12; ; 
META; champions-league/ludogorets-razgrad-v-mladost-podgorica; 2016-07-10 16:15:46 GMT+3; 2016-07-13 18:30; e70300-dr003
Ludogorets Razgrad; 1/4; 1/4; 2/9; ; 2/9; 2/7; 2/7; 2/9; 3/10; 3/10; ; 1/4; ; 1/4; 1/4; ; 1/4; 3/10; 3/10; 3/10; 1/4; 5/18; ; ; 2/9; ; 
Draw; 4; 4; 4; ; 4; 18/5; 4; 4; 17/4; 21/5; ; 19/5; ; 4; 9/2; ; 9/2; 21/5; 17/4; 21/5; 21/5; 9/2; ; ; 4; ; 
Mladost Podgorica; 8; 11; 10; ; 10; 7; 10; 9; 17/2; 15/2; ; 12; ; 9; 14; ; 11; 15/2; 8; 15/2; 8; 12; ; ; 64/5; ; 
META; champions-league/ludogorets-razgrad-v-mladost-podgorica; 2016-07-10 20:15:32 GMT+3; 2016-07-13 18:30; e70300-dr003
Ludogorets Razgrad; 1/4; 1/4; 1/4; 2/7; 1/4; 2/7; 2/7; 2/9; 3/10; 3/10; ; 2/7; ; 1/4; 1/4; ; 2/7; 3/10; 3/10; 3/10; 1/4; 5/18; ; ; 2/9; ; 
Draw; 4; 4; 4; 4; 4; 18/5; 4; 4; 9/2; 21/5; ; 4; ; 4; 9/2; ; 9/2; 21/5; 17/4; 21/5; 21/5; 9/2; ; ; 4; ; 
Mladost Podgorica; 8; 11; 9; 11; 9; 7; 10; 9; 9; 15/2; ; 10; ; 9; 14; ; 10; 15/2; 8; 15/2; 8; 12; ; ; 64/5; ; 
META; champions-league/ludogorets-razgrad-v-mladost-podgorica; 2016-07-11 00:15:36 GMT+3; 2016-07-13 18:30; e70300-dr003
Ludogorets Razgrad; 1/4; 1/4; 1/4; 2/7; 1/4; 2/7; 3/10; 2/9; 3/10; ; ; 2/7; ; 1/4; 1/4; 30/100; 2/7; 3/10; 3/10; 3/10; 1/4; 5/18; ; ; ; ; 
Draw; 4; 4; 4; 4; 4; 18/5; 19/5; 4; 9/2; ; ; 4; ; 15/4; 9/2; 15/4; 9/2; 21/5; 17/4; 21/5; 21/5; 9/2; ; ; ; ; 
Mladost Podgorica; 8; 11; 9; 11; 9; 7; 10; 9; 9; ; ; 10; ; 9; 14; 10; 10; 15/2; 8; 15/2; 8; 12; ; ; ; ; 
META; champions-league/ludogorets-razgrad-v-mladost-podgorica; 2016-07-11 04:15:29 GMT+3; 2016-07-13 18:30; e70300-dr003
Ludogorets Razgrad; 1/4; 1/4; 1/4; 2/7; 1/4; 2/7; 3/10; 2/9; 3/10; 3/10; ; 2/7; ; 1/4; 1/4; 30/100; 2/7; 3/10; 3/10; 3/10; 1/4; 5/18; ; ; 1/4; ; 
Draw; 4; 4; 4; 4; 4; 18/5; 19/5; 4; 9/2; 21/5; ; 4; ; 15/4; 9/2; 15/4; 9/2; 21/5; 17/4; 21/5; 21/5; 9/2; ; ; 4; ; 
Mladost Podgorica; 8; 11; 9; 11; 9; 7; 10; 9; 9; 15/2; ; 10; ; 9; 14; 10; 10; 15/2; 8; 15/2; 8; 12; ; ; 64/5; ; 
META; champions-league/ludogorets-razgrad-v-mladost-podgorica; 2016-07-11 05:45:29 GMT+3; 2016-07-13 18:30; e70300-dr003
Ludogorets Razgrad; 1/4; 1/4; 1/4; 2/7; 1/4; 2/7; 3/10; 2/9; 3/10; 3/10; ; 2/7; ; 1/4; 1/4; 30/100; 2/7; 3/10; 3/10; 3/10; 1/4; 5/18; ; ; 1/4; ; 
Draw; 4; 4; 4; 4; 4; 18/5; 19/5; 4; 9/2; 21/5; ; 4; ; 15/4; 9/2; 15/4; 9/2; 21/5; 17/4; 21/5; 21/5; 9/2; ; ; 4; ; 
Mladost Podgorica; 8; 11; 9; 11; 9; 7; 10; 9; 9; 15/2; ; 10; ; 9; 14; 10; 10; 15/2; 8; 15/2; 8; 12; ; ; 64/5; ; 
META; champions-league/ludogorets-razgrad-v-mladost-podgorica; 2016-07-11 06:17:14 GMT+3; 2016-07-13 18:30; e70300-dr003
Ludogorets Razgrad; 1/4; 1/4; 1/4; 2/7; 1/4; 2/7; 3/10; 2/9; 3/10; 3/10; ; 2/7; ; 1/4; 1/4; 30/100; 2/7; 3/10; 3/10; 3/10; 1/4; 5/18; ; ; 1/4; ; 
Draw; 4; 4; 4; 4; 4; 18/5; 19/5; 4; 9/2; 21/5; ; 4; ; 15/4; 9/2; 15/4; 9/2; 21/5; 17/4; 21/5; 21/5; 9/2; ; ; 4; ; 
Mladost Podgorica; 8; 11; 9; 11; 9; 7; 10; 9; 9; 15/2; ; 10; ; 9; 14; 10; 10; 15/2; 8; 15/2; 8; 12; ; ; 64/5; ; 
META; champions-league/ludogorets-razgrad-v-mladost-podgorica; 2016-07-11 07:45:30 GMT+3; 2016-07-13 18:30; e70300-dr003
Ludogorets Razgrad; 1/4; 1/4; 1/4; 2/7; 1/4; 2/7; 3/10; 2/9; 3/10; 3/10; ; 2/7; ; 1/4; 1/4; 30/100; 2/7; 3/10; 3/10; 3/10; 1/4; 5/18; ; ; ; ; 
Draw; 4; 4; 4; 4; 4; 18/5; 19/5; 4; 9/2; 21/5; ; 4; ; 15/4; 9/2; 15/4; 9/2; 21/5; 17/4; 21/5; 21/5; 9/2; ; ; ; ; 
Mladost Podgorica; 8; 11; 9; 11; 9; 7; 10; 9; 9; 15/2; ; 10; ; 9; 14; 10; 10; 15/2; 8; 15/2; 8; 12; ; ; ; ; 
META; champions-league/ludogorets-razgrad-v-mladost-podgorica; 2016-07-11 08:15:29 GMT+3; 2016-07-13 18:30; e70300-dr003
