META; champions-league/partizani-v-salzburg; 2016-07-21 20:15:07 GMT+3; 2016-07-26 19:00; e70300-dr003
Salzburg; ; 4/7; 4/7; 8/13; 4/7; ; ; ; 8/15; 3/5; ; ; ; 11/20; ; ; 4/7; 3/5; ; 4/7; 8/15; ; ; ; ; ; 
Draw; ; 13/5; 11/4; 13/5; 11/4; ; ; ; 14/5; 3; ; ; ; 14/5; ; ; 14/5; 3; ; 3; 14/5; ; ; ; ; ; 
Partizani; ; 5; 5; 5; 5; ; ; ; 5; 9/2; ; ; ; 5; ; ; 5; 9/2; ; 9/2; 21/5; ; ; ; ; ; 
META; champions-league/partizani-v-salzburg; 2016-07-22 00:15:07 GMT+3; 2016-07-26 19:00; e70300-dr003
Salzburg; ; 8/15; 4/7; 4/7; 4/7; ; ; ; 8/15; 3/5; ; ; ; 11/20; ; ; 4/7; 3/5; ; 4/7; 8/15; ; ; ; ; ; 
Draw; ; 13/5; 11/4; 14/5; 11/4; ; ; ; 14/5; 3; ; ; ; 14/5; ; ; 14/5; 3; ; 3; 14/5; ; ; ; ; ; 
Partizani; ; 11/2; 5; 5; 5; ; ; ; 5; 9/2; ; ; ; 5; ; ; 5; 9/2; ; 9/2; 21/5; ; ; ; ; ; 
META; champions-league/partizani-v-salzburg; 2016-07-22 04:15:12 GMT+3; 2016-07-26 19:00; e70300-dr003
Salzburg; ; 4/7; 4/7; 4/7; 4/7; ; ; ; 8/15; 3/5; ; ; ; 11/20; ; ; 4/7; 3/5; ; 4/7; 8/15; ; ; ; ; ; 
Draw; ; 13/5; 11/4; 14/5; 11/4; ; ; ; 14/5; 3; ; ; ; 14/5; ; ; 14/5; 3; ; 3; 14/5; ; ; ; ; ; 
Partizani; ; 5; 5; 5; 5; ; ; ; 5; 9/2; ; ; ; 5; ; ; 5; 9/2; ; 9/2; 21/5; ; ; ; ; ; 
META; champions-league/partizani-v-salzburg; 2016-07-22 08:15:12 GMT+3; 2016-07-26 19:00; e70300-dr003
Salzburg; ; 4/7; 4/7; 4/7; 4/7; ; ; ; 4/7; 3/5; ; ; ; 4/7; ; ; 4/7; 3/5; ; 4/7; 8/15; ; ; ; ; ; 
