META; english/championship/wigan-v-reading; 2016-10-30 04:22:03 GMT+3; 2016-11-05 15:00; e70300-dr003
Wigan; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Reading; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/championship/wigan-v-reading; 2016-10-30 08:22:04 GMT+3; 2016-11-05 15:00; e70300-dr003
Wigan; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Reading; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/championship/wigan-v-reading; 2016-10-30 12:22:26 GMT+3; 2016-11-05 15:00; e70300-dr003
Wigan; 6/4; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Reading; 9/5; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Draw; 9/4; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/championship/wigan-v-reading; 2016-10-30 16:23:00 GMT+3; 2016-11-05 15:00; e70300-dr003
Wigan; 6/4; 3/2; 6/4; 6/4; 6/4; 6/4; 6/4; ; ; 7/5; 6/4; 13/8; 29/20; ; 13/8; ; 6/4; ; ; ; 6/4; ; ; ; 6/4; ; 7/5; ; 
Reading; 9/5; 13/8; 39/20; 19/10; 7/4; 19/10; 19/10; ; ; 19/10; 9/5; 9/5; 15/8; ; 9/5; ; 9/5; ; ; ; 9/5; ; ; ; 15/8; ; 9/5; ; 
Draw; 9/4; 23/10; 43/20; 21/10; 23/10; 23/10; 23/10; ; ; 11/5; 9/4; 21/10; 9/4; ; 11/5; ; 21/10; ; ; ; 21/10; ; ; ; 21/10; ; 21/10; ; 
META; english/championship/wigan-v-reading; 2016-10-30 20:22:38 GMT+3; 2016-11-05 15:00; e70300-dr003
Wigan; 7/5; 3/2; 6/4; 6/4; 6/4; 6/4; 6/4; ; 6/4; 7/5; 6/4; 13/8; ; 6/4; 13/8; ; 6/4; ; ; ; 6/4; ; ; 17/11; 7/5; ; 7/5; ; 
Reading; 19/10; 13/8; 2; 19/10; 7/4; 39/20; 19/10; ; 15/8; 19/10; 9/5; 9/5; ; 19/10; 9/5; ; 24/13; ; ; ; 24/13; ; ; 17/10; 15/8; ; 9/5; ; 
Draw; 9/4; 23/10; 43/20; 21/10; 23/10; 23/10; 23/10; ; 9/4; 11/5; 9/4; 21/10; ; 11/5; 11/5; ; 11/5; ; ; ; 11/5; ; ; 11/5; 21/10; ; 21/10; ; 
META; english/championship/wigan-v-reading; 2016-10-31 00:21:39 GMT+3; 2016-11-05 15:00; e70300-dr003
Wigan; 7/5; 3/2; 29/20; 6/4; 6/4; 29/20; 7/5; ; 6/4; 7/5; 6/4; 13/8; 29/20; 29/20; 13/8; ; 6/4; ; ; ; 6/4; ; ; 17/11; 7/5; ; 7/5; 7/5; 
Reading; 19/10; 13/8; 2; 19/10; 7/4; 39/20; 2; ; 15/8; 19/10; 9/5; 9/5; 19/10; 2; 9/5; ; 24/13; ; ; ; 24/13; ; ; 17/10; 15/8; ; 9/5; 15/8; 
Draw; 9/4; 23/10; 43/20; 21/10; 23/10; 23/10; 23/10; ; 9/4; 11/5; 9/4; 21/10; 9/4; 11/5; 11/5; ; 11/5; ; ; ; 11/5; ; ; 11/5; 21/10; ; 11/5; 21/10; 
META; english/championship/wigan-v-reading; 2016-10-31 04:21:11 GMT+3; 2016-11-05 15:00; e70300-dr003
Wigan; 7/5; 3/2; 6/4; 6/4; 6/4; 6/4; 7/5; ; 6/4; 7/5; 6/4; 13/8; 29/20; 6/4; 13/8; ; 6/4; ; ; ; 6/4; ; ; 17/11; 7/5; ; 7/5; 7/5; 
Reading; 19/10; 13/8; 2; 19/10; 7/4; 39/20; 2; ; 15/8; 19/10; 9/5; 9/5; 19/10; 19/10; 9/5; ; 24/13; ; ; ; 24/13; ; ; 17/10; 15/8; ; 9/5; 7/4; 
Draw; 9/4; 23/10; 43/20; 21/10; 23/10; 23/10; 23/10; ; 9/4; 11/5; 9/4; 21/10; 9/4; 11/5; 11/5; ; 11/5; ; ; ; 11/5; ; ; 11/5; 21/10; ; 11/5; 19/10; 
META; english/championship/wigan-v-reading; 2016-10-31 08:20:59 GMT+3; 2016-11-05 15:00; e70300-dr003
Wigan; 7/5; 3/2; 6/4; 6/4; 6/4; 6/4; 6/4; ; 6/4; 6/4; 6/4; 13/8; 29/20; 6/4; 13/8; ; 16/11; ; ; ; 16/11; ; ; 17/11; 7/5; ; 7/5; 7/5; 
Reading; 19/10; 13/8; 2; 19/10; 7/4; 39/20; 19/10; ; 15/8; 19/10; 9/5; 9/5; 19/10; 19/10; 9/5; ; 19/10; ; ; ; 19/10; ; ; 17/10; 15/8; ; 9/5; 15/8; 
Draw; 9/4; 23/10; 43/20; 21/10; 23/10; 23/10; 23/10; ; 9/4; 21/10; 9/4; 21/10; 9/4; 11/5; 11/5; ; 28/13; ; ; ; 28/13; ; ; 11/5; 21/10; ; 11/5; 21/10; 
META; english/championship/wigan-v-reading; 2016-10-31 12:21:41 GMT+3; 2016-11-05 15:00; e70300-dr003
Wigan; 7/5; 7/5; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 13/8; 29/20; 6/4; 13/8; ; 16/11; ; 7/5; ; 16/11; ; ; 17/11; 7/5; ; 7/5; 7/5; 
Reading; 19/10; 2; 2; 19/10; 7/4; 39/20; 19/10; 15/8; 15/8; 19/10; 9/5; 9/5; 19/10; 19/10; 9/5; ; 19/10; ; 24/13; ; 19/10; ; ; 17/10; 15/8; ; 19/10; 15/8; 
Draw; 9/4; 9/4; 43/20; 21/10; 23/10; 23/10; 23/10; 9/4; 9/4; 21/10; 9/4; 21/10; 9/4; 11/5; 11/5; ; 28/13; ; 11/5; ; 28/13; ; ; 11/5; 21/10; ; 21/10; 21/10; 
META; english/championship/wigan-v-reading; 2016-10-31 16:21:46 GMT+3; 2016-11-05 15:00; e70300-dr003
Wigan; 7/5; 7/5; 6/4; 6/4; 6/4; 6/4; 7/5; 7/5; 6/4; 6/4; 6/4; 13/8; 29/20; 6/4; 13/8; ; 16/11; ; 7/5; ; 16/11; ; ; 17/11; 7/5; ; 7/5; 7/5; 
Reading; 19/10; 2; 2; 19/10; 7/4; 39/20; 2; 9/5; 15/8; 19/10; 9/5; 9/5; 19/10; 19/10; 9/5; ; 19/10; ; 24/13; ; 19/10; ; ; 17/10; 15/8; ; 19/10; 15/8; 
Draw; 9/4; 9/4; 43/20; 21/10; 23/10; 23/10; 23/10; 21/10; 9/4; 21/10; 9/4; 21/10; 9/4; 11/5; 11/5; ; 28/13; ; 11/5; ; 28/13; ; ; 11/5; 21/10; ; 21/10; 21/10; 
META; english/championship/wigan-v-reading; 2016-10-31 20:22:37 GMT+3; 2016-11-05 15:00; e70300-dr003
Wigan; 13/10; 7/5; 29/20; 29/20; 6/4; 29/20; 7/5; 7/5; 7/5; 7/5; 6/4; 13/8; 7/5; 29/20; 7/5; ; 7/5; ; 7/5; ; 7/5; ; ; 23/17; 11/8; ; 6/4; 7/5; 
Reading; 21/10; 2; 41/20; 21/10; 7/4; 41/20; 2; 9/5; 2; 21/10; 9/5; 9/5; 2; 2; 21/10; ; 39/19; ; 24/13; ; 39/19; ; ; 21/10; 21/10; ; 19/10; 15/8; 
Draw; 9/4; 9/4; 43/20; 2; 23/10; 9/4; 23/10; 21/10; 9/4; 2; 9/4; 21/10; 11/5; 21/10; 11/5; ; 21/10; ; 11/5; ; 21/10; ; ; 21/10; 21/10; ; 21/10; 21/10; 
META; english/championship/wigan-v-reading; 2016-11-01 00:21:55 GMT+3; 2016-11-05 15:00; e70300-dr003
