Newcastle; 20/21; 1; ; 1; ; 19/20; 1; 1; ; 1; ; 11/10; 1; 19/20; 19/20; 21/20; ; 1; 1; 19/20; 1; 1; 17/16; ; ; 4/9; ; 
Draw; 5/2; 12/5; ; 5/2; ; 13/5; 13/5; 23/10; ; 23/10; ; 11/5; 23/10; 12/5; 13/5; 12/5; ; 40/17; 23/10; 12/5; 23/10; 40/17; 28/11; ; ; 11/5; ; 
Fulham; 14/5; 5/2; ; 13/5; ; 13/5; 27/10; 12/5; ; 27/10; ; 2; 5/2; 53/20; 27/10; 12/5; ; 45/17; 27/10; 27/10; 27/10; 45/17; 56/19; ; ; 23/20; ; 
META; english/championship/fulham-v-newcastle; 2016-07-03 00:17:57 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 20/21; 1; ; 1; ; 19/20; 1; 1; ; 1; ; 11/10; 1; 19/20; 19/20; 21/20; ; 1; 1; 19/20; 1; 1; 17/16; ; ; 4/9; ; 
Draw; 5/2; 12/5; ; 5/2; ; 13/5; 13/5; 23/10; ; 23/10; ; 11/5; 23/10; 12/5; 13/5; 12/5; ; 40/17; 23/10; 12/5; 23/10; 40/17; 28/11; ; ; 11/5; ; 
Fulham; 14/5; 5/2; ; 13/5; ; 13/5; 27/10; 12/5; ; 27/10; ; 2; 5/2; 53/20; 27/10; 12/5; ; 45/17; 27/10; 27/10; 27/10; 45/17; 56/19; ; ; 23/20; ; 
META; english/championship/fulham-v-newcastle; 2016-07-03 04:17:01 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 20/21; 1; ; 1; ; 19/20; 1; 1; ; 1; ; 11/10; 1; 19/20; 19/20; 21/20; ; 1; 1; 19/20; 1; 1; 17/16; ; ; 4/9; ; 
Draw; 5/2; 12/5; ; 5/2; ; 13/5; 13/5; 23/10; ; 23/10; ; 11/5; 23/10; 12/5; 13/5; 12/5; ; 40/17; 23/10; 12/5; 23/10; 40/17; 28/11; ; ; 11/5; ; 
Fulham; 14/5; 5/2; ; 13/5; ; 13/5; 27/10; 12/5; ; 27/10; ; 2; 5/2; 53/20; 27/10; 12/5; ; 45/17; 27/10; 27/10; 27/10; 45/17; 56/19; ; ; 23/20; ; 
META; english/championship/fulham-v-newcastle; 2016-07-03 08:18:09 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 20/21; 1; ; 1; ; 19/20; 1; 1; ; 1; ; 11/10; 1; 19/20; 19/20; 21/20; ; 1; 1; 19/20; 1; 1; 17/16; ; ; 4/9; ; 
Draw; 5/2; 12/5; ; 5/2; ; 13/5; 13/5; 23/10; ; 23/10; ; 11/5; 23/10; 12/5; 13/5; 12/5; ; 40/17; 23/10; 12/5; 23/10; 40/17; 28/11; ; ; 11/5; ; 
Fulham; 14/5; 5/2; ; 13/5; ; 13/5; 27/10; 12/5; ; 27/10; ; 2; 5/2; 53/20; 27/10; 12/5; ; 45/17; 27/10; 27/10; 27/10; 45/17; 56/19; ; ; 23/20; ; 
META; english/championship/fulham-v-newcastle; 2016-07-03 12:17:17 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 20/21; 1; ; 1; ; 19/20; 1; 1; ; 1; ; 11/10; 1; 19/20; 19/20; 21/20; ; 1; 1; 19/20; 1; 1; 17/16; ; ; 4/9; ; 
Draw; 5/2; 12/5; ; 5/2; ; 13/5; 13/5; 23/10; ; 23/10; ; 11/5; 23/10; 12/5; 13/5; 12/5; ; 40/17; 23/10; 12/5; 23/10; 40/17; 28/11; ; ; 11/5; ; 
Fulham; 14/5; 5/2; ; 13/5; ; 13/5; 27/10; 12/5; ; 27/10; ; 2; 5/2; 53/20; 27/10; 12/5; ; 45/17; 27/10; 27/10; 27/10; 45/17; 56/19; ; ; 23/20; ; 
META; english/championship/fulham-v-newcastle; 2016-07-03 16:20:27 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 20/21; 1; ; 1; ; 19/20; 1; 1; ; 1; ; 11/10; 1; 19/20; 19/20; 21/20; ; 1; 1; 19/20; 1; ; 17/16; ; ; 4/9; ; 
Draw; 5/2; 12/5; ; 5/2; ; 13/5; 13/5; 23/10; ; 23/10; ; 11/5; 23/10; 12/5; 13/5; 12/5; ; 40/17; 23/10; 12/5; 23/10; ; 28/11; ; ; 11/5; ; 
Fulham; 14/5; 5/2; ; 13/5; ; 13/5; 27/10; 12/5; ; 27/10; ; 2; 5/2; 53/20; 27/10; 12/5; ; 45/17; 27/10; 27/10; 27/10; ; 56/19; ; ; 23/20; ; 
META; english/championship/fulham-v-newcastle; 2016-07-03 20:18:52 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 20/21; 1; ; 1; ; 19/20; 1; 1; ; 1; ; 11/10; 1; 19/20; 19/20; 19/20; ; 1; 1; 19/20; 1; 1; 17/16; ; ; 1/100; ; 
Draw; 5/2; 12/5; ; 5/2; ; 13/5; 13/5; 23/10; ; 23/10; ; 11/5; 23/10; 12/5; 13/5; 13/5; ; 40/17; 23/10; 12/5; 23/10; 40/17; 28/11; ; ; 11/5; ; 
Fulham; 14/5; 5/2; ; 13/5; ; 13/5; 27/10; 12/5; ; 27/10; ; 2; 5/2; 53/20; 27/10; 14/5; ; 45/17; 27/10; 27/10; 27/10; 45/17; 56/19; ; ; 10/9; ; 
META; english/championship/fulham-v-newcastle; 2016-07-04 00:18:12 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 20/21; 1; ; 1; ; 19/20; 1; 1; ; 1; ; 11/10; 1; 19/20; 19/20; 19/20; ; 1; 1; 19/20; 1; 1; 17/16; ; ; 1/100; ; 
Draw; 5/2; 12/5; ; 5/2; ; 13/5; 13/5; 23/10; ; 23/10; ; 11/5; 23/10; 12/5; 13/5; 13/5; ; 40/17; 23/10; 12/5; 23/10; 40/17; 28/11; ; ; 11/5; ; 
Fulham; 14/5; 5/2; ; 13/5; ; 13/5; 27/10; 12/5; ; 27/10; ; 2; 5/2; 53/20; 27/10; 14/5; ; 45/17; 27/10; 27/10; 27/10; 45/17; 56/19; ; ; 10/9; ; 
META; english/championship/fulham-v-newcastle; 2016-07-04 04:17:55 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 20/21; 1; ; 1; ; 19/20; 1; 1; ; 1; ; 11/10; 1; 19/20; 19/20; 19/20; ; 1; 1; 19/20; 1; 1; 17/16; ; ; 1/100; ; 
Draw; 5/2; 12/5; ; 5/2; ; 13/5; 13/5; 23/10; ; 23/10; ; 11/5; 23/10; 12/5; 13/5; 13/5; ; 40/17; 23/10; 12/5; 23/10; 40/17; 28/11; ; ; 11/5; ; 
Fulham; 14/5; 5/2; ; 13/5; ; 13/5; 27/10; 12/5; ; 27/10; ; 2; 5/2; 53/20; 27/10; 14/5; ; 45/17; 27/10; 27/10; 27/10; 45/17; 56/19; ; ; 10/9; ; 
META; english/championship/fulham-v-newcastle; 2016-07-04 08:18:04 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 20/21; 1; ; 1; ; 19/20; 1; 1; ; 1; ; 11/10; 1; 19/20; 19/20; 19/20; ; 1; 1; 19/20; 1; 1; 17/16; ; ; 1/100; ; 
Draw; 5/2; 12/5; ; 5/2; ; 13/5; 13/5; 23/10; ; 23/10; ; 11/5; 23/10; 12/5; 13/5; 13/5; ; 40/17; 23/10; 12/5; 23/10; 40/17; 28/11; ; ; 11/5; ; 
Fulham; 14/5; 5/2; ; 13/5; ; 13/5; 11/4; 12/5; ; 27/10; ; 2; 5/2; 53/20; 27/10; 14/5; ; 45/17; 27/10; 27/10; 27/10; 45/17; 56/19; ; ; 10/9; ; 
META; english/championship/fulham-v-newcastle; 2016-07-04 12:18:18 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 20/21; 1; ; 1; ; 19/20; 1; 1; ; 1; ; 11/10; 1; 19/20; 19/20; 19/20; ; 1; 1; 19/20; 1; 1; 17/16; ; ; 1/100; ; 
Draw; 5/2; 12/5; ; 5/2; ; 13/5; 13/5; 23/10; ; 23/10; ; 11/5; 23/10; 12/5; 13/5; 13/5; ; 40/17; 23/10; 12/5; 23/10; 40/17; 28/11; ; ; 11/5; ; 
Fulham; 14/5; 5/2; ; 13/5; ; 13/5; 11/4; 12/5; ; 27/10; ; 2; 5/2; 53/20; 27/10; 14/5; ; 45/17; 27/10; 27/10; 27/10; 45/17; 56/19; ; ; 10/9; ; 
META; english/championship/fulham-v-newcastle; 2016-07-04 16:18:35 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 20/21; 1; ; 1; ; 19/20; 1; 1; ; 1; ; 11/10; 1; 19/20; 19/20; 19/20; ; 1; 1; 19/20; 1; 1; 17/16; ; ; 1/100; ; 
Draw; 5/2; 12/5; ; 5/2; ; 13/5; 13/5; 23/10; ; 23/10; ; 11/5; 23/10; 12/5; 13/5; 13/5; ; 40/17; 23/10; 12/5; 23/10; 40/17; 28/11; ; ; 11/5; ; 
Fulham; 14/5; 5/2; ; 13/5; ; 13/5; 11/4; 12/5; ; 27/10; ; 2; 5/2; 53/20; 27/10; 14/5; ; 45/17; 27/10; 27/10; 27/10; 45/17; 56/19; ; ; 10/9; ; 
META; english/championship/fulham-v-newcastle; 2016-07-04 20:19:21 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 6/5; 1; ; 23/20; ; 19/20; 5/4; 1; ; 1; ; 11/10; 1; 6/5; 5/4; 5/4; ; 15/13; 1; 15/13; 1; 15/13; 16/13; ; ; 1/100; ; 
Draw; 23/10; 12/5; ; 23/10; ; 13/5; 5/2; 23/10; ; 23/10; ; 11/5; 23/10; 23/10; 23/10; 23/10; ; 9/4; 23/10; 23/10; 23/10; 9/4; 27/11; ; ; 11/5; ; 
Fulham; 9/4; 5/2; ; 12/5; ; 13/5; 85/40; 12/5; ; 27/10; ; 2; 5/2; 21/10; 21/10; 23/10; ; 23/10; 27/10; 11/5; 27/10; 23/10; 28/11; ; ; 10/9; ; 
META; english/championship/fulham-v-newcastle; 2016-07-05 00:18:16 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 6/5; 1; ; 23/20; ; 19/20; 6/5; 1; ; 1; ; 11/10; 1; 23/20; 6/5; 5/4; ; 11/10; 1; 15/13; 1; 11/10; 16/13; ; ; 1/100; ; 
Draw; 23/10; 12/5; ; 23/10; ; 13/5; 5/2; 23/10; ; 23/10; ; 11/5; 23/10; 47/20; 12/5; 23/10; ; 23/10; 23/10; 23/10; 23/10; 23/10; 27/11; ; ; 11/5; ; 
Fulham; 9/4; 5/2; ; 12/5; ; 13/5; 9/4; 12/5; ; 27/10; ; 2; 5/2; 11/5; 9/4; 23/10; ; 40/17; 27/10; 11/5; 27/10; 40/17; 28/11; ; ; 10/9; ; 
META; english/championship/fulham-v-newcastle; 2016-07-05 04:18:24 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 6/5; 1; ; 23/20; ; 19/20; 6/5; 1; ; 1; ; 11/10; 1; 23/20; 6/5; 5/4; ; 11/10; 1; 15/13; 1; 11/10; 16/13; ; ; 1/100; ; 
Draw; 23/10; 12/5; ; 23/10; ; 13/5; 5/2; 23/10; ; 23/10; ; 11/5; 23/10; 47/20; 12/5; 23/10; ; 23/10; 23/10; 23/10; 23/10; 23/10; 27/11; ; ; 11/5; ; 
Fulham; 9/4; 5/2; ; 12/5; ; 13/5; 9/4; 12/5; ; 27/10; ; 2; 5/2; 11/5; 9/4; 23/10; ; 40/17; 27/10; 11/5; 27/10; 40/17; 28/11; ; ; 10/9; ; 
META; english/championship/fulham-v-newcastle; 2016-07-05 08:18:26 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 6/5; 1; ; 23/20; ; 19/20; 6/5; 1; ; 1; ; 11/10; 1; 23/20; 6/5; 5/4; ; 11/10; 1; 15/13; 1; 11/10; 16/13; ; ; 1/100; ; 
Draw; 23/10; 12/5; ; 23/10; ; 13/5; 5/2; 23/10; ; 23/10; ; 11/5; 23/10; 47/20; 12/5; 23/10; ; 9/4; 23/10; 23/10; 23/10; 9/4; 27/11; ; ; 11/5; ; 
Fulham; 9/4; 5/2; ; 12/5; ; 13/5; 9/4; 12/5; ; 27/10; ; 2; 5/2; 11/5; 9/4; 23/10; ; 40/17; 27/10; 11/5; 27/10; 40/17; 28/11; ; ; 10/9; ; 
META; english/championship/fulham-v-newcastle; 2016-07-05 12:19:12 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 6/5; 1; ; 23/20; ; 19/20; 6/5; 1; ; 1; ; 11/10; 6/5; 11/10; 6/5; 5/4; ; 15/13; 1; 15/13; 1; 15/13; 6/5; ; ; 1/100; ; 
Draw; 23/10; 12/5; ; 23/10; ; 13/5; 12/5; 23/10; ; 23/10; ; 11/5; 12/5; 47/20; 12/5; 23/10; ; 9/4; 23/10; 23/10; 23/10; 9/4; 27/11; ; ; 11/5; ; 
Fulham; 9/4; 5/2; ; 12/5; ; 13/5; 23/10; 12/5; ; 27/10; ; 2; 11/5; 9/4; 9/4; 23/10; ; 23/10; 27/10; 11/5; 27/10; 23/10; 13/5; ; ; 10/9; ; 
META; english/championship/fulham-v-newcastle; 2016-07-05 16:19:04 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 6/5; 1; ; 23/20; ; 19/20; 23/20; 1; ; 1; ; 11/10; 6/5; 11/10; 6/5; 5/4; ; 15/13; 1; 15/13; 1; 15/13; 6/5; 15/13; ; 1/100; ; 
Draw; 23/10; 12/5; ; 23/10; ; 13/5; 5/2; 23/10; ; 23/10; ; 11/5; 12/5; 47/20; 5/2; 23/10; ; 23/10; 23/10; 23/10; 23/10; 23/10; 27/11; 40/17; ; 11/5; ; 
Fulham; 9/4; 5/2; ; 12/5; ; 13/5; 23/10; 12/5; ; 27/10; ; 2; 11/5; 23/10; 11/5; 23/10; ; 23/10; 27/10; 11/5; 27/10; 23/10; 13/5; 37/19; ; 10/9; ; 
META; english/championship/fulham-v-newcastle; 2016-07-05 20:20:30 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 6/5; 1; ; 23/20; ; 19/20; 23/20; 1; ; 1; ; 11/10; 6/5; 11/10; 6/5; 5/4; ; 15/13; 1; 15/13; 1; 15/13; 6/5; 15/13; ; 8/11; ; 
Draw; 23/10; 12/5; ; 23/10; ; 13/5; 5/2; 23/10; ; 23/10; ; 11/5; 12/5; 47/20; 5/2; 23/10; ; 23/10; 23/10; 23/10; 23/10; 23/10; 27/11; 40/17; ; 11/5; ; 
Fulham; 9/4; 5/2; ; 12/5; ; 13/5; 23/10; 12/5; ; 27/10; ; 2; 11/5; 23/10; 11/5; 23/10; ; 23/10; 27/10; 11/5; 27/10; 23/10; 13/5; 37/19; ; 19/10; ; 
META; english/championship/fulham-v-newcastle; 2016-07-06 00:18:25 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 6/5; 1; ; 23/20; ; 19/20; 23/20; 1; ; 1; ; 11/10; 6/5; 11/10; 6/5; 5/4; ; 15/13; 1; 15/13; 1; 15/13; 6/5; 15/13; ; 4/5; ; 
Draw; 23/10; 12/5; ; 23/10; ; 13/5; 5/2; 23/10; ; 23/10; ; 11/5; 12/5; 47/20; 5/2; 23/10; ; 23/10; 23/10; 23/10; 23/10; 23/10; 27/11; 40/17; ; 11/5; ; 
Fulham; 9/4; 5/2; ; 12/5; ; 13/5; 23/10; 12/5; ; 27/10; ; 2; 11/5; 23/10; 11/5; 23/10; ; 23/10; 27/10; 11/5; 27/10; 23/10; 13/5; 37/19; ; 19/10; ; 
META; english/championship/fulham-v-newcastle; 2016-07-06 04:18:18 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 6/5; 1; ; 23/20; ; 19/20; 23/20; 1; ; 1; ; 11/10; 6/5; 11/10; 6/5; 5/4; ; 15/13; 1; 15/13; 1; 15/13; 6/5; 15/13; ; 4/5; ; 
Draw; 23/10; 12/5; ; 23/10; ; 13/5; 5/2; 23/10; ; 23/10; ; 11/5; 12/5; 47/20; 5/2; 23/10; ; 23/10; 23/10; 23/10; 23/10; 23/10; 27/11; 40/17; ; 11/5; ; 
Fulham; 9/4; 5/2; ; 12/5; ; 13/5; 23/10; 12/5; ; 27/10; ; 2; 11/5; 23/10; 11/5; 23/10; ; 23/10; 27/10; 11/5; 27/10; 23/10; 13/5; 37/19; ; 19/10; ; 
META; english/championship/fulham-v-newcastle; 2016-07-06 08:18:21 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 6/5; 1; ; 23/20; ; 19/20; 6/5; 1; ; 1; ; 11/10; 6/5; 23/20; 6/5; 5/4; ; 15/13; 1; 15/13; 1; 15/13; 6/5; 15/13; ; 11/10; ; 
Draw; 23/10; 12/5; ; 23/10; ; 13/5; 5/2; 23/10; ; 23/10; ; 11/5; 12/5; 47/20; 5/2; 23/10; ; 23/10; 23/10; 23/10; 23/10; 23/10; 27/11; 40/17; ; 11/5; ; 
