Newcastle; 7/10; 3/4; 3/4; 3/4; 3/4; 3/4; 3/4; 4/6; 8/11; 3/4; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 14/19; 13/18; 8/11; 14/19; 39/50; 13/18; 13/17; 7/10; 11/14; ; 8/11; 8/11; 8/11
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 14/5; 11/4; 11/4; 14/5; 13/5; 5/2; 13/5; 27/10; 11/4; 11/4; 14/5; 11/4; 13/5; 13/5; 11/4; 14/5; 14/5; 45/17; 11/4; 27/10; ; 5/2; 13/5; 14/5
Birmingham; 15/4; 19/5; 19/5; 15/4; 19/5; 19/5; 15/4; 15/4; 19/5; 15/4; 18/5; 15/4; 15/4; 15/4; 15/4; 4; 19/5; 15/4; 7/2; 19/5; 4; 19/5; 7/2; 15/4; 18/5; ; 7/2; 7/2; 7/2
META; english/championship/birmingham-v-newcastle; 2017-03-15 04:20:08 GMT+2; 2017-03-18 15:00; e70300-dr003
Newcastle; 7/10; 3/4; 3/4; 3/4; 3/4; 3/4; 3/4; 4/6; 8/11; 3/4; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 14/19; 13/18; 8/11; ; 39/50; 13/18; 13/17; 7/10; 11/14; ; 8/11; 8/11; 8/11
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 14/5; 11/4; 11/4; 14/5; 13/5; 5/2; 13/5; 27/10; 11/4; 11/4; 14/5; 11/4; 13/5; 13/5; ; 14/5; 14/5; 45/17; 11/4; 27/10; ; 13/5; 13/5; 14/5
Birmingham; 15/4; 19/5; 19/5; 15/4; 19/5; 19/5; 15/4; 15/4; 19/5; 15/4; 18/5; 15/4; 15/4; 15/4; 15/4; 4; 19/5; 15/4; 7/2; ; 4; 19/5; 7/2; 15/4; 18/5; ; 7/2; 7/2; 7/2
META; english/championship/birmingham-v-newcastle; 2017-03-15 08:20:03 GMT+2; 2017-03-18 15:00; e70300-dr003
Newcastle; 7/10; 3/4; 3/4; 3/4; 3/4; 3/4; 3/4; 4/6; 8/11; 3/4; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 14/19; 13/18; 8/11; 14/19; 39/50; 13/18; 13/17; 7/10; 11/14; ; 8/11; 8/11; 8/11
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 14/5; 11/4; 11/4; 14/5; 13/5; 5/2; 13/5; 27/10; 11/4; 11/4; 14/5; 11/4; 13/5; 13/5; 11/4; 14/5; 14/5; 45/17; 11/4; 27/10; ; 13/5; 13/5; 14/5
Birmingham; 15/4; 19/5; 19/5; 15/4; 4; 19/5; 15/4; 15/4; 19/5; 15/4; 18/5; 15/4; 15/4; 15/4; 15/4; 4; 19/5; 15/4; 7/2; 19/5; 4; 19/5; 7/2; 15/4; 18/5; ; 7/2; 7/2; 7/2
META; english/championship/birmingham-v-newcastle; 2017-03-15 12:22:25 GMT+2; 2017-03-18 15:00; e70300-dr003
Newcastle; 7/10; 3/4; 3/4; 3/4; 3/4; 3/4; 3/4; 4/6; 8/11; 3/4; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 14/19; 13/18; 8/11; 14/19; 39/50; 13/18; 13/17; 7/10; 11/14; ; 4/6; 8/11; 8/11
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 14/5; 11/4; 11/4; 14/5; 13/5; 5/2; 13/5; 27/10; 11/4; 11/4; 14/5; 11/4; 13/5; 13/5; 11/4; 14/5; 14/5; 45/17; 11/4; 27/10; ; 27/10; 13/5; 14/5
Birmingham; 15/4; 19/5; 19/5; 15/4; 4; 19/5; 15/4; 15/4; 19/5; 15/4; 18/5; 15/4; 15/4; 15/4; 15/4; 4; 19/5; 15/4; 7/2; 19/5; 4; 19/5; 7/2; 15/4; 18/5; ; 7/2; 7/2; 7/2
META; english/championship/birmingham-v-newcastle; 2017-03-15 16:20:34 GMT+2; 2017-03-18 15:00; e70300-dr003
