META; english/championship/burton-v-birmingham; 2016-10-16 00:23:13 GMT+3; 2016-10-21 19:45; e70300-dr003
Birmingham; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/11; ; 
Burton; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/11; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
META; english/championship/burton-v-birmingham; 2016-10-16 04:20:35 GMT+3; 2016-10-21 19:45; e70300-dr003
Birmingham; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/11; ; 
Burton; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/11; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
META; english/championship/burton-v-birmingham; 2016-10-16 08:20:59 GMT+3; 2016-10-21 19:45; e70300-dr003
Birmingham; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/11; ; 
Burton; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/11; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
META; english/championship/burton-v-birmingham; 2016-10-16 12:22:04 GMT+3; 2016-10-21 19:45; e70300-dr003
Birmingham; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/11; ; 
Burton; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/11; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
META; english/championship/burton-v-birmingham; 2016-10-16 16:21:31 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 8/5; 8/5; 13/8; ; 13/8; ; 13/8; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
Birmingham; 17/10; 8/5; 7/4; ; 7/4; ; 7/4; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; 
Draw; 9/4; 9/4; 23/10; ; 9/4; ; 9/4; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/championship/burton-v-birmingham; 2016-10-16 20:21:37 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 8/5; 8/5; 13/8; ; 13/8; ; 13/8; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; 8/5; 8/5; ; 7/5; ; 
Birmingham; 17/10; 8/5; 7/4; ; 7/4; ; 7/4; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; 17/10; 17/10; ; 6/4; ; 
Draw; 9/4; 9/4; 23/10; ; 9/4; ; 9/4; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; 23/10; 11/5; ; 21/10; ; 
META; english/championship/burton-v-birmingham; 2016-10-17 00:21:23 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 8/5; 8/5; 13/8; ; 13/8; ; 17/10; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; 8/5; 8/5; ; 6/4; ; 
Birmingham; 17/10; 8/5; 7/4; ; 7/4; ; 17/10; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; 17/10; 17/10; ; 8/5; ; 
Draw; 9/4; 9/4; 23/10; ; 9/4; ; 9/4; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; 23/10; 11/5; ; 21/10; ; 
META; english/championship/burton-v-birmingham; 2016-10-17 04:21:18 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 8/5; 8/5; 33/20; ; 13/8; ; 13/8; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; 8/5; 8/5; ; 6/4; ; 
Birmingham; 17/10; 8/5; 7/4; ; 7/4; ; 7/4; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; 17/10; 17/10; ; 8/5; ; 
Draw; 9/4; 9/4; 11/5; ; 9/4; ; 23/10; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; 23/10; 9/4; ; 21/10; ; 
META; english/championship/burton-v-birmingham; 2016-10-17 08:21:14 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 8/5; 8/5; 33/20; ; 13/8; ; 13/8; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; 8/5; 8/5; ; 6/4; ; 
Birmingham; 17/10; 8/5; 7/4; ; 7/4; ; 7/4; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; 17/10; 17/10; ; 8/5; ; 
Draw; 9/4; 9/4; 11/5; ; 9/4; ; 23/10; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; 23/10; 9/4; ; 21/10; ; 
META; english/championship/burton-v-birmingham; 2016-10-17 12:22:27 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 8/5; 8/5; 33/20; ; 13/8; 33/20; 13/8; 8/5; ; ; 31/20; ; ; 8/5; ; ; 8/5; ; ; ; 8/5; ; ; 8/5; 8/5; ; 6/4; ; 
Birmingham; 17/10; 8/5; 7/4; ; 7/4; 17/10; 17/10; 17/10; ; ; 33/20; ; ; 17/10; ; ; 17/10; ; ; ; 17/10; ; ; 17/10; 17/10; ; 13/8; ; 
Draw; 9/4; 9/4; 11/5; ; 9/4; 12/5; 23/10; 23/10; ; ; 21/10; ; ; 9/4; ; ; 9/4; ; ; ; 9/4; ; ; 23/10; 9/4; ; 21/10; ; 
META; english/championship/burton-v-birmingham; 2016-10-17 16:22:44 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 8/5; 8/5; 17/10; ; 13/8; 5/3; 17/10; 6/4; ; 13/8; 8/5; ; 8/5; 13/8; ; ; 8/5; ; 8/5; ; 8/5; ; ; 8/5; 8/5; ; 6/4; ; 
Birmingham; 17/10; 8/5; 7/4; ; 7/4; 17/10; 17/10; 6/4; ; 17/10; 17/10; ; 17/10; 17/10; ; ; 28/17; ; 8/5; ; 28/17; ; ; 17/10; 17/10; ; 13/8; ; 
Draw; 9/4; 9/4; 21/10; ; 9/4; 23/10; 9/4; 23/10; ; 11/5; 2; ; 23/10; 23/10; ; ; 9/4; ; 11/5; ; 9/4; ; ; 23/10; 9/4; ; 21/10; ; 
META; english/championship/burton-v-birmingham; 2016-10-17 20:22:18 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 8/5; 8/5; 17/10; ; 13/8; 5/3; 17/10; 6/4; 13/8; 13/8; 8/5; ; 33/20; 13/8; ; ; 8/5; ; 8/5; ; 8/5; ; ; 8/5; 13/8; ; 13/8; ; 
Birmingham; 17/10; 8/5; 7/4; ; 7/4; 7/4; 17/10; 6/4; 7/4; 17/10; 33/20; ; 17/10; 17/10; ; ; 17/10; ; 8/5; ; 17/10; ; ; 17/10; 17/10; ; 13/8; ; 
Draw; 9/4; 9/4; 43/20; ; 9/4; 9/4; 9/4; 23/10; 9/4; 11/5; 2; ; 11/5; 11/5; ; ; 11/5; ; 11/5; ; 11/5; ; ; 23/10; 11/5; ; 21/10; ; 
META; english/championship/burton-v-birmingham; 2016-10-18 00:21:28 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 8/5; 8/5; 17/10; ; 13/8; 5/3; 17/10; 6/4; 13/8; 13/8; 8/5; ; ; 13/8; ; ; 8/5; ; 8/5; ; 8/5; ; ; 8/5; 13/8; ; 13/8; ; 
Birmingham; 17/10; 8/5; 7/4; ; 7/4; 7/4; 17/10; 6/4; 7/4; 17/10; 33/20; ; ; 17/10; ; ; 17/10; ; 8/5; ; 17/10; ; ; 17/10; 17/10; ; 13/8; ; 
Draw; 9/4; 9/4; 43/20; ; 9/4; 9/4; 9/4; 23/10; 9/4; 11/5; 2; ; ; 11/5; ; ; 11/5; ; 11/5; ; 11/5; ; ; 23/10; 11/5; ; 21/10; ; 
META; english/championship/burton-v-birmingham; 2016-10-18 04:21:34 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 8/5; 8/5; 17/10; ; 13/8; 5/3; 17/10; 6/4; 13/8; 13/8; 8/5; ; 33/20; 13/8; ; ; 8/5; ; 8/5; ; 8/5; ; ; 8/5; 13/8; ; 13/8; ; 
Birmingham; 17/10; 8/5; 7/4; ; 7/4; 7/4; 17/10; 6/4; 7/4; 17/10; 33/20; ; 17/10; 17/10; ; ; 17/10; ; 8/5; ; 17/10; ; ; 17/10; 17/10; ; 17/10; ; 
Draw; 9/4; 9/4; 43/20; ; 9/4; 9/4; 9/4; 23/10; 9/4; 11/5; 2; ; 11/5; 11/5; ; ; 11/5; ; 11/5; ; 11/5; ; ; 23/10; 11/5; ; 21/10; ; 
META; english/championship/burton-v-birmingham; 2016-10-18 08:21:58 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 8/5; 8/5; 17/10; ; 13/8; 5/3; 17/10; 6/4; 13/8; 13/8; 8/5; ; ; 13/8; ; ; 8/5; ; 8/5; ; 8/5; ; ; 8/5; 13/8; ; 13/8; ; 
Birmingham; 17/10; 8/5; 7/4; ; 7/4; 7/4; 17/10; 6/4; 7/4; 17/10; 33/20; ; ; 17/10; ; ; 17/10; ; 8/5; ; 17/10; ; ; 17/10; 17/10; ; 17/10; ; 
Draw; 9/4; 9/4; 43/20; ; 9/4; 9/4; 9/4; 23/10; 9/4; 11/5; 2; ; ; 11/5; ; ; 11/5; ; 11/5; ; 11/5; ; ; 23/10; 11/5; ; 21/10; ; 
META; english/championship/burton-v-birmingham; 2016-10-18 12:21:55 GMT+3; 2016-10-21 19:45; e70300-dr003
