META; english/championship/derby-v-burton; 2017-02-18 12:21:38 GMT+2; 2017-05-06 12:00; e70300-dr003
Derby; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; 
Burton; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; 
Burton; 17/4; 17/4; 17/4; 9/2; 9/2; 4; 21/5; 4; 17/4; 4; 10/3; 4; 17/4; 9/2; 4; 9/2; 77/19; 17/4; 4; 77/19; 9/2; 62/17; 41/10; 4; ; 21/5; 4; 
META; english/championship/derby-v-burton; 2017-02-20 00:20:22 GMT+2; 2017-02-21 19:45; e70300-dr003
Derby; 4/6; 8/11; 8/11; 8/11; 8/11; 7/10; 8/11; 4/6; 8/11; 7/10; 4/6; 7/10; 8/11; 7/10; 7/10; 8/11; 9/13; 4/6; 4/6; 9/13; 3/4; 7/10; 13/18; 7/10; ; 4/6; 4/6; 
Draw; 13/5; 5/2; 5/2; 13/5; 11/4; 14/5; 14/5; 13/5; 11/4; 5/2; 12/5; 13/5; 53/20; 11/4; 11/4; 11/4; 45/17; 5/2; 5/2; 45/17; 11/4; 13/5; 28/11; 13/5; ; 27/10; 13/5; 
Burton; 17/4; 17/4; 17/4; 9/2; 9/2; 4; 9/2; 4; 17/4; 17/4; 10/3; 4; 17/4; 24/5; 4; 9/2; 43/10; 17/4; 4; 43/10; 9/2; 62/17; 41/10; 15/4; ; 21/5; 21/5; 
META; english/championship/derby-v-burton; 2017-02-20 00:43:32 GMT+2; 2017-02-21 19:45; e70300-dr003
Derby; 4/6; 7/10; 7/10; 8/11; 8/11; 7/10; 8/11; 4/6; 8/11; 7/10; 4/6; 7/10; 8/11; 7/10; 7/10; 8/11; 9/13; 4/6; 4/6; 9/13; 3/4; 7/10; 13/18; 7/10; ; 4/6; 4/6; 
Draw; 13/5; 13/5; 5/2; 13/5; 11/4; 14/5; 14/5; 13/5; 11/4; 13/5; 12/5; 13/5; 53/20; 11/4; 11/4; 11/4; 45/17; 5/2; 5/2; 45/17; 11/4; 13/5; 28/11; 13/5; ; 13/5; 13/5; 
Burton; 17/4; 17/4; 9/2; 9/2; 9/2; 4; 9/2; 4; 17/4; 17/4; 10/3; 4; 17/4; 24/5; 4; 9/2; 43/10; 17/4; 4; 43/10; 9/2; 62/17; 41/10; 15/4; ; 21/5; 21/5; 
META; english/championship/derby-v-burton; 2017-02-20 01:45:30 GMT+2; 2017-02-21 19:45; e70300-dr003
Derby; 4/6; 7/10; 7/10; 8/11; 8/11; 7/10; 8/11; 4/6; 4/6; 7/10; 4/6; 7/10; 8/11; 7/10; 7/10; 8/11; 9/13; 4/6; 4/6; 9/13; 3/4; 7/10; 13/18; 7/10; ; 4/6; 4/6; 
Draw; 13/5; 13/5; 5/2; 13/5; 11/4; 14/5; 14/5; 13/5; 13/5; 13/5; 12/5; 13/5; 53/20; 11/4; 11/4; 11/4; 45/17; 5/2; 5/2; 45/17; 11/4; 13/5; 28/11; 13/5; ; 13/5; 13/5; 
Burton; 17/4; 17/4; 9/2; 9/2; 9/2; 4; 9/2; 4; 17/4; 17/4; 10/3; 4; 17/4; 24/5; 4; 9/2; 43/10; 17/4; 4; 43/10; 9/2; 62/17; 41/10; 15/4; ; 21/5; 21/5; 
META; english/championship/derby-v-burton; 2017-02-20 03:45:30 GMT+2; 2017-02-21 19:45; e70300-dr003
Derby; 4/6; 7/10; 8/11; 8/11; 8/11; 7/10; 8/11; 4/6; 4/6; 7/10; 4/6; 7/10; 8/11; 7/10; 7/10; 8/11; 9/13; 4/6; 4/6; 9/13; 3/4; 9/13; 13/18; 7/10; ; 4/6; 4/6; 
Draw; 13/5; 13/5; 5/2; 13/5; 11/4; 14/5; 14/5; 13/5; 13/5; 5/2; 12/5; 13/5; 53/20; 11/4; 11/4; 11/4; 45/17; 5/2; 5/2; 45/17; 11/4; 13/5; 28/11; 13/5; ; 13/5; 13/5; 
Burton; 17/4; 17/4; 17/4; 9/2; 9/2; 4; 9/2; 4; 17/4; 17/4; 10/3; 4; 17/4; 24/5; 4; 9/2; 43/10; 17/4; 4; 43/10; 9/2; 37/10; 41/10; 4; ; 21/5; 21/5; 
META; english/championship/derby-v-burton; 2017-02-20 04:20:16 GMT+2; 2017-02-21 19:45; e70300-dr003
Derby; 4/6; 7/10; 8/11; 8/11; 8/11; 7/10; 8/11; 4/6; 4/6; 7/10; 4/6; 7/10; 8/11; 7/10; 7/10; 8/11; 9/13; 4/6; 4/6; 9/13; 3/4; 9/13; 13/18; 7/10; ; 4/6; 4/6; 
Draw; 13/5; 13/5; 5/2; 13/5; 11/4; 14/5; 14/5; 13/5; 13/5; 5/2; 12/5; 13/5; 53/20; 11/4; 11/4; 11/4; 45/17; 5/2; 5/2; 45/17; 11/4; 13/5; 28/11; 13/5; ; 13/5; 13/5; 
Burton; 17/4; 17/4; 17/4; 9/2; 9/2; 4; 9/2; 4; 17/4; 17/4; 10/3; 4; 17/4; 24/5; 4; 9/2; 43/10; 17/4; 4; 43/10; 9/2; 37/10; 41/10; 4; ; 21/5; 21/5; 
META; english/championship/derby-v-burton; 2017-02-20 05:45:31 GMT+2; 2017-02-21 19:45; e70300-dr003
Derby; 4/6; 7/10; 8/11; 8/11; 8/11; 7/10; 8/11; 4/6; 4/6; 7/10; 4/6; 7/10; 8/11; 7/10; 7/10; 8/11; 9/13; 4/6; 4/6; 9/13; 3/4; 9/13; 13/18; 7/10; ; 4/6; 4/6; 
Draw; 13/5; 13/5; 5/2; 13/5; 11/4; 14/5; 14/5; 13/5; 13/5; 5/2; 12/5; 13/5; 53/20; 11/4; 11/4; 11/4; 45/17; 5/2; 5/2; 45/17; 11/4; 13/5; 28/11; 13/5; ; 13/5; 13/5; 
Burton; 17/4; 17/4; 17/4; 9/2; 9/2; 4; 9/2; 4; 17/4; 17/4; 10/3; 4; 17/4; 24/5; 4; 9/2; 43/10; 17/4; 4; 43/10; 9/2; 37/10; 41/10; 4; ; 21/5; 21/5; 
META; english/championship/derby-v-burton; 2017-02-20 06:27:21 GMT+2; 2017-02-21 19:45; e70300-dr003
Derby; 8/11; 7/10; 8/11; 8/11; 8/11; 7/10; 8/11; 4/6; 4/6; 7/10; 4/6; 7/10; 8/11; 7/10; 7/10; 8/11; 9/13; 4/6; 4/6; 9/13; 3/4; 13/18; 13/18; 7/10; ; 4/6; 4/6; 
Draw; 14/5; 13/5; 5/2; 13/5; 11/4; 11/4; 14/5; 13/5; 13/5; 5/2; 12/5; 13/5; 53/20; 11/4; 11/4; 11/4; 45/17; 5/2; 5/2; 45/17; 11/4; 13/5; 28/11; 13/5; ; 13/5; 13/5; 
Burton; 9/2; 17/4; 17/4; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 17/4; 10/3; 4; 17/4; 24/5; 4; 9/2; 43/10; 17/4; 4; 43/10; 9/2; 21/5; 41/10; 4; ; 21/5; 21/5; 
META; english/championship/derby-v-burton; 2017-02-20 07:45:27 GMT+2; 2017-02-21 19:45; e70300-dr003
Derby; 8/11; 7/10; 8/11; 8/11; 8/11; 7/10; 8/11; 4/6; 4/6; 7/10; 4/6; 7/10; 8/11; 7/10; 7/10; 8/11; 9/13; 4/6; 4/6; 9/13; 3/4; 13/18; 13/18; 7/10; ; 4/6; 4/6; 
Draw; 14/5; 13/5; 5/2; 13/5; 11/4; 11/4; 14/5; 13/5; 13/5; 5/2; 12/5; 13/5; 53/20; 11/4; 11/4; 11/4; 45/17; 5/2; 5/2; 45/17; 11/4; 13/5; 28/11; 13/5; ; 13/5; 13/5; 
Burton; 9/2; 17/4; 17/4; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 17/4; 10/3; 4; 17/4; 24/5; 4; 9/2; 43/10; 17/4; 4; 43/10; 9/2; 21/5; 41/10; 4; ; 21/5; 21/5; 
META; english/championship/derby-v-burton; 2017-02-20 08:20:19 GMT+2; 2017-02-21 19:45; e70300-dr003
Derby; 8/11; 7/10; 7/10; 8/11; 8/11; 7/10; 8/11; 4/6; 4/6; 7/10; 4/6; 7/10; 8/11; 7/10; 7/10; 8/11; 9/13; 4/6; 4/6; 9/13; 3/4; 13/18; 13/18; 7/10; ; 4/6; 4/6; 
Draw; 14/5; 13/5; 5/2; 13/5; 11/4; 11/4; 14/5; 13/5; 13/5; 13/5; 12/5; 13/5; 53/20; 11/4; 11/4; 11/4; 45/17; 5/2; 5/2; 45/17; 11/4; 13/5; 28/11; 13/5; ; 13/5; 13/5; 
Burton; 9/2; 17/4; 9/2; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 17/4; 10/3; 4; 17/4; 24/5; 4; 9/2; 43/10; 17/4; 4; 43/10; 9/2; 21/5; 41/10; 4; ; 21/5; 21/5; 
META; english/championship/derby-v-burton; 2017-02-20 09:45:27 GMT+2; 2017-02-21 19:45; e70300-dr003
Derby; 8/11; 7/10; 7/10; 8/11; 8/11; 7/10; 8/11; 4/6; 4/6; 7/10; 4/6; 7/10; 8/11; 7/10; 7/10; 8/11; 9/13; 4/6; 4/6; 9/13; 3/4; 8/11; 13/18; 7/10; ; 4/6; 4/6; 
Draw; 14/5; 13/5; 5/2; 13/5; 11/4; 11/4; 14/5; 13/5; 13/5; 5/2; 12/5; 13/5; 53/20; 11/4; 11/4; 11/4; 45/17; 5/2; 5/2; 45/17; 11/4; 13/5; 28/11; 13/5; ; 13/5; 13/5; 
Burton; 9/2; 17/4; 9/2; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 17/4; 10/3; 4; 17/4; 24/5; 4; 9/2; 43/10; 17/4; 4; 43/10; 9/2; 21/5; 41/10; 4; ; 22/5; 21/5; 
META; english/championship/derby-v-burton; 2017-02-20 11:45:29 GMT+2; 2017-02-21 19:45; e70300-dr003
Derby; 8/11; 7/10; 8/11; 8/11; 7/10; 7/10; 8/11; 4/6; 4/6; 7/10; 4/6; 7/10; 8/11; 7/10; 7/10; 8/11; 9/13; 4/6; 4/6; 9/13; 3/4; 8/11; 13/18; 7/10; ; 4/6; 4/6; 
Draw; 14/5; 13/5; 5/2; 13/5; 11/4; 11/4; 14/5; 13/5; 13/5; 5/2; 12/5; 13/5; 53/20; 11/4; 11/4; 11/4; 45/17; 5/2; 5/2; 45/17; 11/4; 13/5; 28/11; 13/5; ; 13/5; 13/5; 
Burton; 9/2; 17/4; 17/4; 9/2; 9/2; 17/4; 9/2; 7/2; 17/4; 17/4; 10/3; 4; 17/4; 24/5; 4; 9/2; 43/10; 17/4; 4; 43/10; 9/2; 21/5; 41/10; 4; ; 22/5; 21/5; 
META; english/championship/derby-v-burton; 2017-02-20 12:22:27 GMT+2; 2017-02-21 19:45; e70300-dr003
Derby; 8/11; 7/10; 8/11; 3/4; 7/10; 7/10; 8/11; 4/6; 4/6; 7/10; 4/6; 7/10; 8/11; 7/10; 7/10; 8/11; 9/13; 4/6; 4/6; 9/13; 3/4; 8/11; 13/18; 7/10; ; 4/6; 4/6; 4/6
Draw; 14/5; 13/5; 5/2; 5/2; 11/4; 11/4; 14/5; 13/5; 13/5; 5/2; 12/5; 13/5; 53/20; 11/4; 11/4; 11/4; 13/5; 5/2; 5/2; 13/5; 11/4; 13/5; 28/11; 11/4; ; 13/5; 13/5; 27/10
Burton; 9/2; 17/4; 17/4; 9/2; 9/2; 17/4; 9/2; 7/2; 17/4; 17/4; 10/3; 4; 17/4; 24/5; 4; 9/2; 43/10; 17/4; 4; 43/10; 9/2; 21/5; 41/10; 4; ; 21/5; 4; 23/5
