META; english/championship/fulham-v-huddersfield; 2016-10-23 04:19:40 GMT+3; 2016-10-29 15:00; e70300-dr003
Fulham; ; 13/10; ; ; 6/4; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; ; ; ; 
Huddersfield; ; 19/10; ; ; 7/4; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/11; ; ; ; ; 
Draw; ; 23/10; ; ; 23/10; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; 
META; english/championship/fulham-v-huddersfield; 2016-10-23 08:20:56 GMT+3; 2016-10-29 15:00; e70300-dr003
Fulham; ; 13/10; ; ; 6/4; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; ; ; ; 
Huddersfield; ; 19/10; ; ; 7/4; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/11; ; ; ; ; 
Draw; ; 23/10; ; ; 23/10; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; 
META; english/championship/fulham-v-huddersfield; 2016-10-23 12:20:51 GMT+3; 2016-10-29 15:00; e70300-dr003
Fulham; 13/10; 13/10; ; ; 6/4; ; 7/5; ; ; 13/10; ; 5/4; 11/8; ; ; ; ; ; ; ; ; ; ; 16/11; ; ; ; ; 
Huddersfield; 21/10; 19/10; ; ; 7/4; ; 2; ; ; 19/10; ; 7/4; 39/20; ; ; ; ; ; ; ; ; ; ; 2; ; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; ; 12/5; ; 11/5; 47/20; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; 
META; english/championship/fulham-v-huddersfield; 2016-10-23 16:21:08 GMT+3; 2016-10-29 15:00; e70300-dr003
Fulham; 13/10; 13/10; ; 13/10; 6/4; 7/5; 11/8; ; 7/5; 13/10; 7/5; 5/4; 27/20; ; 7/5; ; ; ; ; ; ; ; ; 7/5; 13/10; ; ; ; 
Huddersfield; 21/10; 2; ; 19/10; 7/4; 41/20; 2; ; 2; 19/10; 15/8; 7/4; 2; ; 2; ; ; ; ; ; ; ; ; 39/19; 2; ; ; ; 
Draw; 9/4; 12/5; ; 11/5; 23/10; 23/10; 12/5; ; 12/5; 12/5; 23/10; 11/5; 47/20; ; 23/10; ; ; ; ; ; ; ; ; 11/5; 9/4; ; ; ; 
META; english/championship/fulham-v-huddersfield; 2016-10-23 20:21:36 GMT+3; 2016-10-29 15:00; e70300-dr003
Fulham; 13/10; 13/10; 11/8; 13/10; 6/4; 7/5; 11/8; ; 7/5; 13/10; 7/5; 5/4; 27/20; ; 7/5; ; ; ; ; ; ; ; ; 7/5; 13/10; ; ; ; 
Huddersfield; 21/10; 2; 2; 19/10; 7/4; 2; 2; ; 2; 19/10; 15/8; 7/4; 2; ; 2; ; ; ; ; ; ; ; ; 39/19; 2; ; ; ; 
Draw; 9/4; 12/5; 47/20; 11/5; 23/10; 12/5; 12/5; ; 12/5; 12/5; 23/10; 11/5; 47/20; ; 23/10; ; ; ; ; ; ; ; ; 11/5; 9/4; ; ; ; 
META; english/championship/fulham-v-huddersfield; 2016-10-24 00:20:53 GMT+3; 2016-10-29 15:00; e70300-dr003
