Wigan; 5/2; 23/10; ; ; 5/2; ; 13/5; ; 13/5; 13/5; ; 12/5; ; 13/5; ; ; 5/2; 28/11; 13/5; ; 13/5; 28/11; ; ; ; ; 8/5; ; 
META; english/championship/brentford-v-wigan; 2016-09-26 12:21:19 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 11/10; 11/10; ; ; 11/10; ; 11/10; ; 11/10; 21/20; ; 21/20; ; 21/20; ; ; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; ; ; ; ; 4/5; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 12/5; ; 23/10; 12/5; ; 11/5; ; 47/20; ; ; 12/5; 40/17; 12/5; 9/4; 12/5; 40/17; ; ; ; ; 11/5; ; 
Wigan; 5/2; 23/10; ; ; 5/2; ; 13/5; ; 13/5; 13/5; ; 12/5; ; 13/5; ; ; 5/2; 28/11; 13/5; 12/5; 13/5; 28/11; ; ; ; ; 19/10; ; 
META; english/championship/brentford-v-wigan; 2016-09-26 16:21:26 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 11/10; 11/10; ; ; 11/10; ; 11/10; 1; 11/10; 21/20; ; 21/20; ; 21/20; ; ; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; ; ; ; ; 5/6; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; 23/10; 23/10; 12/5; ; 11/5; ; 47/20; ; ; 12/5; 40/17; 12/5; 9/4; 12/5; 40/17; ; ; ; ; 11/5; ; 
Wigan; 5/2; 23/10; ; ; 5/2; ; 27/10; 12/5; 13/5; 13/5; ; 12/5; ; 53/20; ; ; 5/2; 28/11; 13/5; 12/5; 13/5; 28/11; ; ; ; ; 2; ; 
META; english/championship/brentford-v-wigan; 2016-09-26 20:21:46 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 11/10; 11/10; ; ; 11/10; ; 11/10; 1; 11/10; 21/20; ; 21/20; ; 21/20; ; ; 15/13; 21/20; 21/20; 11/10; 21/20; 21/20; ; ; ; ; 5/6; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 12/5; 23/10; 23/10; 12/5; ; 11/5; ; 47/20; ; ; 12/5; 40/17; 12/5; 9/4; 12/5; 40/17; ; ; ; ; 11/5; ; 
Wigan; 5/2; 23/10; ; ; 5/2; ; 13/5; 12/5; 13/5; 13/5; ; 12/5; ; 13/5; ; ; 13/5; 28/11; 13/5; 12/5; 13/5; 28/11; ; ; ; ; 2; ; 
META; english/championship/brentford-v-wigan; 2016-09-27 00:21:26 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 11/10; 11/10; ; ; 11/10; ; 11/10; 1; 11/10; 21/20; ; 21/20; ; 21/20; ; ; 15/13; 11/10; 21/20; 11/10; 21/20; 11/10; ; ; ; ; 5/6; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; 23/10; 23/10; 12/5; ; 11/5; ; 47/20; ; ; 12/5; 23/10; 12/5; 9/4; 12/5; 23/10; ; ; ; ; 11/5; ; 
Wigan; 5/2; 23/10; ; ; 5/2; ; 27/10; 12/5; 13/5; 13/5; ; 12/5; ; 13/5; ; ; 13/5; 5/2; 13/5; 12/5; 13/5; 5/2; ; ; ; ; 2; ; 
META; english/championship/brentford-v-wigan; 2016-09-27 04:21:11 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 11/10; 11/10; ; ; 11/10; ; 11/10; 1; 11/10; 21/20; ; 21/20; ; 21/20; ; ; 15/13; 11/10; 21/20; 11/10; 21/20; 11/10; ; ; ; ; 8/11; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; 23/10; 23/10; 12/5; ; 11/5; ; 47/20; ; ; 12/5; 23/10; 12/5; 9/4; 12/5; 23/10; ; ; ; ; 11/5; ; 
Wigan; 5/2; 23/10; ; ; 5/2; ; 27/10; 12/5; 13/5; 13/5; ; 12/5; ; 53/20; ; ; 13/5; 5/2; 13/5; 12/5; 13/5; 5/2; ; ; ; ; 21/10; ; 
META; english/championship/brentford-v-wigan; 2016-09-27 08:21:24 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 11/10; 11/10; ; ; 11/10; ; 11/10; 1; 11/10; 21/20; ; 21/20; ; 21/20; ; ; 15/13; 11/10; 21/20; 11/10; 21/20; 11/10; ; ; ; ; 8/11; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; 23/10; 23/10; 12/5; ; 11/5; ; 47/20; ; ; 12/5; 23/10; 12/5; 9/4; 12/5; 23/10; ; ; ; ; 11/5; ; 
Wigan; 5/2; 23/10; ; ; 5/2; ; 27/10; 12/5; 13/5; 13/5; ; 12/5; ; 53/20; ; ; 13/5; 5/2; 13/5; 12/5; 13/5; 5/2; ; ; ; ; 11/5; ; 
META; english/championship/brentford-v-wigan; 2016-09-27 12:21:55 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 11/10; 11/10; ; ; 11/10; ; 11/10; 1; 11/10; 21/20; ; 21/20; ; 21/20; ; ; 15/13; 11/10; 21/20; 11/10; 21/20; 11/10; ; ; 11/10; ; 20/21; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; 23/10; 23/10; 12/5; ; 11/5; ; 47/20; ; ; 12/5; 23/10; 12/5; 9/4; 12/5; 23/10; ; ; 9/4; ; 11/5; ; 
Wigan; 5/2; 23/10; ; ; 5/2; ; 27/10; 12/5; 13/5; 13/5; ; 12/5; ; 53/20; ; ; 13/5; 5/2; 13/5; 12/5; 13/5; 5/2; ; ; 5/2; ; 11/5; ; 
META; english/championship/brentford-v-wigan; 2016-09-27 16:23:55 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 21/20; 11/10; ; ; 11/10; 11/10; 11/10; 1; 11/10; 21/20; 11/10; 11/10; 23/20; 21/20; ; ; 15/13; 11/10; 21/20; 11/10; 21/20; 11/10; ; ; 11/10; ; 21/20; ; 
Draw; 9/4; 23/10; ; ; 23/10; 12/5; 12/5; 23/10; 23/10; 12/5; 12/5; 11/5; 23/10; 47/20; ; ; 5/2; 23/10; 12/5; 9/4; 12/5; 23/10; ; ; 23/10; ; 23/10; ; 
Wigan; 11/4; 23/10; ; ; 5/2; 13/5; 13/5; 12/5; 13/5; 13/5; 5/2; 12/5; 12/5; 53/20; ; ; 13/5; 5/2; 13/5; 12/5; 13/5; 5/2; ; ; 5/2; ; 5/2; ; 
META; english/championship/brentford-v-wigan; 2016-09-27 20:21:41 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 21/20; 11/10; ; ; 11/10; 11/10; 11/10; 1; 11/10; 21/20; 11/10; 11/10; 23/20; ; ; ; 15/13; 11/10; 21/20; 11/10; 21/20; 11/10; ; ; 11/10; ; 21/20; ; 
Draw; 9/4; 23/10; ; ; 23/10; 12/5; 12/5; 12/5; 23/10; 12/5; 12/5; 11/5; 23/10; ; ; ; 12/5; 23/10; 12/5; 9/4; 12/5; 23/10; ; ; 23/10; ; 12/5; ; 
Wigan; 11/4; 23/10; ; ; 5/2; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 12/5; 12/5; ; ; ; 11/4; 5/2; 13/5; 12/5; 13/5; 5/2; ; ; 5/2; ; 13/5; ; 
META; english/championship/brentford-v-wigan; 2016-09-28 00:21:01 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 1; 11/10; ; ; 11/10; 21/20; 1; 1; 11/10; 21/20; 1; 1; 23/20; ; 21/20; ; 11/10; 21/20; 21/20; 1; 21/20; 21/20; 19/17; ; 21/20; ; 1; ; 
Draw; 23/10; 23/10; ; ; 23/10; 5/2; 5/2; 23/10; 12/5; 12/5; 12/5; 9/4; 23/10; ; 5/2; ; 5/2; 40/17; 12/5; 23/10; 12/5; 40/17; 12/5; ; 12/5; ; 12/5; ; 
Wigan; 14/5; 23/10; ; ; 5/2; 11/4; 27/10; 12/5; 13/5; 13/5; 13/5; 5/2; 12/5; ; 5/2; ; 11/4; 13/5; 13/5; 13/5; 13/5; 13/5; 29/10; ; 13/5; ; 13/5; ; 
META; english/championship/brentford-v-wigan; 2016-09-28 04:20:29 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 1; 11/10; ; ; 11/10; 21/20; 21/20; 1; 11/10; 21/20; 1; 1; 21/20; ; 1; ; 11/10; 21/20; 21/20; 1; 21/20; 21/20; 19/17; ; 21/20; ; 1; ; 
Draw; 23/10; 23/10; ; ; 23/10; 5/2; 12/5; 23/10; 12/5; 12/5; 12/5; 9/4; 12/5; ; 5/2; ; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; 12/5; ; 12/5; ; 5/2; ; 
