META; english/championship/rotherham-v-sheffield-wednesday; 2017-04-01 20:17:46 GMT+3; ; e70300-dr003
New York Red Bulls; 6; 6; ; 6; 6; ; 5; 6; 11/2; ; ; ; 6; ; 6; ; 11/2; ; ; 11/2; 4; 6; ; ; ; ; ; ; 
Hamburg; 2500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
META; english/championship/rotherham-v-sheffield-wednesday; 2017-04-02 20:18:43 GMT+3; 2017-04-04 19:45; e70300-dr003
Sheffield Wednesday; 2/5; 4/9; 4/9; 1/2; 1/2; 12/25; 9/20; 4/9; 1/2; 10/21; 4/9; 4/9; 9/20; 4/9; 1/2; 4/9; 10/21; ; 4/9; 10/21; 1/2; 5/11; 7/15; 4/9; 17/35; ; 4/9; 4/9; 
Draw; 10/3; 7/2; 16/5; 7/2; 10/3; 7/2; 7/2; 16/5; 7/2; 10/3; 16/5; 10/3; 10/3; 16/5; 10/3; 10/3; 33/10; ; 3; 33/10; 18/5; 13/4; 13/4; 10/3; 33/10; ; 3; 3; 
Rotherham; 13/2; 6; 6; 11/2; 11/2; 6; 6; 6; 6; 6; 11/2; 6; 6; 15/2; 11/2; 6; 113/19; ; 28/5; 113/19; 13/2; 27/5; 23/4; 6; 6; ; 33/5; 31/5; 
META; english/championship/rotherham-v-sheffield-wednesday; 2017-04-03 01:46:00 GMT+3; 2017-04-02 16:00; e70300-dr003
Nantes; 11/10; 11/10; 5/4; 6/5; 23/20; 6/5; 23/20; 11/10; 6/5; 23/20; 11/10; 6/5; 23/20; 23/20; 23/20; 11/10; 11/10; 11/10; 21/20; 11/10; 121/100; 9/8; 15/14; 23/20; 11/10; ; 10/9; 10/9; 6/5
Draw; 23/10; 11/5; 9/4; 21/10; 23/10; 23/10; 9/4; 11/5; 9/4; 2; 9/4; 21/10; 9/4; 23/10; 9/4; 11/5; 11/5; 21/10; 11/5; 11/5; 109/50; 21/10; 11/5; 9/4; 9/4; ; 21/10; 21/10; 9/4
Angers; 13/5; 11/4; 27/10; 13/5; 5/2; 13/5; 27/10; 11/4; 13/5; 13/5; 13/5; 13/5; 53/20; 23/10; 13/5; 27/10; 27/10; 3; 27/10; 27/10; 74/25; 11/5; 27/10; 13/5; 11/4; ; 14/5; 13/5; 14/5
META; english/championship/rotherham-v-sheffield-wednesday; 2017-04-03 03:45:58 GMT+3; 2017-04-04 19:45; e70300-dr003
Sheffield Wednesday; 2/5; 4/9; 2/5; 1/2; 1/2; 4/9; 9/20; 4/9; 4/9; 4/9; 4/9; 4/9; 21/50; 1/2; 9/20; 4/9; 4/9; 2/5; 4/9; 4/9; 1/2; 2/5; 7/15; 4/9; 17/35; ; 4/9; 4/9; 
Draw; 10/3; 10/3; 10/3; 7/2; 10/3; 18/5; 17/5; 10/3; 7/2; 10/3; 16/5; 10/3; 10/3; 18/5; 7/2; 7/2; 17/5; 17/5; 3; 17/5; 18/5; 38/11; 13/4; 10/3; 33/10; ; 10/3; 3; 
Rotherham; 13/2; 6; 6; 11/2; 11/2; 6; 7; 11/2; 6; 6; 6; 6; 7; 6; 6; 6; 25/4; 13/2; 28/5; 25/4; 13/2; 6; 23/4; 6; 6; ; 31/5; 32/5; 
META; english/championship/rotherham-v-sheffield-wednesday; 2017-04-03 08:18:20 GMT+3; 2017-04-04 19:45; e70300-dr003
Sheffield Wednesday; 1/2; 4/9; 2/5; 1/2; 1/2; 4/9; 9/20; 4/9; 4/9; 4/9; 4/9; 4/9; 4/9; 8/15; 9/20; 4/9; 4/9; 2/5; 4/9; 4/9; 1/2; 2/5; 7/15; 4/9; 17/35; ; 4/9; 4/9; 
Draw; 7/2; 10/3; 10/3; 7/2; 10/3; 18/5; 7/2; 10/3; 7/2; 10/3; 16/5; 10/3; 10/3; 7/2; 7/2; 10/3; 17/5; 17/5; 3; 17/5; 18/5; 38/11; 13/4; 10/3; 33/10; ; 10/3; 3; 
Rotherham; 13/2; 6; 6; 11/2; 11/2; 6; 13/2; 11/2; 6; 6; 11/2; 6; 13/2; 6; 6; 6; 25/4; 13/2; 28/5; 25/4; 13/2; 6; 23/4; 11/2; 6; ; 32/5; 32/5; 
