META; english/championship/preston-v-newcastle; 2016-10-23 04:19:47 GMT+3; 2016-10-29 15:00; e70300-dr003
Newcastle; 3/4; 8/11; 3/4; 8/11; 8/11; 3/4; 8/11; 8/11; 8/11; 7/10; 8/11; 3/4; 7/10; ; 3/4; 8/11; 9/13; 7/10; 13/18; 4/6; 9/13; ; 7/10; 7/10; 8/11; ; 8/11; 8/11; 
Draw; 5/2; 13/5; 5/2; 5/2; 5/2; 11/4; 27/10; 12/5; 11/4; 13/5; 11/4; 13/5; 53/20; ; 13/5; 13/5; 28/11; 13/5; 5/2; 13/5; 28/11; ; 13/5; 13/5; 13/5; ; 27/10; 5/2; 
Preston; 15/4; 4; 4; 15/4; 4; 4; 4; 7/2; 4; 4; 7/2; 15/4; 4; ; 4; 4; 41/10; 41/10; 18/5; 4; 41/10; ; 18/5; 41/10; 15/4; ; 4; 10/3; 
META; english/championship/preston-v-newcastle; 2016-10-25 00:21:36 GMT+3; 2016-10-29 15:00; e70300-dr003
Newcastle; 3/4; 8/11; 3/4; 3/4; 8/11; 3/4; 8/11; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 8/11; 3/4; 8/11; 5/7; 7/10; 13/18; 4/6; 5/7; ; 7/10; 7/10; 8/11; ; 8/11; 4/6; 
Draw; 5/2; 13/5; 5/2; 5/2; 5/2; 11/4; 27/10; 12/5; 11/4; 13/5; 11/4; 13/5; 13/5; 27/10; 13/5; 13/5; 28/11; 13/5; 5/2; 13/5; 28/11; ; 13/5; 13/5; 13/5; ; 27/10; 13/5; 
Preston; 15/4; 4; 4; 4; 4; 19/5; 4; 7/2; 4; 4; 7/2; 15/4; 4; 15/4; 4; 4; 75/19; 41/10; 18/5; 4; 75/19; ; 18/5; 41/10; 15/4; ; 7/2; 7/2; 
META; english/championship/preston-v-newcastle; 2016-10-25 04:21:34 GMT+3; 2016-10-29 15:00; e70300-dr003
Newcastle; 3/4; 8/11; 3/4; 3/4; 8/11; 3/4; 8/11; 8/11; 8/11; ; 8/11; 3/4; 8/11; 8/11; 3/4; 8/11; 5/7; 7/10; 13/18; 4/6; 5/7; ; 7/10; 7/10; 8/11; ; 8/11; 4/6; 
Draw; 5/2; 13/5; 5/2; 5/2; 5/2; 11/4; 27/10; 12/5; 11/4; ; 11/4; 13/5; 13/5; 27/10; 13/5; 13/5; 28/11; 13/5; 5/2; 13/5; 28/11; ; 13/5; 13/5; 13/5; ; 27/10; 13/5; 
Preston; 15/4; 4; 4; 4; 4; 19/5; 4; 7/2; 4; ; 7/2; 15/4; 4; 15/4; 4; 4; 75/19; 41/10; 18/5; 4; 75/19; ; 18/5; 41/10; 15/4; ; 7/2; 7/2; 
META; english/championship/preston-v-newcastle; 2016-10-25 08:21:33 GMT+3; 2016-10-29 15:00; e70300-dr003
Newcastle; 3/4; 8/11; 3/4; 3/4; 8/11; 3/4; 8/11; 8/11; 8/11; ; 8/11; 3/4; 8/11; 8/11; 3/4; 8/11; 5/7; 7/10; 13/18; 4/6; 5/7; ; 7/10; 7/10; 8/11; ; 8/11; 4/6; 
Draw; 5/2; 13/5; 5/2; 5/2; 5/2; 11/4; 27/10; 12/5; 11/4; ; 11/4; 13/5; 13/5; 27/10; 13/5; 13/5; 28/11; 13/5; 5/2; 13/5; 28/11; ; 13/5; 13/5; 13/5; ; 11/4; 13/5; 
Preston; 15/4; 4; 4; 4; 4; 19/5; 4; 7/2; 4; ; 7/2; 15/4; 4; 15/4; 4; 4; 75/19; 41/10; 18/5; 4; 75/19; ; 18/5; 41/10; 15/4; ; 7/2; 7/2; 
META; english/championship/preston-v-newcastle; 2016-10-25 12:22:29 GMT+3; 2016-10-29 15:00; e70300-dr003
Newcastle; 3/4; 8/11; 3/4; 3/4; 8/11; 3/4; 8/11; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 8/11; 3/4; 8/11; 5/7; 7/10; 13/18; 4/6; 5/7; ; 7/10; 7/10; 8/11; ; 8/11; 8/11; 
Draw; 5/2; 13/5; 5/2; 5/2; 5/2; 11/4; 27/10; 12/5; 11/4; 13/5; 11/4; 13/5; 13/5; 27/10; 13/5; 13/5; 28/11; 13/5; 5/2; 13/5; 28/11; ; 13/5; 13/5; 13/5; ; 11/4; 13/5; 
Preston; 15/4; 4; 4; 4; 4; 19/5; 4; 7/2; 4; 4; 7/2; 15/4; 4; 15/4; 4; 4; 75/19; 41/10; 18/5; 4; 75/19; ; 18/5; 41/10; 15/4; ; 7/2; 7/2; 
META; english/championship/preston-v-newcastle; 2016-10-25 16:21:55 GMT+3; 2016-10-29 15:00; e70300-dr003
Newcastle; 3/4; 8/11; 3/4; 3/4; 8/11; 3/4; 8/11; 8/11; 8/11; 3/4; 8/11; 3/4; 8/11; 8/11; 3/4; 8/11; 14/19; 7/10; 13/18; 4/6; 14/19; 7/9; 7/10; 7/10; 8/11; ; 4/6; 4/6; 
Draw; 5/2; 13/5; 5/2; 12/5; 5/2; 11/4; 27/10; 12/5; 11/4; 5/2; 11/4; 13/5; 13/5; 27/10; 13/5; 13/5; 28/11; 13/5; 5/2; 13/5; 28/11; 11/4; 13/5; 13/5; 13/5; ; 27/10; 13/5; 
Preston; 15/4; 4; 4; 4; 4; 19/5; 4; 7/2; 4; 15/4; 7/2; 15/4; 4; 15/4; 4; 4; 50/13; 41/10; 18/5; 4; 50/13; 21/5; 18/5; 41/10; 15/4; ; 7/2; 7/2; 
META; english/championship/preston-v-newcastle; 2016-10-25 20:22:09 GMT+3; 2016-10-29 15:00; e70300-dr003
Newcastle; 3/4; 8/11; 3/4; 3/4; 8/11; 3/4; 8/11; 8/11; 8/11; 3/4; 8/11; 3/4; 8/11; 8/11; 3/4; 8/11; 14/19; 7/10; 13/18; 4/6; 14/19; 7/9; 7/10; 7/10; 8/11; ; 8/11; 4/6; 
Draw; 5/2; 13/5; 5/2; 12/5; 5/2; 11/4; 27/10; 12/5; 11/4; 5/2; 11/4; 13/5; 13/5; 27/10; 13/5; 13/5; 28/11; 13/5; 5/2; 13/5; 28/11; 11/4; 13/5; 13/5; 13/5; ; 27/10; 13/5; 
Preston; 15/4; 4; 4; 4; 4; 19/5; 4; 7/2; 4; 15/4; 7/2; 15/4; 4; 15/4; 4; 4; 50/13; 41/10; 18/5; 4; 50/13; 21/5; 18/5; 41/10; 15/4; ; 7/2; 7/2; 
META; english/championship/preston-v-newcastle; 2016-10-26 00:21:20 GMT+3; 2016-10-29 15:00; e70300-dr003
Newcastle; 4/6; 8/11; 8/11; 7/10; 8/11; 7/10; 7/10; 8/11; 4/6; 7/10; 8/11; 3/4; 4/6; 7/10; 3/4; 8/11; 9/13; 7/10; 13/18; 4/6; 9/13; 10/13; 7/10; 7/10; 4/6; ; 4/6; 4/6; 
Draw; 13/5; 13/5; 13/5; 13/5; 5/2; 14/5; 11/4; 12/5; 11/4; 13/5; 11/4; 13/5; 53/20; 27/10; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 14/5; 13/5; 13/5; 13/5; ; 27/10; 13/5; 
Preston; 17/4; 4; 17/4; 4; 4; 4; 21/5; 7/2; 17/4; 17/4; 7/2; 15/4; 17/4; 4; 4; 4; 21/5; 41/10; 18/5; 4; 21/5; 21/5; 18/5; 41/10; 4; ; 9/2; 7/2; 
META; english/championship/preston-v-newcastle; 2016-10-26 04:21:27 GMT+3; 2016-10-29 15:00; e70300-dr003
Newcastle; 4/6; 8/11; 8/11; 7/10; 8/11; 7/10; 7/10; 8/11; 4/6; 7/10; 8/11; 3/4; 4/6; 7/10; 3/4; 8/11; 9/13; 7/10; 4/6; 4/6; 9/13; 8/11; 7/10; 7/10; 4/6; ; 4/6; 4/6; 
Draw; 13/5; 13/5; 13/5; 5/2; 5/2; 14/5; 11/4; 12/5; 11/4; 13/5; 11/4; 13/5; 53/20; 27/10; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 14/5; 13/5; 13/5; 13/5; ; 27/10; 13/5; 
Preston; 17/4; 4; 17/4; 4; 4; 4; 21/5; 7/2; 17/4; 4; 7/2; 15/4; 17/4; 4; 4; 4; 17/4; 41/10; 4; 4; 17/4; 23/5; 18/5; 41/10; 4; ; 21/5; 7/2; 
META; english/championship/preston-v-newcastle; 2016-10-26 08:21:24 GMT+3; 2016-10-29 15:00; e70300-dr003
Newcastle; 4/6; 8/11; 8/11; 7/10; 8/11; 7/10; 7/10; 8/11; 4/6; 7/10; 8/11; 3/4; 4/6; 7/10; 3/4; 8/11; 9/13; 7/10; 4/6; 4/6; 9/13; 8/11; 7/10; 7/10; 4/6; ; 4/6; ; 
Draw; 13/5; 13/5; 13/5; 5/2; 5/2; 14/5; 11/4; 12/5; 11/4; 13/5; 11/4; 13/5; 53/20; 27/10; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 14/5; 13/5; 13/5; 13/5; ; 27/10; ; 
Preston; 17/4; 4; 17/4; 4; 4; 4; 21/5; 7/2; 17/4; 4; 7/2; 15/4; 17/4; 4; 4; 4; 17/4; 41/10; 4; 4; 17/4; 23/5; 18/5; 41/10; 4; ; 21/5; ; 
META; english/championship/preston-v-newcastle; 2016-10-26 12:22:49 GMT+3; 2016-10-29 15:00; e70300-dr003
Newcastle; 4/6; 8/11; 8/11; 7/10; 8/11; 7/10; 7/10; 8/11; 4/6; 7/10; 8/11; 3/4; 4/6; 7/10; 3/4; 8/11; 9/13; 7/10; 4/6; 4/6; 9/13; 8/11; 9/13; 7/10; 7/10; ; 4/6; 4/6; 8/11
Draw; 13/5; 13/5; 13/5; 5/2; 5/2; 14/5; 27/10; 12/5; 11/4; 13/5; 11/4; 13/5; 53/20; 27/10; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 14/5; 45/17; 13/5; 13/5; ; 27/10; 27/10; 11/4
Preston; 17/4; 4; 17/4; 4; 4; 4; 21/5; 7/2; 17/4; 4; 7/2; 15/4; 17/4; 4; 4; 4; 21/5; 41/10; 4; 4; 21/5; 9/2; 62/17; 41/10; 4; ; 22/5; 4; 9/2
META; english/championship/preston-v-newcastle; 2016-10-26 16:22:09 GMT+3; 2016-10-29 15:00; e70300-dr003
Newcastle; 4/6; 8/11; 8/11; 7/10; 8/11; 7/10; 7/10; 8/11; 4/6; 7/10; 8/11; 3/4; ; 7/10; 3/4; 8/11; 9/13; 7/10; 4/6; 4/6; 9/13; 8/11; 9/13; 7/10; 7/10; ; 4/6; 4/6; 8/11
Draw; 13/5; 13/5; 13/5; 5/2; 5/2; 14/5; 27/10; 12/5; 11/4; 13/5; 11/4; 13/5; ; 27/10; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 14/5; 45/17; 13/5; 13/5; ; 11/4; 27/10; 11/4
Preston; 17/4; 4; 17/4; 4; 4; 4; 21/5; 7/2; 17/4; 4; 7/2; 15/4; ; 4; 4; 4; 21/5; 41/10; 4; 4; 21/5; 9/2; 62/17; 41/10; 4; ; 22/5; 4; 9/2
META; english/championship/preston-v-newcastle; 2016-10-26 20:22:27 GMT+3; 2016-10-29 15:00; e70300-dr003
Newcastle; 4/6; 8/11; 8/11; 7/10; 8/11; 7/10; 7/10; 4/6; 4/6; 7/10; 8/11; 3/4; 4/6; 7/10; 3/4; 8/11; 4/6; 7/10; 4/6; 4/6; 4/6; 8/11; 9/13; 7/10; 7/10; ; 4/6; 4/6; 8/11
Draw; 13/5; 13/5; 13/5; 5/2; 5/2; 14/5; 27/10; 13/5; 11/4; 13/5; 11/4; 13/5; 53/20; 27/10; 13/5; 13/5; 28/11; 13/5; 13/5; 13/5; 28/11; 14/5; 45/17; 13/5; 13/5; ; 27/10; 27/10; 11/4
