META; english/championship/nottingham-forest-v-derby; 2017-03-12 00:19:56 GMT+2; 2017-03-18 13:00; e70300-dr003
Derby; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Nottingham Forest; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/nottingham-forest-v-derby; 2017-03-12 04:20:26 GMT+2; 2017-03-18 13:00; e70300-dr003
Derby; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Nottingham Forest; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/nottingham-forest-v-derby; 2017-03-12 08:20:49 GMT+2; 2017-03-18 13:00; e70300-dr003
Derby; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Nottingham Forest; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/nottingham-forest-v-derby; 2017-03-12 12:20:05 GMT+2; 2017-03-18 13:00; e70300-dr003
Derby; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Nottingham Forest; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/nottingham-forest-v-derby; 2017-03-12 16:20:06 GMT+2; 2017-03-18 13:00; e70300-dr003
Derby; 13/10; 7/5; ; 6/4; 6/4; ; 7/5; ; 6/4; 7/5; ; ; 29/20; ; ; 6/4; 7/5; ; 7/5; 7/5; ; 39/29; 7/5; ; ; 27/20; ; 
Nottingham Forest; 2; 7/4; ; 15/8; 2; ; 2; ; 15/8; 2; ; ; 19/10; ; ; 2; 19/10; ; 19/10; 19/10; ; 11/6; 19/10; ; ; 19/10; ; 
Draw; 12/5; 9/4; ; 11/5; 23/10; ; 23/10; ; 23/10; 9/4; ; ; 9/4; ; ; 12/5; 23/10; ; 23/10; 23/10; ; 40/17; 40/17; ; ; 11/5; ; 
META; english/championship/nottingham-forest-v-derby; 2017-03-12 20:21:15 GMT+2; 2017-03-18 13:00; e70300-dr003
Derby; 13/10; 7/5; 29/20; 6/4; 29/20; 7/5; 7/5; ; 7/5; 7/5; 11/8; ; 27/20; 13/10; 7/5; 16/11; 7/5; ; 7/5; 7/5; ; 39/29; 7/5; 7/5; ; 27/20; ; 
Nottingham Forest; 2; 2; 41/20; 15/8; 21/10; 2; 2; ; 2; 2; 19/10; ; 2; 2; 2; 2; 19/10; ; 19/10; 19/10; ; 11/6; 37/19; 15/8; ; 19/10; ; 
Draw; 12/5; 9/4; 11/5; 11/5; 9/4; 12/5; 23/10; ; 23/10; 9/4; 21/10; ; 23/10; 12/5; 23/10; 12/5; 9/4; ; 9/4; 9/4; ; 40/17; 9/4; 9/4; ; 11/5; ; 
META; english/championship/nottingham-forest-v-derby; 2017-03-13 00:19:45 GMT+2; 2017-03-18 13:00; e70300-dr003
Derby; 13/10; 7/5; 29/20; 6/4; 29/20; 7/5; 7/5; ; 7/5; 7/5; 11/8; ; 27/20; 13/10; 7/5; 7/5; 7/5; ; 7/5; 7/5; ; 39/29; 7/5; 7/5; ; 11/8; ; 
Nottingham Forest; 2; 2; 41/20; 15/8; 21/10; 2; 2; ; 2; 2; 19/10; ; 2; 2; 2; 2; 19/10; ; 19/10; 19/10; ; 11/6; 37/19; 15/8; ; 2; ; 
Draw; 12/5; 9/4; 11/5; 11/5; 9/4; 12/5; 23/10; ; 23/10; 9/4; 21/10; ; 23/10; 12/5; 23/10; 23/10; 9/4; ; 9/4; 9/4; ; 40/17; 9/4; 9/4; ; 11/5; ; 
META; english/championship/nottingham-forest-v-derby; 2017-03-13 04:19:26 GMT+2; 2017-03-18 13:00; e70300-dr003
Derby; 13/10; 7/5; 29/20; 6/4; 29/20; 7/5; 7/5; ; 7/5; 7/5; 11/8; 7/5; 27/20; 13/10; 7/5; 7/5; 7/5; ; 7/5; 7/5; ; 39/29; 7/5; 7/5; ; 7/5; ; 
Nottingham Forest; 2; 2; 41/20; 15/8; 21/10; 2; 2; ; 2; 2; 19/10; 2; 2; 2; 2; 2; 19/10; ; 19/10; 19/10; ; 11/6; 37/19; 15/8; ; 2; ; 
Draw; 12/5; 9/4; 11/5; 11/5; 9/4; 12/5; 23/10; ; 23/10; 9/4; 21/10; 11/5; 23/10; 12/5; 23/10; 23/10; 9/4; ; 9/4; 9/4; ; 40/17; 9/4; 9/4; ; 11/5; ; 
META; english/championship/nottingham-forest-v-derby; 2017-03-13 08:19:43 GMT+2; 2017-03-18 13:00; e70300-dr003
Derby; 13/10; 7/5; 29/20; 6/4; 29/20; 7/5; 7/5; ; 7/5; 7/5; 11/8; 7/5; 27/20; 13/10; 7/5; 7/5; 7/5; ; 7/5; 7/5; ; 39/29; 7/5; 7/5; ; 7/5; ; 
Nottingham Forest; 2; 2; 41/20; 15/8; 21/10; 2; 2; ; 2; 2; 19/10; 2; 2; 2; 2; 2; 19/10; ; 19/10; 19/10; ; 11/6; 37/19; 15/8; ; 2; ; 
Draw; 12/5; 9/4; 11/5; 11/5; 9/4; 23/10; 23/10; ; 23/10; 9/4; 21/10; 11/5; 23/10; 12/5; 23/10; 23/10; 9/4; ; 9/4; 9/4; ; 40/17; 9/4; 9/4; ; 11/5; ; 
META; english/championship/nottingham-forest-v-derby; 2017-03-13 12:20:30 GMT+2; 2017-03-18 13:00; e70300-dr003
Derby; 13/10; 7/5; 29/20; 6/4; 29/20; 7/5; 7/5; 7/5; 7/5; 7/5; 11/8; 29/20; 27/20; 11/8; 7/5; 7/5; 23/17; 7/5; 7/5; 23/17; 6/4; 39/29; 7/5; 11/8; ; 7/5; 11/8; 7/5
Nottingham Forest; 2; 2; 2; 15/8; 21/10; 2; 2; 21/10; 2; 19/10; 19/10; 2; 2; 19/10; 2; 2; 37/19; 37/19; 19/10; 37/19; 41/20; 11/6; 37/19; 2; ; 19/10; 19/10; 2
Draw; 12/5; 9/4; 11/5; 11/5; 9/4; 23/10; 23/10; 11/5; 23/10; 9/4; 21/10; 11/5; 23/10; 12/5; 23/10; 23/10; 23/10; 11/5; 9/4; 23/10; 12/5; 40/17; 9/4; 9/4; ; 11/5; 21/10; 23/10
META; english/championship/nottingham-forest-v-derby; 2017-03-13 16:22:57 GMT+2; 2017-03-18 13:00; e70300-dr003
Derby; 13/10; 7/5; 29/20; 6/4; 29/20; 7/5; 7/5; 7/5; 7/5; 7/5; 11/8; 29/20; 11/8; 11/8; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 6/4; 11/8; 7/5; 11/8; 10/7; ; 7/5; 7/5; 7/5
Nottingham Forest; 2; 2; 41/20; 15/8; 2; 2; 2; 21/10; 2; 2; 19/10; 19/10; 2; 19/10; 2; 2; 37/19; 37/19; 19/10; 37/19; 41/20; 23/12; 37/19; 2; 2; ; 19/10; 19/10; 21/10
Draw; 12/5; 9/4; 43/20; 11/5; 23/10; 23/10; 23/10; 11/5; 23/10; 11/5; 21/10; 11/5; 23/10; 12/5; 23/10; 23/10; 11/5; 11/5; 9/4; 11/5; 12/5; 27/11; 9/4; 11/5; 23/10; ; 11/5; 21/10; 23/10
META; english/championship/nottingham-forest-v-derby; 2017-03-13 20:20:56 GMT+2; 2017-03-18 13:00; e70300-dr003
Derby; 13/10; 7/5; 29/20; 6/4; 29/20; 7/5; 7/5; 11/8; 7/5; 7/5; 11/8; 11/8; 11/8; 11/8; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 6/4; 17/12; 7/5; 11/8; 10/7; ; 7/5; 7/5; 7/5
Nottingham Forest; 2; 2; 41/20; 15/8; 2; 2; 2; 15/8; 2; 2; 19/10; 2; 2; 19/10; 2; 2; 37/19; 37/19; 19/10; 37/19; 41/20; 57/29; 37/19; 2; 2; ; 19/10; 19/10; 2
Draw; 12/5; 9/4; 43/20; 11/5; 23/10; 23/10; 23/10; 21/10; 23/10; 11/5; 21/10; 9/4; 9/4; 12/5; 23/10; 23/10; 11/5; 11/5; 9/4; 11/5; 12/5; 40/17; 9/4; 9/4; 23/10; ; 9/4; 21/10; 23/10
META; english/championship/nottingham-forest-v-derby; 2017-03-14 00:19:55 GMT+2; 2017-03-18 13:00; e70300-dr003
Derby; 13/10; 7/5; 29/20; 6/4; 29/20; 7/5; 7/5; 11/8; 7/5; 7/5; 11/8; 7/5; 11/8; 11/8; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 6/4; 17/12; 7/5; 11/8; 10/7; ; 7/5; 7/5; 7/5
Nottingham Forest; 2; 2; 41/20; 15/8; 2; 2; 2; 15/8; 2; 2; 19/10; 21/10; 2; 19/10; 2; 2; 37/19; 37/19; 19/10; 37/19; 41/20; 57/29; 37/19; 2; 2; ; 19/10; 19/10; 2
Draw; 12/5; 9/4; 43/20; 11/5; 23/10; 23/10; 23/10; 21/10; 23/10; 11/5; 21/10; 21/10; 9/4; 12/5; 23/10; 23/10; 11/5; 11/5; 9/4; 11/5; 12/5; 40/17; 9/4; 9/4; 23/10; ; 9/4; 21/10; 23/10
META; english/championship/nottingham-forest-v-derby; 2017-03-14 04:19:52 GMT+2; 2017-03-18 13:00; e70300-dr003
Derby; 13/10; 7/5; 29/20; 6/4; 29/20; 7/5; 7/5; 11/8; 7/5; 7/5; 11/8; 7/5; 11/8; 11/8; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 6/4; 17/12; 7/5; 11/8; 10/7; ; 7/5; 7/5; 7/5
Nottingham Forest; 2; 2; 41/20; 15/8; 2; 2; 2; 15/8; 2; 2; 19/10; 21/10; 2; 19/10; 2; 2; 37/19; 37/19; 19/10; 37/19; 41/20; 57/29; 37/19; 2; 2; ; 19/10; 9/5; 2
Draw; 12/5; 9/4; 43/20; 11/5; 23/10; 23/10; 23/10; 21/10; 23/10; 11/5; 21/10; 21/10; 9/4; 12/5; 23/10; 23/10; 11/5; 11/5; 9/4; 11/5; 12/5; 40/17; 9/4; 9/4; 23/10; ; 9/4; 21/10; 23/10
META; english/championship/nottingham-forest-v-derby; 2017-03-14 08:19:50 GMT+2; 2017-03-18 13:00; e70300-dr003
Derby; 13/10; 7/5; 29/20; 6/4; 29/20; 7/5; 7/5; 11/8; 7/5; 7/5; 11/8; 7/5; 11/8; 11/8; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 6/4; 17/12; 7/5; 11/8; 10/7; ; 7/5; 7/5; 7/5
Nottingham Forest; 2; 2; 41/20; 15/8; 2; 2; 2; 15/8; 2; 2; 19/10; 21/10; 2; 19/10; 2; 2; 37/19; 37/19; 19/10; 37/19; 41/20; 57/29; 37/19; 2; 2; ; 19/10; 19/10; 2
Draw; 12/5; 9/4; 43/20; 11/5; 23/10; 23/10; 23/10; 21/10; 23/10; 11/5; 21/10; 21/10; 9/4; 12/5; 23/10; 23/10; 11/5; 11/5; 9/4; 11/5; 12/5; 40/17; 9/4; 9/4; 23/10; ; 9/4; 21/10; 23/10
META; english/championship/nottingham-forest-v-derby; 2017-03-14 12:21:04 GMT+2; 2017-03-18 13:00; e70300-dr003
Derby; 13/10; 7/5; 29/20; 6/4; 29/20; 7/5; 7/5; 11/8; 7/5; 7/5; 11/8; 7/5; 11/8; 11/8; 7/5; 16/11; 7/5; 7/5; 7/5; 7/5; 6/4; 25/18; 7/5; 11/8; 10/7; ; 7/5; 7/5; 7/5
Nottingham Forest; 2; 2; 41/20; 15/8; 2; 2; 2; 15/8; 2; 2; 19/10; 21/10; 2; 19/10; 2; 2; 37/19; 37/19; 19/10; 37/19; 41/20; 2; 37/19; 2; 2; ; 19/10; 19/10; 2
Draw; 12/5; 9/4; 43/20; 11/5; 23/10; 23/10; 23/10; 21/10; 23/10; 11/5; 21/10; 21/10; 9/4; 12/5; 23/10; 23/10; 11/5; 11/5; 9/4; 11/5; 12/5; 23/10; 9/4; 9/4; 23/10; ; 11/5; 21/10; 23/10
META; english/championship/nottingham-forest-v-derby; 2017-03-14 16:20:16 GMT+2; 2017-03-18 13:00; e70300-dr003
Derby; 13/10; 7/5; 29/20; 29/20; 29/20; 7/5; 7/5; 11/8; 7/5; 7/5; 11/8; 7/5; 11/8; 11/8; 7/5; 16/11; 16/11; 7/5; 7/5; 16/11; 6/4; 25/18; 7/5; 11/8; 10/7; ; 11/8; 7/5; 7/5
Nottingham Forest; 2; 2; 41/20; 19/10; 2; 2; 2; 15/8; 2; 2; 19/10; 21/10; 2; 19/10; 2; 2; 2; 37/19; 19/10; 2; 41/20; 2; 37/19; 2; 2; ; 19/10; 19/10; 2
Draw; 12/5; 9/4; 43/20; 9/4; 23/10; 23/10; 23/10; 21/10; 23/10; 11/5; 21/10; 21/10; 9/4; 12/5; 23/10; 23/10; 9/4; 11/5; 9/4; 9/4; 12/5; 23/10; 9/4; 9/4; 23/10; ; 11/5; 21/10; 23/10
META; english/championship/nottingham-forest-v-derby; 2017-03-14 20:20:39 GMT+2; 2017-03-18 13:00; e70300-dr003
Derby; 13/10; 7/5; 29/20; 29/20; 29/20; 7/5; 7/5; 7/5; 7/5; 7/5; 11/8; 7/5; 11/8; 11/8; 7/5; 16/11; 16/11; 7/5; 7/5; 16/11; 6/4; 25/18; 7/5; 11/8; 10/7; ; 7/5; 13/10; 7/5
Nottingham Forest; 2; 2; 41/20; 19/10; 21/10; 2; 2; 2; 2; 2; 19/10; 21/10; 2; 19/10; 2; 2; 2; 37/19; 19/10; 2; 41/20; 2; 37/19; 2; 2; ; 19/10; 19/10; 2
Draw; 12/5; 9/4; 43/20; 9/4; 9/4; 23/10; 23/10; 9/4; 23/10; 11/5; 21/10; 21/10; 9/4; 12/5; 23/10; 23/10; 9/4; 11/5; 9/4; 9/4; 12/5; 23/10; 9/4; 9/4; 23/10; ; 11/5; 21/10; 23/10
META; english/championship/nottingham-forest-v-derby; 2017-03-15 00:20:10 GMT+2; 2017-03-18 13:00; e70300-dr003
