Aston Villa; 11/8; 6/4; 6/4; 6/4; 29/20; 29/20; 6/4; 11/8; 6/4; 7/5; 7/5; 6/4; 7/5; 7/5; 7/5; 6/4; 16/11; 16/11; 7/5; 16/11; 6/4; 19/13; 10/7; 7/5; 31/21; ; 7/5; 7/5; 7/5
Draw; 9/4; 19/10; 39/20; 19/10; 21/10; 21/10; 2; 2; 2; 19/10; 15/8; 19/10; 21/10; 9/4; 21/10; 2; 39/19; 2; 11/5; 39/19; 11/5; 28/13; 11/5; 2; 9/4; ; 19/10; 19/10; 21/10
Wigan; 2; 11/5; 11/5; 11/5; 11/5; 43/20; 85/40; 15/8; 85/40; 21/10; 21/10; 11/5; 21/10; 2; 11/5; 11/5; 28/13; 2; 19/10; 28/13; 9/4; 39/19; 37/19; 21/10; 37/19; ; 21/10; 2; 21/10
META; english/championship/wigan-v-aston-villa; 2017-03-15 04:20:33 GMT+2; 2017-03-18 15:00; e70300-dr003
Aston Villa; 11/8; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 11/8; 6/4; 6/4; 29/20; 6/4; 6/4; 7/5; 8/5; 6/4; 6/4; 16/11; 7/5; ; 6/4; 6/4; 10/7; 6/4; 16/11; ; 6/4; 6/4; 6/4
Draw; 9/4; 19/10; 39/20; 19/10; 21/10; 21/10; 2; 2; 2; 2; 15/8; 19/10; 2; 9/4; 2; 2; 2; 2; 2; ; 11/5; 39/19; 2; 2; 21/10; ; 2; 2; 21/10
Wigan; 2; 11/5; 43/20; 11/5; 11/5; 21/10; 85/40; 15/8; 85/40; 2; 2; 11/5; 21/10; 2; 2; 11/5; 39/19; 2; 21/10; ; 9/4; 21/10; 21/10; 2; 11/5; ; 2; 2; 21/10
META; english/championship/wigan-v-aston-villa; 2017-03-15 08:20:17 GMT+2; 2017-03-18 15:00; e70300-dr003
Aston Villa; 11/8; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 11/8; 6/4; 6/4; 29/20; 6/4; 6/4; 7/5; 8/5; 6/4; 6/4; 16/11; 7/5; 6/4; 6/4; 6/4; 10/7; 6/4; 16/11; ; 6/4; 6/4; 6/4
Draw; 9/4; 19/10; 39/20; 19/10; 21/10; 21/10; 2; 2; 2; 2; 15/8; 19/10; 2; 9/4; 2; 2; 2; 2; 2; 2; 11/5; 39/19; 2; 2; 21/10; ; 2; 2; 21/10
Wigan; 2; 11/5; 43/20; 11/5; 11/5; 21/10; 85/40; 15/8; 85/40; 2; 2; 11/5; 21/10; 2; 2; 11/5; 39/19; 2; 21/10; 39/19; 9/4; 21/10; 21/10; 2; 11/5; ; 2; 2; 21/10
META; english/championship/wigan-v-aston-villa; 2017-03-15 12:22:51 GMT+2; 2017-03-18 15:00; e70300-dr003
Aston Villa; 11/8; 6/4; 31/20; 6/4; 6/4; 31/20; 6/4; 11/8; 6/4; 6/4; 29/20; 6/4; 6/4; 29/20; 8/5; 6/4; 6/4; 16/11; 7/5; 6/4; 31/20; 6/4; 10/7; 6/4; 16/11; ; 6/4; 6/4; 6/4
Wigan; 2; 21/10; 43/20; 11/5; 21/10; 21/10; 21/10; 15/8; 85/40; 2; 2; 11/5; 21/10; 19/10; 2; 11/5; 39/19; 2; 21/10; 39/19; 11/5; 21/10; 21/10; 2; 11/5; ; 2; 21/10; 21/10
Draw; 9/4; 19/10; 39/20; 19/10; 21/10; 21/10; 21/10; 2; 2; 2; 15/8; 19/10; 2; 9/4; 2; 2; 2; 2; 2; 2; 43/20; 39/19; 2; 2; 21/10; ; 2; 2; 21/10
META; english/championship/wigan-v-aston-villa; 2017-03-15 16:20:48 GMT+2; 2017-03-18 15:00; e70300-dr003
Aston Villa; 11/8; 6/4; 31/20; 6/4; 6/4; 31/20; 6/4; 13/10; 6/4; 6/4; 31/20; 6/4; 6/4; 29/20; 8/5; 6/4; 17/11; 16/11; 6/4; 17/11; 31/20; 6/4; 17/11; 6/4; 8/5; ; 6/4; 6/4; 6/4
Wigan; 2; 11/5; 43/20; 11/5; 21/10; 21/10; 21/10; 15/8; 85/40; 2; 11/5; 11/5; 21/10; 19/10; 2; 11/5; 39/19; 2; 2; 39/19; 11/5; 21/10; 2; 2; 39/19; ; 2; 21/10; 21/10
Draw; 9/4; 19/10; 39/20; 19/10; 21/10; 21/10; 21/10; 11/5; 2; 2; 2; 19/10; 2; 9/4; 2; 2; 2; 2; 2; 2; 43/20; 39/19; 2; 2; 39/19; ; 2; 2; 21/10
META; english/championship/wigan-v-aston-villa; 2017-03-15 20:20:53 GMT+2; 2017-03-18 15:00; e70300-dr003
Aston Villa; 11/8; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 6/4; 29/20; 8/5; 6/4; 6/4; 16/11; 6/4; 6/4; 41/25; 6/4; 17/11; 7/5; 8/5; ; 6/4; 6/4; 6/4
Wigan; 2; 21/10; 43/20; 11/5; 21/10; 43/20; 21/10; 21/10; 85/40; 21/10; 2; 11/5; 21/10; 19/10; 2; 11/5; 21/10; 2; 2; 21/10; 43/20; 21/10; 2; 21/10; 39/19; ; 2; 21/10; 21/10
Draw; 9/4; 19/10; 39/20; 19/10; 21/10; 21/10; 21/10; 21/10; 2; 19/10; 2; 19/10; 2; 9/4; 2; 2; 39/19; 2; 2; 39/19; 52/25; 39/19; 2; 2; 39/19; ; 2; 2; 21/10
META; english/championship/wigan-v-aston-villa; 2017-03-16 00:25:46 GMT+2; 2017-03-18 15:00; e70300-dr003
Aston Villa; 11/8; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 6/4; 29/20; 8/5; 6/4; 6/4; 16/11; 6/4; 6/4; 41/25; 6/4; 17/11; 7/5; 8/5; ; 6/4; 6/4; 6/4
Wigan; 2; 21/10; 43/20; 11/5; 21/10; 43/20; 21/10; 21/10; 85/40; 21/10; 2; 11/5; 21/10; 19/10; 2; 11/5; 21/10; 2; 2; 21/10; 43/20; 21/10; 2; 21/10; 39/19; ; 2; 21/10; 21/10
Draw; 9/4; 19/10; 39/20; 19/10; 21/10; 21/10; 21/10; 21/10; 2; 19/10; 2; 19/10; 2; 9/4; 2; 2; 2; 2; 2; 2; 52/25; 39/19; 2; 2; 39/19; ; 2; 2; 21/10
META; english/championship/wigan-v-aston-villa; 2017-03-16 04:20:24 GMT+2; 2017-03-18 15:00; e70300-dr003
Aston Villa; 11/8; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 7/5; 6/4; 6/4; 6/4; 29/20; 6/4; 29/20; 8/5; 6/4; 6/4; ; 6/4; 6/4; 41/25; 6/4; 17/11; 7/5; 8/5; ; 7/5; 6/4; 6/4
Wigan; 2; 21/10; 43/20; 11/5; 21/10; 43/20; 21/10; 21/10; 85/40; 21/10; 2; 21/10; 21/10; 19/10; 2; 11/5; 21/10; ; 2; 21/10; 43/20; 21/10; 2; 21/10; 39/19; ; 2; 2; 21/10
Draw; 9/4; 19/10; 39/20; 19/10; 21/10; 21/10; 21/10; 21/10; 2; 19/10; 2; 2; 2; 9/4; 2; 2; 2; ; 2; 2; 52/25; 39/19; 2; 2; 39/19; ; 2; 2; 21/10
META; english/championship/wigan-v-aston-villa; 2017-03-16 08:20:29 GMT+2; 2017-03-18 15:00; e70300-dr003
Aston Villa; 11/8; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 7/5; 6/4; 6/4; 6/4; 29/20; 6/4; 29/20; 8/5; 6/4; 6/4; 16/11; 6/4; 6/4; 41/25; 6/4; 17/11; 7/5; 8/5; ; 7/5; 6/4; 6/4
Wigan; 2; 21/10; 43/20; 11/5; 21/10; 43/20; 21/10; 21/10; 85/40; 21/10; 2; 21/10; 21/10; 19/10; 2; 11/5; 21/10; 2; 2; 21/10; 43/20; 21/10; 2; 21/10; 39/19; ; 2; 21/10; 21/10
Draw; 9/4; 19/10; 39/20; 19/10; 21/10; 21/10; 21/10; 21/10; 2; 19/10; 2; 2; 2; 9/4; 2; 2; 2; 2; 2; 2; 52/25; 39/19; 2; 2; 39/19; ; 2; 2; 21/10
META; english/championship/wigan-v-aston-villa; 2017-03-16 12:21:21 GMT+2; 2017-03-18 15:00; e70300-dr003
Aston Villa; 11/8; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 7/5; 6/4; 6/4; 6/4; 29/20; 6/4; 29/20; 8/5; 6/4; 6/4; 16/11; 6/4; 6/4; 41/25; 6/4; 17/11; 7/5; 8/5; ; 7/5; 6/4; 6/4
Wigan; 2; 21/10; 43/20; 11/5; 11/5; 43/20; 21/10; 21/10; 85/40; 21/10; 2; 21/10; 21/10; 19/10; 2; 11/5; 21/10; 2; 2; 21/10; 43/20; 21/10; 2; 21/10; 39/19; ; 2; 2; 21/10
Draw; 9/4; 19/10; 39/20; 19/10; 21/10; 21/10; 21/10; 21/10; 2; 19/10; 2; 2; 2; 9/4; 2; 2; 2; 2; 2; 2; 52/25; 39/19; 2; 2; 39/19; ; 2; 2; 21/10
META; english/championship/wigan-v-aston-villa; 2017-03-16 16:20:40 GMT+2; 2017-03-18 15:00; e70300-dr003
Aston Villa; 11/8; 6/4; 6/4; 6/4; 6/4; 6/4; 29/20; 7/5; 6/4; 7/5; 6/4; 29/20; 6/4; 7/5; 8/5; 6/4; 6/4; 16/11; 6/4; 6/4; 41/25; 6/4; 17/11; 7/5; 8/5; ; 7/5; 7/5; 7/5
Wigan; 2; 21/10; 11/5; 21/10; 21/10; 43/20; 85/40; 21/10; 85/40; 21/10; 2; 21/10; 21/10; 2; 2; 11/5; 21/10; 2; 2; 21/10; 43/20; 21/10; 2; 21/10; 39/19; ; 21/10; 21/10; 21/10
Draw; 9/4; 2; 39/20; 2; 21/10; 21/10; 21/10; 21/10; 2; 2; 2; 2; 2; 9/4; 2; 2; 39/19; 2; 2; 39/19; 52/25; 39/19; 2; 2; 39/19; ; 2; 2; 21/10
META; english/championship/wigan-v-aston-villa; 2017-03-16 20:21:08 GMT+2; 2017-03-18 15:00; e70300-dr003
