META; english/championship/nottingham-forest-v-burton; 2016-07-01 12:16:26 GMT+3; 2016-08-06 15:00; e70300-dr003
Nottingham Forest; 4/5; 5/6; ; 5/6; ; 4/5; 5/6; 4/5; ; 9/10; ; 8/11; 8/11; 4/5; 4/5; 5/6; ; 13/15; 9/10; 4/5; 9/10; 13/15; 13/15; ; ; 1/100; ; 
Draw; 5/2; 5/2; ; 5/2; ; 5/2; 13/5; 12/5; ; 5/2; ; 12/5; 13/5; 49/20; 13/5; 13/5; ; 27/11; 5/2; 12/5; 5/2; 27/11; 13/5; ; ; 11/5; ; 
Burton; 7/2; 3; ; 16/5; ; 10/3; 7/2; 29/10; ; 14/5; ; 3; 16/5; 16/5; 10/3; 3; ; 58/19; 14/5; 17/5; 14/5; 58/19; 19/5; ; ; 1/100; ; 
META; english/championship/nottingham-forest-v-burton; 2016-07-01 16:16:21 GMT+3; 2016-08-06 15:00; e70300-dr003
Nottingham Forest; 4/5; 5/6; ; 5/6; ; 4/5; 5/6; 4/5; ; 9/10; ; 8/11; 8/11; 4/5; 4/5; 5/6; ; 5/6; 9/10; 4/5; 9/10; 5/6; 13/15; ; ; 1/100; ; 
Draw; 5/2; 5/2; ; 5/2; ; 5/2; 13/5; 12/5; ; 5/2; ; 12/5; 13/5; 49/20; 13/5; 13/5; ; 5/2; 5/2; 12/5; 5/2; 5/2; 13/5; ; ; 11/5; ; 
Burton; 7/2; 3; ; 16/5; ; 10/3; 7/2; 29/10; ; 14/5; ; 3; 16/5; 16/5; 10/3; 3; ; 58/19; 14/5; 17/5; 14/5; 58/19; 19/5; ; ; 1/100; ; 
META; english/championship/nottingham-forest-v-burton; 2016-07-01 20:17:13 GMT+3; 2016-08-06 15:00; e70300-dr003
Nottingham Forest; 4/5; 5/6; ; 5/6; ; 4/5; 5/6; 4/5; ; 9/10; ; 8/11; 8/11; 4/5; 4/5; 5/6; ; 5/6; 9/10; 4/5; 9/10; 5/6; 13/15; ; ; 1/100; ; 
Draw; 5/2; 5/2; ; 5/2; ; 5/2; 13/5; 12/5; ; 5/2; ; 12/5; 13/5; 49/20; 13/5; 13/5; ; 5/2; 5/2; 12/5; 5/2; 5/2; 13/5; ; ; 11/5; ; 
Burton; 7/2; 3; ; 16/5; ; 10/3; 7/2; 29/10; ; 14/5; ; 3; 16/5; 16/5; 10/3; 3; ; 58/19; 14/5; 17/5; 14/5; 58/19; 19/5; ; ; 1/100; ; 
META; english/championship/nottingham-forest-v-burton; 2016-07-02 00:16:36 GMT+3; 2016-08-06 15:00; e70300-dr003
Nottingham Forest; 4/5; 5/6; ; 5/6; ; 4/5; 5/6; 4/5; ; 9/10; ; 8/11; 8/11; 4/5; 4/5; 5/6; ; 5/6; 9/10; 4/5; 9/10; 5/6; 13/15; ; ; 1/100; ; 
Draw; 5/2; 5/2; ; 5/2; ; 5/2; 13/5; 12/5; ; 5/2; ; 12/5; 13/5; 49/20; 13/5; 13/5; ; 5/2; 5/2; 12/5; 5/2; 5/2; 13/5; ; ; 11/5; ; 
Burton; 7/2; 3; ; 16/5; ; 10/3; 7/2; 29/10; ; 14/5; ; 3; 16/5; 16/5; 10/3; 3; ; 58/19; 14/5; 17/5; 14/5; 58/19; 19/5; ; ; 1/100; ; 
META; english/championship/nottingham-forest-v-burton; 2016-07-02 04:16:39 GMT+3; 2016-08-06 15:00; e70300-dr003
Nottingham Forest; 4/5; 5/6; ; 5/6; ; 4/5; 5/6; 4/5; ; 9/10; ; 8/11; 8/11; 4/5; 4/5; 5/6; ; 5/6; 9/10; 4/5; 9/10; 5/6; 13/15; ; ; 1/100; ; 
Draw; 5/2; 5/2; ; 5/2; ; 5/2; 13/5; 12/5; ; 5/2; ; 12/5; 13/5; 49/20; 13/5; 13/5; ; 5/2; 5/2; 12/5; 5/2; 5/2; 13/5; ; ; 11/5; ; 
