META; english/championship/bristol-city-v-wigan; 2016-07-01 12:16:18 GMT+3; 2016-08-06 15:00; e70300-dr003
Bristol City; 11/8; 11/8; ; 6/4; ; 7/5; 7/5; 11/8; ; 6/4; ; 5/4; 5/4; 7/5; 7/5; 11/8; ; 7/5; 6/4; 23/17; 6/4; 7/5; 20/13; ; ; 4/11; ; 
Wigan; 19/10; 9/5; ; 19/10; ; 19/10; 19/10; 7/4; ; 7/4; ; 7/4; 15/8; 9/5; 15/8; 15/8; ; 9/5; 7/4; 19/10; 7/4; 9/5; 2; ; ; 8/15; ; 
Draw; 23/10; 23/10; ; 11/5; ; 9/4; 12/5; 11/5; ; 9/4; ; 11/5; 23/10; 9/4; 12/5; 9/4; ; 9/4; 9/4; 9/4; 9/4; 9/4; 12/5; ; ; 11/5; ; 
META; english/championship/bristol-city-v-wigan; 2016-07-01 16:16:12 GMT+3; 2016-08-06 15:00; e70300-dr003
Bristol City; 11/8; 11/8; ; 6/4; ; 7/5; 7/5; 11/8; ; 6/4; ; 5/4; 5/4; 7/5; 7/5; 11/8; ; 7/5; 6/4; 23/17; 6/4; 7/5; 20/13; ; ; 4/11; ; 
Wigan; 19/10; 9/5; ; 19/10; ; 19/10; 19/10; 7/4; ; 7/4; ; 7/4; 15/8; 9/5; 19/10; 15/8; ; 24/13; 7/4; 19/10; 7/4; 24/13; 2; ; ; 8/15; ; 
Draw; 23/10; 23/10; ; 11/5; ; 9/4; 12/5; 11/5; ; 9/4; ; 11/5; 23/10; 9/4; 12/5; 9/4; ; 9/4; 9/4; 9/4; 9/4; 9/4; 12/5; ; ; 11/5; ; 
META; english/championship/bristol-city-v-wigan; 2016-07-01 20:16:56 GMT+3; 2016-08-06 15:00; e70300-dr003
Bristol City; 11/8; 11/8; ; 6/4; ; 7/5; 7/5; 11/8; ; 6/4; ; 5/4; 5/4; 7/5; 7/5; 11/8; ; 7/5; 6/4; 23/17; 6/4; 7/5; 20/13; ; ; 4/11; ; 
Wigan; 19/10; 9/5; ; 19/10; ; 19/10; 19/10; 7/4; ; 7/4; ; 7/4; 15/8; 9/5; 19/10; 15/8; ; 24/13; 7/4; 19/10; 7/4; 24/13; 2; ; ; 8/15; ; 
Draw; 23/10; 23/10; ; 11/5; ; 9/4; 12/5; 11/5; ; 9/4; ; 11/5; 23/10; 9/4; 12/5; 9/4; ; 9/4; 9/4; 9/4; 9/4; 9/4; 12/5; ; ; 11/5; ; 
META; english/championship/bristol-city-v-wigan; 2016-07-02 00:16:26 GMT+3; 2016-08-06 15:00; e70300-dr003
Bristol City; 11/8; 11/8; ; 6/4; ; 7/5; 7/5; 11/8; ; 6/4; ; 5/4; 5/4; 7/5; 7/5; 11/8; ; 7/5; 6/4; 23/17; 6/4; 7/5; 20/13; ; ; 4/11; ; 
Wigan; 19/10; 9/5; ; 19/10; ; 19/10; 19/10; 7/4; ; 7/4; ; 7/4; 15/8; 9/5; 19/10; 15/8; ; 24/13; 7/4; 19/10; 7/4; 24/13; 2; ; ; 8/15; ; 
Draw; 23/10; 23/10; ; 11/5; ; 9/4; 12/5; 11/5; ; 9/4; ; 11/5; 23/10; 9/4; 12/5; 9/4; ; 9/4; 9/4; 9/4; 9/4; 9/4; 12/5; ; ; 11/5; ; 
META; english/championship/bristol-city-v-wigan; 2016-07-02 04:16:30 GMT+3; 2016-08-06 15:00; e70300-dr003
Bristol City; 11/8; 11/8; ; 6/4; ; 7/5; 7/5; 11/8; ; 6/4; ; 5/4; 5/4; 7/5; 7/5; 11/8; ; 7/5; 6/4; 23/17; 6/4; 7/5; 20/13; ; ; 4/11; ; 
Wigan; 19/10; 9/5; ; 19/10; ; 19/10; 19/10; 7/4; ; 7/4; ; 7/4; 15/8; 9/5; 19/10; 15/8; ; 24/13; 7/4; 19/10; 7/4; 24/13; 2; ; ; 8/15; ; 
Draw; 23/10; 23/10; ; 11/5; ; 9/4; 12/5; 11/5; ; 9/4; ; 11/5; 23/10; 9/4; 12/5; 9/4; ; 9/4; 9/4; 9/4; 9/4; 9/4; 12/5; ; ; 11/5; ; 
META; english/championship/bristol-city-v-wigan; 2016-07-02 08:16:31 GMT+3; 2016-08-06 15:00; e70300-dr003
Bristol City; 11/8; 11/8; ; 6/4; ; 7/5; 7/5; 11/8; ; 6/4; ; 5/4; 5/4; 7/5; 7/5; 11/8; ; 7/5; 6/4; 23/17; 6/4; 7/5; 20/13; ; ; 4/11; ; 
Wigan; 19/10; 9/5; ; 19/10; ; 19/10; 19/10; 7/4; ; 7/4; ; 7/4; 15/8; 9/5; 15/8; 15/8; ; 9/5; 7/4; 19/10; 7/4; 9/5; 2; ; ; 8/15; ; 
Draw; 23/10; 23/10; ; 11/5; ; 9/4; 12/5; 11/5; ; 9/4; ; 11/5; 23/10; 9/4; 12/5; 9/4; ; 9/4; 9/4; 9/4; 9/4; 9/4; 12/5; ; ; 11/5; ; 
META; english/championship/bristol-city-v-wigan; 2016-07-02 12:17:32 GMT+3; 2016-08-06 15:00; e70300-dr003
Bristol City; 11/8; 11/8; ; 6/4; ; 7/5; 7/5; 11/8; ; 6/4; ; 5/4; 5/4; 7/5; 7/5; 11/8; ; 7/5; 6/4; 23/17; 6/4; 7/5; 20/13; ; ; 4/11; ; 
Wigan; 19/10; 9/5; ; 19/10; ; 19/10; 19/10; 7/4; ; 7/4; ; 7/4; 15/8; 9/5; 19/10; 15/8; ; 24/13; 7/4; 19/10; 7/4; 24/13; 2; ; ; 8/15; ; 
Draw; 23/10; 23/10; ; 11/5; ; 9/4; 12/5; 11/5; ; 9/4; ; 11/5; 23/10; 9/4; 12/5; 9/4; ; 9/4; 9/4; 9/4; 9/4; 9/4; 12/5; ; ; 11/5; ; 
META; english/championship/bristol-city-v-wigan; 2016-07-02 16:17:53 GMT+3; 2016-08-06 15:00; e70300-dr003
Bristol City; 11/8; 11/8; ; 6/4; ; 7/5; 7/5; 11/8; ; 6/4; ; 5/4; 5/4; 7/5; 7/5; 11/8; ; 7/5; 6/4; 23/17; 6/4; 7/5; 20/13; ; ; 4/11; ; 
Wigan; 19/10; 9/5; ; 19/10; ; 19/10; 19/10; 7/4; ; 7/4; ; 7/4; 15/8; 9/5; 19/10; 15/8; ; 24/13; 7/4; 19/10; 7/4; 24/13; 2; ; ; 8/15; ; 
Draw; 23/10; 23/10; ; 11/5; ; 9/4; 12/5; 11/5; ; 9/4; ; 11/5; 23/10; 9/4; 12/5; 9/4; ; 9/4; 9/4; 9/4; 9/4; 9/4; 12/5; ; ; 11/5; ; 
META; english/championship/bristol-city-v-wigan; 2016-07-02 20:21:23 GMT+3; 2016-08-06 15:00; e70300-dr003
Bristol City; 11/8; 11/8; ; 6/4; ; 7/5; 7/5; 11/8; ; 6/4; ; 5/4; 5/4; 7/5; 7/5; 11/8; ; 7/5; 6/4; 23/17; 6/4; 7/5; 20/13; ; ; 4/11; ; 
Wigan; 19/10; 9/5; ; 19/10; ; 19/10; 19/10; 7/4; ; 7/4; ; 7/4; 15/8; 9/5; 19/10; 15/8; ; 24/13; 7/4; 19/10; 7/4; 24/13; 2; ; ; 8/15; ; 
