META; english/championship/burton-v-barnsley; 2016-10-30 04:21:41 GMT+3; 2016-11-05 15:00; e70300-dr003
Burton; ; 6/5; ; ; 13/10; ; 13/10; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/13; ; 
Barnsley; ; 21/10; ; ; 21/10; ; 11/5; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 23/10; ; ; 23/10; ; 23/10; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/championship/burton-v-barnsley; 2016-10-30 08:21:46 GMT+3; 2016-11-05 15:00; e70300-dr003
Burton; ; 6/5; ; ; 13/10; ; 13/10; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/13; ; 
Barnsley; ; 21/10; ; ; 21/10; ; 11/5; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 23/10; ; ; 23/10; ; 23/10; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/championship/burton-v-barnsley; 2016-10-30 12:22:10 GMT+3; 2016-11-05 15:00; e70300-dr003
Burton; 11/8; 6/5; ; ; 13/10; ; 13/10; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 
Barnsley; 15/8; 21/10; ; ; 21/10; ; 11/5; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; 12/5; 23/10; ; ; 23/10; ; 23/10; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/championship/burton-v-barnsley; 2016-10-30 16:22:39 GMT+3; 2016-11-05 15:00; e70300-dr003
Burton; 11/8; 6/5; 13/10; 5/4; 13/10; 13/10; 5/4; ; ; 6/5; 13/10; 6/4; 5/4; ; 5/4; ; 23/17; ; ; ; 23/17; ; ; ; 13/10; ; 6/5; ; 
Barnsley; 15/8; 21/10; 21/10; 11/5; 21/10; 21/10; 85/40; ; ; 21/10; 21/10; 9/5; 21/10; ; 21/10; ; 24/13; ; ; ; 24/13; ; ; ; 15/8; ; 2; ; 
Draw; 12/5; 23/10; 12/5; 23/10; 23/10; 5/2; 5/2; ; ; 12/5; 9/4; 23/10; 49/20; ; 5/2; ; 23/10; ; ; ; 23/10; ; ; ; 23/10; ; 12/5; ; 
META; english/championship/burton-v-barnsley; 2016-10-30 20:22:15 GMT+3; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 6/5; 5/4; 5/4; 13/10; 5/4; 6/5; ; 5/4; 6/5; 1; 6/4; 6/5; 5/4; 5/4; ; 5/4; ; ; ; 5/4; ; ; 6/5; 5/4; ; 5/4; ; 
Barnsley; 11/5; 21/10; 43/20; 21/10; 21/10; 11/5; 11/5; ; 11/5; 21/10; 12/5; 9/5; 11/5; 21/10; 21/10; ; 21/10; ; ; ; 21/10; ; ; 11/5; 2; ; 2; ; 
Draw; 12/5; 23/10; 49/20; 12/5; 23/10; 5/2; 5/2; ; 5/2; 5/2; 12/5; 23/10; 49/20; 5/2; 5/2; ; 40/17; ; ; ; 40/17; ; ; 23/10; 12/5; ; 5/2; ; 
META; english/championship/burton-v-barnsley; 2016-10-31 00:21:18 GMT+3; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 6/5; 23/20; 23/20; 13/10; 23/20; 23/20; ; 6/5; 23/20; 1; 6/4; 23/20; 23/20; 5/4; ; 6/5; ; ; ; 6/5; ; ; 6/5; 23/20; ; 23/20; 23/20; 
Barnsley; 11/5; 21/10; 47/20; 21/10; 21/10; 23/10; 23/10; ; 23/10; 9/4; 12/5; 9/5; 9/4; 9/4; 21/10; ; 11/5; ; ; ; 11/5; ; ; 11/5; 11/5; ; 9/4; 11/5; 
Draw; 12/5; 23/10; 49/20; 13/5; 23/10; 5/2; 5/2; ; 5/2; 5/2; 12/5; 23/10; 5/2; 5/2; 5/2; ; 40/17; ; ; ; 40/17; ; ; 23/10; 12/5; ; 23/10; 12/5; 
META; english/championship/burton-v-barnsley; 2016-10-31 04:20:54 GMT+3; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 6/5; 23/20; 23/20; 13/10; 23/20; 23/20; ; 6/5; 23/20; 1; 23/20; 23/20; 23/20; 5/4; ; 6/5; ; ; ; 6/5; ; ; 6/5; 23/20; ; 23/20; 23/20; 
Barnsley; 11/5; 21/10; 47/20; 21/10; 21/10; 23/10; 23/10; ; 23/10; 9/4; 12/5; 9/4; 9/4; 9/4; 21/10; ; 11/5; ; ; ; 11/5; ; ; 11/5; 11/5; ; 23/10; 11/5; 
Draw; 12/5; 23/10; 49/20; 13/5; 23/10; 5/2; 5/2; ; 5/2; 5/2; 12/5; 5/2; 5/2; 5/2; 5/2; ; 12/5; ; ; ; 12/5; ; ; 23/10; 12/5; ; 12/5; 23/10; 
META; english/championship/burton-v-barnsley; 2016-10-31 08:20:43 GMT+3; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 6/5; 23/20; 23/20; 13/10; 23/20; 23/20; ; 6/5; 23/20; 1; 23/20; 23/20; 23/20; 5/4; ; 15/13; ; ; ; 15/13; ; ; 6/5; 23/20; ; 23/20; 23/20; 
Barnsley; 11/5; 21/10; 47/20; 21/10; 21/10; 23/10; 23/10; ; 23/10; 23/10; 12/5; 9/4; 23/10; 9/4; 21/10; ; 9/4; ; ; ; 9/4; ; ; 11/5; 11/5; ; 23/10; 11/5; 
Draw; 12/5; 23/10; 49/20; 13/5; 23/10; 5/2; 5/2; ; 5/2; 12/5; 12/5; 5/2; 49/20; 5/2; 5/2; ; 12/5; ; ; ; 12/5; ; ; 23/10; 12/5; ; 12/5; 23/10; 
META; english/championship/burton-v-barnsley; 2016-10-31 12:21:25 GMT+3; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 11/10; 23/20; 23/20; 6/5; 23/20; 23/20; 21/20; 6/5; 23/20; 1; 23/20; 23/20; 23/20; 5/4; ; 15/13; ; 6/5; ; 15/13; ; ; 6/5; 23/20; ; 23/20; 23/20; 
Barnsley; 11/5; 23/10; 47/20; 21/10; 11/5; 23/10; 23/10; 11/5; 23/10; 23/10; 12/5; 9/4; 23/10; 9/4; 21/10; ; 23/10; ; 2; ; 23/10; ; ; 11/5; 11/5; ; 23/10; 11/5; 
Draw; 12/5; 5/2; 49/20; 13/5; 12/5; 5/2; 5/2; 23/10; 5/2; 12/5; 12/5; 5/2; 49/20; 5/2; 5/2; ; 12/5; ; 12/5; ; 12/5; ; ; 23/10; 12/5; ; 12/5; 23/10; 
META; english/championship/burton-v-barnsley; 2016-10-31 16:21:28 GMT+3; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 11/10; 23/20; 23/20; 6/5; 23/20; 23/20; 21/20; 6/5; 23/20; 1; 23/20; 23/20; 23/20; 5/4; ; 15/13; ; 6/5; ; 15/13; ; ; 6/5; 23/20; ; 23/20; 23/20; 
Barnsley; 11/5; 23/10; 47/20; 21/10; 11/5; 23/10; 23/10; 11/5; 23/10; 23/10; 12/5; 9/4; 23/10; 9/4; 21/10; ; 9/4; ; 2; ; 9/4; ; ; 11/5; 11/5; ; 23/10; 11/5; 
Draw; 12/5; 5/2; 49/20; 13/5; 12/5; 5/2; 5/2; 23/10; 5/2; 12/5; 12/5; 5/2; 49/20; 5/2; 5/2; ; 12/5; ; 12/5; ; 12/5; ; ; 23/10; 12/5; ; 12/5; 23/10; 
META; english/championship/burton-v-barnsley; 2016-10-31 20:22:17 GMT+3; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 11/10; 23/20; 23/20; 6/5; 23/20; 23/20; 21/20; 6/5; 23/20; 1; 23/20; 23/20; 23/20; 5/4; ; 15/13; ; 6/5; ; 15/13; ; ; 6/5; 23/20; ; 23/20; 23/20; 
Barnsley; 11/5; 23/10; 47/20; 21/10; 11/5; 23/10; 23/10; 11/5; 23/10; 23/10; 12/5; 9/4; 23/10; 9/4; 21/10; ; 9/4; ; 2; ; 9/4; ; ; 11/5; 11/5; ; 23/10; 11/5; 
Draw; 12/5; 5/2; 49/20; 13/5; 12/5; 5/2; 5/2; 23/10; 5/2; 12/5; 12/5; 5/2; 49/20; 5/2; 5/2; ; 12/5; ; 12/5; ; 12/5; ; ; 23/10; 12/5; ; 12/5; 23/10; 
META; english/championship/burton-v-barnsley; 2016-11-01 00:21:36 GMT+3; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 11/10; 23/20; 23/20; 6/5; 23/20; 23/20; 21/20; 6/5; 11/10; 1; 23/20; 11/10; 23/20; 5/4; ; 11/10; ; 6/5; ; 11/10; ; ; 6/5; 23/20; ; 23/20; 10/9; 
Barnsley; 11/5; 23/10; 23/10; 23/10; 11/5; 23/10; 23/10; 11/5; 23/10; 12/5; 12/5; 9/4; 47/20; 9/4; 21/10; ; 12/5; ; 2; ; 12/5; ; ; 11/5; 9/4; ; 23/10; 9/4; 
Draw; 12/5; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 23/10; 5/2; 12/5; 12/5; 5/2; 5/2; 5/2; 5/2; ; 12/5; ; 12/5; ; 12/5; ; ; 23/10; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-01 04:20:55 GMT+3; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 11/10; 23/20; 23/20; 6/5; 23/20; 23/20; 21/20; 6/5; 11/10; 1; 23/20; 11/10; 23/20; 5/4; ; 11/10; ; 6/5; ; 11/10; ; ; 6/5; 23/20; ; 10/9; 10/9; 
Barnsley; 11/5; 23/10; 23/10; 23/10; 11/5; 23/10; 23/10; 11/5; 23/10; 12/5; 12/5; 9/4; 47/20; 9/4; 21/10; ; 40/17; ; 2; ; 40/17; ; ; 11/5; 9/4; ; 23/10; 9/4; 
Draw; 12/5; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 23/10; 5/2; 12/5; 12/5; 5/2; 5/2; 5/2; 5/2; ; 12/5; ; 12/5; ; 12/5; ; ; 23/10; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-01 08:20:57 GMT+3; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 11/10; 23/20; 23/20; 6/5; 23/20; 23/20; 21/20; 6/5; 11/10; 1; 23/20; 11/10; 23/20; 5/4; ; 11/10; ; 6/5; ; 11/10; ; ; 6/5; 23/20; ; 23/20; 10/9; 
Barnsley; 11/5; 23/10; 23/10; 23/10; 11/5; 23/10; 23/10; 11/5; 23/10; 12/5; 12/5; 9/4; 47/20; 11/5; 21/10; ; 40/17; ; 2; ; 40/17; ; ; 11/5; 9/4; ; 23/10; 9/4; 
Draw; 12/5; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 23/10; 5/2; 12/5; 12/5; 5/2; 5/2; 5/2; 5/2; ; 12/5; ; 12/5; ; 12/5; ; ; 23/10; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-01 12:21:23 GMT+3; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 11/10; 23/20; 23/20; 6/5; 23/20; 23/20; 21/20; 6/5; 11/10; 1; 23/20; 11/10; 23/20; 5/4; ; 11/10; ; 6/5; ; 11/10; ; ; 6/5; 23/20; ; 23/20; 10/9; 
Barnsley; 11/5; 23/10; 23/10; 23/10; 11/5; 23/10; 23/10; 11/5; 23/10; 12/5; 12/5; 9/4; 47/20; 11/5; 21/10; ; 40/17; ; 2; ; 40/17; ; ; 11/5; 9/4; ; 23/10; 9/4; 
Draw; 12/5; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 23/10; 5/2; 12/5; 12/5; 5/2; 5/2; 5/2; 5/2; ; 12/5; ; 12/5; ; 12/5; ; ; 23/10; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-01 16:22:53 GMT+3; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 11/10; 23/20; 11/10; 6/5; 23/20; 23/20; 21/20; 6/5; 11/10; 1; 23/20; 11/10; 23/20; 5/4; ; 15/13; ; 6/5; ; 15/13; ; ; 8/7; 23/20; ; 23/20; 10/9; 
Barnsley; 11/5; 23/10; 23/10; 9/4; 11/5; 23/10; 23/10; 11/5; 23/10; 12/5; 12/5; 9/4; 47/20; 11/5; 21/10; ; 23/10; ; 2; ; 23/10; ; ; 27/11; 9/4; ; 12/5; 9/4; 
Draw; 12/5; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 23/10; 5/2; 12/5; 12/5; 5/2; 5/2; 5/2; 5/2; ; 12/5; ; 12/5; ; 12/5; ; ; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-01 20:22:10 GMT+3; 2016-11-05 15:00; e70300-dr003
