Plymouth 5-3; 250; 250; ; ; ; 250; 350; 325; ; 200; 150; 100; 175; 250; 200; 200; ; ; 375; ; ; ; 375; 250; 375; ; ; ; 
Accrington 5-2; 200; 200; ; 250; ; 200; 325; 400; ; 200; 150; 100; 150; 250; 200; 150; ; ; 300; ; ; ; 300; 250; 300; ; ; ; 
Plymouth 6-2; 400; 250; ; 300; ; ; 300; ; ; 275; 150; ; 200; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Plymouth 6-3; ; ; ; ; ; ; ; ; ; 400; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Plymouth 6-1; 250; 250; ; 250; ; 250; 350; 475; ; 225; 150; 100; 175; 250; 250; 200; ; ; 325; ; ; ; 325; 250; 325; ; ; ; 
Accrington 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Accrington 5-0; 250; 250; ; 250; ; ; 350; 500; 100; 225; 150; 100; 200; 250; ; 200; ; ; 325; ; ; ; 325; 250; 325; ; ; ; 
Accrington 5-3; 400; 250; ; ; ; ; 300; 500; ; 275; 150; ; 200; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Accrington 5-4; ; ; ; ; ; ; ; 500; ; 400; 200; ; 175; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Accrington 6-0; ; 250; ; 500; ; ; 350; 500; 100; 475; 200; ; 175; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Accrington 6-1; ; 250; ; 500; ; ; 350; 500; ; 400; 200; ; 175; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Accrington 6-2; ; 250; ; 500; ; ; 350; ; ; 425; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Accrington 7-0; ; ; ; ; ; ; 225; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Accrington 7-1; ; ; ; 500; ; ; 225; 500; ; ; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Accrington 8-0; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Accrington 8-1; ; ; ; ; ; ; ; 500; ; ; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Accrington 9-0; ; ; ; ; ; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Plymouth 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Plymouth 5-4; ; ; ; ; ; ; ; 500; ; 375; 200; ; 175; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Plymouth 6-0; 300; 250; ; 300; ; ; 350; 500; 100; 250; 150; ; 175; 300; ; 200; ; ; 375; ; ; ; 375; 250; 375; ; ; ; 
Plymouth 7-0; ; ; ; 500; ; ; 350; 500; ; 475; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Plymouth 7-1; ; ; ; 500; ; ; 350; 500; ; 450; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Plymouth 8-0; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Plymouth 8-1; ; ; ; ; ; ; ; 500; ; ; 200; ; 175; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Plymouth 9-0; ; ; ; ; ; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/cardiff-v-brentford; 2017-04-05 11:27:39 GMT+3; 2017-04-08 15:00; e70300-dr003
Cardiff; 21/20; 23/20; 6/5; 6/5; 21/20; 6/5; 23/20; 11/10; 6/5; 23/20; 23/20; 6/5; 23/20; 11/10; 23/20; 6/5; 15/13; 6/5; 10/9; 15/13; ; ; 19/17; 23/20; 15/13; ; 23/20; ; 
Brentford; 5/2; 9/4; 23/10; 11/5; 5/2; 23/10; 23/10; 21/10; 23/10; 23/10; 21/10; 23/10; 23/10; 12/5; 12/5; 23/10; 23/10; 21/10; 23/10; 23/10; ; ; 23/10; 9/4; 40/17; ; 11/5; ; 
Draw; 12/5; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 23/10; 23/10; 49/20; 12/5; 12/5; 5/2; 27/11; 12/5; 12/5; 27/11; ; ; 27/11; 12/5; 5/2; ; 12/5; ; 
META; english/championship/cardiff-v-brentford; 2017-04-05 16:20:59 GMT+3; 2017-04-08 15:00; e70300-dr003
Cardiff; 21/20; 23/20; 6/5; 6/5; 21/20; 6/5; 6/5; 21/20; 6/5; 23/20; 23/20; 6/5; 23/20; 11/10; 6/5; 15/13; 15/13; 6/5; 10/9; 15/13; 6/5; 15/13; 19/17; 23/20; 15/13; ; 23/20; ; 
Draw; 12/5; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 5/2; 23/10; 23/10; 5/2; 12/5; 12/5; 5/2; 5/2; 12/5; 12/5; 5/2; 5/2; 12/5; 27/11; 12/5; 5/2; ; 12/5; ; 
Brentford; 5/2; 9/4; 9/4; 11/5; 5/2; 23/10; 9/4; 11/5; 23/10; 9/4; 21/10; 23/10; 23/10; 12/5; 23/10; 12/5; 23/10; 21/10; 23/10; 23/10; 51/20; 28/13; 23/10; 9/4; 40/17; ; 21/10; ; 
META; english/championship/cardiff-v-brentford; 2017-04-06 11:23:29 GMT+3; 2017-04-08 15:00; e70300-dr003
Cardiff; 5/4; 23/20; 5/4; 6/5; 11/10; 5/4; 6/5; 11/10; 5/4; 6/5; 6/5; 5/4; 5/4; 6/5; 5/4; 5/4; 6/5; 6/5; 10/9; 6/5; 5/4; 22/19; 19/17; 5/4; 15/13; ; 6/5; 6/5; 
Brentford; 21/10; 11/5; 43/20; 11/5; 12/5; 11/5; 9/4; 23/10; 9/4; 21/10; 2; 21/10; 11/5; 21/10; 21/10; 9/4; 28/13; 21/10; 23/10; 28/13; 49/20; 21/10; 23/10; 2; 40/17; ; 21/10; 21/10; 
Draw; 12/5; 5/2; 5/2; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 5/2; 23/10; 12/5; 5/2; 12/5; 5/2; 5/2; 5/2; 12/5; 12/5; 5/2; 5/2; 12/5; 27/11; 12/5; 5/2; ; 5/2; 12/5; 
META; english/championship/cardiff-v-brentford; 2017-04-06 16:06:12 GMT+3; 2017-04-08 15:00; e70300-dr003
Cardiff; 23/20; 11/10; 6/5; 6/5; 6/5; 6/5; 23/20; 11/10; 5/4; 23/20; 11/10; 23/20; 6/5; 23/20; 5/4; 6/5; 6/5; 6/5; 10/9; 6/5; 5/4; 22/19; 19/17; 23/20; 15/13; ; 23/20; 23/20; 
Brentford; 23/10; 23/10; 9/4; 11/5; 12/5; 23/10; 23/10; 23/10; 9/4; 9/4; 23/10; 9/4; 23/10; 23/10; 21/10; 23/10; 9/4; 21/10; 23/10; 9/4; 49/20; 21/10; 23/10; 11/5; 40/17; ; 9/4; 21/10; 
Draw; 12/5; 5/2; 5/2; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 5/2; 12/5; 12/5; 5/2; 5/2; 12/5; 27/11; 12/5; 5/2; ; 5/2; 12/5; 
META; english/championship/cardiff-v-brentford; 2017-04-06 20:06:37 GMT+3; 2017-04-08 15:00; e70300-dr003
Cardiff; 23/20; 11/10; 6/5; 6/5; 6/5; 6/5; 5/4; 11/10; 6/5; 23/20; 23/20; 23/20; 6/5; 6/5; 5/4; 15/13; 6/5; 6/5; 10/9; 6/5; 5/4; 19/16; 19/17; 23/20; 15/13; ; 6/5; 23/20; 
Brentford; 23/10; 23/10; 11/5; 11/5; 12/5; 23/10; 23/10; 9/4; 23/10; 11/5; 23/10; 9/4; 23/10; 12/5; 21/10; 23/10; 9/4; 21/10; 23/10; 9/4; 49/20; 23/10; 23/10; 11/5; 40/17; ; 9/4; 21/10; 
Draw; 12/5; 5/2; 5/2; 12/5; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 12/5; 5/2; 5/2; 27/11; 27/11; 12/5; 5/2; ; 5/2; 5/2; 
META; english/championship/cardiff-v-brentford; 2017-04-07 13:07:58 GMT+3; 2017-04-08 15:00; e70300-dr003
Cardiff; 5/4; 23/20; ; 6/5; 6/5; 6/5; 5/4; 11/10; 6/5; 23/20; 23/20; 6/5; 6/5; 6/5; 5/4; 6/5; 6/5; 6/5; 10/9; 6/5; 5/4; 19/16; 19/17; 13/10; 15/13; ; 6/5; 23/20; 
Brentford; 23/10; 11/5; ; 11/5; 12/5; 9/4; 23/10; 9/4; 23/10; 11/5; 23/10; 9/4; 23/10; 23/10; 21/10; 9/4; 11/5; 21/10; 23/10; 11/5; 49/20; 23/10; 23/10; 19/10; 40/17; ; 23/10; 11/5; 
Draw; 13/5; 5/2; ; 12/5; 12/5; 5/2; 13/5; 5/2; 5/2; 12/5; 12/5; 12/5; 5/2; 13/5; 5/2; 5/2; 27/11; 12/5; 12/5; 27/11; 5/2; 27/11; 27/11; 27/10; 5/2; ; 12/5; 11/5; 
