META; english/championship/preston-v-bristol-city; 2017-04-01 20:17:42 GMT+3; 2017-04-04 19:45; e70300-dr003
Preston; 6/5; ; ; ; 6/5; ; 6/5; ; ; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; 13/11; ; 6/5; ; 21/20; ; 
Bristol City; 23/10; ; ; ; 23/10; ; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; 9/4; ; 23/10; ; 2; ; 
Draw; 23/10; ; ; ; 12/5; ; 23/10; ; ; ; ; ; ; ; ; ; 40/17; ; ; ; ; ; 40/17; ; 12/5; ; 23/10; ; 
META; english/championship/preston-v-bristol-city; 2017-04-02 04:20:21 GMT+3; ; e70300-dr003
Chris Wood; 2/5; 2/5; ; 2/5; 2/5; ; 2/5; 2/5; 2/5; 2/5; ; ; ; 2/5; 2/5; ; 4/11; ; ; 4/11; ; 2/5; ; 2/5; 2/5; ; ; ; 
Dwight Gayle; 7/4; 7/4; ; 7/4; 7/4; ; 7/4; 7/4; 15/8; 7/4; ; ; ; 7/4; 7/4; ; 9/5; ; ; 9/5; ; 8/5; ; 7/4; 7/4; ; ; ; 
Tammy Abraham; 25; 40; ; 33; 40; ; 40; 40; 25; 25; ; ; ; 40; 20; ; 53/2; ; ; 28; ; 33; ; 28; 20; ; ; ; 
Glenn Murray; 40; 40; ; 40; 40; ; 50; 50; 40; 40; ; ; ; 50; 40; ; 40; ; ; 40; ; 33; ; 40; 30; ; ; ; 
Jonathan Kodjia; 50; ; ; ; 66; ; ; ; ; 50; ; ; ; ; ; ; 60; ; ; 60; ; ; ; 50; 50; ; ; ; 
Scott Hogan; 66; ; ; 66; 66; ; ; ; ; ; ; ; ; ; 66; ; 60; ; ; 60; ; ; ; ; 66; ; ; ; 
Jay Emmanuel-Thomas; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 160; ; ; ; ; ; ; ; ; ; ; ; 
Britt Assombalonga; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; 200; ; ; ; 150; 200; ; ; ; 
Sam Winnall; 200; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; 200; ; ; 200; ; ; ; ; 200; ; ; ; 
Thomas Ince; 150; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; 125; ; ; 125; ; ; ; ; ; ; ; ; 
Atdhe Nuhiu; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 220; ; ; ; ; ; ; ; ; ; ; ; 
