META; english/championship/norwich-v-barnsley; 2017-03-12 00:20:08 GMT+2; 2017-03-18 15:00; e70300-dr003
Norwich; ; 2/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Barnsley; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/norwich-v-barnsley; 2017-03-12 04:20:40 GMT+2; 2017-03-18 15:00; e70300-dr003
Norwich; ; 2/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Barnsley; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/norwich-v-barnsley; 2017-03-12 08:21:05 GMT+2; 2017-03-18 15:00; e70300-dr003
Norwich; ; 2/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Barnsley; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/norwich-v-barnsley; 2017-03-12 12:20:17 GMT+2; 2017-03-18 15:00; e70300-dr003
Norwich; ; 2/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Barnsley; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/norwich-v-barnsley; 2017-03-12 16:20:18 GMT+2; 2017-03-18 15:00; e70300-dr003
Norwich; 4/7; 2/3; ; 6/10; 3/5; ; 3/5; ; 4/7; 3/5; ; ; 3/5; ; ; 8/13; 11/18; ; 4/7; 11/18; ; ; 5/8; ; ; 8/15; ; 
Draw; 14/5; 11/4; ; 16/5; 10/3; ; 16/5; ; 10/3; 16/5; ; ; 59/20; ; ; 16/5; 37/13; ; 14/5; 37/13; ; ; 56/19; ; ; 3; ; 
Barnsley; 5; 7/2; ; 4; 9/2; ; 22/5; ; 9/2; 17/4; ; ; 9/2; ; ; 9/2; 17/4; ; 4; 17/4; ; ; 41/10; ; ; 21/5; ; 
META; english/championship/norwich-v-barnsley; 2017-03-12 20:21:30 GMT+2; 2017-03-18 15:00; e70300-dr003
Norwich; 4/7; 8/13; 6/10; 6/10; 3/5; 8/13; 3/5; ; 4/7; 3/5; 4/7; ; 4/7; 4/7; 8/13; 8/13; 10/17; ; 4/7; 10/17; ; ; 4/7; 6/10; ; 8/15; ; 
Draw; 14/5; 16/5; 16/5; 16/5; 16/5; 33/10; 33/10; ; 10/3; 16/5; 3; ; 16/5; 14/5; 3; 10/3; 56/19; ; 3; 56/19; ; ; 31/10; 14/5; ; 3; ; 
Barnsley; 5; 4; 17/4; 4; 9/2; 17/4; 17/4; ; 9/2; 4; 4; ; 9/2; 5; 9/2; 9/2; 49/11; ; 9/2; 49/11; ; ; 9/2; 9/2; ; 9/2; ; 
META; english/championship/norwich-v-barnsley; 2017-03-13 00:19:57 GMT+2; 2017-03-18 15:00; e70300-dr003
Norwich; 4/7; 8/13; 6/10; 6/10; 3/5; 8/13; 3/5; ; 4/7; 3/5; 4/7; ; 4/7; 4/7; 8/13; 4/7; 10/17; ; 4/7; 10/17; ; 10/17; 4/7; 6/10; ; 8/15; ; 
Draw; 14/5; 16/5; 16/5; 16/5; 16/5; 33/10; 33/10; ; 10/3; 16/5; 3; ; 16/5; 14/5; 3; 16/5; 56/19; ; 3; 56/19; ; 33/10; 31/10; 14/5; ; 3; ; 
Barnsley; 5; 4; 17/4; 4; 9/2; 17/4; 17/4; ; 9/2; 4; 4; ; 9/2; 5; 9/2; 9/2; 49/11; ; 9/2; 49/11; ; 39/11; 9/2; 9/2; ; 23/5; ; 
META; english/championship/norwich-v-barnsley; 2017-03-13 04:19:38 GMT+2; 2017-03-18 15:00; e70300-dr003
Norwich; 4/7; 8/13; 6/10; 6/10; 3/5; 8/13; 3/5; ; 4/7; 3/5; 4/7; 4/7; 4/7; 4/7; 8/13; 4/7; 10/17; ; 4/7; 10/17; ; 10/17; 4/7; 6/10; ; 8/15; ; 
Draw; 14/5; 16/5; 16/5; 16/5; 16/5; 33/10; 33/10; ; 10/3; 16/5; 3; 16/5; 16/5; 14/5; 3; 16/5; 56/19; ; 3; 56/19; ; 33/10; 31/10; 14/5; ; 3; ; 
Barnsley; 5; 4; 17/4; 4; 9/2; 17/4; 17/4; ; 9/2; 4; 4; 4; 9/2; 5; 9/2; 9/2; 49/11; ; 9/2; 49/11; ; 39/11; 9/2; 9/2; ; 23/5; ; 
META; english/championship/norwich-v-barnsley; 2017-03-13 08:19:54 GMT+2; 2017-03-18 15:00; e70300-dr003
Norwich; 4/7; 8/13; 6/10; 6/10; 3/5; 8/13; 3/5; ; 4/7; 3/5; 4/7; 4/7; 4/7; 4/7; 8/13; 4/7; 10/17; ; 4/7; 10/17; ; 10/17; 4/7; 6/10; ; 8/15; ; 
Draw; 14/5; 16/5; 16/5; 16/5; 16/5; 33/10; 33/10; ; 10/3; 16/5; 3; 16/5; 16/5; 14/5; 3; 16/5; 3; ; 3; 3; ; 33/10; 31/10; 14/5; ; 3; ; 
Barnsley; 5; 4; 17/4; 4; 9/2; 17/4; 17/4; ; 9/2; 4; 4; 4; 9/2; 5; 9/2; 9/2; 22/5; ; 9/2; 22/5; ; 39/11; 9/2; 9/2; ; 23/5; ; 
META; english/championship/norwich-v-barnsley; 2017-03-13 12:20:46 GMT+2; 2017-03-18 15:00; e70300-dr003
Norwich; 4/7; 8/13; 6/10; 6/10; 3/5; 8/13; 3/5; 4/7; 4/7; 3/5; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 10/17; 6/11; 4/7; 10/17; 31/50; 10/17; 4/7; 6/10; ; 4/7; 4/7; 4/7
Draw; 14/5; 16/5; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 3; 16/5; 16/5; 14/5; 16/5; 16/5; 3; 13/4; 3; 3; 13/4; 33/10; 31/10; 14/5; ; 3; 3; 3
Barnsley; 5; 4; 17/4; 4; 9/2; 17/4; 17/4; 9/2; 9/2; 4; 4; 4; 9/2; 5; 9/2; 9/2; 22/5; 17/4; 9/2; 22/5; 5; 39/11; 9/2; 9/2; ; 9/2; 22/5; 9/2
META; english/championship/norwich-v-barnsley; 2017-03-13 16:23:20 GMT+2; 2017-03-18 15:00; e70300-dr003
Norwich; 4/7; 8/13; 6/10; 6/10; 4/7; 3/5; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 3/5; 4/7; 5/9; 6/11; 4/7; 5/9; 31/50; 5/8; 4/7; 4/7; 10/17; ; 4/7; 4/7; 4/7
Draw; 14/5; 16/5; 16/5; 16/5; 10/3; 33/10; 33/10; 16/5; 10/3; 3; 3; 16/5; 16/5; 14/5; 16/5; 16/5; 41/13; 13/4; 3; 41/13; 13/4; 33/10; 31/10; 3; 16/5; ; 3; 3; 3
Barnsley; 5; 4; 17/4; 4; 5; 17/4; 22/5; 9/2; 9/2; 9/2; 4; 4; 9/2; 11/2; 17/4; 9/2; 23/5; 17/4; 9/2; 23/5; 5; 39/10; 9/2; 9/2; 23/5; ; 23/5; 22/5; 24/5
META; english/championship/norwich-v-barnsley; 2017-03-13 20:21:14 GMT+2; 2017-03-18 15:00; e70300-dr003
Norwich; 4/7; 8/13; 6/10; 6/10; 4/7; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 3/5; 4/7; 5/9; 6/11; 4/7; 5/9; 31/50; 5/8; 4/7; 4/7; 10/17; ; 4/7; 4/7; 4/7
Draw; 14/5; 16/5; 16/5; 16/5; 10/3; 10/3; 33/10; 3; 10/3; 3; 3; 16/5; 16/5; 14/5; 16/5; 16/5; 41/13; 13/4; 3; 41/13; 13/4; 33/10; 31/10; 3; 16/5; ; 3; 3; 3
Barnsley; 5; 4; 9/2; 4; 5; 17/4; 9/2; 21/5; 9/2; 9/2; 21/5; 4; 9/2; 11/2; 17/4; 9/2; 23/5; 17/4; 9/2; 23/5; 5; 39/10; 9/2; 9/2; 23/5; ; 23/5; 9/2; 24/5
META; english/championship/norwich-v-barnsley; 2017-03-14 00:20:07 GMT+2; 2017-03-18 15:00; e70300-dr003
Norwich; 4/7; 4/7; 6/10; 6/10; 4/7; 3/5; 4/7; 8/15; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 3/5; 4/7; 5/9; 6/11; 4/7; 5/9; 31/50; 5/8; 4/7; 4/7; 10/17; ; 4/7; 4/7; 4/7
Draw; 14/5; 16/5; 16/5; 16/5; 10/3; 10/3; 10/3; 3; 10/3; 3; 3; 10/3; 16/5; 14/5; 16/5; 16/5; 41/13; 13/4; 3; 41/13; 13/4; 33/10; 31/10; 3; 16/5; ; 3; 3; 3
Barnsley; 5; 17/4; 9/2; 4; 5; 17/4; 9/2; 21/5; 9/2; 9/2; 21/5; 4; 9/2; 11/2; 17/4; 9/2; 23/5; 17/4; 9/2; 23/5; 5; 39/10; 9/2; 9/2; 23/5; ; 23/5; 9/2; 24/5
META; english/championship/norwich-v-barnsley; 2017-03-14 04:20:04 GMT+2; 2017-03-18 15:00; e70300-dr003
Norwich; 4/7; 4/7; 6/10; 6/10; 4/7; 3/5; 3/5; 8/15; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 3/5; 4/7; 5/9; 6/11; 4/7; 5/9; 31/50; 5/8; 4/7; 4/7; 10/17; ; 4/7; 4/7; 4/7
Draw; 14/5; 16/5; 16/5; 16/5; 16/5; 33/10; 33/10; 3; 10/3; 3; 3; 10/3; 16/5; 14/5; 16/5; 16/5; 41/13; 13/4; 3; 41/13; 13/4; 33/10; 31/10; 3; 16/5; ; 3; 3; 3
Barnsley; 5; 17/4; 17/4; 4; 5; 17/4; 17/4; 21/5; 9/2; 9/2; 4; 4; 9/2; 11/2; 17/4; 9/2; 23/5; 17/4; 9/2; 23/5; 5; 39/10; 9/2; 9/2; 23/5; ; 23/5; 22/5; 24/5
META; english/championship/norwich-v-barnsley; 2017-03-14 08:20:01 GMT+2; 2017-03-18 15:00; e70300-dr003
Norwich; 4/7; 4/7; 6/10; 6/10; 4/7; 3/5; 3/5; 8/15; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 3/5; 4/7; 5/9; 6/11; 4/7; 5/9; 31/50; 5/8; 4/7; 4/7; 10/17; ; 4/7; 4/7; 4/7
Draw; 14/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 3; 10/3; 3; 3; 10/3; 16/5; 14/5; 16/5; 16/5; 41/13; 13/4; 3; 41/13; 13/4; 33/10; 31/10; 3; 16/5; ; 3; 3; 3
Barnsley; 5; 17/4; 17/4; 4; 5; 17/4; 22/5; 21/5; 9/2; 9/2; 4; 4; 9/2; 11/2; 17/4; 9/2; 23/5; 17/4; 9/2; 23/5; 5; 39/10; 9/2; 9/2; 23/5; ; 23/5; 22/5; 24/5
META; english/championship/norwich-v-barnsley; 2017-03-14 12:21:21 GMT+2; 2017-03-18 15:00; e70300-dr003
Norwich; 4/7; 8/13; 6/10; 6/10; 4/7; 3/5; 3/5; 8/15; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 3/5; 8/13; 5/9; 6/11; 4/7; 5/9; 31/50; 5/8; 4/7; 4/7; 10/17; ; 4/7; 4/7; 4/7
Draw; 14/5; 16/5; 16/5; 16/5; 10/3; 33/10; 33/10; 3; 10/3; 3; 3; 10/3; 16/5; 14/5; 16/5; 16/5; 41/13; 13/4; 3; 41/13; 13/4; 33/10; 31/10; 3; 16/5; ; 3; 3; 3
Barnsley; 5; 4; 17/4; 4; 5; 17/4; 17/4; 21/5; 9/2; 9/2; 4; 4; 9/2; 11/2; 17/4; 9/2; 50/11; 17/4; 9/2; 50/11; 5; 39/10; 9/2; 9/2; 23/5; ; 23/5; 22/5; 24/5
META; english/championship/norwich-v-barnsley; 2017-03-14 16:20:28 GMT+2; 2017-03-18 15:00; e70300-dr003
Norwich; 4/7; 8/13; 6/10; 6/10; 4/7; 3/5; 3/5; 8/15; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 3/5; 8/13; 5/9; 6/11; 4/7; 5/9; 3/5; 5/8; 4/7; 4/7; 10/17; ; 4/7; 4/7; 4/7
Draw; 14/5; 16/5; 16/5; 16/5; 10/3; 33/10; 33/10; 3; 10/3; 3; 3; 10/3; 16/5; 14/5; 16/5; 16/5; 41/13; 13/4; 3; 41/13; 10/3; 33/10; 31/10; 3; 16/5; ; 3; 3; 3
Barnsley; 5; 4; 17/4; 4; 5; 17/4; 17/4; 21/5; 9/2; 9/2; 4; 4; 9/2; 11/2; 17/4; 9/2; 23/5; 17/4; 9/2; 23/5; 5; 39/10; 9/2; 9/2; 23/5; ; 23/5; 22/5; 24/5
META; english/championship/norwich-v-barnsley; 2017-03-14 20:20:55 GMT+2; 2017-03-18 15:00; e70300-dr003
Norwich; 4/7; 8/13; 6/10; 6/10; 4/7; 3/5; 3/5; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 3/5; 8/13; 4/7; 6/11; 4/7; 4/7; 3/5; 3/5; 4/7; 4/7; 10/17; ; 4/7; 4/7; 4/7
Draw; 14/5; 16/5; 16/5; 16/5; 16/5; 10/3; 33/10; 10/3; 10/3; 3; 3; 10/3; 16/5; 14/5; 16/5; 16/5; 16/5; 13/4; 3; 16/5; 10/3; 17/5; 31/10; 3; 16/5; ; 3; 3; 3
Barnsley; 5; 4; 17/4; 4; 5; 17/4; 17/4; 4; 9/2; 9/2; 4; 4; 9/2; 11/2; 17/4; 9/2; 79/17; 17/4; 9/2; 79/17; 5; 41/10; 9/2; 9/2; 23/5; ; 23/5; 22/5; 9/2
META; english/championship/norwich-v-barnsley; 2017-03-15 00:20:23 GMT+2; 2017-03-18 15:00; e70300-dr003
