META; english/championship/ipswich-v-wigan; 2017-04-01 20:17:37 GMT+3; 2017-04-04 19:45; e70300-dr003
Ipswich; 11/10; ; ; ; 23/20; ; 23/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; 24/23; ; 21/20; ; 1; ; 
Draw; 12/5; ; ; ; 5/2; ; 12/5; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; 27/11; ; 5/2; ; 9/4; ; 
Wigan; 12/5; ; ; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; 5/2; ; 28/11; ; 21/10; ; 
META; english/championship/ipswich-v-wigan; 2017-04-02 04:20:17 GMT+3; ; e70300-dr003
Helsinki; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; ; ; 4/7; ; ; 11/17; ; ; ; ; ; ; 
Seinajoen JK; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; 5; ; ; 3; ; ; ; ; ; ; 
IFK Mariehamn; 8; ; ; ; ; ; ; ; ; ; ; ; ; ; 8; ; ; ; 11; ; ; 8; ; ; ; ; ; ; 
KuPS; 14; ; ; ; ; ; ; ; ; ; ; ; ; ; 11; ; ; ; 11; ; ; 12; ; ; ; ; ; ; 
Ilves; 16; ; ; ; ; ; ; ; ; ; ; ; ; ; 16; ; ; ; 15; ; ; 16; ; ; ; ; ; ; 
VPS; 14; ; ; ; ; ; ; ; ; ; ; ; ; ; 12; ; ; ; 17; ; ; 12; ; ; ; ; ; ; 
FC Inter Turku; 40; ; ; ; ; ; ; ; ; ; ; ; ; ; 33; ; ; ; 20; ; ; 33; ; ; ; ; ; ; 
FC Lahti; 50; ; ; ; ; ; ; ; ; ; ; ; ; ; 50; ; ; ; 50; ; ; 50; ; ; ; ; ; ; 
Rovaniemi; 33; ; ; ; ; ; ; ; ; ; ; ; ; ; 25; ; ; ; 50; ; ; 33; ; ; ; ; ; ; 
HIFK; 66; ; ; ; ; ; ; ; ; ; ; ; ; ; 40; ; ; ; 100; ; ; 66; ; ; ; ; ; ; 
Jyvaskyla JK; 100; ; ; ; ; ; ; ; ; ; ; ; ; ; 50; ; ; ; 150; ; ; 100; ; ; ; ; ; ; 
PS Kemi; 100; ; ; ; ; ; ; ; ; ; ; ; ; ; 100; ; ; ; 150; ; ; 100; ; ; ; ; ; ; 
META; english/championship/ipswich-v-wigan; 2017-04-02 20:18:37 GMT+3; 2017-04-01 15:00; e70300-dr003
Draw 1-1; 5; 9/2; 11/2; 6; 11/2; 5; 6; 11/2; 5; 5; 5; 5; 21/4; 11/2; 11/2; 5; 113/19; 21/4; 28/5; 113/19; ; 23/5; 23/4; 5; 23/4; ; 24/5; 21/5; 
Mansfield 1-0; 6; 11/2; 6; 13/2; 6; 11/2; 7; 13/2; 6; 6; 6; 6; 11/2; 6; 6; 6; 25/4; 13/2; 13/2; 25/4; ; 28/5; 13/2; 6; 13/2; ; 11/2; 23/5; 
Mansfield 2-1; 8; 8; 8; 8; 15/2; 15/2; 17/2; 8; 8; 8; 8; 15/2; 7; 17/2; 8; 15/2; 17/2; 8; 8; 17/2; ; 39/5; 8; 8; 8; ; 38/5; 32/5; 
Draw 0-0; 8; 8; 8; 9; 8; 15/2; 7; 15/2; 8; 8; 8; 8; 7; 17/2; 8; 15/2; 27/4; 13/2; 15/2; 27/4; ; 38/5; 15/2; ; 15/2; ; 38/5; 6; 
Exeter 1-0; 17/2; 8; 17/2; 17/2; 9; 15/2; 19/2; 9; 17/2; 17/2; 17/2; 8; 17/2; 9; 8; 8; 17/2; 35/4; 19/2; 17/2; ; 77/10; 19/2; 8; 19/2; ; 41/5; 15/2; 
Mansfield 2-0; 17/2; 8; 9; 10; 9; 17/2; 10; 9; 17/2; 17/2; 9; 8; 9; 9; 8; 17/2; 9; 19/2; 19/2; 9; ; 42/5; 19/2; 8; 19/2; ; 41/5; 39/5; 
Exeter 2-1; 11; 11; 11; 10; 11; 10; 13; 11; 11; 11; 11; 10; 11; 11; 10; 10; 47/4; 21/2; 12; 47/4; ; 11; 12; 11; 12; ; 10; 56/5; 
Draw 2-2; 14; 14; 13; 16; 14; 14; 15; 13; 14; 14; 14; 12; 14; 14; 12; 14; 65/4; 13; 14; 65/4; ; 14; 14; 14; 14; ; 64/5; 14; 
Exeter 2-0; 16; 16; 16; 16; 16; 12; 18; 17; 16; 16; 16; 16; 18; 18; 14; 14; 16; 31/2; 17; 16; ; 15; 17; 16; 17; ; 83/5; 92/5; 
Mansfield 3-1; 18; 16; 16; 18; 16; 12; 19; 17; 16; 16; 18; 16; 16; 18; 14; 16; 71/4; 16; 16; 71/4; ; 18; 16; 16; 16; ; 83/5; 33/2; 
Mansfield 3-0; 18; 18; 18; 20; 18; 16; 19; 20; 18; 18; 18; 16; 20; 20; 16; 16; 37/2; 18; 17; 37/2; ; 19; 17; 16; 17; ; 18; 20; 
Exeter 3-1; 28; 33; 28; 28; 28; 25; 30; 30; 33; 28; 28; 25; 30; 33; 22; 25; 115/4; 25; 29; 115/4; ; 30; 29; 33; 29; ; 28; 43; 
Mansfield 3-2; 28; 33; 25; 28; 25; 25; 30; 25; 33; 28; 28; 25; 25; 28; 22; 25; 30; 22; 28; 30; ; 35; 28; 33; 28; ; 25; 29; 
Exeter 3-2; 40; 50; 33; 40; 33; 28; 45; 35; 40; 33; 40; 33; 40; 35; 28; 33; 37; 35; 38; 37; ; 45; 38; 40; 38; ; 29; 55; 
Exeter 3-0; 40; 50; 35; 40; 40; 40; 50; 45; 40; 40; 45; 33; 50; 40; 33; 40; 37; 35; 38; 37; ; 45; 38; 40; 38; ; 33; ; 
Any Other Score; ; ; 33; ; ; ; ; 30; 50; ; ; ; ; ; ; ; ; 25; ; ; ; 40; ; ; ; ; ; ; 
