META; english/championship/birmingham-v-leeds; 2017-02-26 00:20:12 GMT+2; 2017-03-03 19:45; e70300-dr003
Birmingham; 9/4; 9/5; ; ; 9/4; ; 11/5; ; 9/4; 21/10; ; 11/5; 21/10; 21/10; ; 2; 39/19; ; 2; 39/19; ; ; 2; ; ; 21/10; ; 
Draw; 12/5; 23/10; ; ; 9/4; ; 23/10; ; 9/4; 9/4; ; 11/5; 23/10; 9/4; ; 23/10; 11/5; ; 9/4; 11/5; ; ; 9/4; ; ; 23/10; ; 
META; english/championship/birmingham-v-leeds; 2017-02-27 12:20:36 GMT+2; 2017-03-03 19:45; e70300-dr003
Leeds; 11/8; 11/8; 27/20; 13/10; 11/8; 27/20; 13/10; 5/4; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 23/17; 13/10; 27/20; 23/17; ; ; 23/17; ; ; 5/4; ; 
Birmingham; 9/4; 2; 11/5; 11/5; 9/4; 11/5; 11/5; 2; 9/4; 21/10; 21/10; 9/4; 21/10; 21/10; 11/5; 11/5; 39/19; 21/10; 2; 39/19; ; ; 2; ; ; 21/10; ; 
Draw; 12/5; 9/4; 11/5; 11/5; 9/4; 23/10; 23/10; 21/10; 9/4; 9/4; 21/10; 21/10; 23/10; 9/4; 23/10; 9/4; 11/5; 11/5; 9/4; 11/5; ; ; 9/4; ; ; 9/4; ; 
META; english/championship/birmingham-v-leeds; 2017-02-27 16:22:05 GMT+2; 2017-03-03 19:45; e70300-dr003
Leeds; 11/8; 11/8; 27/20; 13/10; 11/8; 27/20; 13/10; 5/4; 13/10; 13/10; 13/10; 11/8; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 27/20; 13/10; 69/50; 6/5; 23/17; ; ; 5/4; 13/10; 
Birmingham; 9/4; 2; 9/4; 11/5; 9/4; 9/4; 11/5; 2; 9/4; 11/5; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 28/13; 21/10; 2; 28/13; 23/10; 9/4; 2; ; ; 21/10; 21/10; 
Draw; 12/5; 9/4; 43/20; 11/5; 9/4; 23/10; 23/10; 21/10; 9/4; 11/5; 2; 2; 9/4; 9/4; 23/10; 9/4; 11/5; 11/5; 9/4; 11/5; 47/20; 28/13; 9/4; ; ; 9/4; 21/10; 
META; english/championship/birmingham-v-leeds; 2017-02-27 20:21:07 GMT+2; 2017-03-03 19:45; e70300-dr003
Leeds; 11/8; 13/10; 27/20; 13/10; 11/8; 27/20; 13/10; 5/4; 13/10; 13/10; 13/10; 11/8; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 27/20; 13/10; 69/50; 6/5; 23/17; ; ; 13/10; 13/10; 
Birmingham; 9/4; 11/5; 9/4; 11/5; 9/4; 9/4; 11/5; 2; 9/4; 11/5; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 28/13; 21/10; 2; 28/13; 23/10; 9/4; 2; ; ; 21/10; 21/10; 
Draw; 12/5; 11/5; 43/20; 11/5; 9/4; 23/10; 23/10; 21/10; 9/4; 11/5; 2; 2; 9/4; 9/4; 23/10; 9/4; 11/5; 11/5; 9/4; 11/5; 47/20; 28/13; 9/4; ; ; 9/4; 21/10; 
META; english/championship/birmingham-v-leeds; 2017-02-28 00:20:00 GMT+2; 2017-03-03 19:45; e70300-dr003
Leeds; 11/8; 13/10; 11/8; 13/10; 11/8; 27/20; 11/8; 5/4; 13/10; 13/10; 13/10; 13/10; 13/10; 11/8; 13/10; 13/10; 13/10; 13/10; 27/20; 13/10; 69/50; 5/4; 23/17; ; ; 13/10; 13/10; 
Birmingham; 9/4; 11/5; 11/5; 11/5; 9/4; 11/5; 21/10; 2; 9/4; 11/5; 2; 9/4; 11/5; 21/10; 11/5; 11/5; 11/5; 21/10; 2; 11/5; 23/10; 21/10; 2; ; ; 21/10; 21/10; 
Draw; 12/5; 11/5; 43/20; 11/5; 9/4; 9/4; 9/4; 21/10; 9/4; 11/5; 2; 21/10; 9/4; 11/5; 23/10; 9/4; 11/5; 11/5; 9/4; 11/5; 47/20; 28/13; 9/4; ; ; 9/4; 21/10; 
META; english/championship/birmingham-v-leeds; 2017-02-28 04:20:07 GMT+2; 2017-03-03 19:45; e70300-dr003
Leeds; 11/8; 13/10; 11/8; 13/10; 11/8; 11/8; 11/8; 5/4; 13/10; 13/10; 13/10; 13/10; 27/20; 11/8; 13/10; 13/10; 13/10; 13/10; 27/20; ; 69/50; 5/4; 23/17; ; ; 5/4; 5/4; 
Birmingham; 9/4; 11/5; 11/5; 11/5; 9/4; 11/5; 21/10; 2; 9/4; 11/5; 2; 11/5; 21/10; 21/10; 11/5; 11/5; 11/5; 21/10; 2; ; 23/10; 21/10; 2; ; ; 11/5; 21/10; 
Draw; 12/5; 11/5; 43/20; 11/5; 9/4; 9/4; 9/4; 21/10; 9/4; 11/5; 2; 11/5; 9/4; 11/5; 23/10; 9/4; 11/5; 11/5; 9/4; ; 47/20; 28/13; 9/4; ; ; 9/4; 21/10; 
META; english/championship/birmingham-v-leeds; 2017-02-28 08:19:54 GMT+2; 2017-03-03 19:45; e70300-dr003
Leeds; 11/8; 13/10; 11/8; 13/10; 11/8; 11/8; 11/8; 5/4; 13/10; 13/10; 13/10; 13/10; 27/20; 11/8; 13/10; 13/10; 13/10; 13/10; 27/20; 13/10; 69/50; 5/4; 23/17; ; ; 5/4; 5/4; 
