META; english/championship/wigan-v-bristol-city; 2017-03-05 00:21:21 GMT+2; 2017-03-11 15:00; e70300-dr003
Wigan; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Bristol City; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/championship/wigan-v-bristol-city; 2017-03-05 04:22:41 GMT+2; 2017-03-11 15:00; e70300-dr003
Wigan; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Bristol City; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/wigan-v-bristol-city; 2017-03-05 08:22:56 GMT+2; 2017-03-11 15:00; e70300-dr003
Wigan; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Bristol City; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/wigan-v-bristol-city; 2017-03-05 12:23:53 GMT+2; 2017-03-11 15:00; e70300-dr003
Wigan; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Bristol City; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/wigan-v-bristol-city; 2017-03-05 16:23:21 GMT+2; 2017-03-11 15:00; e70300-dr003
Wigan; 11/8; 7/5; ; ; ; ; 29/20; ; 7/5; ; 11/8; ; ; 7/5; ; 16/11; ; ; ; ; ; ; ; ; ; 10/11; ; 
Bristol City; 15/8; 7/4; ; ; ; ; 15/8; ; 15/8; ; 15/8; ; ; 19/10; ; 2; ; ; ; ; ; ; ; ; ; 13/10; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; 5/2; ; 11/5; ; ; 23/10; ; 5/2; ; ; ; ; ; ; ; ; ; 8/5; ; 
META; english/championship/wigan-v-bristol-city; 2017-03-05 20:22:15 GMT+2; 2017-03-11 15:00; e70300-dr003
Wigan; 11/8; 7/5; ; ; 7/5; ; 7/5; ; 7/5; ; 11/8; 7/5; ; 7/5; ; 16/11; 23/17; ; 27/20; 23/17; ; ; 23/17; ; ; 10/9; ; 
Bristol City; 15/8; 7/4; ; ; 21/10; ; 19/10; ; 15/8; ; 15/8; 19/10; ; 19/10; ; 2; 37/19; ; 2; 37/19; ; ; 2; ; ; 6/4; ; 
Draw; 12/5; 23/10; ; ; 23/10; ; 12/5; ; 5/2; ; 11/5; 23/10; ; 23/10; ; 5/2; 40/17; ; 23/10; 40/17; ; ; 23/10; ; ; 9/5; ; 
META; english/championship/wigan-v-bristol-city; 2017-03-06 00:20:55 GMT+2; 2017-03-11 15:00; e70300-dr003
