META; english/championship/aston-villa-v-qpr; 2017-04-01 20:17:15 GMT+3; ; e70300-dr003
Angela Merkel; ; 8/11; ; ; ; ; ; 8/11; 8/11; ; ; ; ; ; ; ; ; 7/10; ; ; ; ; ; ; ; ; 8/11; ; 
Any other not listed; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; 
Martin Schulz; ; 6/4; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; 
Frauke Petry; ; 9; ; ; ; ; ; 9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 62/5; ; 
Christian Lindner; ; 50; ; ; ; ; ; 50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 37; ; 
Sigmar Gabriel; ; 66; ; ; ; ; ; 66; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 75; ; 
Frank-Walter Steinmeier; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; english/championship/aston-villa-v-qpr; 2017-04-02 04:19:57 GMT+3; 2017-04-02 20:15; e70300-dr003
Lanus 1-0; 9/2; 9/2; 19/4; ; 9/2; ; 19/4; 9/2; 17/4; 9/2; 9/2; ; 17/4; ; 9/2; 9/2; 47/10; 19/4; ; 47/10; ; 43/10; 5; ; 5; ; 9/2; 23/5; 
Draw 1-1; 11/2; 6; 11/2; ; 11/2; ; 6; 6; 11/2; 11/2; 11/2; ; 6; ; 6; 11/2; 6; 21/4; ; 6; ; 57/10; 6; ; 6; ; 6; 31/5; 
Draw 0-0; 13/2; 13/2; 7; ; 13/2; ; 13/2; 13/2; 6; 13/2; 13/2; ; 6; ; 13/2; 6; 6; 5; ; 6; ; 69/10; 13/2; ; 13/2; ; 36/5; 36/5; 
Lanus 2-0; 6; 13/2; 7; ; 6; ; 7; 13/2; 6; 13/2; 13/2; ; 6; ; 6; 6; 13/2; 29/4; ; 13/2; ; 61/10; 7; ; 7; ; 36/5; 36/5; 
Lanus 2-1; 8; 8; 8; ; 15/2; ; 8; 8; 8; 15/2; 8; ; 15/2; ; 8; 15/2; 8; 8; ; 8; ; 81/10; 17/2; ; 17/2; ; 39/5; 8; 
Banfield 1-0; 9; 9; 10; ; 9; ; 10; 11; 9; 10; 9; ; 10; ; 9; 9; 9; 35/4; ; 9; ; 9; 21/2; ; 21/2; ; 10; 51/5; 
Lanus 3-0; 12; 12; 14; ; 12; ; 14; 13; 12; 12; 14; ; 12; ; 12; 12; 53/4; 14; ; 53/4; ; 13; 13; ; 13; ; 54/5; ; 
Banfield 2-1; 16; 14; 15; ; 14; ; 16; 17; 16; 16; 14; ; 16; ; 12; 14; 59/4; 14; ; 59/4; ; 16; 16; ; 16; ; 16; 33/2; 
Lanus 3-1; 16; 16; 16; ; 14; ; 16; 14; 16; 16; 16; ; 14; ; 12; 14; 16; 31/2; ; 16; ; 17; 16; ; 16; ; 88/5; 89/5; 
Draw 2-2; 20; 18; 17; ; 18; ; 19; 18; 20; 18; 18; ; 18; ; 18; 16; 77/4; 33/2; ; 77/4; ; 20; 19; ; 19; ; 20; 20; 
Banfield 2-0; 22; 22; 22; ; 22; ; 25; 25; 25; 25; 25; ; 25; ; 20; 20; 21; 20; ; 21; ; 25; 22; ; 22; ; 22; 22; 
Lanus 4-0; 33; 33; 30; ; 33; ; 33; 35; 33; 33; 33; ; 40; ; 25; 28; 121/4; 35; ; 121/4; ; 35; 29; ; 29; ; ; ; 
Lanus 3-2; 40; 33; 33; ; 33; ; 33; 35; 40; 33; 33; ; 33; ; 28; 28; 65/2; 30; ; 65/2; ; 45; 35; ; 35; ; 39; 40; 
Lanus 4-1; 40; 33; 35; ; 33; ; 35; 40; 40; 33; 40; ; 45; ; 28; 33; 35; 40; ; 35; ; 45; 35; ; 35; ; ; ; 
