META; english/championship/leeds-v-burton; 2016-10-23 04:19:45 GMT+3; 2016-10-29 15:00; e70300-dr003
Leeds; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; ; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; 
Burton; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; 
META; english/championship/leeds-v-burton; 2016-10-23 08:21:02 GMT+3; 2016-10-29 15:00; e70300-dr003
Leeds; ; 10/11; ; ; 21/20; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; ; ; 
Draw; ; 12/5; ; ; 12/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; 
Burton; ; 14/5; ; ; 13/5; ; 29/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; 
META; english/championship/leeds-v-burton; 2016-10-23 12:20:56 GMT+3; 2016-10-29 15:00; e70300-dr003
Leeds; 21/20; 10/11; ; ; 21/20; ; 11/10; ; ; 21/20; ; ; 21/20; ; ; ; 11/10; ; ; ; 11/10; ; ; 15/13; ; ; ; ; 
Draw; 11/5; 12/5; ; ; 12/5; ; 12/5; ; ; 23/10; ; ; 23/10; ; ; ; 9/4; ; ; ; 9/4; ; ; 23/10; ; ; ; ; 
Burton; 14/5; 14/5; ; ; 13/5; ; 13/5; ; ; 13/5; ; ; 27/10; ; ; ; 12/5; ; ; ; 12/5; ; ; 12/5; ; ; ; ; 
META; english/championship/leeds-v-burton; 2016-10-23 16:21:15 GMT+3; 2016-10-29 15:00; e70300-dr003
Leeds; 21/20; 1; ; 21/20; 21/20; 21/20; 21/20; ; 11/10; 1; 21/20; 1; 1; ; 21/20; ; 21/20; ; ; ; 21/20; ; ; 11/10; 21/20; ; ; ; 
Draw; 11/5; 23/10; ; 9/4; 12/5; 12/5; 12/5; ; 12/5; 23/10; 12/5; 21/10; 23/10; ; 12/5; ; 9/4; ; ; ; 9/4; ; ; 23/10; 23/10; ; ; ; 
Burton; 14/5; 29/10; ; 11/4; 13/5; 27/10; 11/4; ; 14/5; 14/5; 5/2; 12/5; 57/20; ; 11/4; ; 27/11; ; ; ; 27/11; ; ; 5/2; 5/2; ; ; ; 
META; english/championship/leeds-v-burton; 2016-10-23 20:21:44 GMT+3; 2016-10-29 15:00; e70300-dr003
Leeds; 21/20; 1; 21/20; 21/20; 21/20; 21/20; 1; ; 11/10; 1; 21/20; 1; 1; ; 21/20; ; 21/20; ; ; ; 21/20; ; ; 11/10; 21/20; ; ; ; 
Draw; 11/5; 23/10; 11/5; 9/4; 12/5; 12/5; 12/5; ; 12/5; 23/10; 12/5; 21/10; 23/10; ; 12/5; ; 23/10; ; ; ; 23/10; ; ; 23/10; 23/10; ; ; ; 
Burton; 14/5; 29/10; 29/10; 11/4; 13/5; 11/4; 29/10; ; 14/5; 14/5; 5/2; 12/5; 29/10; ; 11/4; ; 28/11; ; ; ; 28/11; ; ; 5/2; 13/5; ; ; ; 
