META; english/championship/reading-v-nottingham-forest; 2016-10-23 04:19:51 GMT+3; 2016-10-29 15:00; e70300-dr003
Draw; 23/10; 12/5; 12/5; 5/2; 5/2; 13/5; 5/2; 12/5; 5/2; ; 12/5; 12/5; 49/20; 27/10; 23/10; 12/5; 12/5; 27/11; 23/10; 12/5; 12/5; ; 5/2; 27/11; ; ; 5/2; 12/5; 
Nottingham Forest; 3; 29/10; 11/4; 11/4; 5/2; 14/5; 14/5; 13/5; 14/5; ; 11/4; 13/5; 29/10; 5/2; 3; 14/5; 14/5; 56/19; 29/10; 14/5; 14/5; ; 27/11; 56/19; ; ; 14/5; 11/4; 
META; english/championship/reading-v-nottingham-forest; 2016-10-25 12:22:32 GMT+3; 2016-10-29 15:00; e70300-dr003
Reading; 19/20; 19/20; 21/20; 1; 1; 1; 1; 10/11; 1; 20/21; 1; 21/20; 19/20; 1; 1; 1; 1; 19/20; 10/11; 20/21; 1; ; 39/40; 19/20; ; ; 1; 20/21; 
Draw; 23/10; 12/5; 12/5; 9/4; 5/2; 5/2; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 49/20; 27/10; 23/10; 12/5; 12/5; 27/11; 23/10; 12/5; 12/5; ; 5/2; 27/11; ; ; 12/5; 23/10; 
Nottingham Forest; 3; 29/10; 11/4; 3; 5/2; 14/5; 14/5; 13/5; 14/5; 14/5; 11/4; 13/5; 57/20; 5/2; 3; 14/5; 11/4; 56/19; 29/10; 14/5; 11/4; ; 27/11; 56/19; ; ; 14/5; 11/4; 
META; english/championship/reading-v-nottingham-forest; 2016-10-25 16:21:58 GMT+3; 2016-10-29 15:00; e70300-dr003
Reading; 19/20; 19/20; 21/20; 1; 1; 1; 1; 10/11; 1; 20/21; 1; 21/20; 19/20; 1; 1; 1; 1; ; 10/11; 20/21; 1; 42/41; 39/40; 19/20; ; ; 1; 20/21; 
Draw; 23/10; 5/2; 12/5; 9/4; 5/2; 13/5; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 5/2; 27/10; 23/10; 12/5; 12/5; ; 23/10; 12/5; 12/5; 5/2; 5/2; 27/11; ; ; 12/5; 12/5; 
Nottingham Forest; 3; 14/5; 11/4; 3; 5/2; 14/5; 14/5; 13/5; 14/5; 14/5; 11/4; 13/5; 57/20; 5/2; 3; 14/5; 11/4; ; 29/10; 14/5; 11/4; 16/5; 27/11; 56/19; ; ; 14/5; 14/5; 
META; english/championship/reading-v-nottingham-forest; 2016-10-25 20:22:12 GMT+3; 2016-10-29 15:00; e70300-dr003
Reading; 19/20; 19/20; 21/20; 1; 1; 1; 1; 10/11; 1; 20/21; 1; 21/20; 19/20; 1; 1; 19/20; 1; 19/20; 10/11; 20/21; 1; 42/41; 39/40; 19/20; ; ; 20/21; 20/21; 
Draw; 23/10; 5/2; 12/5; 9/4; 5/2; 13/5; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 5/2; 13/5; 23/10; 5/2; 12/5; 27/11; 23/10; 12/5; 12/5; 5/2; 5/2; 27/11; ; ; 12/5; 12/5; 
Nottingham Forest; 3; 14/5; 11/4; 3; 5/2; 14/5; 14/5; 13/5; 14/5; 14/5; 11/4; 13/5; 57/20; 5/2; 3; 11/4; 11/4; 56/19; 29/10; 14/5; 11/4; 16/5; 27/11; 56/19; ; ; 14/5; 14/5; 
META; english/championship/reading-v-nottingham-forest; 2016-10-26 00:21:23 GMT+3; 2016-10-29 15:00; e70300-dr003
Reading; 19/20; 19/20; 21/20; 1; 1; 1; 1; 10/11; 1; 20/21; 1; 21/20; 19/20; 1; 1; 1; 1; 19/20; 10/11; 20/21; 1; 42/41; 39/40; 19/20; ; ; 20/21; 20/21; 
Draw; 23/10; 5/2; 12/5; 9/4; 5/2; 13/5; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 49/20; 13/5; 23/10; 12/5; 12/5; 27/11; 23/10; 12/5; 12/5; 5/2; 5/2; 27/11; ; ; 12/5; 12/5; 
Nottingham Forest; 3; 14/5; 11/4; 3; 5/2; 14/5; 11/4; 13/5; 14/5; 14/5; 11/4; 13/5; 57/20; 5/2; 3; 14/5; 11/4; 56/19; 29/10; 14/5; 11/4; 16/5; 27/11; 56/19; ; ; 14/5; 14/5; 
META; english/championship/reading-v-nottingham-forest; 2016-10-26 04:21:29 GMT+3; 2016-10-29 15:00; e70300-dr003
Reading; 19/20; 19/20; 1; 1; 1; 1; 1; 10/11; 1; 20/21; 1; 21/20; 19/20; 1; 1; 1; 1; 1; 10/11; 1; 1; 42/41; 22/23; 1; ; ; 20/21; 20/21; 
Draw; 23/10; 5/2; 12/5; 9/4; 5/2; 13/5; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 49/20; 13/5; 23/10; 12/5; 12/5; 12/5; 23/10; 12/5; 12/5; 5/2; 5/2; 12/5; ; ; 12/5; 12/5; 
