Oviedo; 11/10; 1; 21/20; 21/20; 21/20; 1; 21/20; 1; 1; 1; 21/20; ; 1; ; 1; ; 1; 21/20; 1; 21/20; 1; 8/7; 24/23; 21/20; 1; ; 20/21; 1; 
Draw; 11/5; 21/10; 21/10; 2; 11/5; 21/10; 9/4; 21/10; 2; 21/10; 21/10; ; 11/5; ; 21/10; ; 28/13; 11/5; 2; 11/5; 28/13; 11/5; 28/13; 11/5; 9/4; ; 2; 21/10; 
Lugo; 13/5; 11/4; 27/10; 11/4; 11/4; 5/2; 29/10; 13/5; 13/5; 3; 13/5; ; 3; ; 3; ; 3; 11/4; 11/4; 11/4; 3; 3; 12/5; 11/4; 13/5; ; 5/2; 5/2; 
META; spain/la-liga-segunda/oviedo-v-lugo; 2016-11-02 00:27:16 GMT+3; 2016-11-06 17:00; e70300-dr003
Oviedo; 11/10; 1; 21/20; 21/20; 21/20; 1; 21/20; 1; 1; 1; 21/20; ; ; ; 1; ; 1; 21/20; 1; 21/20; 1; 8/7; 24/23; 21/20; 1; ; 20/21; 1; 
Draw; 11/5; 21/10; 21/10; 2; 11/5; 21/10; 9/4; 21/10; 2; 21/10; 21/10; ; ; ; 21/10; ; 21/10; 11/5; 2; 11/5; 21/10; 11/5; 28/13; 11/5; 9/4; ; 2; 21/10; 
Lugo; 13/5; 11/4; 27/10; 11/4; 11/4; 5/2; 29/10; 13/5; 13/5; 3; 13/5; ; ; ; 3; ; 3; 11/4; 11/4; 11/4; 3; 3; 12/5; 11/4; 13/5; ; 12/5; 5/2; 
META; spain/la-liga-segunda/oviedo-v-lugo; 2016-11-02 04:25:48 GMT+3; 2016-11-06 17:00; e70300-dr003
Oviedo; 21/20; 1; 21/20; 21/20; 21/20; 1; 21/20; 1; 1; 1; 21/20; ; ; ; 1; ; 1; 21/20; 1; 21/20; 1; 8/7; 42/41; 21/20; 1; ; 20/21; 1; 
Draw; 9/4; 21/10; 21/10; 2; 11/5; 21/10; 9/4; 21/10; 2; 21/10; 21/10; ; ; ; 21/10; ; 28/13; 11/5; 2; 11/5; 28/13; 11/5; 28/13; 11/5; 21/10; ; 2; 21/10; 
Lugo; 11/4; 11/4; 27/10; 11/4; 11/4; 5/2; 3; 13/5; 13/5; 3; 13/5; ; ; ; 3; ; 3; 11/4; 11/4; 11/4; 3; 3; 27/11; 11/4; 11/4; ; 12/5; 5/2; 
META; spain/la-liga-segunda/oviedo-v-lugo; 2016-11-02 08:25:19 GMT+3; 2016-11-06 17:00; e70300-dr003
Oviedo; 21/20; 1; 21/20; 21/20; 21/20; 1; 21/20; 1; 1; 1; 21/20; ; 1; ; 1; ; 1; 21/20; 1; 21/20; 1; 8/7; 42/41; 21/20; 1; ; 1; 1; 
Draw; 9/4; 21/10; 21/10; 2; 11/5; 21/10; 9/4; 21/10; 2; 21/10; 21/10; ; 11/5; ; 21/10; ; 28/13; 11/5; 2; 11/5; 28/13; 11/5; 28/13; 11/5; 21/10; ; 2; 21/10; 
Lugo; 11/4; 11/4; 27/10; 11/4; 11/4; 5/2; 3; 13/5; 13/5; 3; 13/5; ; 3; ; 3; ; 3; 11/4; 11/4; 11/4; 3; 3; 27/11; 11/4; 11/4; ; 13/5; 5/2; 
