META; spain/la-liga-segunda/elche-v-gimnastic; 2016-10-03 12:22:57 GMT+3; 2016-10-08 17:00; e70300-dr003
Elche; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 85/40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Gimnastic; ; ; ; ; ; ; 31/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-segunda/elche-v-gimnastic; 2016-10-03 16:25:16 GMT+3; 2016-10-08 17:00; e70300-dr003
Elche; ; 1; ; 1; 21/20; 1; 21/20; ; ; ; 1; 21/20; 21/20; 21/20; ; 21/20; ; 1; ; ; ; 1; 10/9; 42/41; ; ; ; 1; 
Draw; ; 21/10; ; 11/5; 21/10; 21/10; 85/40; ; ; ; 21/10; 2; 2; 21/10; ; 2; ; 21/10; ; ; ; 21/10; 11/5; 21/10; ; ; ; 2; 
Gimnastic; ; 14/5; ; 11/4; 3; 13/5; 31/10; ; ; ; 3; 14/5; 14/5; 3; ; 3; ; 3; ; ; ; 3; 31/10; 28/11; ; ; ; 11/4; 
META; spain/la-liga-segunda/elche-v-gimnastic; 2016-10-03 20:26:38 GMT+3; 2016-10-08 17:00; e70300-dr003
Elche; 1; 19/20; 1; 1; 1; 1; 1; ; ; 19/20; 20/21; 1; 21/20; 19/20; ; 21/20; ; 19/20; 19/20; ; 20/21; 19/20; 10/9; 42/41; ; ; 10/11; 20/21; 
Draw; 12/5; 21/10; 41/20; 2; 11/5; 21/10; 85/40; ; ; 11/5; 21/10; 2; 2; 11/5; ; 2; ; 21/10; 11/5; ; 11/5; 21/10; 11/5; 21/10; ; ; 19/10; 2; 
Gimnastic; 11/4; 3; 29/10; 3; 3; 13/5; 33/10; ; ; 16/5; 16/5; 29/10; 14/5; 16/5; ; 3; ; 41/13; 16/5; ; 3; 41/13; 31/10; 28/11; ; ; 14/5; 14/5; 
META; spain/la-liga-segunda/elche-v-gimnastic; 2016-10-04 00:24:54 GMT+3; 2016-10-08 17:00; e70300-dr003
Elche; 1; 19/20; 1; 1; 1; 1; 1; ; 10/11; 19/20; 1; 1; 21/20; 19/20; ; 21/20; 1; 19/20; 19/20; ; 20/21; 19/20; 10/9; 42/41; ; ; 10/11; 20/21; 
Draw; 21/10; 21/10; 41/20; 2; 21/10; 21/10; 85/40; ; 2; 11/5; 21/10; 2; 2; 11/5; ; 2; 2; 28/13; 11/5; ; 11/5; 28/13; 11/5; 21/10; ; ; 19/10; 21/10; 
Gimnastic; 16/5; 3; 29/10; 3; 10/3; 13/5; 33/10; ; 14/5; 16/5; 16/5; 29/10; 14/5; 16/5; ; 3; 3; 31/10; 16/5; ; 3; 31/10; 31/10; 28/11; ; ; 14/5; 14/5; 
META; spain/la-liga-segunda/elche-v-gimnastic; 2016-10-04 04:24:47 GMT+3; 2016-10-08 17:00; e70300-dr003
Elche; 1; 19/20; 1; 1; 1; 10/11; 1; ; 10/11; 19/20; 1; 1; 21/20; 1; ; 21/20; 1; 1; 19/20; 19/20; 20/21; 1; 10/9; 42/41; ; ; 20/21; 20/21; 
Draw; 21/10; 2; 41/20; 2; 21/10; 41/20; 85/40; ; 2; 11/5; 21/10; 2; 2; 21/10; ; 2; 2; 21/10; 11/5; 37/19; 11/5; 21/10; 11/5; 21/10; ; ; 2; 21/10; 
Gimnastic; 16/5; 3; 29/10; 3; 10/3; 14/5; 33/10; ; 14/5; 16/5; 16/5; 29/10; 14/5; 16/5; ; 3; 3; 31/10; 16/5; 3; 3; 31/10; 31/10; 28/11; ; ; 14/5; 14/5; 
META; spain/la-liga-segunda/elche-v-gimnastic; 2016-10-04 08:25:48 GMT+3; 2016-10-08 17:00; e70300-dr003
Elche; 1; 19/20; 1; 1; 1; 10/11; 1; ; 10/11; 19/20; 1; 1; 21/20; 1; ; 21/20; 1; 1; 19/20; 19/20; 20/21; 1; 10/9; 42/41; ; ; 20/21; 20/21; 
