META; spain/la-liga-segunda/ucam-murcia-v-sevilla-b; 2017-01-30 16:23:56 GMT+2; 2017-02-03 19:00; e70300-dr003
UCAM Murcia; 1; 21/20; ; 21/20; 21/20; 19/20; ; ; 10/11; 21/20; 21/20; 21/20; 1; ; 21/20; 21/20; 1; 21/20; ; 1; 27/25; 17/16; ; 1; ; ; ; 
Draw; 2; 2; ; 2; 21/10; 2; ; ; 2; 2; 2; 2; 21/10; ; 19/10; 2; 39/19; 21/10; ; 39/19; 21/10; 39/19; ; 21/10; ; ; ; 
Sevilla B; 14/5; 14/5; ; 14/5; 3; 11/4; ; ; 14/5; 16/5; 27/10; 11/4; 16/5; ; 16/5; 14/5; 41/13; 11/4; ; 41/13; 17/5; 5/2; ; 14/5; ; ; ; 
META; spain/la-liga-segunda/ucam-murcia-v-sevilla-b; 2017-01-30 20:25:15 GMT+2; 2017-02-03 19:00; e70300-dr003
UCAM Murcia; 1; 21/20; 21/20; 21/20; 21/20; 19/20; ; ; 10/11; 1; 21/20; 21/20; 1; ; 21/20; 21/20; 1; 21/20; ; 1; 27/25; 17/16; ; 1; ; ; ; 
Draw; 2; 2; 2; 2; 21/10; 2; ; ; 2; 2; 2; 2; 21/10; ; 19/10; 2; 39/19; 21/10; ; 39/19; 21/10; 39/19; ; 2; ; ; ; 
Sevilla B; 14/5; 14/5; 14/5; 14/5; 3; 11/4; ; ; 14/5; 16/5; 14/5; 11/4; 16/5; ; 16/5; 14/5; 41/13; 11/4; ; 41/13; 17/5; 5/2; ; 14/5; ; ; ; 
META; spain/la-liga-segunda/ucam-murcia-v-sevilla-b; 2017-01-31 00:23:41 GMT+2; 2017-02-03 19:00; e70300-dr003
UCAM Murcia; 1; 1; 21/20; 1; 21/20; 19/20; ; ; 10/11; 1; 21/20; 21/20; 1; ; 21/20; 21/20; 1; 21/20; 1; 1; 27/25; 17/16; 1; 21/20; ; 1; ; 
Draw; 2; 2; 2; 2; 21/10; 2; ; ; 2; 2; 2; 2; 21/10; ; 19/10; 2; 21/10; 21/10; 2; 21/10; 21/10; 39/19; 2; 2; ; 2; ; 
Sevilla B; 14/5; 14/5; 14/5; 3; 3; 11/4; ; ; 14/5; 16/5; 14/5; 11/4; 16/5; ; 16/5; 14/5; 16/5; 11/4; 10/3; 16/5; 17/5; 5/2; 57/17; 14/5; ; 3; ; 
META; spain/la-liga-segunda/ucam-murcia-v-sevilla-b; 2017-01-31 04:23:53 GMT+2; 2017-02-03 19:00; e70300-dr003
