META; spain/la-liga-segunda/getafe-v-huesca; 2016-10-17 16:26:47 GMT+3; 2016-10-22 17:00; e70300-dr003
Getafe; 1; 1; ; 1; 1; 19/20; 21/20; ; ; 1; 1; ; 1; ; 21/20; ; 1; ; 1; ; 1; 22/23; ; ; ; ; ; ; 
Draw; 21/10; 21/10; ; 21/10; 11/5; 41/20; 11/5; ; ; 21/10; 2; ; 11/5; ; 2; ; 21/10; ; 21/10; ; 21/10; 23/10; ; ; ; ; ; ; 
Huesca; 16/5; 14/5; ; 14/5; 3; 27/10; 3; ; ; 16/5; 14/5; ; 3; ; 3; ; 58/19; ; 13/5; ; 58/19; 18/5; ; ; ; ; ; ; 
META; spain/la-liga-segunda/getafe-v-huesca; 2016-10-17 20:26:48 GMT+3; 2016-10-22 17:00; e70300-dr003
Getafe; 1; 1; ; 1; 21/20; 19/20; 21/20; ; ; 1; 1; ; 1; ; 21/20; 1; 1; ; 1; ; 1; 22/23; 1; ; ; ; 1; ; 
Draw; 21/10; 2; ; 21/10; 21/10; 41/20; 11/5; ; ; 2; 2; ; 11/5; ; 2; 2; 39/19; ; 21/10; ; 39/19; 23/10; 21/10; ; ; ; 2; ; 
Huesca; 16/5; 14/5; ; 14/5; 3; 27/10; 31/10; ; ; 16/5; 11/4; ; 3; ; 3; 3; 58/19; ; 13/5; ; 58/19; 18/5; 13/5; ; ; ; 13/5; ; 
META; spain/la-liga-segunda/getafe-v-huesca; 2016-10-18 00:25:20 GMT+3; 2016-10-22 17:00; e70300-dr003
Getafe; 1; 1; ; 1; 1; 19/20; 21/20; ; ; 1; 1; ; 1; ; 21/20; 1; 1; 1; 1; 1; 1; 22/23; 1; 1; ; ; 20/21; ; 
Draw; 21/10; 2; ; 21/10; 11/5; 41/20; 11/5; ; ; 2; 2; ; 11/5; ; 2; 2; 39/19; 21/10; 21/10; 21/10; 39/19; 23/10; 21/10; 21/10; ; ; 21/10; ; 
Huesca; 16/5; 14/5; ; 14/5; 3; 27/10; 31/10; ; ; 16/5; 11/4; ; 3; ; 3; 3; 58/19; 16/5; 13/5; 3; 58/19; 18/5; 13/5; 16/5; ; ; 11/4; ; 
META; spain/la-liga-segunda/getafe-v-huesca; 2016-10-18 04:25:22 GMT+3; 2016-10-22 17:00; e70300-dr003
Getafe; 1; 1; ; 1; 1; 19/20; 21/20; ; ; 1; 1; ; 1; ; 21/20; 1; 1; 1; 1; 1; 1; 22/23; 1; 1; ; ; 20/21; ; 
Draw; 21/10; 2; ; 21/10; 11/5; 41/20; 11/5; ; ; 2; 2; ; 11/5; ; 2; 2; 39/19; 21/10; 21/10; 21/10; 39/19; 23/10; 21/10; 21/10; ; ; 2; ; 
Huesca; 16/5; 14/5; ; 14/5; 3; 27/10; 31/10; ; ; 16/5; 11/4; ; 3; ; 3; 3; 58/19; 16/5; 13/5; 3; 58/19; 18/5; 13/5; 16/5; ; ; 11/4; ; 
META; spain/la-liga-segunda/getafe-v-huesca; 2016-10-18 08:25:58 GMT+3; 2016-10-22 17:00; e70300-dr003
Getafe; 1; 1; ; 1; 1; 19/20; 21/20; 10/11; ; 1; 1; ; ; ; 21/20; 1; 1; 1; 1; 1; 1; 22/23; 1; 1; ; ; 1; ; 
Draw; 21/10; 21/10; ; 21/10; 11/5; 41/20; 11/5; 2; ; 2; 2; ; ; ; 2; 2; 39/19; 21/10; 21/10; 21/10; 39/19; 23/10; 21/10; 21/10; ; ; 21/10; ; 
Huesca; 16/5; 14/5; ; 14/5; 3; 27/10; 31/10; 11/4; ; 16/5; 11/4; ; ; ; 3; 3; 58/19; 16/5; 13/5; 3; 58/19; 18/5; 13/5; 16/5; ; ; 14/5; ; 
META; spain/la-liga-segunda/getafe-v-huesca; 2016-10-18 12:32:29 GMT+3; 2016-10-22 17:00; e70300-dr003
Getafe; 1; 19/20; ; 1; 1; 19/20; 21/20; 10/11; ; 1; 1; ; 1; ; 21/20; 1; 1; 1; 1; 1; 1; 22/23; 1; 1; ; ; 20/21; ; 
Draw; 21/10; 2; ; 21/10; 11/5; 41/20; 11/5; 2; ; 2; 21/10; ; 11/5; ; 2; 2; 39/19; 21/10; 21/10; 21/10; 39/19; 23/10; 21/10; 21/10; ; ; 2; ; 
Huesca; 16/5; 3; ; 14/5; 3; 27/10; 31/10; 11/4; ; 16/5; 11/4; ; 3; ; 3; 3; 58/19; 16/5; 13/5; 3; 58/19; 18/5; 13/5; 16/5; ; ; 11/4; ; 
META; spain/la-liga-segunda/getafe-v-huesca; 2016-10-18 16:28:28 GMT+3; 2016-10-22 17:00; e70300-dr003
Getafe; 1; 1; ; 1; 1; 19/20; 21/20; 10/11; ; 1; 21/20; 21/20; 1; ; 21/20; 1; 1; 1; 1; 1; 1; 22/23; 1; 1; ; ; 20/21; ; 21/20
