META; spain/la-liga-segunda/girona-v-sevilla-b; 2017-01-17 00:23:24 GMT+2; 2017-01-22 17:00; e70300-dr003
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Girona; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Sevilla B; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; spain/la-liga-segunda/girona-v-sevilla-b; 2017-01-17 04:24:10 GMT+2; 2017-01-22 17:00; e70300-dr003
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Girona; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Sevilla B; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; spain/la-liga-segunda/girona-v-sevilla-b; 2017-01-17 08:24:03 GMT+2; 2017-01-22 17:00; e70300-dr003
Girona; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Sevilla B; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
META; spain/la-liga-segunda/girona-v-sevilla-b; 2017-01-17 12:24:57 GMT+2; 2017-01-22 17:00; e70300-dr003
Girona; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Sevilla B; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
META; spain/la-liga-segunda/girona-v-sevilla-b; 2017-01-17 16:25:47 GMT+2; 2017-01-22 17:00; e70300-dr003
Girona; ; 8/13; ; 4/6; 4/6; 13/20; ; 8/13; ; 4/6; 4/6; ; 4/6; 13/20; 4/6; ; 11/17; 4/5; ; 11/17; 71/100; ; ; ; ; 8/13; 8/13; 
Draw; ; 12/5; ; 5/2; 13/5; 23/10; ; 23/10; ; 12/5; 12/5; ; 51/20; 12/5; 13/5; ; 27/11; 21/10; ; 27/11; 131/50; ; ; ; ; 23/10; 12/5; 
Sevilla B; ; 9/2; ; 4; 9/2; 4; ; 4; ; 19/4; 17/4; ; 9/2; 9/2; 17/4; ; 19/4; 4; ; 19/4; 51/10; ; ; ; ; 4; 4; 
META; spain/la-liga-segunda/girona-v-sevilla-b; 2017-01-17 20:25:40 GMT+2; 2017-01-22 17:00; e70300-dr003
Girona; 13/20; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/7; ; 13/20; 4/6; ; 13/20; 13/20; 4/6; ; 8/13; 11/17; 4/6; 8/13; 71/100; 8/13; 7/10; ; ; 8/13; 8/13; 
Draw; 12/5; 12/5; 12/5; 12/5; 5/2; 23/10; ; 5/2; ; 5/2; 12/5; ; 5/2; 12/5; 12/5; ; 27/11; 23/10; 23/10; 27/11; 131/50; 5/2; 23/10; ; ; 23/10; 12/5; 
Sevilla B; 21/4; 9/2; 9/2; 9/2; 9/2; 4; ; 9/2; ; 19/4; 9/2; ; 19/4; 9/2; 19/4; ; 49/10; 5; 24/5; 49/10; 51/10; 7/2; 49/10; ; ; 4; 4; 
META; spain/la-liga-segunda/girona-v-sevilla-b; 2017-01-18 00:24:07 GMT+2; 2017-01-22 17:00; e70300-dr003
Girona; 13/20; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/7; 4/7; 13/20; 4/6; ; 13/20; 13/20; 4/6; 4/6; 8/13; 11/17; 4/6; 8/13; 71/100; 8/13; 7/10; ; ; 4/7; 4/7; 
Draw; 12/5; 12/5; 49/20; 12/5; 5/2; 23/10; ; 5/2; 12/5; 5/2; 12/5; ; 5/2; 12/5; 12/5; 12/5; 27/11; 23/10; 23/10; 27/11; 131/50; 5/2; 23/10; ; ; 12/5; 12/5; 
