Draw; 21/10; 2; 39/20; 2; 21/10; 2; 21/10; 15/8; 15/8; 19/10; 2; 2; 2; 21/10; 19/10; 2; 2; 21/10; 2; 21/10; 2; 21/10; 2; 21/10; 2; ; 19/10; 2; 2
Alcorcon; 27/10; 11/4; 27/10; 13/5; 11/4; 13/5; 29/10; 13/5; 13/5; 14/5; 27/10; 11/4; 29/10; 5/2; 3; 11/4; 29/10; 3; 27/10; 3; 29/10; 16/5; 12/5; 3; 11/4; ; 14/5; 5/2; 3
META; spain/la-liga-segunda/tenerife-v-alcorcon; 2016-12-15 20:25:40 GMT+2; 2016-12-17 17:00; e70300-dr003
Tenerife; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 1; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 11/10; 23/20; 21/20; 21/20; 11/10; ; 21/20; 21/20; 23/20
Draw; 21/10; 2; 39/20; 2; 21/10; 2; 21/10; 15/8; 15/8; 19/10; 2; 2; 2; 11/5; 19/10; 2; 2; 21/10; 2; 21/10; 2; 21/10; 2; 21/10; 2; ; 2; 2; 2
Alcorcon; 27/10; 11/4; 27/10; 13/5; 11/4; 13/5; 29/10; 13/5; 13/5; 14/5; 27/10; 11/4; 29/10; 13/5; 3; 11/4; 29/10; 3; 27/10; 3; 29/10; 16/5; 12/5; 3; 14/5; ; 14/5; 5/2; 3
META; spain/la-liga-segunda/tenerife-v-alcorcon; 2016-12-16 00:25:03 GMT+2; 2016-12-17 17:00; e70300-dr003
Tenerife; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 1; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 11/10; 23/20; 21/20; 21/20; 11/10; ; 11/10; 21/20; 23/20
Draw; 21/10; 2; 39/20; 2; 21/10; 2; 21/10; 15/8; 15/8; 19/10; 2; 2; 2; 11/5; 19/10; 2; 2; 21/10; 2; 21/10; 2; 21/10; 2; 21/10; 2; ; 2; 2; 2
Alcorcon; 27/10; 11/4; 27/10; 13/5; 11/4; 13/5; 29/10; 13/5; 13/5; 14/5; 27/10; 11/4; 29/10; 13/5; 3; 11/4; 29/10; 3; 27/10; 3; 29/10; 16/5; 12/5; 3; 14/5; ; 14/5; 5/2; 3
META; spain/la-liga-segunda/tenerife-v-alcorcon; 2016-12-16 04:25:15 GMT+2; 2016-12-17 17:00; e70300-dr003
Tenerife; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 1; 21/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 11/10; 23/20; 21/20; 21/20; 11/10; ; 11/10; 21/20; 23/20
Draw; 21/10; 2; 39/20; 2; 21/10; 2; 21/10; 15/8; 15/8; 19/10; 2; 2; 2; 11/5; 19/10; 2; 2; 21/10; 2; 21/10; 2; 21/10; 2; 21/10; 2; ; 2; 19/10; 2
